origin,seed,point,metric,a_at_gru,a_at_tf,tf_at_raw,tf_at_anchor,a_main,network_main,interaction
792,2,MJ3,interval_score90,-5.2138438290894555,-2.1257951255865351,-1.0283756422631996,2.0596730612397209,-3.6698194773379953,0.51564870948826069,3.0880487035029205
792,2,MJ3,coverage90,0,0,0,0,0,0,0
792,2,MJ3,width90,-5.2138438290894555,-2.1257951255865351,-1.0283756422631996,2.0596730612397209,-3.6698194773379953,0.51564870948826069,3.0880487035029205
792,2,MJ1,mae,2.730246551254222,7.4908222635367085,-2.2434885698980001,2.5170871423844865,5.1105344073954653,0.13679928624324322,4.7605757122824865
792,2,MJ1,rmse,2.8392796813900141,7.9713995165687059,-2.5750986543233445,2.5570211808553474,5.40533959897936,-0.0090387367339985758,5.1321198351786919
792,2,MJ1,crps,1.8517516441379112,4.9713607784893714,-1.4118410387833755,1.7077680955680847,3.4115562113136413,0.1479635283923546,3.1196091343514603
792,2,MJ1,interval_score90,-4.9092905083140437,-2.3272808004567054,0.19829868564352182,2.7803083935008601,-3.6182856543853745,1.489303539572191,2.5820097078573383
792,2,MJ1,coverage90,-0.020477815699658675,-0.023890784982935176,0,-0.0034129692832765013,-0.022184300341296925,-0.0017064846416382506,-0.0034129692832765013
792,2,MJ1,width90,-5.9914773601105935,-3.2525885410386763,0.19829868564352182,2.937187504715439,-4.6220329505746349,1.5677430951794804,2.7388888190719172
972,0,ATU1,mae,-23.264875517155613,-23.133205851487173,5.1281472827844965,5.2598169484529347,-23.199040684321393,5.1939821156187156,0.13166966566843996
972,0,ATU1,rmse,-23.371048588187868,-22.472411343036814,5.2220593808968516,6.1206966260479048,-22.921729965612343,5.6713780034723786,0.89863724515105403
972,0,ATU1,crps,-8.4755967889556931,-9.9457305849725035,2.6975561313964533,1.227422335379643,-9.2106636869640983,1.9624892333880481,-1.4701337960168104
972,0,ATU1,interval_score90,-24.854096717557908,-18.038656956578961,-3.1771039649763679,3.6383357960025791,-21.446376837068435,0.23061591551310556,6.8154397609789612
972,0,ATU1,coverage90,0,0,0,0,0,0,0
972,0,ATU1,width90,-24.854096717557908,-18.038656956578961,-3.1771039649763679,3.6383357960025791,-21.446376837068435,0.23061591551310556,6.8154397609789612
972,0,ATU5,mae,-5.8403690898059715,-26.099563570159756,8.6514112188889527,-11.607783261464832,-15.969966329982864,-1.4781860212879394,-20.259194480353784
972,0,ATU5,rmse,-5.5003169869168644,-25.784114606520038,8.3098343477567767,-11.973963271846397,-15.642215796718451,-1.8320644620448103,-20.28379761960317
