origin,method,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
972,DRIFT1,293,8.6373392339333819,10.594506460633186,7.0340237741414544,0.39249146757679182,14.57471637624883,54.771497245775898,0.44368600682593862,18.706445950205875,79.448306641031678,0.60324232081911267,22.290105174343523,119.58042682149103
972,RR_COND,293,43.445352022147233,48.588247590159071,33.31071408273327,0.44539249146757676,66.79237283582664,239.39875913888406,0.5955631399317407,85.727082440898528,366.35583903757129,0.65529010238907848,102.15011921471987,592.94094788780262
972,BPLUS_ORIGIN_ANCHOR,293,32.6117693400546,40.43336462468659,27.83801213011558,0.67235494880546076,67.591501030967279,233.52463417607268,0.70136518771331058,86.752752375309342,388.24376753991476,0.71587030716723543,103.37228032287669,658.02529933176879
972,OLD_TRANSFORMER,293,53.200442432760312,61.393257336253129,41.12479367824141,0.40187713310580203,80.089256757676637,300.31573270763846,0.52303754266211611,102.79344819163059,431.4932681109417,0.67064846416382251,122.48594829418455,651.90626027616315
972,OLD_HALF,293,57.36444589248358,63.980506823560937,44.176443779258385,0.34641638225255977,73.732366163720783,323.71708297933804,0.48549488054607515,94.634467444602748,480.96619525844977,0.62030716723549484,112.76392309224107,752.83880734041531
972,OLD_REG1,293,56.613911651730128,63.14825835457485,43.693158796379329,0.33788395904436863,71.846793725491807,321.2271406271251,0.48293515358361772,92.214361420556401,480.80420500054856,0.59470989761092152,109.8801888996184,751.34926345537633
972,G11_ANCHOR_BOUNDARY,293,16.661330286280851,20.732780744768515,15.356369147784616,0.66808873720136519,50.831412976058168,135.05688438700878,0.70648464163822522,65.241412241735915,212.12091291003344,0.72781569965870307,77.739937584188226,337.4053265001786
972,G00_RAW_UNIFORM,293,33.061885749745983,37.481242209662454,25.73363120628067,0.65017064846416384,84.738998218155785,209.64518507945019,0.70221843003412965,108.76132674703292,329.02490460989145,0.72013651877133111,129.59711420040315,524.05120288031344
972,G10_ANCHOR_UNIFORM,293,16.627003263253449,20.445223457543953,15.643207878422469,0.72866894197952214,75.387728176508602,131.52604001797903,0.78839590443686003,96.75910158641716,179.73313311899818,0.83191126279863481,115.29558082156642,244.07347011899316
972,T00_RAW_UNIFORM,293,35.782003959260848,40.587371621725254,27.223463734129385,0.69368600682593862,82.844881291798217,215.48934899513768,0.7073378839590444,106.33025399120083,343.2362066879935,0.71672354948805461,126.7003123408612,555.10093943011691
972,T10_ANCHOR_UNIFORM,293,16.752872662418334,20.640218380895607,16.142759007007058,0.73976109215017072,81.153983009276359,134.04242137611004,0.79778156996587035,104.16000954096671,177.70883431354645,0.8387372013651877,124.11430657693789,228.04904761715397
1168,BPLUS_CONTINUOUS,293,6.9016892503619642,9.1241732177745973,14.894908209734146,1,157.10494480504926,157.10494480504926,1,201.64201365146147,201.64201365146147,1,240.27127888544848,240.27127888544848
1168,DRIFT1,293,9.109845279087784,12.977734531327499,7.5850142827683182,0.64931740614334477,22.143964933972455,60.349973068814748,0.71075085324232079,28.421471297764327,88.559115918360874,0.75853242320819114,33.866271878853581,131.71247414362051
1168,RR_COND,293,11.318236548369157,12.338213669009026,13.077240340273208,1,128.68886090991452,128.68886090991452,1,165.17036481944021,165.17036481944021,1,196.81262882912762,196.81262882912762
1168,BPLUS_ORIGIN_ANCHOR,293,6.8916679306543251,9.1164130241666612,8.8824568797007473,0.99402730375426618,84.085573468814303,84.423303985972211,0.99829351535836175,107.92266516072567,107.97535736912313,1,128.59778728313464,128.59778728313464
1168,OLD_TRANSFORMER,293,6.883835616636941,9.2790819797131103,14.141968702417442,1,147.90685737541557,147.90685737541557,1,189.83639624486079,189.83639624486079,1,226.2040180951488,226.2040180951488
1168,OLD_HALF,293,6.489278371615157,8.8671324439681669,14.471596602704709,1,152.39965539658021,152.39965539658021,1,195.60284007666445,195.60284007666445,1,233.07515972381464,233.07515972381464
1168,OLD_REG1,293,6.5393675617795672,8.9073334645510798,14.221639824391385,1,149.37035945216252,149.37035945216252,1,191.7147808247002,191.7147808247002,1,228.44225137334269,228.44225137334269
1168,G11_ANCHOR_BOUNDARY,293,7.2276056945403537,10.785140989468013,6.9103380910670564,0.88566552901023887,45.854277214519044,56.669257407322135,0.91040955631399312,58.853327650135071,75.15054187163858,0.9274744027303754,70.128065302921385,96.2868898114464
1168,G00_RAW_UNIFORM,293,10.560487811753708,14.257498545879638,9.9986685789607748,0.9735494880546075,81.150405298809176,83.347695221463155,0.99146757679180886,104.15541759929502,105.53669150218977,0.9965870307167235,124.10883494095273,124.75307811866787
1168,G10_ANCHOR_UNIFORM,293,7.8485388461060879,11.141437314396809,6.908214992859965,0.88993174061433455,45.565102459244088,55.272929146520298,0.92662116040955633,58.482175869882894,72.452354922918559,0.95051194539249151,69.685810679061419,91.488561471851725
1168,T00_RAW_UNIFORM,293,12.18866697921522,15.981473105772045,11.028273061607175,0.97696245733788389,88.40985665436385,90.205628044538614,0.99317406143344711,113.47282254256608,114.47369021867645,0.99744027303754268,135.2112077107611,135.56345182704641
1168,T10_ANCHOR_UNIFORM,293,10.664211200607761,13.290362640198968,8.602632031926797,0.68686006825938573,42.822788726211343,63.007228661986588,0.77815699658703075,54.962454298553965,84.055981634653904,0.83959044368600688,65.491803745934561,110.05089092730587
