origin,arm,seed,horizon,point,baseline_teacher,input_teacher,coherent,bplus_mean_residual_mm,bplus_rmse_mm,correction_mean_mm,forecast_rmse_mm,new_minus_old_bplus_mean_mm,required_correction_change_mm,actual_correction_change_mm
972,GRU_GRAPH,ensemble,112,ATU1,612,612,True,-21.023335129852992,21.204192860234265,-11.618789694968196,9.8189081746035427,21.409737626373353,-21.409737626373353,-8.2776470319922506
972,GRU_GRAPH,ensemble,112,ATU5,612,612,True,-51.153700157136861,51.438906493344064,-19.898509604851686,31.551352406731215,4.4057424380267181,-4.4057424380267181,-6.5076101531859889
972,GRU_GRAPH,ensemble,112,MJ3,612,612,True,-156.8562233279446,157.3867294018527,-75.758382580547178,81.996407337381839,-147.93857438172765,147.93857438172765,62.51621981835941
972,GRU_GRAPH,ensemble,112,MJ1,612,612,True,-66.527101699484902,68.187034111117285,-33.075788690303902,35.766300158608686,-35.820085125443597,35.820085125443597,14.770445670641051
972,COND_ATTN,0,112,ATU1,792,792,True,-42.433072756226345,42.710156503284544,-14.187794882592527,29.384689369525702,21.409737626373353,-21.409737626373353,-10.464588558781077
972,COND_ATTN,0,112,ATU5,792,792,True,-55.559442595163581,55.679041939052382,-19.401646462196783,37.969034857415451,4.4057424380267181,-4.4057424380267181,-14.61010788234293
972,COND_ATTN,0,112,MJ3,792,792,True,-8.9176489462169855,13.377372317981186,-3.7026620953571716,7.6749468534830081,-147.93857438172765,147.93857438172765,43.54929738770219
972,COND_ATTN,0,112,MJ1,792,792,True,-30.707016574041312,31.122557434773654,-8.7321880112490646,22.483410972385187,-35.820085125443597,35.820085125443597,6.5156631535413316
972,COND_ATTN,0,112,ATU1,792,612,False,-42.433072756226345,42.710156503284544,-3.7232063238114486,39.244612069043114,21.409737626373353,-21.409737626373353,-10.464588558781077
972,COND_ATTN,0,112,ATU5,792,612,False,-55.559442595163581,55.679041939052382,-4.7915385798538503,51.376563537498498,4.4057424380267181,-4.4057424380267181,-14.61010788234293
972,COND_ATTN,0,112,MJ3,792,612,False,-8.9176489462169855,13.377372317981186,-47.251959483059359,39.628594657301377,-147.93857438172765,147.93857438172765,43.54929738770219
972,COND_ATTN,0,112,MJ1,792,612,False,-30.707016574041312,31.122557434773654,-15.247851164790394,16.526828264871781,-35.820085125443597,35.820085125443597,6.5156631535413316
