origin,arm,seed,horizon,point,baseline_teacher,input_teacher,coherent,bplus_mean_residual_mm,bplus_rmse_mm,correction_mean_mm,forecast_rmse_mm,new_minus_old_bplus_mean_mm,required_correction_change_mm,actual_correction_change_mm,half_target_mean_mm,error_to_half_target_mean_mm,half_target_change_mm
1168,GRU_GRAPH,ensemble,97,MJ3,1168,1168,True,1.571389257763314,1.6314000677056413,-9.8961044053716467,11.815257062030801,-100.9836890478674,100.9836890478674,46.239919402947045,0.78569462888165698,-10.681799034253304,50.4918445239337
1168,GRU_GRAPH,ensemble,97,MJ1,1168,1168,True,-4.8268184211630887,5.4743305616201088,-10.19042882851004,6.9900872138053609,-96.970694561070246,96.970694561070246,34.7456384575583,-2.4134092105815443,-7.7770196179284952,48.485347280535123
1168,GRU_GRAPH,ensemble,97,ATU1,792,792,True,-73.212886972888867,73.309125284674963,-35.388881069643453,38.074783798383827,-70.602341539675606,70.602341539675606,26.927028979139621,-36.606443486444434,1.2175624168009804,35.301170769837803
1168,GRU_GRAPH,ensemble,97,ATU5,792,792,True,-77.525548571654909,77.715935168480939,-36.890542658776702,41.079355698967021,-73.923371666775168,73.923371666775168,25.498744638714371,-38.762774285827454,1.872231627050752,36.961685833387584
1168,GRU_GRAPH,ensemble,97,MJ3,792,792,True,-99.412299790104129,99.518233059630973,-56.136023808318697,43.555933665899303,-100.9836890478674,100.9836890478674,46.239919402947045,-49.706149895052064,-6.4298739132666327,50.4918445239337
1168,GRU_GRAPH,ensemble,97,MJ1,792,792,True,-101.79751298223334,102.04081060767794,-44.936067286068337,57.267254122532258,-96.970694561070246,96.970694561070246,34.7456384575583,-50.898756491116671,5.9626892050483349,48.485347280535123
1168,COND_ATTN,ensemble,97,ATU1,1168,1168,True,-2.6105454332132707,2.8970077854703575,-13.86708623788838,11.332593329342361,-70.602341539675606,70.602341539675606,16.156907111947749,-1.3052727166066354,-12.561813521281744,35.301170769837803
1168,COND_ATTN,ensemble,97,ATU5,1168,1168,True,-3.602176904879737,4.6145529647169354,-5.0615385256784338,5.024911107255992,-73.923371666775168,73.923371666775168,33.863257796757594,-1.8010884524398685,-3.2604500732385651,36.961685833387584
1168,COND_ATTN,ensemble,97,MJ3,1168,1168,True,1.571389257763314,1.6314000677056413,-17.795960045916477,19.839461969023347,-100.9836890478674,100.9836890478674,22.174589372169141,0.78569462888165698,-18.581654674798134,50.4918445239337
1168,COND_ATTN,ensemble,97,MJ1,1168,1168,True,-4.8268184211630887,5.4743305616201088,-24.115790454406252,19.832200309077699,-96.970694561070246,96.970694561070246,9.4499774717927973,-2.4134092105815443,-21.702381243824707,48.485347280535123
1168,COND_ATTN,ensemble,97,ATU1,792,792,True,-73.212886972888867,73.309125284674963,-30.023993349836118,43.354241845450552,-70.602341539675606,70.602341539675606,16.156907111947749,-36.606443486444434,6.5824501366083155,35.301170769837803
1168,COND_ATTN,ensemble,97,ATU5,792,792,True,-77.525548571654909,77.715935168480939,-38.92479632243603,38.920102559770989,-73.923371666775168,73.923371666775168,33.863257796757594,-38.762774285827454,-0.16202203660857606,36.961685833387584
