split,evaluation_role,estimator,subset,reliability_kind,class_level,class_color,bin_index,bin_lower,bin_upper,count,mean_predicted_probability,observed_frequency,class_support,calibration_status
fit,training_only,fit_majority_prior,all,one_vs_rest,1.0,blue,9,0.9,1.0,0,,,2870,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,2.0,yellow,0,0.0,0.1,7280,0.09629120879120881,0.0962912087912088,701,ok
fit,training_only,fit_majority_prior,all,one_vs_rest,2.0,yellow,1,0.1,0.2,0,,,701,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,2.0,yellow,2,0.2,0.30000000000000004,0,,,701,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,2.0,yellow,3,0.30000000000000004,0.4,0,,,701,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,2.0,yellow,4,0.4,0.5,0,,,701,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,2.0,yellow,5,0.5,0.6000000000000001,0,,,701,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,2.0,yellow,6,0.6000000000000001,0.7000000000000001,0,,,701,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,2.0,yellow,7,0.7000000000000001,0.8,0,,,701,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,2.0,yellow,8,0.8,0.9,0,,,701,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,2.0,yellow,9,0.9,1.0,0,,,701,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,3.0,orange,0,0.0,0.1,7280,0.011401098901098899,0.0114010989010989,83,ok
fit,training_only,fit_majority_prior,all,one_vs_rest,3.0,orange,1,0.1,0.2,0,,,83,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,3.0,orange,2,0.2,0.30000000000000004,0,,,83,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,3.0,orange,3,0.30000000000000004,0.4,0,,,83,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,3.0,orange,4,0.4,0.5,0,,,83,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,3.0,orange,5,0.5,0.6000000000000001,0,,,83,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,3.0,orange,6,0.6000000000000001,0.7000000000000001,0,,,83,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,3.0,orange,7,0.7000000000000001,0.8,0,,,83,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,3.0,orange,8,0.8,0.9,0,,,83,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,3.0,orange,9,0.9,1.0,0,,,83,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,4.0,red,0,0.0,0.1,7280,0.012087912087912092,0.012087912087912088,88,ok
fit,training_only,fit_majority_prior,all,one_vs_rest,4.0,red,1,0.1,0.2,0,,,88,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,4.0,red,2,0.2,0.30000000000000004,0,,,88,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,4.0,red,3,0.30000000000000004,0.4,0,,,88,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,4.0,red,4,0.4,0.5,0,,,88,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,4.0,red,5,0.5,0.6000000000000001,0,,,88,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,4.0,red,6,0.6000000000000001,0.7000000000000001,0,,,88,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,4.0,red,7,0.7000000000000001,0.8,0,,,88,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,4.0,red,8,0.8,0.9,0,,,88,empty_bin
fit,training_only,fit_majority_prior,all,one_vs_rest,4.0,red,9,0.9,1.0,0,,,88,empty_bin
fit,training_only,ngboost,transition_only,top_label,,,0,0.0,0.1,0,,,575,empty_bin
fit,training_only,ngboost,transition_only,top_label,,,1,0.1,0.2,0,,,575,empty_bin
fit,training_only,ngboost,transition_only,top_label,,,2,0.2,0.30000000000000004,0,,,575,empty_bin
fit,training_only,ngboost,transition_only,top_label,,,3,0.30000000000000004,0.4,0,,,575,empty_bin
fit,training_only,ngboost,transition_only,top_label,,,4,0.4,0.5,6,0.49820921967391035,0.5,575,ok
fit,training_only,ngboost,transition_only,top_label,,,5,0.5,0.6000000000000001,159,0.554974857374466,0.41509433962264153,575,ok
fit,training_only,ngboost,transition_only,top_label,,,6,0.6000000000000001,0.7000000000000001,106,0.6503273178959904,0.04716981132075472,575,ok
fit,training_only,ngboost,transition_only,top_label,,,7,0.7000000000000001,0.8,100,0.7520391822288809,0.21,575,ok
fit,training_only,ngboost,transition_only,top_label,,,8,0.8,0.9,104,0.8542838861095018,0.009615384615384616,575,ok
fit,training_only,ngboost,transition_only,top_label,,,9,0.9,1.0,100,0.938895237359767,0.04,575,ok
fit,training_only,ngboost,transition_only,one_vs_rest,0.0,green,0,0.0,0.1,200,0.017120156778402132,0.195,208,ok
fit,training_only,ngboost,transition_only,one_vs_rest,0.0,green,1,0.1,0.2,34,0.1554273577788089,1.0,208,ok
