split,evaluation_role,estimator,subset,actual_level,actual_color,predicted_level,predicted_color,count
calibration,chronological_evaluation_only,current_state_persistence,all,2,yellow,0,green,0
calibration,chronological_evaluation_only,current_state_persistence,all,2,yellow,1,blue,11
calibration,chronological_evaluation_only,current_state_persistence,all,2,yellow,2,yellow,268
calibration,chronological_evaluation_only,current_state_persistence,all,2,yellow,3,orange,8
calibration,chronological_evaluation_only,current_state_persistence,all,2,yellow,4,red,0
calibration,chronological_evaluation_only,current_state_persistence,all,3,orange,0,green,0
calibration,chronological_evaluation_only,current_state_persistence,all,3,orange,1,blue,0
calibration,chronological_evaluation_only,current_state_persistence,all,3,orange,2,yellow,8
calibration,chronological_evaluation_only,current_state_persistence,all,3,orange,3,orange,135
calibration,chronological_evaluation_only,current_state_persistence,all,3,orange,4,red,0
calibration,chronological_evaluation_only,current_state_persistence,all,4,red,0,green,0
calibration,chronological_evaluation_only,current_state_persistence,all,4,red,1,blue,0
calibration,chronological_evaluation_only,current_state_persistence,all,4,red,2,yellow,0
calibration,chronological_evaluation_only,current_state_persistence,all,4,red,3,orange,0
calibration,chronological_evaluation_only,current_state_persistence,all,4,red,4,red,0
calibration,chronological_evaluation_only,ngboost,transition_only,0,green,0,green,8
calibration,chronological_evaluation_only,ngboost,transition_only,0,green,1,blue,47
calibration,chronological_evaluation_only,ngboost,transition_only,0,green,2,yellow,0
calibration,chronological_evaluation_only,ngboost,transition_only,0,green,3,orange,0
calibration,chronological_evaluation_only,ngboost,transition_only,0,green,4,red,0
calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,0,green,51
calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,1,blue,7
calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,2,yellow,11
calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,3,orange,0
calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,4,red,0
calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,0,green,0
calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,1,blue,11
calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,2,yellow,5
calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,3,orange,3
calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,4,red,0
calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,0,green,0
calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,1,blue,0
calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,2,yellow,8
calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,3,orange,0
calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,4,red,0
calibration,chronological_evaluation_only,ngboost,transition_only,4,red,0,green,0
calibration,chronological_evaluation_only,ngboost,transition_only,4,red,1,blue,0
calibration,chronological_evaluation_only,ngboost,transition_only,4,red,2,yellow,0
calibration,chronological_evaluation_only,ngboost,transition_only,4,red,3,orange,0
calibration,chronological_evaluation_only,ngboost,transition_only,4,red,4,red,0
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,0,green,0,green,55
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,0,green,1,blue,0
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,0,green,2,yellow,0
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,0,green,3,orange,0
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,0,green,4,red,0
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,1,blue,0,green,69
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,1,blue,1,blue,0
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,1,blue,2,yellow,0
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,1,blue,3,orange,0
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,1,blue,4,red,0
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,2,yellow,0,green,19
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,2,yellow,1,blue,0
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,2,yellow,2,yellow,0
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,2,yellow,3,orange,0
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,2,yellow,4,red,0
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,3,orange,0,green,8
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,3,orange,1,blue,0
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,3,orange,2,yellow,0
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,3,orange,3,orange,0
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,3,orange,4,red,0
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,4,red,0,green,0
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,4,red,1,blue,0
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,4,red,2,yellow,0
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,4,red,3,orange,0
calibration,chronological_evaluation_only,fit_majority_prior,transition_only,4,red,4,red,0
calibration,chronological_evaluation_only,current_state_persistence,transition_only,0,green,0,green,0
calibration,chronological_evaluation_only,current_state_persistence,transition_only,0,green,1,blue,55
calibration,chronological_evaluation_only,current_state_persistence,transition_only,0,green,2,yellow,0
calibration,chronological_evaluation_only,current_state_persistence,transition_only,0,green,3,orange,0
calibration,chronological_evaluation_only,current_state_persistence,transition_only,0,green,4,red,0
calibration,chronological_evaluation_only,current_state_persistence,transition_only,1,blue,0,green,58
calibration,chronological_evaluation_only,current_state_persistence,transition_only,1,blue,1,blue,0
calibration,chronological_evaluation_only,current_state_persistence,transition_only,1,blue,2,yellow,11
calibration,chronological_evaluation_only,current_state_persistence,transition_only,1,blue,3,orange,0
calibration,chronological_evaluation_only,current_state_persistence,transition_only,1,blue,4,red,0
calibration,chronological_evaluation_only,current_state_persistence,transition_only,2,yellow,0,green,0
calibration,chronological_evaluation_only,current_state_persistence,transition_only,2,yellow,1,blue,11
calibration,chronological_evaluation_only,current_state_persistence,transition_only,2,yellow,2,yellow,0
calibration,chronological_evaluation_only,current_state_persistence,transition_only,2,yellow,3,orange,8
calibration,chronological_evaluation_only,current_state_persistence,transition_only,2,yellow,4,red,0
calibration,chronological_evaluation_only,current_state_persistence,transition_only,3,orange,0,green,0
calibration,chronological_evaluation_only,current_state_persistence,transition_only,3,orange,1,blue,0
calibration,chronological_evaluation_only,current_state_persistence,transition_only,3,orange,2,yellow,8
calibration,chronological_evaluation_only,current_state_persistence,transition_only,3,orange,3,orange,0
calibration,chronological_evaluation_only,current_state_persistence,transition_only,3,orange,4,red,0
calibration,chronological_evaluation_only,current_state_persistence,transition_only,4,red,0,green,0
calibration,chronological_evaluation_only,current_state_persistence,transition_only,4,red,1,blue,0
calibration,chronological_evaluation_only,current_state_persistence,transition_only,4,red,2,yellow,0
calibration,chronological_evaluation_only,current_state_persistence,transition_only,4,red,3,orange,0
calibration,chronological_evaluation_only,current_state_persistence,transition_only,4,red,4,red,0
test,historical_holdout_evaluation_only,ngboost,all,0,green,0,green,551
test,historical_holdout_evaluation_only,ngboost,all,0,green,1,blue,33
test,historical_holdout_evaluation_only,ngboost,all,0,green,2,yellow,0
test,historical_holdout_evaluation_only,ngboost,all,0,green,3,orange,0
test,historical_holdout_evaluation_only,ngboost,all,0,green,4,red,0
test,historical_holdout_evaluation_only,ngboost,all,1,blue,0,green,35
test,historical_holdout_evaluation_only,ngboost,all,1,blue,1,blue,999
test,historical_holdout_evaluation_only,ngboost,all,1,blue,2,yellow,5
test,historical_holdout_evaluation_only,ngboost,all,1,blue,3,orange,0
test,historical_holdout_evaluation_only,ngboost,all,1,blue,4,red,0
test,historical_holdout_evaluation_only,ngboost,all,2,yellow,0,green,0
test,historical_holdout_evaluation_only,ngboost,all,2,yellow,1,blue,10
test,historical_holdout_evaluation_only,ngboost,all,2,yellow,2,yellow,171
test,historical_holdout_evaluation_only,ngboost,all,2,yellow,3,orange,1
test,historical_holdout_evaluation_only,ngboost,all,2,yellow,4,red,0
test,historical_holdout_evaluation_only,ngboost,all,3,orange,0,green,0
test,historical_holdout_evaluation_only,ngboost,all,3,orange,1,blue,0
test,historical_holdout_evaluation_only,ngboost,all,3,orange,2,yellow,14
test,historical_holdout_evaluation_only,ngboost,all,3,orange,3,orange,98
test,historical_holdout_evaluation_only,ngboost,all,3,orange,4,red,21
test,historical_holdout_evaluation_only,ngboost,all,4,red,0,green,0
test,historical_holdout_evaluation_only,ngboost,all,4,red,1,blue,0
