split,evaluation_role,estimator,subset,metric,class_level,class_color,value,numerator,denominator,status
fit,training_only,ngboost,transition_only,support,0.0,green,208.0,208.0,575.0,ok
fit,training_only,ngboost,transition_only,precision,1.0,blue,0.1285140562248996,,,ok
fit,training_only,ngboost,transition_only,recall,1.0,blue,0.12075471698113208,,,ok
fit,training_only,ngboost,transition_only,f1,1.0,blue,0.1245136186770428,,,ok
fit,training_only,ngboost,transition_only,support,1.0,blue,265.0,265.0,575.0,ok
fit,training_only,ngboost,transition_only,precision,2.0,yellow,0.18292682926829268,,,ok
fit,training_only,ngboost,transition_only,recall,2.0,yellow,0.2,,,ok
fit,training_only,ngboost,transition_only,f1,2.0,yellow,0.1910828025477707,,,ok
fit,training_only,ngboost,transition_only,support,2.0,yellow,75.0,75.0,575.0,ok
fit,training_only,ngboost,transition_only,precision,3.0,orange,0.35714285714285715,,,ok
fit,training_only,ngboost,transition_only,recall,3.0,orange,0.25,,,ok
fit,training_only,ngboost,transition_only,f1,3.0,orange,0.29411764705882354,,,ok
fit,training_only,ngboost,transition_only,support,3.0,orange,20.0,20.0,575.0,ok
fit,training_only,ngboost,transition_only,precision,4.0,red,0.5,,,ok
fit,training_only,ngboost,transition_only,recall,4.0,red,0.5714285714285714,,,ok
fit,training_only,ngboost,transition_only,f1,4.0,red,0.5333333333333333,,,ok
fit,training_only,ngboost,transition_only,support,4.0,red,7.0,7.0,575.0,ok
fit,training_only,ngboost,transition_only,balanced_accuracy_supported_classes,,,0.27074434998963304,,,ok
fit,training_only,ngboost,transition_only,ordinal_mae,,,0.8278260869565217,,,ok
fit,training_only,ngboost,transition_only,quadratic_weighted_kappa,,,0.4282034958953811,,,ok
fit,training_only,ngboost,transition_only,false_escalation_vs_proxy_count,,,230.0,230.0,575.0,ok
fit,training_only,ngboost,transition_only,false_escalation_vs_proxy_rate,,,0.4,230.0,575.0,ok
fit,training_only,ngboost,transition_only,false_deescalation_vs_proxy_count,,,245.0,245.0,575.0,ok
fit,training_only,ngboost,transition_only,false_deescalation_vs_proxy_rate,,,0.4260869565217391,245.0,575.0,ok
fit,training_only,ngboost,transition_only,multiclass_log_loss,,,1.464286171039708,,,ok
fit,training_only,ngboost,transition_only,multiclass_brier,,,1.027997183588396,,,ok
fit,training_only,ngboost,transition_only,top_label_ece,,,0.5532615805490861,,,ok
fit,training_only,ngboost,transition_only,classwise_ece,0.0,green,0.41304901701572194,,,ok
fit,training_only,ngboost,transition_only,one_vs_rest_roc_auc,0.0,green,0.4818827289876336,,,ok
fit,training_only,ngboost,transition_only,one_vs_rest_pr_auc,0.0,green,0.3196734404787309,,,ok
fit,training_only,ngboost,transition_only,classwise_ece,1.0,blue,0.5285812404963618,,,ok
fit,training_only,ngboost,transition_only,one_vs_rest_roc_auc,1.0,blue,0.1903043213633597,,,ok
fit,training_only,ngboost,transition_only,one_vs_rest_pr_auc,1.0,blue,0.314873222654025,,,ok
fit,training_only,ngboost,transition_only,classwise_ece,2.0,yellow,0.15466896728434984,,,ok
fit,training_only,ngboost,transition_only,one_vs_rest_roc_auc,2.0,yellow,0.8642666666666667,,,ok
fit,training_only,ngboost,transition_only,one_vs_rest_pr_auc,2.0,yellow,0.3282034196982839,,,ok
fit,training_only,ngboost,transition_only,classwise_ece,3.0,orange,0.028001544291391057,,,ok
fit,training_only,ngboost,transition_only,one_vs_rest_roc_auc,3.0,orange,0.9746396396396396,,,ok
fit,training_only,ngboost,transition_only,one_vs_rest_pr_auc,3.0,orange,0.49861579672506134,,,ok
fit,training_only,ngboost,transition_only,classwise_ece,4.0,red,0.00934293508667507,,,ok
fit,training_only,ngboost,transition_only,one_vs_rest_roc_auc,4.0,red,0.994718309859155,,,ok
fit,training_only,ngboost,transition_only,one_vs_rest_pr_auc,4.0,red,0.6090496804782519,,,ok
fit,training_only,fit_majority_prior,transition_only,row_count,,,575.0,,,ok
fit,training_only,fit_majority_prior,transition_only,accuracy,,,0.3617391304347826,,,ok
fit,training_only,fit_majority_prior,transition_only,macro_f1_fixed_five,,,0.10625798212005108,,,ok
fit,training_only,fit_majority_prior,transition_only,macro_f1_supported_classes,,,0.10625798212005108,,,ok
fit,training_only,fit_majority_prior,transition_only,precision,0.0,green,0.3617391304347826,,,ok
fit,training_only,fit_majority_prior,transition_only,recall,0.0,green,1.0,,,ok
fit,training_only,fit_majority_prior,transition_only,f1,0.0,green,0.5312899106002554,,,ok
fit,training_only,fit_majority_prior,transition_only,support,0.0,green,208.0,208.0,575.0,ok
fit,training_only,fit_majority_prior,transition_only,precision,1.0,blue,0.0,,,ok
fit,training_only,fit_majority_prior,transition_only,recall,1.0,blue,0.0,,,ok
fit,training_only,fit_majority_prior,transition_only,f1,1.0,blue,0.0,,,ok
fit,training_only,fit_majority_prior,transition_only,support,1.0,blue,265.0,265.0,575.0,ok
fit,training_only,fit_majority_prior,transition_only,precision,2.0,yellow,0.0,,,ok
fit,training_only,fit_majority_prior,transition_only,recall,2.0,yellow,0.0,,,ok
fit,training_only,fit_majority_prior,transition_only,f1,2.0,yellow,0.0,,,ok
fit,training_only,fit_majority_prior,transition_only,support,2.0,yellow,75.0,75.0,575.0,ok
fit,training_only,fit_majority_prior,transition_only,precision,3.0,orange,0.0,,,ok
fit,training_only,fit_majority_prior,transition_only,recall,3.0,orange,0.0,,,ok
