component,outer_days,strategy,part,station,days,rmse_mm,mae_mm,crps_mm,coverage_80,width_80_mm,interval_score_80_mm,coverage_90,width_90_mm,interval_score_90_mm,coverage_95,width_95_mm,interval_score_95_mm
seed_0,432,IN,train,MJ3,402,1.8930677801176532,1.5504574540675586,6.059021440129884,1.0,65.8440651382229,65.8440651382229,1.0,84.50994301931517,84.50994301931517,1.0,100.69980801738204,100.69980801738204
seed_0,432,IN,train,MJ1,402,1.4584529365323708,1.1627133117789161,1.344222286925376,1.0,12.939639452557342,12.939639452557342,1.0,16.60784750350001,16.60784750350001,1.0,19.78947086501023,19.78947086501023
seed_0,432,IN,prediction,ATU1,180,65.21693816423189,64.23466680220041,44.1295602589479,0.044444444444444446,101.25203220133245,247.53222306414867,0.32222222222222224,129.9555769219542,187.6102647156192,0.9555555555555556,154.8516207594397,177.29766217083582
seed_0,432,IN,prediction,ATU5,180,151.37798871871826,146.06155326886773,114.94214821019318,0.06666666666666667,149.0008797888356,887.5117383068798,0.12222222222222222,191.24055956066124,1281.2876959438572,0.16111111111111112,227.8771816056452,1779.103949537418
seed_0,432,IN,prediction,MJ3,180,10.425076533607308,7.994543200703548,7.6174760871159855,1.0,65.84406513822272,65.84406513822272,1.0,84.50994301931564,84.50994301931564,1.0,100.69980801738234,100.69980801738234
seed_0,432,IN,prediction,MJ1,180,13.505004708209263,10.347093710813537,8.462069797833115,0.4888888888888889,12.939639452557342,68.73573317208191,0.5277777777777778,16.607847503500007,110.30246165518983,0.5333333333333333,19.789470865010234,177.15812910949074
seed_1,432,IN,train,ATU1,402,1.9589215009142504,1.484377710426115,9.343017130946995,1.0,102.0502553271208,102.0502553271208,1.0,130.98008521644465,130.98008521644465,1.0,156.07239768676322,156.07239768676322
seed_1,432,IN,train,ATU5,402,1.3703062601174534,1.136774116916679,13.037129220387618,1.0,142.84028905703678,142.84028905703678,1.0,183.33352692808126,183.33352692808126,1.0,218.45537111044717,218.45537111044717
seed_1,432,IN,train,MJ3,402,1.5524287351134576,1.22610329503934,5.733153420066615,1.0,62.447306580498356,62.447306580498356,1.0,80.15025059204754,80.15025059204754,1.0,95.50491408235256,95.50491408235256
seed_1,432,IN,train,MJ1,402,1.5079531144841292,1.236699829348856,1.3426016273653174,1.0,12.768763560483299,12.768763560483299,1.0,16.388530669518666,16.388530669518666,1.0,19.52813873901561,19.52813873901561
seed_1,432,IN,prediction,ATU1,180,60.639243317947255,59.63367563746873,40.02547374669901,0.15555555555555556,102.0502553271207,203.62263458034184,0.9055555555555556,130.98008521644454,148.29790216669926,0.9666666666666667,156.07239768676322,166.7614725502889
seed_1,432,IN,prediction,ATU5,180,146.29507087897895,140.72183856042363,111.04267755914464,0.07222222222222222,142.84028905703673,859.8063164180788,0.13333333333333333,183.3335269280812,1252.5519676658444,0.16666666666666666,218.45537111044712,1761.7994168079038
seed_1,432,IN,prediction,MJ3,180,9.844425936914943,8.318085641055234,7.240885695285801,1.0,62.44730658049842,62.44730658049842,1.0,80.15025059204731,80.15025059204731,1.0,95.50491408235234,95.50491408235234
seed_1,432,IN,prediction,MJ1,180,16.624522327887956,12.952871456895107,10.898507057434836,0.3888888888888889,12.768763560483308,92.03243797471278,0.4666666666666667,16.388530669518673,153.3754153258734,0.5222222222222223,19.528138739015617,262.6072233905702
seed_2,432,IN,train,ATU1,402,1.9750282486745894,1.448373814158358,8.814759397428839,1.0,96.22369393010966,96.22369393010966,1.0,123.50177459533893,123.50177459533893,1.0,147.16144097640813,147.16144097640813
seed_2,432,IN,train,ATU5,402,1.8079610581000487,1.45061594370366,12.44712099177601,1.0,136.247683601853,136.247683601853,1.0,174.87200939879716,174.87200939879716,1.0,208.37285110993224,208.37285110993224
seed_2,432,IN,train,MJ3,402,1.6475363872995503,1.330480884190355,5.331907305171278,1.0,57.95424367596141,57.95424367596141,1.0,74.38346676350419,74.38346676350419,1.0,88.63336733099158,88.63336733099158
seed_2,432,IN,train,MJ1,402,1.7432043007396225,1.4378467730122646,1.1521847122529176,0.9975124378109452,9.03467534518938,9.0755646602495,0.9975124378109452,11.595880312328184,11.61394737610169,1.0,13.817343611000862,13.817343611000862
seed_2,432,IN,prediction,ATU1,180,62.20712798704794,61.478598162749826,42.23553643956343,0.03888888888888889,96.2236939301098,238.35637113820894,0.4,123.501774595339,173.549138852613,0.9611111111111111,147.16144097640802,163.42040006688896
seed_2,432,IN,prediction,ATU5,180,146.77240682627502,141.56519336332997,112.93242944568284,0.06111111111111111,136.2476836018533,888.7251895056999,0.12777777777777777,174.8720093987972,1324.3101806775655,0.15555555555555556,208.37285110993233,1933.162043395504
seed_2,432,IN,prediction,MJ3,180,10.69507376662889,9.419710731035272,7.237732286169876,1.0,57.95424367596186,57.95424367596186,1.0,74.38346676350446,74.38346676350446,1.0,88.63336733099115,88.63336733099115
seed_2,432,IN,prediction,MJ1,180,16.582918766229266,13.154964640313203,11.533496161485722,0.3611111111111111,9.034675345189372,102.04024337143136,0.38333333333333336,11.59588031232819,181.58283002475403,0.4,13.817343611000853,326.673891791438
seed_0,432,OOF,train,ATU1,402,5.809748106260083,4.6289142028940375,9.37960066997083,1.0,99.07278506366877,99.07278506366877,1.0,127.15854349088733,127.15854349088733,1.0,151.5187498632629,151.5187498632629
seed_0,432,OOF,train,ATU5,402,5.075621949241931,4.319771218677389,12.224726095202284,1.0,131.89173922972648,131.89173922972648,1.0,169.2812153020027,169.2812153020027,1.0,201.71100905800674,201.71100905800674
seed_0,432,OOF,train,MJ3,402,4.6128153673589924,3.695521832412254,5.829116879575006,1.0,59.98700317122134,59.98700317122134,1.0,76.992485340285,76.992485340285,1.0,91.74220471046489,91.74220471046489
