origin,reference,feature,reference_start,reference_end_exclusive,days,reference_min_z,reference_max_z,forward_min_z,forward_max_z,forward_mean_z,below_days,above_days,outside_fraction,max_excess_z
252,fit_rows,moisture_O1_up,30,252,90,-0.8483368549616239,0.9309499543260217,-0.2092258340178675,0.9157175762313126,0.39550573664093774,0,0,0.0,0.0
252,fit_rows,moisture_O1_down,30,252,90,-0.8483368549616239,0.9309499543260217,-0.2092258340178675,0.9157175762313126,0.39550573664093774,0,0,0.0,0.0
252,fit_rows,reservoir_head,30,252,90,-1.7124715121923846,1.1033821591714992,-1.5341791986751478,0.2711652988369956,-0.33759576401467484,0,0,0.0,0.0
252,fit_rows,history30_rain_mm,30,252,90,-0.7886302472272805,2.6578692262789905,-0.6691343162915944,0.33008923873485424,-0.2431016397902299,0,0,0.0,0.0
252,fit_rows,history30_rwl_m,30,252,90,-1.601663979461015,1.1442652069456731,-0.9810523919401508,0.43624634097698295,-0.05852140460253403,0,0,0.0,0.0
252,fit_rows,history30_rwl_daily_change_m,30,252,90,-0.5327167862674952,0.5669498803991718,-0.5117167862674954,-0.13205011960082821,-0.24938345293416156,0,0,0.0,0.0
252,fit_rows,history30_rain_head_O3,30,252,90,-1.0400369472204976,2.2429967491492597,-0.6119016873958528,0.09018879040618823,-0.36271371851202255,0,0,0.0,0.0
252,fit_rows,history30_rain_head_O2,30,252,90,-1.205366731586523,1.8633981215354785,-0.2159890255373223,0.2596280973428637,-0.05191093994872031,0,0,0.0,0.0
252,fit_rows,history30_rain_head_O1_up,30,252,90,-0.7527344987708956,3.0978752386897046,-0.6190196751777165,0.4748957150514947,-0.14469360596339648,0,0,0.0,0.0
252,fit_rows,history30_rain_head_O1_down,30,252,90,-0.7535660141964656,3.098688452223537,-0.6197944247873166,0.4847911464585984,-0.1442905034729722,0,0,0.0,0.0
252,fit_rows,history30_moisture_O3,30,252,90,-1.2909542733101185,2.894243990257062,-0.7594723442770069,1.0434696242740773,0.10711584333099429,0,0,0.0,0.0
252,fit_rows,history30_moisture_O2,30,252,90,-0.872839111252613,0.9806133641363429,0.2349318898657147,0.8277769396174285,0.5388755196826948,0,0,0.0,0.0
252,fit_rows,history30_moisture_O1_up,30,252,90,-0.8914006743124292,0.9452815948707534,0.2456449465753934,0.8024199986393037,0.5311381230233253,0,0,0.0,0.0
252,fit_rows,history30_moisture_O1_down,30,252,90,-0.8914006743124292,0.9452815948707534,0.2456449465753934,0.8024199986393037,0.5311381230233253,0,0,0.0,0.0
252,fit_rows,history30_reservoir_head,30,252,90,-1.5565679450728007,1.1515394605397458,-0.8564968661072117,0.47362062157419826,-0.0007456880843562392,0,0,0.0,0.0
252,fit_rows,s_O3,30,252,90,-0.3271896136053091,0.3465396738866498,-0.016540870392755813,0.08608947358508728,0.02031642515973561,0,0,0.0,0.0
252,fit_rows,s_O2,30,252,90,-1.057748597705064e-11,1.2344622678570192e-11,1.2202514131418172e-11,1.3652021312368777e-11,1.2600418063443828e-11,0,46,0.5111111111111111,1.3073986337985843e-12
252,fit_rows,s_O1_up,30,252,90,-0.47636888596183136,5.799535135685559,-0.47637084980565586,2.5727739094414197,-0.07672826881822753,3,0,0.03333333333333333,1.9638438245039858e-06
252,fit_rows,s_O1_down,30,252,90,-1.4488791576961155,0.8394348246153381,0.35472187796410426,1.161973906993302,0.43258713035047636,0,4,0.044444444444444446,0.3225390823779638
