origin,method,seed,horizon,point,error,absolute_error,squared_error
792,DRIFT1,2,7,ATU1,0.11050949451845327,0.11050949451845327,0.012212348378724052
792,DRIFT1,2,7,ATU5,0.063604313893847575,0.063604313893847575,0.0040455087459070919
792,DRIFT1,2,7,MJ3,-0.1532881651714888,0.1532881651714888,0.023497261581641633
792,DRIFT1,2,7,MJ1,0.18505534092639664,0.18505534092639664,0.034245479205384892
792,DRIFT1,2,30,ATU1,0.33765788225662163,0.33765788225662163,0.11401284545002656
792,DRIFT1,2,30,ATU5,0.36432567149552142,0.36432567149552142,0.1327331949106626
792,DRIFT1,2,30,MJ3,-1.8668555484950957,1.8668555484950957,3.4851496389469245
792,DRIFT1,2,30,MJ1,2.0773582365505945,2.0773582365505945,4.3154172429645961
792,RR_COND,ensemble,1,ATU1,3.2607304121921743,3.2607304121921743,10.632362820994947
792,RR_COND,ensemble,1,ATU5,5.1976778916623516,5.1976778916623516,27.015855465475589
792,RR_COND,ensemble,1,MJ3,8.6978917209812607,8.6978917209812607,75.653320389914356
792,RR_COND,ensemble,1,MJ1,2.4712808130406074,2.4712808130406074,6.1072288569026458
792,RR_COND,ensemble,7,ATU1,6.6545927853780995,6.6545927853780995,44.283605139206252
792,RR_COND,ensemble,7,ATU5,9.3547553436147837,9.3547553436147837,87.511447538889342
792,RR_COND,ensemble,7,MJ3,8.8830955028249718,8.8830955028249718,78.909385712309245
792,RR_COND,ensemble,7,MJ1,2.0914239558613872,2.0914239558613872,4.3740541631508938
792,RR_COND,ensemble,30,ATU1,14.795902491144432,14.795902491144432,218.91873052745399
792,RR_COND,ensemble,30,ATU5,14.573579240470053,14.573579240470053,212.38921187825969
792,RR_COND,ensemble,30,MJ3,8.9711990581865848,8.9711990581865848,80.482412541607872
792,RR_COND,ensemble,30,MJ1,2.7908215120127124,2.7908215120127124,7.7886847119129223
792,RR_COND,0,1,ATU1,3.2607304121921743,3.2607304121921743,10.632362820994947
792,RR_COND,0,1,ATU5,5.1976778916623516,5.1976778916623516,27.015855465475589
792,RR_COND,0,1,MJ3,8.6978917209812607,8.6978917209812607,75.653320389914356
792,RR_COND,0,1,MJ1,2.4712808130406074,2.4712808130406074,6.1072288569026458
792,RR_COND,0,7,ATU1,6.6545927853780995,6.6545927853780995,44.283605139206252
792,RR_COND,0,7,ATU5,9.3547553436147837,9.3547553436147837,87.511447538889342
792,RR_COND,0,7,MJ3,8.8830955028249718,8.8830955028249718,78.909385712309245
792,RR_COND,0,7,MJ1,2.0914239558613872,2.0914239558613872,4.3740541631508938
792,RR_COND,0,30,ATU1,14.795902491144432,14.795902491144432,218.91873052745399
792,RR_COND,0,30,ATU5,14.573579240470053,14.573579240470053,212.38921187825969
792,RR_COND,0,30,MJ3,8.9711990581865848,8.9711990581865848,80.482412541607872
792,RR_COND,0,30,MJ1,2.7908215120127124,2.7908215120127124,7.7886847119129223
792,RR_COND,1,1,ATU1,3.2607304121921743,3.2607304121921743,10.632362820994947
792,RR_COND,1,1,ATU5,5.1976778916623516,5.1976778916623516,27.015855465475589
792,RR_COND,1,1,MJ3,8.6978917209812607,8.6978917209812607,75.653320389914356
792,RR_COND,1,1,MJ1,2.4712808130406074,2.4712808130406074,6.1072288569026458
792,RR_COND,1,7,ATU1,6.6545927853780995,6.6545927853780995,44.283605139206252
792,RR_COND,1,7,ATU5,9.3547553436147837,9.3547553436147837,87.511447538889342
792,RR_COND,1,7,MJ3,8.8830955028249718,8.8830955028249718,78.909385712309245
792,RR_COND,1,7,MJ1,2.0914239558613872,2.0914239558613872,4.3740541631508938
792,RR_COND,1,30,ATU1,14.795902491144432,14.795902491144432,218.91873052745399
792,RR_COND,1,30,ATU5,14.573579240470053,14.573579240470053,212.38921187825969
792,RR_COND,1,30,MJ3,8.9711990581865848,8.9711990581865848,80.482412541607872
792,RR_COND,1,30,MJ1,2.7908215120127124,2.7908215120127124,7.7886847119129223
792,RR_COND,2,1,ATU1,3.2607304121921743,3.2607304121921743,10.632362820994947
792,RR_COND,2,1,ATU5,5.1976778916623516,5.1976778916623516,27.015855465475589
792,RR_COND,2,1,MJ3,8.6978917209812607,8.6978917209812607,75.653320389914356
792,RR_COND,2,1,MJ1,2.4712808130406074,2.4712808130406074,6.1072288569026458
792,RR_COND,2,7,ATU1,6.6545927853780995,6.6545927853780995,44.283605139206252
792,RR_COND,2,7,ATU5,9.3547553436147837,9.3547553436147837,87.511447538889342
792,RR_COND,2,7,MJ3,8.8830955028249718,8.8830955028249718,78.909385712309245
792,RR_COND,2,7,MJ1,2.0914239558613872,2.0914239558613872,4.3740541631508938
792,RR_COND,2,30,ATU1,14.795902491144432,14.795902491144432,218.91873052745399
792,RR_COND,2,30,ATU5,14.573579240470053,14.573579240470053,212.38921187825969
792,RR_COND,2,30,MJ3,8.9711990581865848,8.9711990581865848,80.482412541607872
792,RR_COND,2,30,MJ1,2.7908215120127124,2.7908215120127124,7.7886847119129223
792,G_CACHED,ensemble,1,ATU1,-0.60502190573396319,0.60502190573396319,0.36605150641795664
792,G_CACHED,ensemble,1,ATU5,-0.56792516317216268,0.56792516317216268,0.32253899096412764
792,G_CACHED,ensemble,1,MJ3,-0.78584945759916991,0.78584945759916991,0.61755937000890959
792,G_CACHED,ensemble,1,MJ1,-0.31737898893243255,0.31737898893243255,0.10072942261577314
792,G_CACHED,ensemble,7,ATU1,-0.70718625199714324,0.70718625199714324,0.50011239501376703
792,G_CACHED,ensemble,7,ATU5,-0.63774187420995077,0.63774187420995077,0.40671469812082067
792,G_CACHED,ensemble,7,MJ3,-2.5833561318854663,2.5833561318854663,6.6737289041502388
792,G_CACHED,ensemble,7,MJ1,-0.99173133301883354,0.99173133301883354,0.98353103689131249
792,G_CACHED,ensemble,30,ATU1,6.5051040693087998,6.5051040693087998,42.316378952537903
792,G_CACHED,ensemble,30,ATU5,5.2697768239142988,5.2697768239142988,27.770547773864276
792,G_CACHED,ensemble,30,MJ3,1.1683645545604122,1.1683645545604122,1.3650757323531504
792,G_CACHED,ensemble,30,MJ1,5.4090559912268645,5.4090559912268645,29.257886716227237
792,G_CACHED,0,1,ATU1,-0.55240495465210415,0.55240495465210415,0.30515123392419324
792,G_CACHED,0,1,ATU5,-0.69757231979565404,0.69757231979565404,0.48660714134509025
792,G_CACHED,0,1,MJ3,-0.94174944172732467,0.94174944172732467,0.88689201099372772
792,G_CACHED,0,1,MJ1,-0.26077999871165503,0.26077999871165503,0.068006207728050799
792,G_CACHED,0,7,ATU1,-2.1723785792711965,2.1723785792711965,4.7192286916763422
792,G_CACHED,0,7,ATU5,-2.760426808156808,2.760426808156808,7.6199561631907828
792,G_CACHED,0,7,MJ3,-3.9656234922165368,3.9656234922165368,15.72616968201968
792,G_CACHED,0,7,MJ1,-2.1400822219469546,2.1400822219469546,4.5799519166934139
792,G_CACHED,0,30,ATU1,7.8386966504860993,7.8386966504860993,61.445165178341995
792,G_CACHED,0,30,ATU5,7.8433895087456449,7.8433895087456449,61.51875898590125
792,G_CACHED,0,30,MJ3,3.347317120779735,3.347317120779735,11.204531907065135
792,G_CACHED,0,30,MJ1,6.56352011462468,6.56352011462468,43.079796295082772
792,G_CACHED,1,1,ATU1,-0.92075724912177748,0.92075724912177748,0.84779391181030295
792,G_CACHED,1,1,ATU5,-0.73503382395915651,0.73503382395915651,0.5402747223640203
792,G_CACHED,1,1,MJ3,-0.78166569166751287,0.78166569166751287,0.6110012535300513
792,G_CACHED,1,1,MJ1,-0.32071883063156292,0.32071883063156292,0.10286056832167714
792,G_CACHED,1,7,ATU1,0.27833354955254208,0.27833354955254208,0.077469564806517399
