task,feature,feature_group,fold_count,mean_normalized_share,median_rank,rank_q25,rank_q75,rank_iqr,best_rank,worst_rank,top_k,top_k_folds,direction_valid_folds,direction_positive_folds,direction_negative_folds,direction_zero_folds,dominant_direction,direction_consistency,median_direction_spearman
classification,RH_lag5,raw_environment,5,8.670598065992563e-06,69.5,68.0,71.5,3.5,45.0,79.0,10,0,1,1,0,0,positive,1.0,0.1791004266340333
classification,Rainfall_lag4,raw_environment,5,7.078057103638317e-06,69.5,67.5,71.5,4.0,46.0,79.0,10,0,1,1,0,0,positive,1.0,0.20550481661766423
classification,Rain_cum7_lag5,cumulative_rainfall,5,0.0,69.5,68.0,71.5,3.5,67.5,79.0,10,0,0,0,0,0,not_applicable,,
classification,maxT_lag3,raw_environment,5,0.0,69.5,68.0,71.5,3.5,67.5,79.0,10,0,0,0,0,0,not_applicable,,
classification,RH_lag3,raw_environment,5,0.0,69.5,68.0,71.5,3.5,67.5,79.0,10,0,0,0,0,0,not_applicable,,
classification,station_ATU4,station_identity,5,0.0,69.5,68.0,71.5,3.5,67.5,79.0,10,0,0,0,0,0,not_applicable,,
classification,Rain_cum7_lag3,cumulative_rainfall,5,0.0,69.5,68.0,71.5,3.5,67.5,79.0,10,0,0,0,0,0,not_applicable,,
classification,RH_lag4,raw_environment,5,0.0,69.5,68.0,71.5,3.5,67.5,79.0,10,0,0,0,0,0,not_applicable,,
classification,Rain_cum7_lag4,cumulative_rainfall,5,0.0,69.5,68.0,71.5,3.5,67.5,79.0,10,0,0,0,0,0,not_applicable,,
regression,disp_rate_lag1,displacement_kinematics,5,0.7217018309466084,1.0,1.0,1.0,0.0,1.0,1.0,10,5,5,5,0,0,positive,1.0,0.9984604732866557
regression,disp_rate_lag2,displacement_kinematics,5,0.18469787777410307,2.0,2.0,2.0,0.0,2.0,2.0,10,5,5,5,0,0,positive,1.0,0.9654710833792469
regression,disp_accel_lag1,displacement_kinematics,5,0.017913223520972004,3.0,3.0,5.0,2.0,3.0,6.0,10,5,5,5,0,0,positive,1.0,0.9442274932428034
regression,disp_rate_lag4,displacement_kinematics,5,0.014691402486624075,4.0,4.0,8.0,4.0,3.0,8.0,10,5,5,4,1,0,positive,0.8,0.5572799329415637
regression,disp_accel_lag5,displacement_kinematics,5,0.008685716741408406,4.0,4.0,6.0,2.0,4.0,9.0,10,5,5,5,0,0,positive,1.0,0.49436201946709457
regression,disp_rate_lag3,displacement_kinematics,5,0.020190535485267662,5.0,5.0,9.0,4.0,3.0,11.0,10,4,5,4,1,0,positive,0.8,0.7140522197894229
regression,disp_accel_lag2,displacement_kinematics,5,0.004803037311332964,7.0,7.0,7.0,0.0,5.0,7.0,10,5,5,5,0,0,positive,1.0,0.862557116346218
regression,disp_rate_lag5,displacement_kinematics,5,0.00722344303231935,8.0,8.0,9.0,1.0,5.0,10.0,10,5,5,1,4,0,negative,0.8,-0.9232523746568575
regression,disp_accel_lag3,displacement_kinematics,5,0.0037868004642842568,8.0,6.0,9.0,3.0,6.0,11.0,10,4,5,5,0,0,positive,1.0,0.6187721421153662
regression,disp_accel_lag4,displacement_kinematics,5,0.00296434300128328,9.0,7.0,13.0,6.0,6.0,13.0,10,3,5,4,1,0,positive,0.8,0.6202864248147159
regression,GWT_lag3,raw_environment,5,0.0005542810945044051,15.0,12.0,24.0,12.0,12.0,27.0,10,0,5,4,1,0,positive,0.8,0.3338217501084407
regression,GWT_lag2,raw_environment,5,0.0006237036419444362,17.0,12.0,29.0,17.0,11.0,39.0,10,0,5,3,2,0,positive,0.6,0.07606523952505825
regression,Rain_cum30_lag3,cumulative_rainfall,5,0.0006380678397757335,18.0,14.0,23.0,9.0,10.0,31.0,10,1,5,4,1,0,positive,0.8,0.5171173910364821
regression,GWT_lag5,raw_environment,5,0.0007762643887253507,19.0,15.0,21.0,6.0,10.0,27.0,10,1,5,3,2,0,positive,0.6,0.15654270561381592
regression,disp_lag5,displacement_kinematics,5,0.0003665533122074612,19.0,18.0,26.0,8.0,17.0,37.0,10,0,5,3,2,0,positive,0.6,0.02173422800202743
regression,station_ATU3,station_identity,5,0.000344766997454456,20.0,18.0,49.0,31.0,16.0,80.0,10,0,0,0,0,0,not_applicable,,
regression,RWL_lag4,raw_environment,5,0.0003175386951437699,20.0,20.0,24.0,4.0,20.0,55.0,10,0,5,1,4,0,negative,0.8,-0.49246809806677
regression,disp_lag4,displacement_kinematics,5,0.0005118857847318987,21.0,12.0,35.0,23.0,10.0,48.0,10,1,5,4,1,0,positive,0.8,0.7096130614214023
regression,station_ATU4,station_identity,5,0.0003933679238515223,23.0,19.0,26.0,7.0,14.0,87.5,10,0,0,0,0,0,not_applicable,,
regression,Rain_cum30_lag4,cumulative_rainfall,5,0.0005025458634912801,25.0,15.0,43.0,28.0,10.0,68.0,10,1,5,1,4,0,negative,0.8,-0.11542730009126702
regression,Rain_cum15_lag4,cumulative_rainfall,5,0.00034214505892554237,25.0,21.0,34.0,13.0,11.0,71.0,10,0,5,4,1,0,positive,0.8,0.4988756704209406
regression,disp_lag3,displacement_kinematics,5,0.0002676706830570336,25.0,25.0,36.0,11.0,14.0,82.5,10,0,4,3,1,0,positive,0.75,0.11576378096146075
regression,Rain_cum15_lag5,cumulative_rainfall,5,0.0003517117674916517,26.0,22.0,28.0,6.0,14.0,63.0,10,0,5,4,1,0,positive,0.8,0.28474883217775976
regression,GWT_lag4,raw_environment,5,0.000311812153767981,31.0,29.0,41.0,12.0,13.0,49.0,10,0,5,4,1,0,positive,0.8,0.2420487456539863
regression,DP_lag3,raw_environment,5,0.00017547288406125351,31.0,30.0,65.0,35.0,19.0,67.0,10,0,5,5,0,0,positive,1.0,0.3507956748269858
regression,RWL_lag5,raw_environment,5,0.00041246316460831516,33.0,13.0,64.0,51.0,12.0,78.0,10,0,4,0,4,0,negative,1.0,-0.3024644421743442
regression,GWT_rate_lag4,environmental_rates,5,0.000173865798019564,33.0,31.0,43.0,12.0,26.0,78.5,10,0,4,3,1,0,positive,0.75,0.42742590152816295
regression,Rain_cum15_lag2,cumulative_rainfall,5,0.00019109160120571938,35.0,31.0,45.0,14.0,19.0,64.0,10,0,5,3,2,0,positive,0.6,0.28591281301649496
regression,minT_lag2,raw_environment,5,0.00016379215846536155,35.0,29.0,47.0,18.0,21.0,76.0,10,0,5,3,2,0,positive,0.6,0.03924146450078969
