task,fold,station,feature,feature_group,mean_abs_shap,normalized_share,explained_model,model_role,analysis_scope,feature_kinematics_definition,task_id,target_definition,target_unit,target_status,plot_target,plot_title_target,explanation_start,explanation_end,explanation_rows_per_station,explanation_sample_role,rank,direction_spearman,legacy_label_scheme,legacy_label_status,v0_estimation_method,v0_train_fraction,v0_fit_observation_start,v0_fit_observation_end,v0_monthly_rate_start,v0_monthly_rate_end,v0_month_window_days,v0_accel_percentile,v0_threshold_artifact
regression,1,ATU1,disp_delta_v_lag4,displacement_kinematics,0.0004092374961784829,0.0006824676654809817,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,11.0,0.5860869565217391,,,,,,,,,,,
regression,1,ATU1,GWT_lag3,raw_environment,0.0003992247100510476,0.0006657697752896811,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,12.0,0.6886956521739129,,,,,,,,,,,
regression,1,ATU1,minT_lag2,raw_environment,0.00022300080776839945,0.00037188879831211006,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,13.0,-0.2236241079666807,,,,,,,,,,,
regression,1,ATU1,disp_lag3,displacement_kinematics,0.0002131211311250025,0.00035541288904795645,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,14.0,0.4121739130434783,,,,,,,,,,,
regression,1,ATU1,GWT_rate_lag5,environmental_rates,0.0001987711232696888,0.0003314820018440663,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,15.0,0.5426086956521738,,,,,,,,,,,
regression,1,ATU1,disp_lag5,displacement_kinematics,0.0001949059935057295,0.0003250362921732206,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,16.0,-0.3947826086956522,,,,,,,,,,,
regression,1,ATU1,RWL_lag4,raw_environment,0.00018431535363549385,0.00030737474029763864,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,17.0,0.3660869565217391,,,,,,,,,,,
regression,1,ATU1,Rain_cum30_lag4,cumulative_rainfall,0.00017629301849960213,0.0002939962391020633,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,18.0,-0.20743640412096936,,,,,,,,,,,
regression,1,ATU1,GWT_rate_lag1,environmental_rates,0.00016931646809585543,0.00028236174785525235,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,19.0,0.7371167819392938,,,,,,,,,,,
regression,1,ATU1,maxT_lag4,raw_environment,0.00015144252884450874,0.0002525541527357296,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,20.0,-0.6104347826086955,,,,,,,,,,,
regression,1,ATU1,GWT_rate_lag4,environmental_rates,0.00013815932803684446,0.00023040233348657648,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,21.0,0.4669565217391304,,,,,,,,,,,
regression,1,ATU1,station_MJ1,station_identity,0.00013149148068793124,0.00021928265296734153,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,22.0,,,,,,,,,,,,
regression,1,ATU1,GWT_rate_lag3,environmental_rates,0.0001280716499006579,0.0002135795491327102,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,23.0,0.748858465191424,,,,,,,,,,,
regression,1,ATU1,station_ATU1,station_identity,0.00012314657182660896,0.00020536620952699188,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,24.0,,,,,,,,,,,,
regression,1,ATU1,aveT_lag1,raw_environment,0.00012227259598938194,0.00020390871783845173,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,25.0,-0.8320281654188729,,,,,,,,,,,
regression,1,ATU1,GWT_lag5,raw_environment,0.00012105114746817668,0.0002018717609892959,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,26.0,-0.4478260869565217,,,,,,,,,,,
regression,1,ATU1,Rainfall_lag1,raw_environment,0.00011858318027475716,0.00019775603888488226,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,27.0,-0.7649369710869979,,,,,,,,,,,
regression,1,ATU1,RWL_rate_lag1,environmental_rates,0.00011473567244088443,0.00019133971654437584,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,28.0,-0.15090237364774922,,,,,,,,,,,
regression,1,ATU1,RH_lag2,raw_environment,0.00010969339709114654,0.000182930932112885,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,29.0,-0.5130434782608695,,,,,,,,,,,
regression,1,ATU1,Rain_cum30_lag1,cumulative_rainfall,0.00010591992355282987,0.0001766380735637601,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,30.0,-0.7912136459668512,,,,,,,,,,,
regression,1,ATU1,GWT_lag1,raw_environment,0.00010437794601304521,0.00017406658433897514,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,31.0,-0.25440313712949075,,,,,,,,,,,
regression,1,ATU1,Rain_cum30_lag5,cumulative_rainfall,0.00010371768484136936,0.00017296549535116443,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,32.0,-0.3182608695652174,,,,,,,,,,,
regression,1,ATU1,Rain_cum30_lag3,cumulative_rainfall,0.00010031513152456192,0.00016729120440646717,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,33.0,0.8321739130434782,,,,,,,,,,,
regression,1,ATU1,station_MJ9,station_identity,9.622357767295955e-05,0.0001604678970815808,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,34.0,,,,,,,,,,,,
regression,1,ATU1,Rain_cum15_lag1,cumulative_rainfall,9.578732940700482e-05,0.0001597403847240465,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,35.0,-0.8172326854898762,,,,,,,,,,,
regression,1,ATU1,RH_lag3,raw_environment,9.42813009107087e-05,0.00015722884616364347,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,36.0,-0.5382608695652172,,,,,,,,,,,
regression,1,ATU1,Rain_cum7_lag4,cumulative_rainfall,8.017656572951541e-05,0.00013370698958592117,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,37.0,0.04793039697565003,,,,,,,,,,,
regression,1,ATU1,disp_lag1,displacement_kinematics,7.966968848228488e-05,0.00013286169233228933,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,38.0,0.10869565217391304,,,,,,,,,,,
regression,1,ATU1,maxT_lag1,raw_environment,7.966735805049405e-05,0.0001328578059720249,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,39.0,-0.7460869565217391,,,,,,,,,,,
regression,1,ATU1,GWT_lag2,raw_environment,7.634569353151472e-05,0.00012731840977556753,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,40.0,-0.31304347826086953,,,,,,,,,,,
regression,1,ATU1,disp_lag2,displacement_kinematics,6.345666852725373e-05,0.00010582394045854385,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,41.0,-0.7460869565217391,,,,,,,,,,,
regression,1,ATU1,minT_lag5,raw_environment,6.174139841687335e-05,0.0001029634587118027,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,42.0,0.4131332996119935,,,,,,,,,,,
regression,1,ATU1,DP_lag5,raw_environment,6.1207506531965e-05,0.0001020731103157854,NGBoost,independent_exploratory_explainer,"exploratory independent NGBoost model-dependence analysis; not ConvLSTM explanation, causal inference, or formal five-level warning output","lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is a velocity increment, not acceleration",target_date_displacement_increment_regression,target-observation displacement increment U_t - U_(t-1),mm per observation interval,exploratory prediction target; not a warning level,target-date displacement increment,target-date displacement increment,2017-04-03,2017-11-25,24,deterministic_evenly_spaced_holdout_dates_per_station,43.0,0.053489890370815994,,,,,,,,,,,
