candidate,window,station,days,start,end,observed_mm_day,predicted_mm_day,background_mm_day,other_state_mm_day
A_continued,prediction_first30,MJ3,30,2017-09-05,2017-10-05,0.9915604849144302,0.6635300756373756,0.35821183104959714,0.30531824458777945
A_continued,prediction_first30,MJ1,30,2017-09-05,2017-10-05,0.5238427348921353,0.5614809224422136,0.3742048435875077,0.18727607885470643
A_continued,prediction_first90,ATU1,90,2017-09-05,2017-12-04,2.165997685684675,1.842372714540676,0.21437456857492362,1.6279981459657524
A_continued,prediction_first90,ATU5,90,2017-09-05,2017-12-04,2.4595780218060246,2.795476346210919,0.2397973444271511,2.555679001783768
A_continued,prediction_first90,MJ3,90,2017-09-05,2017-12-04,0.4315855703304881,0.4760159319011437,0.3305869966972327,0.14542893520391306
A_continued,prediction_first90,MJ1,90,2017-09-05,2017-12-04,0.24435843134172047,0.3972193831188191,0.34535776754231606,0.051861615576503164
A_continued,prediction_all,ATU1,180,2017-09-05,2018-03-04,1.1439147187543448,0.9889231807501366,0.17407981276328482,0.814843367986852
A_continued,prediction_all,ATU5,180,2017-09-05,2018-03-04,1.320457305277271,1.4726000206485708,0.19347903016589513,1.2791209904826757
A_continued,prediction_all,MJ3,180,2017-09-05,2018-03-04,0.29217712047914374,0.40148317971273983,0.3194470794604224,0.08203610025231814
A_continued,prediction_all,MJ1,180,2017-09-05,2018-03-04,0.18518592387882918,0.36452409880015907,0.3337165576116638,0.030807541188495494
B_continued,train_last30,ATU1,30,2017-08-06,2017-09-05,1.3496308508502968,1.4466486952046003,0.26471492457662343,1.1819337706279769
B_continued,train_last30,ATU5,30,2017-08-06,2017-09-05,1.6358779095725093,1.5730483678533507,0.09381138383376993,1.4792369840195814
B_continued,train_last30,MJ3,30,2017-08-06,2017-09-05,1.0769814698892028,0.8360615308934333,0.34902823022137286,0.4870333006720609
B_continued,train_last30,MJ1,30,2017-08-06,2017-09-05,0.5728518285375533,0.6042106600944369,0.3699791956905827,0.2342314644038524
B_continued,train_last90,ATU1,90,2017-06-07,2017-09-05,1.1849162154353152,1.3497266436598931,0.2485270620635976,1.1011995815962956
B_continued,train_last90,ATU5,90,2017-06-07,2017-09-05,1.492247577995163,1.5485985391890782,0.08832100462292373,1.4602775345661545
B_continued,train_last90,MJ3,90,2017-06-07,2017-09-05,1.0700756138620338,1.1375505835788167,0.3369741038845869,0.800576479694228
B_continued,train_last90,MJ1,90,2017-06-07,2017-09-05,0.6327634129178124,0.7499086103407712,0.3576077727894969,0.39230083755127415
B_continued,prediction_first30,ATU1,30,2017-09-05,2017-10-05,6.166904699768236,4.322647912277243,0.35634425370543615,3.9663036585718063
B_continued,prediction_first30,ATU5,30,2017-09-05,2017-10-05,5.398533944035078,2.0621327727572862,0.12737853503694982,1.9347542377203364
B_continued,prediction_first30,MJ3,30,2017-09-05,2017-10-05,0.9915604849144302,0.6992541932455879,0.38218255380155597,0.31707163944403144
B_continued,prediction_first30,MJ1,30,2017-09-05,2017-10-05,0.5238427348921353,0.5565600707387262,0.4042208883205253,0.15233918241820063
B_continued,prediction_first90,ATU1,90,2017-09-05,2017-12-04,2.165997685684675,1.541664141939353,0.21993588087793053,1.3217282610614225
B_continued,prediction_first90,ATU5,90,2017-09-05,2017-12-04,2.4595780218060246,0.7213546924442925,0.0802132155994182,0.6411414768448742
B_continued,prediction_first90,MJ3,90,2017-09-05,2017-12-04,0.4315855703304881,0.5458427939103937,0.3283186558359955,0.21752413807439805
B_continued,prediction_first90,MJ1,90,2017-09-05,2017-12-04,0.24435843134172047,0.45135491660997534,0.34811639953353063,0.10323851707644509
B_continued,prediction_all,ATU1,180,2017-09-05,2018-03-04,1.1439147187543448,0.8403945909913925,0.17848617958366925,0.6619084114077232
B_continued,prediction_all,ATU5,180,2017-09-05,2018-03-04,1.320457305277271,0.42709804483124697,0.06647961001208781,0.3606184348191592
B_continued,prediction_all,MJ3,180,2017-09-05,2018-03-04,0.29217712047914374,0.4456225553307465,0.30731073524978436,0.13831182008096288
B_continued,prediction_all,MJ1,180,2017-09-05,2018-03-04,0.18518592387882918,0.3917927269736241,0.32604087616500094,0.06575185080862309
