candidate,window,station,days,start,end,observed_mm_day,predicted_mm_day,background_mm_day,other_state_mm_day,fit_days
A_continued,prediction_first30,MJ3,30,2018-03-04,2018-04-03,-0.0059481800878984,0.4002842653001986,0.3976098904821394,0.0026743748180531,612
A_continued,prediction_first30,MJ1,30,2018-03-04,2018-04-03,0.5738310163987194,0.2412022360725131,0.23750599445568,0.0036962416168345,612
A_continued,prediction_first90,ATU1,90,2018-03-04,2018-06-02,0.2916803148515081,0.3865039169197309,0.2978633584851924,0.0886405584345387,612
A_continued,prediction_first90,ATU5,90,2018-03-04,2018-06-02,0.4812137341308742,0.386357175716515,0.2663475091616356,0.12000966655488,612
A_continued,prediction_first90,MJ3,90,2018-03-04,2018-06-02,0.000145909830356,0.7694304593277467,0.5227881789691423,0.2466422803586027,612
A_continued,prediction_first90,MJ1,90,2018-03-04,2018-06-02,0.56213774326891,0.8053830584083824,0.3061755661022404,0.4992074923061412,612
A_continued,prediction_all,ATU1,180,2018-03-04,2018-08-31,0.2088918655024024,0.3224357031481598,0.3089460758507207,0.0134896272974392,612
A_continued,prediction_all,ATU5,180,2018-03-04,2018-08-31,0.3841318552735399,0.9014881259944436,0.271886787770576,0.6296013382238679,612
A_continued,prediction_all,MJ3,180,2018-03-04,2018-08-31,0.0191414010140508,1.1765707423029816,0.5412282056079497,0.6353425366950319,612
A_continued,prediction_all,MJ1,180,2018-03-04,2018-08-31,0.3766782808477621,0.9633414475326364,0.3162859853265237,0.6470554622061123,612
B_continued,train_last30,ATU1,30,2018-02-02,2018-03-04,0.0812790529529801,0.0451862229053233,0.0410787690463635,0.0041074538589593,612
B_continued,train_last30,ATU5,30,2018-02-02,2018-03-04,0.1436549175029692,0.2732888887996504,0.2711982457649464,0.0020906430347035,612
B_continued,train_last30,MJ3,30,2018-02-02,2018-03-04,0.1489793833633636,0.1973424683509241,0.1879724387297538,0.0093700296211665,612
B_continued,train_last30,MJ1,30,2018-02-02,2018-03-04,0.1525834964413093,0.1427150615658206,0.1353951315085453,0.0073199300572757,612
B_continued,train_last90,ATU1,90,2017-12-04,2018-03-04,0.1218317518240142,0.0456568273004146,0.0410787675771421,0.0045780597232723,612
B_continued,train_last90,ATU5,90,2017-12-04,2018-03-04,0.1813365887485177,0.2686322684844532,0.2674118064509263,0.0012204620335264,612
B_continued,train_last90,MJ3,90,2017-12-04,2018-03-04,0.1527686706277993,0.1916609559547421,0.1765219066784502,0.0151390492762911,612
B_continued,train_last90,MJ1,90,2017-12-04,2018-03-04,0.1260134164159378,0.1377059569093628,0.1291266644863022,0.0085792924230598,612
B_continued,prediction_first30,ATU1,30,2018-03-04,2018-04-03,0.0968507320783146,0.0434365599481073,0.0410787772222481,0.0023577827258596,612
B_continued,prediction_first30,ATU5,30,2018-03-04,2018-04-03,0.1397960890381834,0.31660427057465,0.3155150288453797,0.0010892417292723,612
B_continued,prediction_first30,MJ3,30,2018-03-04,2018-04-03,-0.0059481800878984,0.37772685461811,0.3040948575983189,0.073631997019793,612
B_continued,prediction_first30,MJ1,30,2018-03-04,2018-04-03,0.5738310163987194,0.4579745159986828,0.1991747052498776,0.2587998107488042,612
B_continued,prediction_first90,ATU1,90,2018-03-04,2018-06-02,0.2916803148515081,0.3948598620039478,0.0410787918577917,0.3537810701461562,612
B_continued,prediction_first90,ATU5,90,2018-03-04,2018-06-02,0.4812137341308742,0.4443023174621809,0.3330425861841468,0.111259731278035,612
B_continued,prediction_first90,MJ3,90,2018-03-04,2018-06-02,0.000145909830356,0.5535451807093498,0.4246322718595195,0.128912908849831,612
B_continued,prediction_first90,MJ1,90,2018-03-04,2018-06-02,0.56213774326891,0.6726996058059689,0.2653844424210206,0.4073151633849485,612
B_continued,prediction_all,ATU1,180,2018-03-04,2018-08-31,0.2088918655024024,0.1995947965741505,0.0410787929723105,0.1585160036018401,612
B_continued,prediction_all,ATU5,180,2018-03-04,2018-08-31,0.3841318552735399,0.3969254773782034,0.3396533802563277,0.057272097121876,612
B_continued,prediction_all,MJ3,180,2018-03-04,2018-08-31,0.0191414010140508,0.5987127269425767,0.4402977510659832,0.1584149758765927,612
B_continued,prediction_all,MJ1,180,2018-03-04,2018-08-31,0.3766782808477621,0.5449185240496977,0.2739798896211003,0.2709386344285971,612
A_baseline,train_last30,ATU1,30,2018-08-01,2018-08-31,0.0556527172922111,0.1129506121381155,0.2247367494818746,-0.1117861373437601,792
A_baseline,train_last30,ATU5,30,2018-08-01,2018-08-31,0.1450320057680907,0.2893400355204524,0.3206194600938696,-0.0312794245734172,792
A_baseline,train_last30,MJ3,30,2018-08-01,2018-08-31,0.0364007959495362,0.25871823925645,0.3039771789985631,-0.0452589397421206,792
A_baseline,train_last30,MJ1,30,2018-08-01,2018-08-31,0.1925147590557155,0.2076475919870025,0.1720335972223381,0.0356139947646643,792
A_baseline,train_last90,ATU1,90,2018-06-02,2018-08-31,0.1261034161532968,0.1468426480671945,0.2377191532875467,-0.0908765052203522,792
A_baseline,train_last90,ATU5,90,2018-06-02,2018-08-31,0.2870499764162054,0.3925816442207936,0.3347831841638771,0.0577984600569165,792
A_baseline,train_last90,MJ3,90,2018-06-02,2018-08-31,0.0381368921977456,0.2750700642939642,0.3086557901142583,-0.0335857258202955,792
A_baseline,train_last90,MJ1,90,2018-06-02,2018-08-31,0.1912188184266142,0.2844913633948699,0.1747059705036019,0.1097853928912677,792
B_baseline,train_last30,ATU1,30,2018-08-01,2018-08-31,0.0556527172922111,0.1568991294766685,0.2296913017282757,-0.0727921722516062,792
