horizon,substep,coordinate,mask,beta,x,gap,delta_plastic_mm,original_x_tolerance_allows,frozen_plastic_gate_pass
1,20,3,15,0.030303030303030297,0,116.84933990910325,0,True,True
1,21,0,15,0.0012848438919450848,0,1298.1198517442326,0,True,True
1,21,1,15,0.0020616428621014738,0,3.9139533211517272,0,True,True
1,21,2,15,0.00028605975644925379,0,670.94886186509541,0,True,True
1,21,3,15,0.030303030303030297,0,116.17679469641173,0,True,True
1,22,0,15,0.0012848438919450848,0,1298.2129037085228,0,True,True
1,22,1,15,0.0020616428621014738,0,3.7971753529651924,0,True,True
1,22,2,15,0.00028605975644925379,0,670.93838269623564,0,True,True
1,22,3,15,0.030303030303030297,0,115.50427296335452,0,True,True
1,23,0,15,0.0012848438919450848,0,1298.305577072028,0,True,True
1,23,1,15,0.0020616428621014738,0,3.6807407592370334,0,True,True
1,23,2,15,0.00028605975644925379,0,670.92791946586556,0,True,True
1,23,3,15,0.030303030303030297,0,114.83177521475885,0,True,True
1,24,0,15,0.0012848438919450848,0,1298.3978721024912,0,True,True
1,24,1,15,0.0020616428621014738,0,3.5646493153532948,0,True,True
1,24,2,15,0.00028605975644925379,0,670.91747168228142,0,True,True
1,24,3,15,0.030303030303030297,0,114.15930194008205,0,True,True
1,25,0,15,0.0012848438919450848,0,1298.489789067859,0,True,True
1,25,1,15,0.0020616428621014738,0,3.4489007964610954,0,True,True
1,25,2,15,0.00028605975644925379,0,670.90703886868334,0,True,True
1,25,3,15,0.030303030303030297,0,113.48685361387197,0,True,True
1,26,0,15,0.0012848438919450848,0,1298.581328236269,0,True,True
1,26,1,15,0.0020616428621014738,0,3.3334949774796363,0,True,True
1,26,2,15,0.00028605975644925379,0,670.89662056272402,0,True,True
1,26,3,15,0.030303030303030297,0,112.81443069622055,0,True,True
1,27,0,15,0.0012848438919450848,0,1298.6724898760542,0,True,True
1,27,1,15,0.0020616428621014738,0,3.2184316330961242,0,True,True
1,27,2,15,0.00028605975644925379,0,670.88621631607066,0,True,True
1,27,3,15,0.030303030303030297,0,112.14203363320193,0,True,True
1,28,0,15,0.0012848438919450848,0,1298.7632742557482,0,True,True
1,28,1,15,0.0020616428621014738,0,3.1037105377618333,0,True,True
1,28,2,15,0.00028605975644925379,0,670.87582569398023,0,True,True
1,28,3,15,0.030303030303030297,0,111.46966285729891,0,True,True
1,29,0,15,0.0012848438919450848,0,1298.8536816440696,0,True,True
1,29,1,15,0.0020616428621014738,0,2.9893314657065289,0,True,True
1,29,2,15,0.00028605975644925379,0,670.8654482748874,0,True,True
1,29,3,15,0.030303030303030297,0,110.79731878781323,0,True,True
1,30,0,15,0.0012848438919450848,0,1298.9437123099294,0,True,True
1,30,1,15,0.0020616428621014738,0,2.8752941909291518,0,True,True
1,30,2,15,0.00028605975644925379,0,670.85508365000589,0,True,True
1,30,3,15,0.030303030303030297,0,110.12500183126119,0,True,True
1,31,0,15,0.0012848438919450848,0,1299.0333665224364,0,True,True
1,31,1,15,0.0020616428621014738,0,2.7615984871971255,0,True,True
1,31,2,15,0.00028605975644925379,0,670.84473142294041,0,True,True
1,31,3,15,0.030303030303030297,0,109.45271238177018,0,True,True
1,32,0,15,0.0012848438919450848,0,1299.1226445508805,0,True,True
1,32,1,15,0.0020616428621014738,0,2.6482441280582729,0,True,True
1,32,2,15,0.00028605975644925379,0,670.83439120931234,0,True,True
1,32,3,15,0.030303030303030297,0,108.78045082144514,0,True,True
1,33,0,15,0.0012848438919450848,0,1299.2115466647399,0,True,True
1,33,1,15,0.0020616428621014738,0,2.535230886835441,0,True,True
1,33,2,15,0.00028605975644925379,0,670.82406263639393,0,True,True
1,33,3,15,0.030303030303030297,0,108.10821752073826,0,True,True
1,34,0,15,0.0012848438919450848,0,1299.3000731336815,0,True,True
1,34,1,15,0.0020616428621014738,0,2.4225585366265761,0,True,True
1,34,2,15,0.00028605975644925379,0,670.81374534275653,0,True,True
1,34,3,15,0.030303030303030297,0,107.43601283880027,0,True,True
1,35,0,15,0.0012848438919450848,0,1299.3882242275542,0,True,True
1,35,1,15,0.0020616428621014738,0,2.3102268503104577,0,True,True
1,35,2,15,0.00028605975644925379,0,670.80343897792818,0,True,True
1,35,3,15,0.030303030303030297,0,106.76383712382292,0,True,True
1,36,0,15,0.0012848438919450848,0,1299.4760002163937,0,True,True
1,36,1,15,0.0020616428621014738,0,2.1982356005422576,0,True,True
1,36,2,15,0.00028605975644925379,0,670.79314320206049,0,True,True
1,36,3,15,0.030303030303030297,0,106.09169071336933,0,True,True
1,37,0,15,0.0012848438919450848,0,1299.5634013704148,0,True,True
1,37,1,15,0.0020616428621014738,0,2.086584559760932,0,True,True
1,37,2,15,0.00028605975644925379,0,670.78285768560784,0,True,True
1,37,3,15,0.030303030303030297,0,105.41957393470136,0,True,True
1,38,0,15,0.0012848438919450848,0,1299.6504279600092,0,True,True
1,38,1,15,0.0020616428621014738,0,1.9752735001908537,0,True,True
1,38,2,15,0.00028605975644925379,0,670.77258210901493,0,True,True
1,38,3,15,0.030303030303030297,0,104.74748710508652,0,True,True
1,39,0,15,0.0012848438919450848,0,1299.7370802557555,0,True,True
1,39,1,15,0.0020616428621014738,0,1.8643021938340256,0,True,True
1,39,2,15,0.00028605975644925379,0,670.76231616241364,0,True,True
1,39,3,15,0.030303030303030297,0,104.07543053210253,0,True,True
1,40,0,15,0.0012848438919450848,0,1299.8233585284061,0,True,True
1,40,1,15,0.0020616428621014738,0,1.753670412479772,0,True,True
1,40,2,15,0.00028605975644925379,0,670.75205954532976,0,True,True
1,40,3,15,0.030303030303030297,0,103.40340451393281,0,True,True
1,41,0,15,0.0012848438919450848,0,1299.9092630488913,0,True,True
1,41,1,15,0.0020616428621014738,0,1.6433779277033513,0,True,True
1,41,2,15,0.00028605975644925379,0,670.74181196639825,0,True,True
1,41,3,15,0.030303030303030297,0,102.73140933964756,0,True,True
1,42,0,15,0.0012848438919450848,0,1299.9947940883155,0,True,True
1,42,1,15,0.0020616428621014738,0,1.5334245108680662,0,True,True
1,42,2,15,0.00028605975644925379,0,670.7315731430873,0,True,True
1,42,3,15,0.030303030303030297,0,102.05944528948166,0,True,True
1,43,0,15,0.0012848438919450848,0,1300.0799519179586,0,True,True
1,43,1,15,0.0020616428621014738,0,1.4238099331252148,0,True,True
1,43,2,15,0.00028605975644925379,0,670.72134280143041,0,True,True
1,43,3,15,0.030303030303030297,0,101.38751263510427,0,True,True
1,44,0,15,0.0012848438919450848,0,1300.1647368092722,0,True,True
1,44,1,15,0.0020616428621014738,0,1.3145339654156918,0,True,True
1,44,2,15,0.00028605975644925379,0,670.71112067576769,0,True,True
1,44,3,15,0.030303030303030297,0,100.71561163987664,0,True,True
1,45,0,15,0.0012848438919450848,0,1300.249149033878,0,True,True
1,45,1,15,0.0020616428621014738,0,1.2055963784739419,0,True,True
1,45,2,15,0.00028605975644925379,0,670.70090650849272,0,True,True
1,45,3,15,0.030303030303030297,0,100.04374255910199,0,True,True
