origin,seed,point,metric,factor,effect,TiDE_KIN,TiDE_CAL,TiDE_HCAL
792,ensemble,ATU1,rmse,TiDE_CAL__minus__TiDE_KIN,33.422453660708094,33.15148037852574,66.573934039233833,66.826327890870104
792,ensemble,ATU1,rmse,TiDE_HCAL__minus__TiDE_KIN,33.674847512344364,33.15148037852574,66.573934039233833,66.826327890870104
792,ensemble,ATU1,rmse,TiDE_HCAL__minus__TiDE_CAL,0.25239385163627048,33.15148037852574,66.573934039233833,66.826327890870104
792,ensemble,ATU1,crps,TiDE_CAL__minus__TiDE_KIN,18.714997345906152,21.346359261274511,40.061356607180663,40.256672683080318
792,ensemble,ATU1,crps,TiDE_HCAL__minus__TiDE_KIN,18.910313421805807,21.346359261274511,40.061356607180663,40.256672683080318
792,ensemble,ATU1,crps,TiDE_HCAL__minus__TiDE_CAL,0.19531607589965461,21.346359261274511,40.061356607180663,40.256672683080318
792,ensemble,ATU1,interval_score90,TiDE_CAL__minus__TiDE_KIN,0,203.58598966633872,203.58598966633872,203.58598966633872
792,ensemble,ATU1,interval_score90,TiDE_HCAL__minus__TiDE_KIN,0,203.58598966633872,203.58598966633872,203.58598966633872
792,ensemble,ATU1,interval_score90,TiDE_HCAL__minus__TiDE_CAL,0,203.58598966633872,203.58598966633872,203.58598966633872
792,ensemble,ATU1,coverage90,TiDE_CAL__minus__TiDE_KIN,0,1,1,1
792,ensemble,ATU1,coverage90,TiDE_HCAL__minus__TiDE_KIN,0,1,1,1
792,ensemble,ATU1,coverage90,TiDE_HCAL__minus__TiDE_CAL,0,1,1,1
792,ensemble,ATU1,width90,TiDE_CAL__minus__TiDE_KIN,0,203.58598966633872,203.58598966633872,203.58598966633872
792,ensemble,ATU1,width90,TiDE_HCAL__minus__TiDE_KIN,0,203.58598966633872,203.58598966633872,203.58598966633872
792,ensemble,ATU1,width90,TiDE_HCAL__minus__TiDE_CAL,0,203.58598966633872,203.58598966633872,203.58598966633872
792,ensemble,ATU5,mae,TiDE_CAL__minus__TiDE_KIN,30.30832800275347,40.644592502710168,70.952920505463638,70.333794053319522
792,ensemble,ATU5,mae,TiDE_HCAL__minus__TiDE_KIN,29.689201550609354,40.644592502710168,70.952920505463638,70.333794053319522
792,ensemble,ATU5,mae,TiDE_HCAL__minus__TiDE_CAL,-0.61912645214411555,40.644592502710168,70.952920505463638,70.333794053319522
792,ensemble,ATU5,rmse,TiDE_CAL__minus__TiDE_KIN,33.557625592732713,42.805907220118193,76.363532812850906,76.29978476481466
792,ensemble,ATU5,rmse,TiDE_HCAL__minus__TiDE_KIN,33.493877544696467,42.805907220118193,76.363532812850906,76.29978476481466
792,ensemble,ATU5,rmse,TiDE_HCAL__minus__TiDE_CAL,-0.063748048036245564,42.805907220118193,76.363532812850906,76.29978476481466
792,ensemble,ATU5,crps,TiDE_CAL__minus__TiDE_KIN,15.837322548010558,29.29590809160705,45.133230639617608,45.090992310483188
792,ensemble,ATU5,crps,TiDE_HCAL__minus__TiDE_KIN,15.795084218876138,29.29590809160705,45.133230639617608,45.090992310483188
792,ensemble,ATU5,crps,TiDE_HCAL__minus__TiDE_CAL,-0.042238329134420383,29.29590809160705,45.133230639617608,45.090992310483188
792,ensemble,ATU5,interval_score90,TiDE_CAL__minus__TiDE_KIN,0,303.23100634932035,303.23100634932035,303.23100634932035
792,ensemble,ATU5,interval_score90,TiDE_HCAL__minus__TiDE_KIN,0,303.23100634932035,303.23100634932035,303.23100634932035
792,ensemble,ATU5,interval_score90,TiDE_HCAL__minus__TiDE_CAL,0,303.23100634932035,303.23100634932035,303.23100634932035
792,ensemble,ATU5,coverage90,TiDE_CAL__minus__TiDE_KIN,0,1,1,1
792,ensemble,ATU5,coverage90,TiDE_HCAL__minus__TiDE_KIN,0,1,1,1
792,ensemble,ATU5,coverage90,TiDE_HCAL__minus__TiDE_CAL,0,1,1,1
792,ensemble,ATU5,width90,TiDE_CAL__minus__TiDE_KIN,0,303.23100634932035,303.23100634932035,303.23100634932035
792,ensemble,ATU5,width90,TiDE_HCAL__minus__TiDE_KIN,0,303.23100634932035,303.23100634932035,303.23100634932035
792,ensemble,ATU5,width90,TiDE_HCAL__minus__TiDE_CAL,0,303.23100634932035,303.23100634932035,303.23100634932035
792,ensemble,MJ3,mae,TiDE_CAL__minus__TiDE_KIN,1.2007234503971436,5.9082111486301834,7.1089345990273269,7.9815716978465066
792,ensemble,MJ3,mae,TiDE_HCAL__minus__TiDE_KIN,2.0733605492163232,5.9082111486301834,7.1089345990273269,7.9815716978465066
792,ensemble,MJ3,mae,TiDE_HCAL__minus__TiDE_CAL,0.87263709881917961,5.9082111486301834,7.1089345990273269,7.9815716978465066
792,ensemble,MJ3,rmse,TiDE_CAL__minus__TiDE_KIN,0.87237355553996654,7.5636413205133364,8.4360148760533029,9.0708221611005779
792,ensemble,MJ3,rmse,TiDE_HCAL__minus__TiDE_KIN,1.5071808405872416,7.5636413205133364,8.4360148760533029,9.0708221611005779
792,ensemble,MJ3,rmse,TiDE_HCAL__minus__TiDE_CAL,0.63480728504727502,7.5636413205133364,8.4360148760533029,9.0708221611005779
792,ensemble,MJ3,crps,TiDE_CAL__minus__TiDE_KIN,0.14778101864498794,9.3981484709476408,9.5459294895926288,9.6626008609351519
792,ensemble,MJ3,crps,TiDE_HCAL__minus__TiDE_KIN,0.26445238998751108,9.3981484709476408,9.5459294895926288,9.6626008609351519
792,ensemble,MJ3,crps,TiDE_HCAL__minus__TiDE_CAL,0.11667137134252314,9.3981484709476408,9.5459294895926288,9.6626008609351519
792,ensemble,MJ3,interval_score90,TiDE_CAL__minus__TiDE_KIN,0,123.8417148585545,123.8417148585545,123.8417148585545
792,ensemble,MJ3,interval_score90,TiDE_HCAL__minus__TiDE_KIN,0,123.8417148585545,123.8417148585545,123.8417148585545
792,ensemble,MJ3,interval_score90,TiDE_HCAL__minus__TiDE_CAL,0,123.8417148585545,123.8417148585545,123.8417148585545
792,ensemble,MJ3,coverage90,TiDE_CAL__minus__TiDE_KIN,0,1,1,1
792,ensemble,MJ3,coverage90,TiDE_HCAL__minus__TiDE_KIN,0,1,1,1
792,ensemble,MJ3,coverage90,TiDE_HCAL__minus__TiDE_CAL,0,1,1,1
792,ensemble,MJ3,width90,TiDE_CAL__minus__TiDE_KIN,0,123.8417148585545,123.8417148585545,123.8417148585545
792,ensemble,MJ3,width90,TiDE_HCAL__minus__TiDE_KIN,0,123.8417148585545,123.8417148585545,123.8417148585545
792,ensemble,MJ3,width90,TiDE_HCAL__minus__TiDE_CAL,0,123.8417148585545,123.8417148585545,123.8417148585545
792,ensemble,MJ1,mae,TiDE_CAL__minus__TiDE_KIN,10.541413700167983,7.3228867286724961,17.86430042884048,17.552849024619455
792,ensemble,MJ1,mae,TiDE_HCAL__minus__TiDE_KIN,10.229962295946958,7.3228867286724961,17.86430042884048,17.552849024619455
792,ensemble,MJ1,mae,TiDE_HCAL__minus__TiDE_CAL,-0.31145140422102457,7.3228867286724961,17.86430042884048,17.552849024619455
792,ensemble,MJ1,rmse,TiDE_CAL__minus__TiDE_KIN,10.928310992538943,8.107467402728556,19.035778395267499,18.999476744357651
792,ensemble,MJ1,rmse,TiDE_HCAL__minus__TiDE_KIN,10.892009341629095,8.107467402728556,19.035778395267499,18.999476744357651
792,ensemble,MJ1,rmse,TiDE_HCAL__minus__TiDE_CAL,-0.036301650909848604,8.107467402728556,19.035778395267499,18.999476744357651
792,ensemble,MJ1,crps,TiDE_CAL__minus__TiDE_KIN,1.3483709522848244,20.688803627618487,22.037174579903311,22.030812291689692
792,ensemble,MJ1,crps,TiDE_HCAL__minus__TiDE_KIN,1.342008664071205,20.688803627618487,22.037174579903311,22.030812291689692
792,ensemble,MJ1,crps,TiDE_HCAL__minus__TiDE_CAL,-0.0063622882136193937,20.688803627618487,22.037174579903311,22.030812291689692
792,ensemble,MJ1,interval_score90,TiDE_CAL__minus__TiDE_KIN,0,287.00862975206047,287.00862975206047,287.00862975206041
792,ensemble,MJ1,interval_score90,TiDE_HCAL__minus__TiDE_KIN,-5.6843418860808015e-14,287.00862975206047,287.00862975206047,287.00862975206041
792,ensemble,MJ1,interval_score90,TiDE_HCAL__minus__TiDE_CAL,-5.6843418860808015e-14,287.00862975206047,287.00862975206047,287.00862975206041
792,ensemble,MJ1,coverage90,TiDE_CAL__minus__TiDE_KIN,0,1,1,1
792,ensemble,MJ1,coverage90,TiDE_HCAL__minus__TiDE_KIN,0,1,1,1
792,ensemble,MJ1,coverage90,TiDE_HCAL__minus__TiDE_CAL,0,1,1,1
792,ensemble,MJ1,width90,TiDE_CAL__minus__TiDE_KIN,0,287.00862975206047,287.00862975206047,287.00862975206041
792,ensemble,MJ1,width90,TiDE_HCAL__minus__TiDE_KIN,-5.6843418860808015e-14,287.00862975206047,287.00862975206047,287.00862975206041
792,ensemble,MJ1,width90,TiDE_HCAL__minus__TiDE_CAL,-5.6843418860808015e-14,287.00862975206047,287.00862975206047,287.00862975206041
792,0,average,mae,TiDE_CAL__minus__TiDE_KIN,20.587031549601647,28.848078702409545,49.435110252011192,49.09278732662564
792,0,average,mae,TiDE_HCAL__minus__TiDE_KIN,20.244708624216095,28.848078702409545,49.435110252011192,49.09278732662564
792,0,average,mae,TiDE_HCAL__minus__TiDE_CAL,-0.34232292538555242,28.848078702409545,49.435110252011192,49.09278732662564
792,0,average,rmse,TiDE_CAL__minus__TiDE_KIN,21.231985090336316,32.571773850637541,53.803758940973857,53.752898625248733
792,0,average,rmse,TiDE_HCAL__minus__TiDE_KIN,21.181124774611192,32.571773850637541,53.803758940973857,53.752898625248733
792,0,average,rmse,TiDE_HCAL__minus__TiDE_CAL,-0.050860315725124394,32.571773850637541,53.803758940973857,53.752898625248733
792,0,average,crps,TiDE_CAL__minus__TiDE_KIN,11.137693269857134,23.530774846590663,34.668468116447798,34.595403899260432
792,0,average,crps,TiDE_HCAL__minus__TiDE_KIN,11.064629052669769,23.530774846590663,34.668468116447798,34.595403899260432
792,0,average,crps,TiDE_HCAL__minus__TiDE_CAL,-0.073064217187365443,23.530774846590663,34.668468116447798,34.595403899260432
792,0,average,interval_score90,TiDE_CAL__minus__TiDE_KIN,1.6807964941201021,229.41683515656851,231.09763165068861,231.09679257634869
792,0,average,interval_score90,TiDE_HCAL__minus__TiDE_KIN,1.6799574197801803,229.41683515656851,231.09763165068861,231.09679257634869
792,0,average,interval_score90,TiDE_HCAL__minus__TiDE_CAL,-0.00083907433992180813,229.41683515656851,231.09763165068861,231.09679257634869
792,0,average,coverage90,TiDE_CAL__minus__TiDE_KIN,-0.022184300341296925,1,0.97781569965870307,0.97781569965870307
792,0,average,coverage90,TiDE_HCAL__minus__TiDE_KIN,-0.022184300341296925,1,0.97781569965870307,0.97781569965870307
792,0,average,coverage90,TiDE_HCAL__minus__TiDE_CAL,0,1,0.97781569965870307,0.97781569965870307
792,0,average,width90,TiDE_CAL__minus__TiDE_KIN,0,229.41683515656851,229.41683515656851,229.41683515656851
792,0,average,width90,TiDE_HCAL__minus__TiDE_KIN,0,229.41683515656851,229.41683515656851,229.41683515656851
792,0,average,width90,TiDE_HCAL__minus__TiDE_CAL,0,229.41683515656851,229.41683515656851,229.41683515656851
792,0,ATU1,mae,TiDE_CAL__minus__TiDE_KIN,31.057574596313614,39.318256668657384,70.375831264970998,70.483951537575351
792,0,ATU1,mae,TiDE_HCAL__minus__TiDE_KIN,31.165694868917967,39.318256668657384,70.375831264970998,70.483951537575351
792,0,ATU1,mae,TiDE_HCAL__minus__TiDE_CAL,0.10812027260435286,39.318256668657384,70.375831264970998,70.483951537575351
792,0,ATU1,rmse,TiDE_CAL__minus__TiDE_KIN,33.689021177231368,43.005822330957628,76.694843508188995,76.649479766587646
792,0,ATU1,rmse,TiDE_HCAL__minus__TiDE_KIN,33.643657435630018,43.005822330957628,76.694843508188995,76.649479766587646
792,0,ATU1,rmse,TiDE_HCAL__minus__TiDE_CAL,-0.045363741601349261,43.005822330957628,76.694843508188995,76.649479766587646
792,0,ATU1,crps,TiDE_CAL__minus__TiDE_KIN,21.403951931190527,25.701639689983828,47.105591621174355,47.065669231843202
792,0,ATU1,crps,TiDE_HCAL__minus__TiDE_KIN,21.364029541859374,25.701639689983828,47.105591621174355,47.065669231843202
792,0,ATU1,crps,TiDE_HCAL__minus__TiDE_CAL,-0.039922389331152885,25.701639689983828,47.105591621174355,47.065669231843202
792,0,ATU1,interval_score90,TiDE_CAL__minus__TiDE_KIN,6.7231859764802948,203.58598966633872,210.30917564281901,210.30581934545941
792,0,ATU1,interval_score90,TiDE_HCAL__minus__TiDE_KIN,6.7198296791206928,203.58598966633872,210.30917564281901,210.30581934545941
792,0,ATU1,interval_score90,TiDE_HCAL__minus__TiDE_CAL,-0.0033562973596019674,203.58598966633872,210.30917564281901,210.30581934545941
792,0,ATU1,coverage90,TiDE_CAL__minus__TiDE_KIN,-0.088737201365187701,1,0.9112627986348123,0.9112627986348123
792,0,ATU1,coverage90,TiDE_HCAL__minus__TiDE_KIN,-0.088737201365187701,1,0.9112627986348123,0.9112627986348123
792,0,ATU1,coverage90,TiDE_HCAL__minus__TiDE_CAL,0,1,0.9112627986348123,0.9112627986348123
792,0,ATU1,width90,TiDE_CAL__minus__TiDE_KIN,0,203.58598966633872,203.58598966633872,203.58598966633872
792,0,ATU1,width90,TiDE_HCAL__minus__TiDE_KIN,0,203.58598966633872,203.58598966633872,203.58598966633872
792,0,ATU1,width90,TiDE_HCAL__minus__TiDE_CAL,0,203.58598966633872,203.58598966633872,203.58598966633872
792,0,ATU5,mae,TiDE_CAL__minus__TiDE_KIN,32.363852452003293,54.6108704588219,86.974722910825193,85.620782807324886
792,0,ATU5,mae,TiDE_HCAL__minus__TiDE_KIN,31.009912348502986,54.6108704588219,86.974722910825193,85.620782807324886
792,0,ATU5,mae,TiDE_HCAL__minus__TiDE_CAL,-1.3539401035003067,54.6108704588219,86.974722910825193,85.620782807324886
792,0,ATU5,rmse,TiDE_CAL__minus__TiDE_KIN,33.426322646284568,61.323592852122566,94.749915498407134,94.374992193786611
792,0,ATU5,rmse,TiDE_HCAL__minus__TiDE_KIN,33.051399341664045,61.323592852122566,94.749915498407134,94.374992193786611
792,0,ATU5,rmse,TiDE_HCAL__minus__TiDE_CAL,-0.37492330462052337,61.323592852122566,94.749915498407134,94.374992193786611
792,0,ATU5,crps,TiDE_CAL__minus__TiDE_KIN,19.390173902554672,36.909086705974616,56.299260608529288,56.004146397197509
792,0,ATU5,crps,TiDE_HCAL__minus__TiDE_KIN,19.095059691222893,36.909086705974616,56.299260608529288,56.004146397197509
792,0,ATU5,crps,TiDE_HCAL__minus__TiDE_CAL,-0.29511421133177862,36.909086705974616,56.299260608529288,56.004146397197509
792,0,ATU5,interval_score90,TiDE_CAL__minus__TiDE_KIN,0,303.23100634932035,303.23100634932035,303.23100634932035
792,0,ATU5,interval_score90,TiDE_HCAL__minus__TiDE_KIN,0,303.23100634932035,303.23100634932035,303.23100634932035
792,0,ATU5,interval_score90,TiDE_HCAL__minus__TiDE_CAL,0,303.23100634932035,303.23100634932035,303.23100634932035
792,0,ATU5,coverage90,TiDE_CAL__minus__TiDE_KIN,0,1,1,1
792,0,ATU5,coverage90,TiDE_HCAL__minus__TiDE_KIN,0,1,1,1
792,0,ATU5,coverage90,TiDE_HCAL__minus__TiDE_CAL,0,1,1,1
792,0,ATU5,width90,TiDE_CAL__minus__TiDE_KIN,0,303.23100634932035,303.23100634932035,303.23100634932035
792,0,ATU5,width90,TiDE_HCAL__minus__TiDE_KIN,0,303.23100634932035,303.23100634932035,303.23100634932035
792,0,ATU5,width90,TiDE_HCAL__minus__TiDE_CAL,0,303.23100634932035,303.23100634932035,303.23100634932035
792,0,MJ3,mae,TiDE_CAL__minus__TiDE_KIN,7.0795179963532648,3.8492531009917821,10.928771097345047,11.125521486595561
792,0,MJ3,mae,TiDE_HCAL__minus__TiDE_KIN,7.2762683856037791,3.8492531009917821,10.928771097345047,11.125521486595561
792,0,MJ3,mae,TiDE_HCAL__minus__TiDE_CAL,0.19675038925051425,3.8492531009917821,10.928771097345047,11.125521486595561
792,0,MJ3,rmse,TiDE_CAL__minus__TiDE_KIN,6.9818947910684361,4.2363095154899977,11.218204306558434,11.563295281670138
792,0,MJ3,rmse,TiDE_HCAL__minus__TiDE_KIN,7.3269857661801403,4.2363095154899977,11.218204306558434,11.563295281670138
792,0,MJ3,rmse,TiDE_HCAL__minus__TiDE_CAL,0.34509097511170417,4.2363095154899977,11.218204306558434,11.563295281670138
792,0,MJ3,crps,TiDE_CAL__minus__TiDE_KIN,1.1326008174920297,8.9873471208461311,10.119947938338161,10.200610830825561
792,0,MJ3,crps,TiDE_HCAL__minus__TiDE_KIN,1.2132637099794294,8.9873471208461311,10.119947938338161,10.200610830825561
792,0,MJ3,crps,TiDE_HCAL__minus__TiDE_CAL,0.080662892487399773,8.9873471208461311,10.119947938338161,10.200610830825561
792,0,MJ3,interval_score90,TiDE_CAL__minus__TiDE_KIN,0,123.8417148585545,123.8417148585545,123.8417148585545
792,0,MJ3,interval_score90,TiDE_HCAL__minus__TiDE_KIN,0,123.8417148585545,123.8417148585545,123.8417148585545
792,0,MJ3,interval_score90,TiDE_HCAL__minus__TiDE_CAL,0,123.8417148585545,123.8417148585545,123.8417148585545
792,0,MJ3,coverage90,TiDE_CAL__minus__TiDE_KIN,0,1,1,1
792,0,MJ3,coverage90,TiDE_HCAL__minus__TiDE_KIN,0,1,1,1
792,0,MJ3,coverage90,TiDE_HCAL__minus__TiDE_CAL,0,1,1,1
792,0,MJ3,width90,TiDE_CAL__minus__TiDE_KIN,0,123.8417148585545,123.8417148585545,123.8417148585545
792,0,MJ3,width90,TiDE_HCAL__minus__TiDE_KIN,0,123.8417148585545,123.8417148585545,123.8417148585545
792,0,MJ3,width90,TiDE_HCAL__minus__TiDE_CAL,0,123.8417148585545,123.8417148585545,123.8417148585545
792,0,MJ1,mae,TiDE_CAL__minus__TiDE_KIN,11.847181153736429,17.613934581167097,29.461115734903526,29.140893475006735
792,0,MJ1,mae,TiDE_HCAL__minus__TiDE_KIN,11.526958893839637,17.613934581167097,29.461115734903526,29.140893475006735
792,0,MJ1,mae,TiDE_HCAL__minus__TiDE_CAL,-0.32022225989679143,17.613934581167097,29.461115734903526,29.140893475006735
792,0,MJ1,rmse,TiDE_CAL__minus__TiDE_KIN,10.830701746760841,21.721370703979996,32.552072450740837,32.423827258950524
792,0,MJ1,rmse,TiDE_HCAL__minus__TiDE_KIN,10.702456554970528,21.721370703979996,32.552072450740837,32.423827258950524
792,0,MJ1,rmse,TiDE_HCAL__minus__TiDE_CAL,-0.12824519179031313,21.721370703979996,32.552072450740837,32.423827258950524
792,0,MJ1,crps,TiDE_CAL__minus__TiDE_KIN,2.6240464281913134,22.525025869558078,25.149072297749392,25.111189137175479
792,0,MJ1,crps,TiDE_HCAL__minus__TiDE_KIN,2.5861632676174011,22.525025869558078,25.149072297749392,25.111189137175479
792,0,MJ1,crps,TiDE_HCAL__minus__TiDE_CAL,-0.037883160573912278,22.525025869558078,25.149072297749392,25.111189137175479
792,0,MJ1,interval_score90,TiDE_CAL__minus__TiDE_KIN,0,287.00862975206053,287.00862975206053,287.00862975206053
792,0,MJ1,interval_score90,TiDE_HCAL__minus__TiDE_KIN,0,287.00862975206053,287.00862975206053,287.00862975206053
792,0,MJ1,interval_score90,TiDE_HCAL__minus__TiDE_CAL,0,287.00862975206053,287.00862975206053,287.00862975206053
792,0,MJ1,coverage90,TiDE_CAL__minus__TiDE_KIN,0,1,1,1
792,0,MJ1,coverage90,TiDE_HCAL__minus__TiDE_KIN,0,1,1,1
792,0,MJ1,coverage90,TiDE_HCAL__minus__TiDE_CAL,0,1,1,1
792,0,MJ1,width90,TiDE_CAL__minus__TiDE_KIN,0,287.00862975206053,287.00862975206053,287.00862975206053
792,0,MJ1,width90,TiDE_HCAL__minus__TiDE_KIN,0,287.00862975206053,287.00862975206053,287.00862975206053
792,0,MJ1,width90,TiDE_HCAL__minus__TiDE_CAL,0,287.00862975206053,287.00862975206053,287.00862975206053
792,1,average,mae,TiDE_CAL__minus__TiDE_KIN,-0.77565754691288369,16.430827580387938,15.655170033475054,15.513556737430903
792,1,average,mae,TiDE_HCAL__minus__TiDE_KIN,-0.9172708429570342,16.430827580387938,15.655170033475054,15.513556737430903
792,1,average,mae,TiDE_HCAL__minus__TiDE_CAL,-0.14161329604415052,16.430827580387938,15.655170033475054,15.513556737430903
792,1,average,rmse,TiDE_CAL__minus__TiDE_KIN,-3.8383499433753236,22.057384938693485,18.219034995318161,17.885387735810799
792,1,average,rmse,TiDE_HCAL__minus__TiDE_KIN,-4.1719972028826859,22.057384938693485,18.219034995318161,17.885387735810799
792,1,average,rmse,TiDE_HCAL__minus__TiDE_CAL,-0.33364725950736229,22.057384938693485,18.219034995318161,17.885387735810799
792,1,average,crps,TiDE_CAL__minus__TiDE_KIN,-1.0687229385069372,19.439427462953905,18.370704524446968,18.285876941017975
792,1,average,crps,TiDE_HCAL__minus__TiDE_KIN,-1.1535505219359301,19.439427462953905,18.370704524446968,18.285876941017975
792,1,average,crps,TiDE_HCAL__minus__TiDE_CAL,-0.084827583428992881,19.439427462953905,18.370704524446968,18.285876941017975
792,1,average,interval_score90,TiDE_CAL__minus__TiDE_KIN,0,229.41683515656851,229.41683515656851,229.41683515656851
792,1,average,interval_score90,TiDE_HCAL__minus__TiDE_KIN,0,229.41683515656851,229.41683515656851,229.41683515656851
792,1,average,interval_score90,TiDE_HCAL__minus__TiDE_CAL,0,229.41683515656851,229.41683515656851,229.41683515656851
792,1,average,coverage90,TiDE_CAL__minus__TiDE_KIN,0,1,1,1
792,1,average,coverage90,TiDE_HCAL__minus__TiDE_KIN,0,1,1,1
792,1,average,coverage90,TiDE_HCAL__minus__TiDE_CAL,0,1,1,1
792,1,average,width90,TiDE_CAL__minus__TiDE_KIN,0,229.41683515656851,229.41683515656851,229.41683515656851
792,1,average,width90,TiDE_HCAL__minus__TiDE_KIN,0,229.41683515656851,229.41683515656851,229.41683515656851
792,1,average,width90,TiDE_HCAL__minus__TiDE_CAL,0,229.41683515656851,229.41683515656851,229.41683515656851
792,1,ATU1,mae,TiDE_CAL__minus__TiDE_KIN,0.16102325865990608,19.23285544559311,19.393878704253016,19.313492906011763
792,1,ATU1,mae,TiDE_HCAL__minus__TiDE_KIN,0.080637460418653717,19.23285544559311,19.393878704253016,19.313492906011763
792,1,ATU1,mae,TiDE_HCAL__minus__TiDE_CAL,-0.08038579824125236,19.23285544559311,19.393878704253016,19.313492906011763
792,1,ATU1,rmse,TiDE_CAL__minus__TiDE_KIN,-2.7005551719026215,25.968851529377663,23.268296357475041,22.612556454157406
792,1,ATU1,rmse,TiDE_HCAL__minus__TiDE_KIN,-3.3562950752202561,25.968851529377663,23.268296357475041,22.612556454157406
792,1,ATU1,rmse,TiDE_HCAL__minus__TiDE_CAL,-0.65573990331763454,25.968851529377663,23.268296357475041,22.612556454157406
792,1,ATU1,crps,TiDE_CAL__minus__TiDE_KIN,-0.75428322444255969,18.627841847500147,17.873558623057587,17.691175950666263
792,1,ATU1,crps,TiDE_HCAL__minus__TiDE_KIN,-0.93666589683388324,18.627841847500147,17.873558623057587,17.691175950666263
792,1,ATU1,crps,TiDE_HCAL__minus__TiDE_CAL,-0.18238267239132355,18.627841847500147,17.873558623057587,17.691175950666263
792,1,ATU1,interval_score90,TiDE_CAL__minus__TiDE_KIN,0,203.58598966633872,203.58598966633872,203.58598966633872
792,1,ATU1,interval_score90,TiDE_HCAL__minus__TiDE_KIN,0,203.58598966633872,203.58598966633872,203.58598966633872
792,1,ATU1,interval_score90,TiDE_HCAL__minus__TiDE_CAL,0,203.58598966633872,203.58598966633872,203.58598966633872
792,1,ATU1,coverage90,TiDE_CAL__minus__TiDE_KIN,0,1,1,1
792,1,ATU1,coverage90,TiDE_HCAL__minus__TiDE_KIN,0,1,1,1
792,1,ATU1,coverage90,TiDE_HCAL__minus__TiDE_CAL,0,1,1,1
792,1,ATU1,width90,TiDE_CAL__minus__TiDE_KIN,0,203.58598966633872,203.58598966633872,203.58598966633872
792,1,ATU1,width90,TiDE_HCAL__minus__TiDE_KIN,0,203.58598966633872,203.58598966633872,203.58598966633872
792,1,ATU1,width90,TiDE_HCAL__minus__TiDE_CAL,0,203.58598966633872,203.58598966633872,203.58598966633872
792,1,ATU5,mae,TiDE_CAL__minus__TiDE_KIN,-3.6932712703024571,25.719434816648807,22.02616354634635,21.31192907779619
792,1,ATU5,mae,TiDE_HCAL__minus__TiDE_KIN,-4.4075057388526169,25.719434816648807,22.02616354634635,21.31192907779619
792,1,ATU5,mae,TiDE_HCAL__minus__TiDE_CAL,-0.71423446855015982,25.719434816648807,22.02616354634635,21.31192907779619
792,1,ATU5,rmse,TiDE_CAL__minus__TiDE_KIN,-9.1412201528470618,34.296334934060567,25.155114781213506,24.261758194028488
792,1,ATU5,rmse,TiDE_HCAL__minus__TiDE_KIN,-10.03457674003208,34.296334934060567,25.155114781213506,24.261758194028488
