origin,method,seed,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
792,G_CACHED,1,MJ3,293,3.6103376346703495,5.2551114671909236,18.967683475952519,1,206.5382621501731,206.5382621501731,1,265.08898957772226,265.08898957772226,1,315.87301371818512,315.87301371818512
792,G_CACHED,1,MJ1,293,14.978194133427927,16.393604011407916,9.7532807840720182,0.97952218430034133,58.328250577459805,58.916145198327023,1,74.863499133020468,74.863499133020468,1,89.205361287563846,89.205361287563846
792,G_CACHED,2,ATU1,293,21.317506863961846,24.866167341973828,18.161757299825847,0.24573378839590443,19.187222782651357,154.5818662638157,0.25255972696245732,24.626533831089549,254.48384150839331,0.25597269624573377,29.344324979511843,418.67011605565807
792,G_CACHED,2,ATU5,293,36.039576349572684,40.693934312069572,31.112086412082519,0.24232081911262798,27.420730226487194,271.2489964044405,0.25255972696245732,35.194126228958119,464.29958638303248,0.26279863481228671,41.93638798362781,799.84748058622927
792,G_CACHED,2,MJ3,293,4.525255955540592,5.9607978929110637,19.00703874927666,1,206.5382621501731,206.5382621501731,1,265.08898957772226,265.08898957772226,1,315.87301371818512,315.87301371818512
792,G_CACHED,2,MJ1,293,14.230103011743987,15.962597096198843,9.5126118302316485,0.97269624573378843,58.328250577459805,59.31020650758343,1,74.863499133020454,74.863499133020454,1,89.205361287563846,89.205361287563846
792,TiDE_DATA,0,ATU1,293,26.456983353088116,34.611740939009373,19.810846326146606,0.67235494880546076,79.903293837829423,128.21528086574736,0.79522184300341292,102.55476736800021,136.38800503817598,0.93174061433447097,122.20154255105288,132.86157734971439
792,TiDE_DATA,0,ATU5,293,45.665172143091127,57.938932718986017,33.605698409456686,0.6313993174061433,128.77515026911692,211.83663587230001,0.76109215017064846,165.28111601296811,219.04965598205305,0.94197952218430037,196.94459701584196,207.0053000774993
792,TiDE_DATA,0,MJ3,293,2.6906370607037564,3.3068499492559056,1.892818982152997,0.82935153583617749,9.8050535269026113,11.504201787753113,0.95563139931740615,12.584649958525006,13.385412126121377,0.98634812286689422,14.995535330683197,15.246411565774013
792,TiDE_DATA,0,MJ1,293,12.782901913519472,16.297380259054499,14.475246372406911,1,137.42206089708878,137.42206089708878,1,176.37930565335179,176.37930565335179,1,210.16890563050114,210.16890563050114
792,TiDE_DATA,1,ATU1,293,46.220772265666909,54.315229535088349,34.242739946633904,0.49146757679180886,79.903293837829452,238.13112503699449,0.55290102389078499,102.55476736800021,309.41973870025458,0.62798634812286691,122.20154255105285,372.47553888066727
792,TiDE_DATA,1,ATU5,293,70.074210380310177,81.122483453252585,50.960426754393161,0.47098976109215018,128.77515026911692,339.82279533691957,0.55972696245733788,165.28111601296811,409.56503900737601,0.65529010238907848,196.94459701584196,435.30332006355508
792,TiDE_DATA,1,MJ3,293,4.1841151372230163,5.1408394754646096,3.0036443761424332,0.62116040955631402,9.8050535269026113,19.067295117475439,0.76791808873720135,12.584649958525006,22.684493604475513,0.85324232081911267,14.995535330683197,26.10355317488014
