feature_set,horizon_days,split,evaluation_role,estimator,subset,actual_level,actual_color,predicted_level,predicted_color,count
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,4,red,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,0,green,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,1,blue,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,2,yellow,8
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,3,orange,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,4,red,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,4,red,0,green,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,4,red,1,blue,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,4,red,2,yellow,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,4,red,3,orange,0
interval_only,1,calibration,chronological_evaluation_only,ngboost,transition_only,4,red,4,red,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,0,green,0,green,560
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,0,green,1,blue,24
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,0,green,2,yellow,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,0,green,3,orange,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,0,green,4,red,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,1,blue,0,green,41
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,1,blue,1,blue,991
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,1,blue,2,yellow,7
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,1,blue,3,orange,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,1,blue,4,red,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,2,yellow,0,green,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,2,yellow,1,blue,8
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,2,yellow,2,yellow,173
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,2,yellow,3,orange,1
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,2,yellow,4,red,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,3,orange,0,green,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,3,orange,1,blue,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,3,orange,2,yellow,14
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,3,orange,3,orange,112
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,3,orange,4,red,7
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,4,red,0,green,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,4,red,1,blue,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,4,red,2,yellow,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,4,red,3,orange,27
interval_only,1,test,historical_holdout_evaluation_only,ngboost,all,4,red,4,red,323
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,0,green,5
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,1,blue,24
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,2,yellow,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,3,orange,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,4,red,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,0,green,32
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,1,blue,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,2,yellow,5
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,3,orange,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,4,red,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,0,green,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,1,blue,8
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,2,yellow,5
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,3,orange,1
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,4,red,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,0,green,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,1,blue,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,2,yellow,9
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,3,orange,3
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,4,red,5
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,0,green,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,1,blue,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,2,yellow,0
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,3,orange,13
interval_only,1,test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,4,red,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,0,green,0,green,495
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,0,green,1,blue,36
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,0,green,2,yellow,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,0,green,3,orange,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,0,green,4,red,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,1,blue,0,green,511
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,1,blue,1,blue,329
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,1,blue,2,yellow,7
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,1,blue,3,orange,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,1,blue,4,red,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,0,green,20
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,1,blue,226
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,2,yellow,41
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,3,orange,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,4,red,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,3,orange,0,green,24
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,3,orange,1,blue,119
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,3,orange,2,yellow,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,3,orange,3,orange,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,3,orange,4,red,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,4,red,0,green,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,4,red,1,blue,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,4,red,2,yellow,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,4,red,3,orange,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,all,4,red,4,red,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,0,green,44
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,1,blue,11
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,2,yellow,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,3,orange,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,4,red,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,0,green,51
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,1,blue,15
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,2,yellow,3
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,3,orange,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,4,red,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,0,green,4
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,1,blue,12
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,2,yellow,3
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,3,orange,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,2,yellow,4,red,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,0,green,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,1,blue,8
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,2,yellow,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,3,orange,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,3,orange,4,red,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,4,red,0,green,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,4,red,1,blue,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,4,red,2,yellow,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,4,red,3,orange,0
without_interval,1,calibration,chronological_evaluation_only,ngboost,transition_only,4,red,4,red,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,0,green,0,green,573
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,0,green,1,blue,11
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,0,green,2,yellow,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,0,green,3,orange,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,0,green,4,red,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,1,blue,0,green,637
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,1,blue,1,blue,401
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,1,blue,2,yellow,1
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,1,blue,3,orange,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,1,blue,4,red,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,2,yellow,0,green,43
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,2,yellow,1,blue,127
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,2,yellow,2,yellow,12
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,2,yellow,3,orange,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,2,yellow,4,red,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,3,orange,0,green,15
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,3,orange,1,blue,116
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,3,orange,2,yellow,2
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,3,orange,3,orange,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,3,orange,4,red,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,4,red,0,green,20
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,4,red,1,blue,329
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,4,red,2,yellow,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,4,red,3,orange,1
without_interval,1,test,historical_holdout_evaluation_only,ngboost,all,4,red,4,red,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,0,green,28
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,1,blue,1
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,2,yellow,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,3,orange,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,0,green,4,red,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,0,green,32
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,1,blue,5
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,2,yellow,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,3,orange,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,1,blue,4,red,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,0,green,5
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,1,blue,9
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,2,yellow,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,3,orange,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,2,yellow,4,red,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,0,green,2
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,1,blue,14
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,2,yellow,1
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,3,orange,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,3,orange,4,red,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,0,green,2
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,1,blue,11
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,2,yellow,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,3,orange,0
without_interval,1,test,historical_holdout_evaluation_only,ngboost,transition_only,4,red,4,red,0
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,0,green,0,green,481
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,0,green,1,blue,50
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,0,green,2,yellow,0
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,0,green,3,orange,0
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,0,green,4,red,0
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,1,blue,0,green,69
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,1,blue,1,blue,767
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,1,blue,2,yellow,11
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,1,blue,3,orange,0
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,1,blue,4,red,0
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,0,green,0
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,1,blue,11
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,2,yellow,273
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,3,orange,3
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,2,yellow,4,red,0
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,3,orange,0,green,0
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,3,orange,1,blue,0
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,3,orange,2,yellow,20
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,3,orange,3,orange,112
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,3,orange,4,red,11
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,4,red,0,green,0
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,4,red,1,blue,0
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,4,red,2,yellow,0
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,4,red,3,orange,0
without_velocity,1,calibration,chronological_evaluation_only,ngboost,all,4,red,4,red,0
without_velocity,1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,0,green,8
without_velocity,1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,1,blue,47
without_velocity,1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,2,yellow,0
without_velocity,1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,3,orange,0
without_velocity,1,calibration,chronological_evaluation_only,ngboost,transition_only,0,green,4,red,0
without_velocity,1,calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,0,green,51
without_velocity,1,calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,1,blue,7
without_velocity,1,calibration,chronological_evaluation_only,ngboost,transition_only,1,blue,2,yellow,11
