feature_set,horizon_days,split,evaluation_role,estimator,subset,reliability_kind,class_level,class_color,bin_index,bin_lower,bin_upper,count,mean_predicted_probability,observed_frequency,class_support,calibration_status
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,top_label,,,5,0.5,0.6000000000000001,33,0.5538906794842727,0.36363636363636365,151,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,top_label,,,6,0.6000000000000001,0.7000000000000001,19,0.6423404951171495,0.05263157894736842,151,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,top_label,,,7,0.7000000000000001,0.8,27,0.7549273233062664,0.25925925925925924,151,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,top_label,,,8,0.8,0.9,30,0.8549243548363791,0.0,151,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,top_label,,,9,0.9,1.0,42,0.9538822645622206,0.0,151,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,0.0,green,0,0.0,0.1,62,0.023345204248541016,0.3870967741935484,55,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,0.0,green,1,0.1,0.2,9,0.14918011214839544,1.0,55,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,0.0,green,2,0.2,0.30000000000000004,7,0.22979410802758177,1.0,55,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,0.0,green,3,0.30000000000000004,0.4,3,0.34068837200623103,1.0,55,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,0.0,green,4,0.4,0.5,11,0.44748179389213283,0.36363636363636365,55,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,0.0,green,5,0.5,0.6000000000000001,19,0.5579212946891171,0.2631578947368421,55,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,0.0,green,6,0.6000000000000001,0.7000000000000001,7,0.6560169963499697,0.14285714285714285,55,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,0.0,green,7,0.7000000000000001,0.8,7,0.7741338039515051,0.2857142857142857,55,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,0.0,green,8,0.8,0.9,13,0.8593969070849472,0.0,55,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,0.0,green,9,0.9,1.0,13,0.9699341958031812,0.0,55,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,1.0,blue,0,0.0,0.1,32,0.025777299823291622,0.5,69,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,1.0,blue,1,0.1,0.2,15,0.14368397404560002,1.0,69,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,1.0,blue,2,0.2,0.30000000000000004,7,0.23604045035876556,0.7142857142857143,69,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,1.0,blue,3,0.30000000000000004,0.4,13,0.35483181034705996,0.9230769230769231,69,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,1.0,blue,4,0.4,0.5,19,0.44061385627915994,0.7368421052631579,69,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,1.0,blue,5,0.5,0.6000000000000001,14,0.5484205588491269,0.5,69,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,1.0,blue,6,0.6000000000000001,0.7000000000000001,4,0.645262683352614,0.0,69,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,1.0,blue,7,0.7000000000000001,0.8,10,0.7540616430265283,0.0,69,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,1.0,blue,8,0.8,0.9,12,0.8553189905632733,0.0,69,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,1.0,blue,9,0.9,1.0,25,0.9474997730175605,0.0,69,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,2.0,yellow,0,0.0,0.1,114,0.001241584689347309,0.008771929824561403,19,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,2.0,yellow,1,0.1,0.2,3,0.11986481544465839,1.0,19,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,2.0,yellow,2,0.2,0.30000000000000004,4,0.2686624683171399,1.0,19,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,2.0,yellow,3,0.30000000000000004,0.4,3,0.35709362470357825,1.0,19,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,2.0,yellow,4,0.4,0.5,3,0.4574633453925599,1.0,19,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,2.0,yellow,5,0.5,0.6000000000000001,0,,,19,empty_bin
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,2.0,yellow,6,0.6000000000000001,0.7000000000000001,6,0.6263000997654956,0.0,19,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,2.0,yellow,7,0.7000000000000001,0.8,9,0.7447199714287751,0.5555555555555556,19,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,2.0,yellow,8,0.8,0.9,5,0.8423485932455556,0.0,19,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,2.0,yellow,9,0.9,1.0,4,0.9416040601832248,0.0,19,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,3.0,orange,0,0.0,0.1,136,8.56164682702452e-05,0.007352941176470588,8,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,3.0,orange,1,0.1,0.2,4,0.13753040619028647,1.0,8,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,3.0,orange,2,0.2,0.30000000000000004,8,0.2335824419208482,0.375,8,ok
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,3.0,orange,3,0.30000000000000004,0.4,0,,,8,empty_bin
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,3.0,orange,4,0.4,0.5,0,,,8,empty_bin
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,3.0,orange,5,0.5,0.6000000000000001,0,,,8,empty_bin
full,1,calibration,chronological_evaluation_only,ngboost,transition_only,one_vs_rest,3.0,orange,6,0.6000000000000001,0.7000000000000001,2,0.6367495503863121,0.0,8,ok
