model,horizon,point,n,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,mae,rmse
B_ANCHOR,6,ATU1,371,1.1901066528,0.730458221024,4.90053509769,9.64310729179,0.792452830189,6.28976870393,13.7229911562,0.838274932615,7.49472167541,19.6432587992,1.33639350503,2.36551301032
B_ANCHOR,6,ATU5,371,1.18799767062,0.77628032345,5.37375578656,10.3432119501,0.832884097035,6.8971408826,15.3813792746,0.878706199461,8.21845026493,23.1485567117,1.24082683422,2.82100799124
B_ANCHOR,6,MJ3,371,1.30560754588,0.857142857143,5.51437203247,10.0312023086,0.894878706199,7.07761988033,14.3683378078,0.902964959569,8.43350425498,20.7290684576,1.60291887223,2.84055961732
B_ANCHOR,6,MJ1,371,1.00868685862,0.797843665768,3.94951758894,6.49752594267,0.88409703504,5.06915094604,8.74250490224,0.894878706199,6.04026590795,12.0008450285,1.44616167809,1.92695144472
B_ANCHOR,7,ATU1,370,1.34204799777,0.710810810811,5.45522797048,10.8264419818,0.802702702703,7.00170929859,15.414298908,0.840540540541,8.34305121781,22.2239990456,1.51574129829,2.63261335327
B_ANCHOR,7,ATU5,370,1.36143812232,0.772972972973,6.07251554762,11.8256884863,0.827027027027,7.79398932651,17.6082654693,0.878378378378,9.28711109946,26.6626258788,1.43088922317,3.16513894392
B_ANCHOR,7,MJ3,370,1.53370749038,0.859459459459,6.4190032444,11.8764088486,0.889189189189,8.23870147081,17.1721722326,0.9,9.81701830338,25.0719737732,1.87272252532,3.3146273386
B_ANCHOR,7,MJ1,370,1.18195346227,0.797297297297,4.57885407585,7.66594916015,0.867567567568,5.87689558222,10.3957743704,0.891891891892,7.00275300691,14.4208523684,1.68743364745,2.24809009918
B_ANCHOR,8,ATU1,369,1.48913043666,0.691056910569,5.97924357835,11.9458876444,0.79945799458,7.67427604998,17.0503528714,0.842818428184,9.14446393219,24.672481545,1.69050854308,2.88474831465
B_ANCHOR,8,ATU5,369,1.53051867351,0.764227642276,6.74305373964,13.2601280948,0.837398373984,8.6546157787,19.7744530596,0.878048780488,10.3126107687,30.0587666723,1.61783756545,3.49142003118
B_ANCHOR,8,MJ3,369,1.76454462561,0.864498644986,7.31626255692,13.7677717845,0.886178861789,9.39032133082,20.0830034861,0.89701897019,11.1892580045,29.6476774375,2.14347167829,3.78858604268
B_ANCHOR,8,MJ1,369,1.35640543655,0.785907859079,5.19665744664,8.85377443421,0.864498644986,6.66983762412,12.0933116657,0.891598915989,7.94760172687,16.9572185664,1.92875797266,2.56906162235
B_ANCHOR,9,ATU1,368,1.63282818321,0.682065217391,6.48415853122,13.0585155419,0.79347826087,8.3223273761,18.6249437247,0.85597826087,9.91666471559,27.0425011795,1.85618211273,3.1281012807
B_ANCHOR,9,ATU5,368,1.69649009931,0.755434782609,7.39341375716,14.6514325766,0.839673913043,9.48934382429,21.8840411056,0.891304347826,11.3072505831,33.388983048,1.8029526294,3.80527872708
B_ANCHOR,9,MJ3,368,1.99811813539,0.869565217391,8.20553438762,15.705275165,0.883152173913,10.5316893689,23.0978204055,0.89402173913,12.5492819064,34.4492607022,2.4149999467,4.26235837344
B_ANCHOR,9,MJ1,368,1.53191579865,0.777173913043,5.80255246308,10.0667007614,0.864130434783,7.4474954587,13.8275582743,0.888586956522,8.8742381905,19.5981104576,2.16997695143,2.88981367247
B_ANCHOR,10,ATU1,367,1.77467236769,0.675749318801,6.98164492828,14.1867266555,0.798365122616,8.96084425405,20.2169613214,0.847411444142,10.6775045033,29.4453563488,2.019406819,3.36794896036
B_ANCHOR,10,ATU5,367,1.8605769193,0.754768392371,8.02936542496,16.0123392334,0.8310626703,10.3055789532,23.9806146235,0.885558583106,12.2798547282,36.691176968,1.98972419101,4.11056259353
B_ANCHOR,10,MJ3,367,2.2343950903,0.866485013624,9.08580334571,17.6855038678,0.880108991826,11.6615023451,26.2130819562,0.893732970027,13.8955371028,39.4765911027,2.68732156015,4.73588077418
B_ANCHOR,10,MJ1,367,1.7083932979,0.773841961853,6.39731136242,11.3061032356,0.866485013624,8.2108602417,15.5941367424,0.885558583106,9.78384343271,22.3390269743,2.41101441246,3.2102979567
B_ANCHOR,11,ATU1,366,1.91611113046,0.672131147541,7.47865391521,15.314439596,0.784153005464,9.59874838272,21.8848061391,0.852459016393,11.4376141552,31.8445880167,2.18556373151,3.60766904985
B_ANCHOR,11,ATU5,366,2.02359343159,0.765027322404,8.65375438932,17.3706354082,0.825136612022,11.106973513,26.057181665,0.887978142077,13.2347752444,39.95761681,2.17657889041,4.40973947395
B_ANCHOR,11,MJ3,366,2.47320733085,0.863387978142,9.95435557835,19.704722062,0.877049180328,12.776277067,29.4228763929,0.890710382514,15.223873114,44.7138298032,2.96037346817,5.20909216254
B_ANCHOR,11,MJ1,366,1.88586250861,0.767759562842,6.98088990124,12.5728165,0.868852459016,8.95987518733,17.4050366024,0.885245901639,10.6763497891,25.1855058223,2.65175575857,3.53046553706
B_ANCHOR,12,ATU1,365,2.05817548233,0.660273972603,7.9752814764,16.453481168,0.778082191781,10.2361629568,23.5336436437,0.852054794521,12.1971404667,34.3155916958,2.35160003237,3.84741701797
B_ANCHOR,12,ATU5,365,2.18574594642,0.769863013699,9.26761110955,18.728740395,0.827397260274,11.8948500837,28.1035701716,0.893150684932,14.1735880832,43.2285704621,2.36392733551,4.70392460715
B_ANCHOR,12,MJ3,365,2.71454368267,0.860273972603,10.8112742263,21.7625085677,0.876712328767,13.8761202445,32.7268222875,0.887671232877,16.5344170927,50.1520358074,3.23424272336,5.68192082017
