model,horizon,n_per_point,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,mae,rmse,pooled_rmse
DRIFT1,27,350,0.649751096389,0.764285714286,2.93810694613,4.95167652992,0.819285714286,3.77101943975,6.82691035915,0.846428571429,4.49344681242,9.35086529761,0.805295404826,1.0662264044,1.08409687285
DRIFT1,28,349,0.693983919739,0.760744985673,3.14208271492,5.30396630639,0.819484240688,4.03281950471,7.32533903995,0.843839541547,4.80540083073,10.048529064,0.857043952588,1.13553302972,1.15430627673
DRIFT1,29,348,0.739311888617,0.761494252874,3.351471179,5.66546388777,0.816091954023,4.30156668887,7.84265308426,0.83908045977,5.12563285215,10.7665010967,0.909571059393,1.20612361597,1.22577436347
DRIFT1,30,347,0.785677023956,0.759365994236,3.56613997096,6.03611067899,0.814841498559,4.57709110047,8.37883380144,0.835734870317,5.45394043816,11.5139447617,0.96292222884,1.27790606672,1.29840422282
DRIFT14,1,376,0.0132416712824,0.769281914894,0.0596512877473,0.0898239064113,0.845079787234,0.0765615989567,0.111923348352,0.890957446809,0.0912287720288,0.133257271454,0.0178719318958,0.0233872433271,0.0237772904398
DRIFT14,2,375,0.0282801977476,0.766666666667,0.127196139923,0.193396892215,0.844,0.163254478174,0.242609905864,0.888,0.194529709084,0.292414275823,0.0380115210778,0.0497470928867,0.0505751132277
DRIFT14,3,374,0.0451072591802,0.766042780749,0.202574268678,0.310923717748,0.840909090909,0.260001259037,0.392551790222,0.889705882353,0.309810608857,0.479607689859,0.060356663775,0.0790193081498,0.0803312953839
DRIFT14,4,373,0.0637106958884,0.76273458445,0.285713900968,0.442468691142,0.838471849866,0.366709821839,0.562410788672,0.887399463807,0.43696170395,0.695494934449,0.084858195436,0.111138231743,0.112978011998
DRIFT14,5,372,0.084073555393,0.760080645161,0.376532471004,0.588118646708,0.837365591398,0.483274194537,0.752263899191,0.885080645161,0.575856720884,0.940924909027,0.111471211498,0.146033660691,0.148442665148
DRIFT14,6,371,0.10617297804,0.761455525606,0.474937173725,0.747848174673,0.834905660377,0.609575263125,0.962462530998,0.88409703504,0.726353726566,1.21589355938,0.140092666342,0.183631455814,0.186648502705
DRIFT14,7,370,0.129979185692,0.756081081081,0.580826086418,0.921524892249,0.835810810811,0.745482211219,1.19288875012,0.882432432432,0.88829684366,1.52007211457,0.170693186056,0.223854156626,0.227515241182
DRIFT14,8,369,0.155454804031,0.754742547425,0.694090089891,1.10896153175,0.835365853659,0.890854985849,1.44318372573,0.881436314363,1.06151918876,1.85235367667,0.203218204717,0.266621594882,0.270959686361
