fit_days,recipe,selected_by_training,station,train_days,prediction_days,train_rmse_mm,train_mae_mm,train_bias_mm,prediction_rmse_mm,prediction_mae_mm,prediction_bias_mm,last_training_error_mm,first_prediction_error_mm,last_prediction_error_mm,growth_error_mm_per_day,increment30_rmse_mm,increment30_mae_mm,oracle_constant_removed_rmse_mm,oracle_linear_removed_rmse_mm,oracle_linear_slope_mm_per_day,oracle_linear_explained_error_fraction,observed_peak30_increment_mm,predicted_peak30_increment_mm,observed_peak30_date,predicted_peak30_date,peak30_date_difference_days,growth_error_days_1_60_mm_per_day,growth_error_days_61_120_mm_per_day,growth_error_days_121_180_mm_per_day
342,A,True,MJ3,312,180,2.504105987575885,2.23142235801153,0.03036266442154629,45.93608828355825,39.02805408381557,-38.98438224725552,0.0009811053532757796,0.08412848085049518,-65.82426010221093,-0.3656957844864678,13.550412300071802,10.622512930185517,24.29695757897943,6.640477220628031,-0.44979957258692954,0.9791026814555819,35.313006808736986,34.61543072525785,2017-06-14,2017-06-16,2,-0.40707309280844584,-0.6163063610208838,-0.07370789963007382
342,A,True,MJ1,312,180,4.479916209451356,3.880559983244052,-0.3579833484915808,4.480251876228247,3.640315968006269,-3.363743847421932,-0.00013085559146475134,-0.10160532337954464,0.2980341641122095,0.0016564723316870793,3.7870614668056977,3.363609647836073,2.9593722650889718,2.8867050371989933,-0.012543721222134494,0.5848548588304543,26.967025378337325,34.592951644885716,2017-06-18,2017-06-30,12,-0.06538644051573593,-0.03665781628807281,0.10701367379886999
342,B,False,ATU1,312,180,13.299086900176164,11.75832004853849,6.339597578920634,160.72592565564662,127.23841367027399,-127.23841367027399,-0.05417600170957826,-0.7696118275925699,-246.70768818469537,-1.3702972899054766,68.8395099463572,45.59040776162962,98.19984350566288,36.17450793281219,-1.7569830507283015,0.949343708383279,191.66600000000003,16.52589818711938,2017-10-01,2017-10-09,8,-0.7700920662342914,-3.3136422972731854,-0.02715750620895297
342,B,False,ATU5,312,180,16.566381636398354,14.629339640828453,7.166932690980802,177.12091778962494,143.88937681311933,-143.88937681311933,-0.06624005690207468,-1.1060571797696355,-293.8660290482028,-1.6322210499516707,63.79415408965622,48.727315103652735,103.28439746143289,27.41685883243966,-1.916428842155771,0.9760395106254094,166.49200000000002,16.735392334947903,2017-10-01,2017-10-09,8,-1.0510147947736725,-3.0518701244813444,-0.7937782305999951
342,B,False,MJ3,312,180,6.049606986166085,5.183025530674381,-1.187087939797694,22.237695240109677,18.84185693249365,-14.207877800876743,0.0037378398940290936,0.8284786700032782,-29.398324511124656,-0.1633447908389927,12.668723977232073,10.786373329468912,17.107054041749866,6.727268194794076,-0.3027055753939936,0.908483809054185,35.313006808736986,53.887111018935116,2017-06-14,2017-06-18,4,-0.0036236722933457107,-0.5567083326038149,0.07029763238018252
342,B,False,MJ1,312,180,8.267173655919805,7.236570913421066,-0.7011563225746602,38.8378457178265,37.22279117941633,37.22279117941633,0.0012559716304849644,1.2176911546010842,51.64677020415422,0.2869195235140208,13.990198693679625,10.046110876560242,11.083414492621818,5.218306329334206,0.18818264072274918,0.9819470210696759,26.967025378337325,56.9969453351149,2017-06-18,2017-07-01,13,0.6435777193732634,0.03588133970458216,0.1812995114642168
432,A,False,ATU1,402,180,9.695007569910578,7.418216714017681,0.3018022997985769,32.24916617743078,30.036039166704086,-30.036039166704086,-0.002880141178906115,-5.104929219397803,-27.901356981936374,-0.15499153800420815,24.21152239613226,13.833907312911524,11.740744027350354,11.493318160072208,0.04614343748474278,0.8729853318557406,191.66600000000003,173.28388090444042,2017-10-01,2017-09-29,-2,-0.3053833609408007,-0.1870676419427402,0.027476388870916444
432,A,False,ATU5,402,180,12.199440504581291,9.275025933986715,0.021479969370435,41.92488797849841,38.28745603372781,30.966172725263238,-0.002018979412753197,-2.476870464948604,27.383669787421184,0.15214271537129964,40.663918926907684,25.542155216670835,28.262915255840195,28.222309694427786,0.029146406063696735,0.5468507299594508,166.49200000000002,231.79768888572693,2017-10-01,2017-10-09,8,1.0469086316625302,-0.6268707160631664,0.036390230514534966
432,A,False,MJ3,402,180,7.027264679667977,6.070756035663448,0.5769553734784995,9.755932127576575,8.284583044686128,4.136412259083191,-0.010260928000661806,-0.61648801911997,19.664829734046634,0.10930605923359608,7.164954209781573,6.523994267436843,8.835627046270519,2.153772935381448,0.1649150554165641,0.9512626075295376,35.052369597539155,23.458583386774535,2017-09-21,2017-09-06,-15,-0.011367058712441274,0.15965185410618687,0.17963338230704268
432,A,False,MJ1,402,180,8.298742988369808,6.860838474661373,-1.6090792294231233,17.93523281468258,14.543174903401725,14.366793629725029,0.009832419161170947,-0.28817769289992157,32.290703905000555,0.17933817492132992,5.674934287167464,5.206466854209824,10.736285061312367,0.8314924724086147,0.20600249333714507,0.997850672444576,18.58484981267702,20.885552864787087,2017-09-20,2017-09-25,5,0.12765572822853719,0.2084337361473312,0.20192506038812136
432,B,True,ATU1,402,180,9.663759325541799,7.424712228000846,0.028416898084577695,55.386000418770955,54.513970896972424,-54.513970896972424,-0.00029053715695681603,-4.31484115610391,-54.633913534488386,-0.3035201277629524,26.690535376066705,15.31164491041148,9.789587296313428,9.664871711360636,-0.029977455247425303,0.9695496577607097,191.66600000000003,144.59069707529545,2017-10-01,2017-09-29,-2,-0.7575405652057337,-0.18487127186912838,0.03185145378600491
432,B,True,ATU5,402,180,4.005363489196314,2.893415141871011,0.27360303003619796,140.06419011407704,134.6063919201048,-134.6063919201048,-0.004932119887257613,-4.054391957899952,-160.8095990001716,-0.8933592604460241,40.62117873136083,28.53551950411617,38.718168946419155,19.08699423175231,-0.6483078495466198,0.9814296172199422,166.49200000000002,78.72714379678817,2017-10-01,2017-09-27,-4,-2.0236520378917713,-0.7103079890939757,0.053882245647674645
432,B,True,MJ3,402,180,6.545388968296211,5.642903753780936,0.2836226039307987,14.720515018928182,12.545990697413949,9.369023589531562,-0.008371112063287,-0.5067197422167737,27.611807161225215,0.15344543485160278,7.970082675636008,7.406286148053127,11.354072370796805,2.431212821658497,0.2134443809581792,0.9727227901091389,35.052369597539155,24.873381361893053,2017-09-21,2017-09-06,-15,0.06511729358851047,0.20319146604546556,0.19202754492083235
432,B,True,MJ1,402,180,8.277645765670897,6.927245936145315,-1.4748320227623013,21.877992443612733,18.144087691792183,17.989047984031647,0.009368641976152503,-0.09454781977399307,37.19859319903924,0.20660680309479493,6.719363933309921,6.051654815638963,12.451534282608819,1.1609755158470698,0.23858967224491584,0.9971840094973486,18.58484981267702,18.020646831015824,2017-09-20,2017-09-06,-14,0.19655437996704753,0.2229788621536784,0.20028716716365882
612,A,False,ATU1,582,180,11.055528081824084,7.55286639819048,0.20514481180870853,9.647104317382386,7.3308302856571155,7.297960758353374,-0.0018788658713333461,0.090854189683796,20.436011910364982,0.1135438376457573,5.320698769004508,4.3886555720076945,6.309230577494542,3.2875020043868144,0.10363685906054364,0.8838716907284832,12.600959592901006,19.530147634161267,2018-05-15,2018-07-13,59,0.04234934664648904,0.07949540920547425,0.21878675708530865
612,A,False,ATU5,582,180,11.60988177541122,9.001466632487729,0.10975384395179308,52.226711310764315,36.6715493565896,33.57744755342512,-0.0020478312972045387,0.09416925235410645,93.12208089846547,0.5173562707209037,28.5686914234709,19.214596385884235,40.0023048102844,18.660841426709275,0.6809568510926012,0.8723334606860527,25.6905698473837,93.89521719032871,2018-06-05,2018-06-30,25,-0.03070697213573984,1.1123917193126185,0.47038406498583263
612,A,False,MJ3,582,180,8.59279734470371,7.552567196962682,-2.125276089959982,124.33704152965943,96.15317559027143,96.15317559027143,0.016379733961457532,0.2463488163564307,208.35366116596902,1.157429341288931,45.27330337943952,34.09370567219726,78.83062044824129,20.739514877941392,1.4636734319042766,0.9721775014873378,4.3494331583199255,107.55395077711023,2018-03-05,2018-06-28,115,0.46111946062438086,2.2395881395867034,0.7715804236557081
612,A,False,MJ1,582,180,8.557094835423912,5.67546449367751,-0.7274919715226293,67.38395355036124,52.683103567705096,40.84312506001554,0.007655870047869939,-0.23716370183262825,105.60702587332526,0.5866631666848744,39.755541151520106,23.62962436962059,53.59511480917988,25.025743097659326,0.9121033570271008,0.86206928504226,18.02914382281506,113.81260835124817,2018-04-12,2018-06-21,70,-0.28385834894397893,1.8160136630052042,0.22783418599339786
612,B,True,ATU1,582,180,8.205017090481682,6.205121246043955,2.6691701267343775,4.264416212270162,2.9570455475789585,0.3749605518646828,-0.008536228936293355,-0.010268056899974454,-1.682008636021635,-0.0092970689282519,6.671237282874468,4.700870167185015,4.247899506346394,4.194369132734534,0.012937624472720557,0.03258208450101485,12.600959592901006,31.43749159407173,2018-05-15,2018-05-30,15,-0.08897125264869885,0.09938362788829048,-0.03830358202434733
