arm,reference,part,station,metric,reference_value,candidate_value,difference,relative_difference
TIME_ONLY,v1.1-e0,prediction,ATU1,coverage_80,0.2047872340425532,0.21010638297872342,0.0053191489361702204,0.02597402597402601
TIME_ONLY,v1.1-e0,prediction,ATU1,width_80_mm,33.8935000996139,39.17426126192709,5.2807611623131905,0.15580453912381112
TIME_ONLY,v1.1-e0,prediction,ATU1,interval_score_80_mm,245.34862139184128,226.4889994295479,-18.859621962293375,-0.07686866897928502
TIME_ONLY,v1.1-e0,prediction,ATU1,coverage_90,0.21010638297872342,0.2154255319148936,0.005319148936170193,0.025316455696202434
TIME_ONLY,v1.1-e0,prediction,ATU1,width_90_mm,43.50183614124886,50.27962071239515,6.777784571146292,0.15580456303359413
TIME_ONLY,v1.1-e0,prediction,ATU1,interval_score_90_mm,390.37215448761157,335.57621469593147,-54.7959397916801,-0.14036846419951052
TIME_ONLY,v1.1-e0,prediction,ATU1,coverage_95,0.2154255319148936,0.2553191489361702,0.039893617021276584,0.18518518518518515
TIME_ONLY,v1.1-e0,prediction,ATU1,width_95_mm,51.835635679296686,59.91186324762437,8.076227568327681,0.15580454377553532
TIME_ONLY,v1.1-e0,prediction,ATU1,interval_score_95_mm,614.3918689631907,477.2960217437426,-137.09584721944816,-0.22314072523583772
TIME_ONLY,v1.1-e0,prediction,ATU5,mae_mm,43.554990849068666,43.52186413322823,-0.03312671584043869,-0.0007605722144502997
TIME_ONLY,v1.1-e0,prediction,ATU5,rmse_mm,48.518020357563614,48.51432990093615,-0.0036904566274671424,-7.606362749901082e-05
TIME_ONLY,v1.1-e0,prediction,ATU5,crps_mm,37.37794887783971,31.794742638748847,-5.58320623909086,-0.1493716591388721
TIME_ONLY,v1.1-e0,prediction,ATU5,coverage_80,0.2074468085106383,0.22074468085106383,0.013297872340425537,0.06410256410256412
TIME_ONLY,v1.1-e0,prediction,ATU5,width_80_mm,33.893500099614066,68.42110611370127,34.527606014087205,1.0187087763910332
TIME_ONLY,v1.1-e0,prediction,ATU5,interval_score_80_mm,323.29287911314185,210.4317890224249,-112.86109009071694,-0.3490985956768299
TIME_ONLY,v1.1-e0,prediction,ATU5,coverage_90,0.2127659574468085,0.4228723404255319,0.2101063829787234,0.9874999999999999
TIME_ONLY,v1.1-e0,prediction,ATU5,width_90_mm,43.50183614124882,87.81754022411916,44.31570408287033,1.0187088181514663
TIME_ONLY,v1.1-e0,prediction,ATU5,interval_score_90_mm,546.5177285589543,231.82610665053474,-314.6916219084196,-0.5758122846960362
TIME_ONLY,v1.1-e0,prediction,ATU5,coverage_95,0.2154255319148936,0.5851063829787234,0.3696808510638298,1.7160493827160495
TIME_ONLY,v1.1-e0,prediction,ATU5,width_95_mm,51.83563567929679,104.64105309674987,52.80541741745308,1.0187087845156613
TIME_ONLY,v1.1-e0,prediction,ATU5,interval_score_95_mm,926.9038959353436,220.95973169121285,-705.9441642441308,-0.7616152735357302
TIME_ONLY,v1.1-e0,prediction,MJ3,mae_mm,20.525886341157616,19.869499557609267,-0.6563867835483492,-0.03197848670886338
TIME_ONLY,v1.1-e0,prediction,MJ3,rmse_mm,36.377155092530664,36.00958056843446,-0.36757452409620583,-0.010104542896805036
TIME_ONLY,v1.1-e0,prediction,MJ3,crps_mm,18.609021218406333,17.14487327490459,-1.464147943501743,-0.07867947090379705
TIME_ONLY,v1.1-e0,prediction,MJ3,coverage_80,0.7287234042553191,0.7446808510638298,0.015957446808510634,0.021897810218978096
TIME_ONLY,v1.1-e0,prediction,MJ3,width_80_mm,33.893500099613625,37.703183181371266,3.8096830817576404,0.11240158350600886
TIME_ONLY,v1.1-e0,prediction,MJ3,interval_score_80_mm,167.37684802606904,145.69149680712422,-21.685351218944817,-0.12956004055929712
TIME_ONLY,v1.1-e0,prediction,MJ3,coverage_90,0.7393617021276596,0.7579787234042553,0.018617021276595702,0.025179856115107854
TIME_ONLY,v1.1-e0,prediction,MJ3,width_90_mm,43.5018361412478,48.39151241000438,4.889676268756581,0.11240160651794333
TIME_ONLY,v1.1-e0,prediction,MJ3,interval_score_90_mm,284.89388059468445,227.77016044051243,-57.12372015417202,-0.20050876500026107
TIME_ONLY,v1.1-e0,prediction,MJ3,coverage_95,0.7446808510638298,0.7712765957446809,0.02659574468085113,0.0357142857142858
TIME_ONLY,v1.1-e0,prediction,MJ3,width_95_mm,51.83563567929668,57.66204344375999,5.826407764463312,0.11240158798304074
