mean_source,scale_source,role,original_model,phase,days,station,metric,value,unit
bplus,e0,frozen_original,v1.1-e0,train,762,MJ1,interval_score_95,51.835635679296665,mm
bplus,e0,frozen_original,v1.1-e0,train,762,point_mean,interval_score_95,70.45531432063734,mm
bplus,e0,frozen_original,v1.1-e0,train,762,pooled,rmse,13.223619283436893,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU1,mae,35.97756723316945,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU5,mae,43.55499084906868,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ3,mae,20.525886341157616,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ1,mae,33.00210298445224,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,point_mean,mae,33.265136851962,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU1,rmse,40.328442814079295,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU5,rmse,48.518020357563614,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ3,rmse,36.377155092530664,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ1,rmse,40.24986922358542,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,point_mean,rmse,41.36837187193975,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU1,crps,29.680364798935226,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU5,crps,37.37794887783971,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ3,crps,18.60902121840634,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ1,crps,26.79504843175213,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,point_mean,crps,28.11559583173335,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU1,coverage_80,0.2047872340425532,fraction
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU5,coverage_80,0.2074468085106383,fraction
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ3,coverage_80,0.7287234042553191,fraction
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ1,coverage_80,0.21808510638297873,fraction
bplus,e0,frozen_original,v1.1-e0,prediction,376,point_mean,coverage_80,0.33976063829787234,fraction
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU1,width_80,33.89350009961365,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU5,width_80,33.893500099613895,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ3,width_80,33.893500099613505,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ1,width_80,33.893500099613725,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,point_mean,width_80,33.893500099613696,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU1,interval_score_80,245.3486213918415,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU5,interval_score_80,323.2928791131418,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ3,interval_score_80,167.376848026069,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ1,interval_score_80,214.32216949345434,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,point_mean,interval_score_80,237.58512950612663,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU1,coverage_90,0.21010638297872342,fraction
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU5,coverage_90,0.2127659574468085,fraction
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ3,coverage_90,0.7393617021276596,fraction
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ1,coverage_90,0.2872340425531915,fraction
bplus,e0,frozen_original,v1.1-e0,prediction,376,point_mean,coverage_90,0.3623670212765957,fraction
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU1,width_90,43.50183614124907,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU5,width_90,43.50183614124911,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ3,width_90,43.50183614124767,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ1,width_90,43.50183614124874,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,point_mean,width_90,43.501836141248646,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU1,interval_score_90,390.37215448761174,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU5,interval_score_90,546.5177285589542,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ3,interval_score_90,284.8938805946844,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ1,interval_score_90,331.9710558459845,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,point_mean,interval_score_90,388.4387048718087,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU1,coverage_95,0.2154255319148936,fraction
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU5,coverage_95,0.2154255319148936,fraction
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ3,coverage_95,0.7446808510638298,fraction
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ1,coverage_95,0.3696808510638298,fraction
bplus,e0,frozen_original,v1.1-e0,prediction,376,point_mean,coverage_95,0.3863031914893617,fraction
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU1,width_95,51.835635679297035,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU5,width_95,51.835635679297134,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ3,width_95,51.8356356792971,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ1,width_95,51.83563567929722,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,point_mean,width_95,51.83563567929712,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU1,interval_score_95,614.3918689631907,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,ATU5,interval_score_95,926.9038959353436,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ3,interval_score_95,491.60777967314965,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,MJ1,interval_score_95,516.5515044442225,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,point_mean,interval_score_95,637.3637622539766,mm
bplus,e0,frozen_original,v1.1-e0,prediction,376,pooled,rmse,41.604479880077754,mm
bplus,v23,cross_diagnostic,,train,762,ATU1,mae,7.991466305348942,mm
bplus,v23,cross_diagnostic,,train,762,ATU5,mae,12.371456182607602,mm
bplus,v23,cross_diagnostic,,train,762,MJ3,mae,11.41887299723195,mm
bplus,v23,cross_diagnostic,,train,762,MJ1,mae,6.543584625410904,mm
bplus,v23,cross_diagnostic,,train,762,point_mean,mae,9.58134502764985,mm
bplus,v23,cross_diagnostic,,train,762,ATU1,rmse,12.120612203379453,mm
bplus,v23,cross_diagnostic,,train,762,ATU5,rmse,16.622195814887352,mm
bplus,v23,cross_diagnostic,,train,762,MJ3,rmse,14.54692253646293,mm
bplus,v23,cross_diagnostic,,train,762,MJ1,rmse,8.039703889952275,mm
bplus,v23,cross_diagnostic,,train,762,point_mean,rmse,12.832358611170502,mm
bplus,v23,cross_diagnostic,,train,762,ATU1,crps,6.841118749431386,mm
bplus,v23,cross_diagnostic,,train,762,ATU5,crps,9.072289084497573,mm
bplus,v23,cross_diagnostic,,train,762,MJ3,crps,8.512762746591637,mm
bplus,v23,cross_diagnostic,,train,762,MJ1,crps,5.440564146551743,mm
bplus,v23,cross_diagnostic,,train,762,point_mean,crps,7.466683681768085,mm
bplus,v23,cross_diagnostic,,train,762,ATU1,coverage_80,0.9409448818897638,fraction
bplus,v23,cross_diagnostic,,train,762,ATU5,coverage_80,0.910761154855643,fraction
bplus,v23,cross_diagnostic,,train,762,MJ3,coverage_80,0.8608923884514436,fraction
bplus,v23,cross_diagnostic,,train,762,MJ1,coverage_80,0.9986876640419947,fraction
bplus,v23,cross_diagnostic,,train,762,point_mean,coverage_80,0.9278215223097113,fraction
bplus,v23,cross_diagnostic,,train,762,ATU1,width_80,48.03014672361514,mm
bplus,v23,cross_diagnostic,,train,762,ATU5,width_80,48.1305367165013,mm
bplus,v23,cross_diagnostic,,train,762,MJ3,width_80,47.2654124636558,mm
bplus,v23,cross_diagnostic,,train,762,MJ1,width_80,42.466539870086905,mm
bplus,v23,cross_diagnostic,,train,762,point_mean,width_80,46.47315894346478,mm
bplus,v23,cross_diagnostic,,train,762,ATU1,interval_score_80,56.84263814924417,mm
bplus,v23,cross_diagnostic,,train,762,ATU5,interval_score_80,61.70668323146758,mm
bplus,v23,cross_diagnostic,,train,762,MJ3,interval_score_80,51.80472208914908,mm
bplus,v23,cross_diagnostic,,train,762,MJ1,interval_score_80,42.49269111871053,mm
bplus,v23,cross_diagnostic,,train,762,point_mean,interval_score_80,53.211683647142834,mm
bplus,v23,cross_diagnostic,,train,762,ATU1,coverage_90,0.9566929133858267,fraction
bplus,v23,cross_diagnostic,,train,762,ATU5,coverage_90,0.9461942257217848,fraction
bplus,v23,cross_diagnostic,,train,762,MJ3,coverage_90,0.9816272965879265,fraction
bplus,v23,cross_diagnostic,,train,762,MJ1,coverage_90,1.0,fraction
bplus,v23,cross_diagnostic,,train,762,point_mean,coverage_90,0.9711286089238844,fraction
bplus,v23,cross_diagnostic,,train,762,ATU1,width_90,61.64695217097224,mm
bplus,v23,cross_diagnostic,,train,762,ATU5,width_90,61.776964451114736,mm
bplus,v23,cross_diagnostic,,train,762,MJ3,width_90,60.66543349969248,mm
bplus,v23,cross_diagnostic,,train,762,MJ1,width_90,54.50885037850754,mm
bplus,v23,cross_diagnostic,,train,762,point_mean,width_90,59.64955012507175,mm
bplus,v23,cross_diagnostic,,train,762,ATU1,interval_score_90,73.07578379899078,mm
bplus,v23,cross_diagnostic,,train,762,ATU5,interval_score_90,80.48179097596167,mm
bplus,v23,cross_diagnostic,,train,762,MJ3,interval_score_90,61.19713371011717,mm
bplus,v23,cross_diagnostic,,train,762,MJ1,interval_score_90,54.50885037850754,mm
bplus,v23,cross_diagnostic,,train,762,point_mean,interval_score_90,67.31588971589429,mm
bplus,v23,cross_diagnostic,,train,762,ATU1,coverage_95,0.973753280839895,fraction
bplus,v23,cross_diagnostic,,train,762,ATU5,coverage_95,0.9606299212598425,fraction
bplus,v23,cross_diagnostic,,train,762,MJ3,coverage_95,1.0,fraction
bplus,v23,cross_diagnostic,,train,762,MJ1,coverage_95,1.0,fraction
bplus,v23,cross_diagnostic,,train,762,point_mean,coverage_95,0.9835958005249343,fraction
bplus,v23,cross_diagnostic,,train,762,ATU1,width_95,73.4580547482311,mm
bplus,v23,cross_diagnostic,,train,762,ATU5,width_95,73.61445636763892,mm
bplus,v23,cross_diagnostic,,train,762,MJ3,width_95,72.28851097359332,mm
bplus,v23,cross_diagnostic,,train,762,MJ1,width_95,64.95594364549926,mm
bplus,v23,cross_diagnostic,,train,762,point_mean,width_95,71.07924143374065,mm
bplus,v23,cross_diagnostic,,train,762,ATU1,interval_score_95,88.43671973518597,mm
bplus,v23,cross_diagnostic,,train,762,ATU5,interval_score_95,101.04576085015253,mm
bplus,v23,cross_diagnostic,,train,762,MJ3,interval_score_95,72.28851097359332,mm
bplus,v23,cross_diagnostic,,train,762,MJ1,interval_score_95,64.95594364549926,mm
bplus,v23,cross_diagnostic,,train,762,point_mean,interval_score_95,81.68173380110777,mm
bplus,v23,cross_diagnostic,,train,762,pooled,rmse,13.223619283436893,mm
bplus,v23,cross_diagnostic,,prediction,376,ATU1,mae,35.97756723316945,mm
bplus,v23,cross_diagnostic,,prediction,376,ATU5,mae,43.55499084906868,mm
bplus,v23,cross_diagnostic,,prediction,376,MJ3,mae,20.525886341157616,mm
bplus,v23,cross_diagnostic,,prediction,376,MJ1,mae,33.00210298445224,mm
bplus,v23,cross_diagnostic,,prediction,376,point_mean,mae,33.265136851962,mm
bplus,v23,cross_diagnostic,,prediction,376,ATU1,rmse,40.328442814079295,mm
bplus,v23,cross_diagnostic,,prediction,376,ATU5,rmse,48.518020357563614,mm
bplus,v23,cross_diagnostic,,prediction,376,MJ3,rmse,36.377155092530664,mm
bplus,v23,cross_diagnostic,,prediction,376,MJ1,rmse,40.24986922358542,mm
bplus,v23,cross_diagnostic,,prediction,376,point_mean,rmse,41.36837187193975,mm
bplus,v23,cross_diagnostic,,prediction,376,ATU1,crps,27.758069266662808,mm
bplus,v23,cross_diagnostic,,prediction,376,ATU5,crps,35.15629223163655,mm
bplus,v23,cross_diagnostic,,prediction,376,MJ3,crps,18.918849102995132,mm
bplus,v23,cross_diagnostic,,prediction,376,MJ1,crps,26.025764044624943,mm
bplus,v23,cross_diagnostic,,prediction,376,point_mean,crps,26.964743661479858,mm
bplus,v23,cross_diagnostic,,prediction,376,ATU1,coverage_80,0.2154255319148936,fraction
bplus,v23,cross_diagnostic,,prediction,376,ATU5,coverage_80,0.2154255319148936,fraction
bplus,v23,cross_diagnostic,,prediction,376,MJ3,coverage_80,0.7287234042553191,fraction
bplus,v23,cross_diagnostic,,prediction,376,MJ1,coverage_80,0.28191489361702127,fraction
bplus,v23,cross_diagnostic,,prediction,376,point_mean,coverage_80,0.3603723404255319,fraction
bplus,v23,cross_diagnostic,,prediction,376,ATU1,width_80,47.898688901443265,mm
bplus,v23,cross_diagnostic,,prediction,376,ATU5,width_80,48.116185983565366,mm
bplus,v23,cross_diagnostic,,prediction,376,MJ3,width_80,46.703449945379944,mm
bplus,v23,cross_diagnostic,,prediction,376,MJ1,width_80,42.299410819244706,mm
bplus,v23,cross_diagnostic,,prediction,376,point_mean,width_80,46.25443391240832,mm
bplus,v23,cross_diagnostic,,prediction,376,ATU1,interval_score_80,206.50179017082317,mm
bplus,v23,cross_diagnostic,,prediction,376,ATU5,interval_score_80,281.593153232954,mm
bplus,v23,cross_diagnostic,,prediction,376,MJ3,interval_score_80,167.43035584857617,mm
bplus,v23,cross_diagnostic,,prediction,376,MJ1,interval_score_80,198.11212320303375,mm
bplus,v23,cross_diagnostic,,prediction,376,point_mean,interval_score_80,213.40935561384677,mm
bplus,v23,cross_diagnostic,,prediction,376,ATU1,coverage_90,0.2925531914893617,fraction
bplus,v23,cross_diagnostic,,prediction,376,ATU5,coverage_90,0.21808510638297873,fraction
bplus,v23,cross_diagnostic,,prediction,376,MJ3,coverage_90,0.7367021276595744,fraction
bplus,v23,cross_diagnostic,,prediction,376,MJ1,coverage_90,0.3617021276595745,fraction
bplus,v23,cross_diagnostic,,prediction,376,point_mean,coverage_90,0.40226063829787234,fraction
bplus,v23,cross_diagnostic,,prediction,376,ATU1,width_90,61.478175193847086,mm
bplus,v23,cross_diagnostic,,prediction,376,ATU5,width_90,61.758451237230766,mm
bplus,v23,cross_diagnostic,,prediction,376,MJ3,width_90,59.94412359131147,mm
bplus,v23,cross_diagnostic,,prediction,376,MJ1,width_90,54.294243057639484,mm
bplus,v23,cross_diagnostic,,prediction,376,point_mean,width_90,59.368748270007195,mm
bplus,v23,cross_diagnostic,,prediction,376,ATU1,interval_score_90,276.43018452277977,mm
bplus,v23,cross_diagnostic,,prediction,376,ATU5,interval_score_90,421.92837161120787,mm
bplus,v23,cross_diagnostic,,prediction,376,MJ3,interval_score_90,268.4082964098472,mm
bplus,v23,cross_diagnostic,,prediction,376,MJ1,interval_score_90,289.01233264910314,mm
bplus,v23,cross_diagnostic,,prediction,376,point_mean,interval_score_90,313.9447962982345,mm
bplus,v23,cross_diagnostic,,prediction,376,ATU1,coverage_95,0.4734042553191489,fraction
bplus,v23,cross_diagnostic,,prediction,376,ATU5,coverage_95,0.2473404255319149,fraction
bplus,v23,cross_diagnostic,,prediction,376,MJ3,coverage_95,0.7473404255319149,fraction
bplus,v23,cross_diagnostic,,prediction,376,MJ1,coverage_95,0.6675531914893617,fraction
bplus,v23,cross_diagnostic,,prediction,376,point_mean,coverage_95,0.5339095744680851,fraction
bplus,v23,cross_diagnostic,,prediction,376,ATU1,width_95,73.25687639168822,mm
bplus,v23,cross_diagnostic,,prediction,376,ATU5,width_95,73.59227418289427,mm
bplus,v23,cross_diagnostic,,prediction,376,MJ3,width_95,71.42896764016363,mm
bplus,v23,cross_diagnostic,,prediction,376,MJ1,width_95,64.7000969362485,mm
bplus,v23,cross_diagnostic,,prediction,376,point_mean,width_95,70.74455378774866,mm
bplus,v23,cross_diagnostic,,prediction,376,ATU1,interval_score_95,361.3587468056312,mm
bplus,v23,cross_diagnostic,,prediction,376,ATU5,interval_score_95,610.5085108128823,mm
bplus,v23,cross_diagnostic,,prediction,376,MJ3,interval_score_95,432.39922803370746,mm
bplus,v23,cross_diagnostic,,prediction,376,MJ1,interval_score_95,440.452126967025,mm
bplus,v23,cross_diagnostic,,prediction,376,point_mean,interval_score_95,461.1796531548115,mm
bplus,v23,cross_diagnostic,,prediction,376,pooled,rmse,41.604479880077754,mm
neural,e0,cross_diagnostic,,train,762,ATU1,mae,48.83310034276472,mm
neural,e0,cross_diagnostic,,train,762,ATU5,mae,47.36001623074856,mm
neural,e0,cross_diagnostic,,train,762,MJ3,mae,27.881615432439325,mm
neural,e0,cross_diagnostic,,train,762,MJ1,mae,12.672155544676624,mm
neural,e0,cross_diagnostic,,train,762,point_mean,mae,34.18672188765731,mm
neural,e0,cross_diagnostic,,train,762,ATU1,rmse,57.09020415640713,mm
neural,e0,cross_diagnostic,,train,762,ATU5,rmse,56.02795655853323,mm
neural,e0,cross_diagnostic,,train,762,MJ3,rmse,35.22006736171718,mm
neural,e0,cross_diagnostic,,train,762,MJ1,rmse,15.366943104329229,mm
neural,e0,cross_diagnostic,,train,762,point_mean,rmse,40.926292795246695,mm
neural,e0,cross_diagnostic,,train,762,ATU1,crps,42.285857743808016,mm
neural,e0,cross_diagnostic,,train,762,ATU5,crps,41.126551798977374,mm
neural,e0,cross_diagnostic,,train,762,MJ3,crps,22.539540934232054,mm
neural,e0,cross_diagnostic,,train,762,MJ1,crps,8.865487154000766,mm
neural,e0,cross_diagnostic,,train,762,point_mean,crps,28.70435940775455,mm
neural,e0,cross_diagnostic,,train,762,ATU1,coverage_80,0.17979002624671916,fraction
neural,e0,cross_diagnostic,,train,762,ATU5,coverage_80,0.2125984251968504,fraction
neural,e0,cross_diagnostic,,train,762,MJ3,coverage_80,0.41601049868766404,fraction
neural,e0,cross_diagnostic,,train,762,MJ1,coverage_80,0.6916010498687664,fraction
neural,e0,cross_diagnostic,,train,762,point_mean,coverage_80,0.375,fraction
neural,e0,cross_diagnostic,,train,762,ATU1,width_80,34.35100730559362,mm
neural,e0,cross_diagnostic,,train,762,ATU5,width_80,34.479912036232555,mm
neural,e0,cross_diagnostic,,train,762,MJ3,width_80,34.12350351910406,mm
neural,e0,cross_diagnostic,,train,762,MJ1,width_80,33.94216538802874,mm
neural,e0,cross_diagnostic,,train,762,point_mean,width_80,34.224147062239744,mm
neural,e0,cross_diagnostic,,train,762,ATU1,interval_score_80,368.3312277250049,mm
neural,e0,cross_diagnostic,,train,762,ATU5,interval_score_80,358.33146161418955,mm
neural,e0,cross_diagnostic,,train,762,MJ3,interval_score_80,177.35147172716532,mm
neural,e0,cross_diagnostic,,train,762,MJ1,interval_score_80,55.53286663083696,mm
neural,e0,cross_diagnostic,,train,762,point_mean,interval_score_80,239.88675692429916,mm
neural,e0,cross_diagnostic,,train,762,ATU1,coverage_90,0.1942257217847769,fraction
neural,e0,cross_diagnostic,,train,762,ATU5,coverage_90,0.2690288713910761,fraction
neural,e0,cross_diagnostic,,train,762,MJ3,coverage_90,0.5459317585301837,fraction
neural,e0,cross_diagnostic,,train,762,MJ1,coverage_90,0.7965879265091863,fraction
neural,e0,cross_diagnostic,,train,762,point_mean,coverage_90,0.4514435695538058,fraction
neural,e0,cross_diagnostic,,train,762,ATU1,width_90,44.084521328523216,mm
neural,e0,cross_diagnostic,,train,762,ATU5,width_90,44.247439694420066,mm
neural,e0,cross_diagnostic,,train,762,MJ3,width_90,43.79577905682727,mm
neural,e0,cross_diagnostic,,train,762,MJ1,width_90,43.56424144375992,mm
neural,e0,cross_diagnostic,,train,762,point_mean,width_90,43.92299538088262,mm
neural,e0,cross_diagnostic,,train,762,ATU1,interval_score_90,632.8046292977829,mm
neural,e0,cross_diagnostic,,train,762,ATU5,interval_score_90,617.347013259329,mm
neural,e0,cross_diagnostic,,train,762,MJ3,interval_score_90,279.862547702377,mm
neural,e0,cross_diagnostic,,train,762,MJ1,interval_score_90,61.7530916393458,mm
neural,e0,cross_diagnostic,,train,762,point_mean,interval_score_90,397.9418204747086,mm
neural,e0,cross_diagnostic,,train,762,ATU1,coverage_95,0.2742782152230971,fraction
neural,e0,cross_diagnostic,,train,762,ATU5,coverage_95,0.31627296587926507,fraction
neural,e0,cross_diagnostic,,train,762,MJ3,coverage_95,0.5787401574803149,fraction
neural,e0,cross_diagnostic,,train,762,MJ1,coverage_95,0.9041994750656168,fraction
neural,e0,cross_diagnostic,,train,762,point_mean,coverage_95,0.5183727034120735,fraction
neural,e0,cross_diagnostic,,train,762,ATU1,width_95,52.5243265618831,mm
neural,e0,cross_diagnostic,,train,762,ATU5,width_95,52.71539344842704,mm
neural,e0,cross_diagnostic,,train,762,MJ3,width_95,52.18430239445167,mm
neural,e0,cross_diagnostic,,train,762,MJ1,width_95,51.90992411202057,mm
neural,e0,cross_diagnostic,,train,762,point_mean,width_95,52.3334866291956,mm
neural,e0,cross_diagnostic,,train,762,ATU1,interval_score_95,1099.9280806511279,mm
neural,e0,cross_diagnostic,,train,762,ATU5,interval_score_95,1079.1590777732144,mm
neural,e0,cross_diagnostic,,train,762,MJ3,interval_score_95,450.6958404828037,mm
neural,e0,cross_diagnostic,,train,762,MJ1,interval_score_95,64.18799911123813,mm
neural,e0,cross_diagnostic,,train,762,point_mean,interval_score_95,673.4927495045961,mm
neural,e0,cross_diagnostic,,train,762,pooled,rmse,44.37065306055546,mm
neural,e0,cross_diagnostic,,prediction,376,ATU1,mae,212.2379856597198,mm
neural,e0,cross_diagnostic,,prediction,376,ATU5,mae,245.6443672891367,mm
neural,e0,cross_diagnostic,,prediction,376,MJ3,mae,151.99147102149962,mm
neural,e0,cross_diagnostic,,prediction,376,MJ1,mae,100.27545575839703,mm
neural,e0,cross_diagnostic,,prediction,376,point_mean,mae,177.5373199321883,mm
neural,e0,cross_diagnostic,,prediction,376,ATU1,rmse,229.70530445731288,mm
neural,e0,cross_diagnostic,,prediction,376,ATU5,rmse,266.02107171631445,mm
neural,e0,cross_diagnostic,,prediction,376,MJ3,rmse,158.90429298808908,mm
