seed,phase,quantity,axis,unit,samples,signed_mean,mean_absolute,rms,max_absolute
0,prediction,contact_reaction,O1_up,original_generalized_reaction,24064,-10.784747424908902,10.786755870889413,15.643870420032346,37.34491066573905
0,prediction,contact_reaction,O1_down,original_generalized_reaction,24064,-1.0841278240332228,1.0841278240332228,1.5294048885223925,3.603582631142779
0,prediction,bulk_reaction,O3,original_generalized_reaction,24064,1.3928962768879643e-25,1.3928962768879643e-25,1.5017401796231202e-25,2.4603898137624554e-25
0,prediction,bulk_reaction,O2,original_generalized_reaction,24064,5.13486897831245e-26,5.13486897831245e-26,5.538505976190164e-26,9.189160583754586e-26
0,prediction,bulk_reaction,O1_up,original_generalized_reaction,24064,1448.4021372122977,1448.4021372122977,1476.9937955547393,1937.5525834096807
0,prediction,bulk_reaction,O1_down,original_generalized_reaction,24064,-1448.4021372122977,1448.4021372122977,1476.9937955547393,1937.5525834096807
0,prediction,background,O3,mm,24064,0.0,0.0,0.0,0.0
0,prediction,background,O2,mm,24064,0.0,0.0,0.0,0.0
0,prediction,background,O1_up,mm,24064,0.0,0.0,0.0,0.0
0,prediction,background,O1_down,mm,24064,0.0,0.0,0.0,0.0
0,prediction,observed_mean,ATU1,mm,376,167.0877893731864,167.0877893731864,181.23848327879955,301.8427587661712
0,prediction,observed_mean,ATU5,mm,376,199.24062117042774,199.24062117042774,216.0237799438174,363.3735713154409
0,prediction,observed_mean,MJ3,mm,376,125.87539741492405,125.87539741492405,129.03373548630645,170.23495617376489
0,prediction,observed_mean,MJ1,mm,376,59.44120629420417,59.44120629420417,61.15480714687161,81.20354247037585
1,train,motion,O3,mm,48768,4.558907210979092,48.69698578098575,56.06703605408749,106.47395780039528
1,train,motion,O2,mm,48768,8.533392812028726,47.8256122342994,55.65763917831673,109.92252770526625
1,train,motion,O1_up,mm,48768,5.3700813287882205,30.333584794617675,36.536921947555705,81.83028784867389
1,train,motion,O1_down,mm,48768,1.4438341329853996,2.0910120510093364,2.727536525281403,6.013791179296186
1,train,plastic,O3,mm,48768,4.597802844899082,48.74199747412763,56.10412498614166,107.36591987468466
1,train,plastic,O2,mm,48768,8.581001241873002,47.88345775643523,55.705476976471516,110.33855938724314
1,train,plastic,O1_up,mm,48768,11.135672608801633,42.58835881141272,51.35321602328981,107.91741321324969
1,train,plastic,O1_down,mm,48768,1.397124546771092,2.2606596637147236,2.9144951874657408,6.477634986093804
1,train,basal_reaction,O3,original_generalized_reaction,48768,2.770577498324815,33.39609882712775,38.54717412535519,74.88803221456998
1,train,basal_reaction,O2,original_generalized_reaction,48768,1.403495104685007,8.709378716284624,10.1606692259145,20.17223138182542
1,train,basal_reaction,O1_up,original_generalized_reaction,48768,79.95116065490522,308.0400962085798,371.67786595030503,775.378898720598
1,train,basal_reaction,O1_down,original_generalized_reaction,48768,71.59867507966618,117.33040049204796,151.19953830433371,333.9046401046181
1,train,contact_reaction,O3,original_generalized_reaction,48768,-0.000585470153840924,0.0011561916458144067,0.0014651745294656001,0.006695126300052322
1,train,contact_reaction,O2,original_generalized_reaction,48768,0.3607883951698718,8.051057004121253,10.31517011089525,26.169248326010155
1,train,contact_reaction,O1_up,original_generalized_reaction,48768,-0.32625514642756565,7.332042629041495,9.395338689532377,23.839527919061037
1,train,contact_reaction,O1_down,original_generalized_reaction,48768,-0.03265824828112706,0.6949177798561714,0.8885699470340792,2.2492938509655116
1,train,bulk_reaction,O3,original_generalized_reaction,48768,2.1782601759130068e-27,4.251531253422398e-26,4.9535160059273845e-26,9.979847107910752e-26
1,train,bulk_reaction,O2,original_generalized_reaction,48768,1.689797534071697e-27,1.2997245732566823e-26,1.5259279921592598e-26,3.139429035844745e-26
1,train,bulk_reaction,O1_up,original_generalized_reaction,48768,40.31512219419437,316.8365437879946,387.10574856161037,868.7599890946719
1,train,bulk_reaction,O1_down,original_generalized_reaction,48768,-40.31512219419437,316.8365437879946,387.10574856161037,868.7599890946719
1,train,background,O3,mm,48768,0.0,0.0,0.0,0.0
1,train,background,O2,mm,48768,0.0,0.0,0.0,0.0
1,train,background,O1_up,mm,48768,0.0,0.0,0.0,0.0
1,train,background,O1_down,mm,48768,4.5530799894404385e-21,4.5530799894404385e-21,1.0054784171961961e-18,2.220446049250313e-16
1,train,observed_mean,ATU1,mm,762,4.5971468760647145,48.736636865772695,56.09066806967993,106.37700529685253
1,train,observed_mean,ATU5,mm,762,8.579332855440718,47.87425987062646,55.69020257478184,109.84924967200382
1,train,observed_mean,MJ3,mm,762,4.796515631452749,25.56863854740651,30.729815068932783,68.49043239394291
1,train,observed_mean,MJ1,mm,762,3.0443096751148264,12.133305641053024,14.397585756580764,31.181218471718125
1,prediction,motion,O3,mm,24064,158.35966018269986,158.35966018269986,171.41076859349897,286.9433397961705
1,prediction,motion,O2,mm,24064,182.8990478546086,182.8990478546086,198.53934636972883,337.0345065737233
1,prediction,motion,O1_up,mm,24064,152.0701386405689,152.0701386405689,155.63883405947547,203.78684807597554
1,prediction,motion,O1_down,mm,24064,0.5785747673450916,2.107660503505968,2.623385745657778,5.929525698244298
1,prediction,plastic,O3,mm,24064,158.65833158562174,158.65833158562174,171.7159818081842,287.32984470663666
1,prediction,plastic,O2,mm,24064,183.25701079502943,183.25701079502943,198.91013355290596,337.4786632614084
1,prediction,plastic,O1_up,mm,24064,163.72918254049176,163.72918254049176,166.71042216982326,229.54411456928926
1,prediction,plastic,O1_down,mm,24064,0.8612595090068645,2.2092285739808872,2.797722397567476,6.302838196844929
1,prediction,basal_reaction,O3,original_generalized_reaction,24064,107.34992505785081,107.34992505785081,116.03140481514113,193.3935177622065
1,prediction,basal_reaction,O2,original_generalized_reaction,24064,32.68148425873949,32.68148425873949,35.41743748219009,59.8107406662117
