contrast,left_mean,left_scale,right_mean,right_scale,phase,station,metric,delta,unit,days
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU5,mae,0.0,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ3,mae,0.0,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ1,mae,0.0,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,point_mean,mae,0.0,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU1,rmse,0.0,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU5,rmse,0.0,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ3,rmse,0.0,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ1,rmse,0.0,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,point_mean,rmse,0.0,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU1,crps,-1.9222955322724182,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU5,crps,-2.221656646203158,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ3,crps,0.30982788458879185,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ1,crps,-0.7692843871271862,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,point_mean,crps,-1.1508521702534935,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU1,coverage_80,0.010638297872340413,fraction,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU5,coverage_80,0.007978723404255317,fraction,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ3,coverage_80,0.0,fraction,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ1,coverage_80,0.06382978723404253,fraction,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,point_mean,coverage_80,0.02061170212765956,fraction,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU1,width_80,14.005188801829618,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU5,width_80,14.22268588395147,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ3,width_80,12.80994984576644,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ1,width_80,8.405910719630981,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,point_mean,width_80,12.36093381279462,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU1,interval_score_80,-38.846831221018334,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU5,interval_score_80,-41.69972588018777,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ3,interval_score_80,0.05350782250715724,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ1,interval_score_80,-16.210046290420593,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,point_mean,interval_score_80,-24.175773892279864,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU1,coverage_90,0.08244680851063829,fraction,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU5,coverage_90,0.0053191489361702204,fraction,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ3,coverage_90,-0.0026595744680851796,fraction,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ1,coverage_90,0.07446808510638298,fraction,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,point_mean,coverage_90,0.03989361702127664,fraction,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU1,width_90,17.976339052598014,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU5,width_90,18.256615095981658,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ3,width_90,16.442287450063795,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ1,width_90,10.792406916390746,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,point_mean,width_90,15.86691212875855,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU1,interval_score_90,-113.94196996483197,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU5,interval_score_90,-124.58935694774635,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ3,interval_score_90,-16.485584184837194,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ1,interval_score_90,-42.95872319688135,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,point_mean,interval_score_90,-74.49390857357417,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU1,coverage_95,0.2579787234042553,fraction,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU5,coverage_95,0.031914893617021295,fraction,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ3,coverage_95,0.0026595744680851796,fraction,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ1,coverage_95,0.29787234042553185,fraction,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,point_mean,coverage_95,0.14760638297872336,fraction,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU1,width_95,21.42124071239119,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU5,width_95,21.756638503597138,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ3,width_95,19.593331960866536,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ1,width_95,12.86446125695128,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,point_mean,width_95,18.908918108451537,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU1,interval_score_95,-253.03312215755955,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,ATU5,interval_score_95,-316.39538512246133,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ3,interval_score_95,-59.20855163944219,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,MJ1,interval_score_95,-76.09937747719749,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,point_mean,interval_score_95,-176.18410909916508,mm,376
scale_v23_minus_e0,bplus,v23,bplus,e0,prediction,pooled,rmse,0.0,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU1,mae,0.0,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU5,mae,0.0,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ3,mae,0.0,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ1,mae,0.0,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,point_mean,mae,0.0,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU1,rmse,0.0,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU5,rmse,0.0,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ3,rmse,0.0,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ1,rmse,0.0,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,point_mean,rmse,0.0,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU1,crps,-2.1373820468758993,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU5,crps,-1.969267998175816,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ3,crps,-1.2710232843474714,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ1,crps,-0.12411459217492649,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,point_mean,crps,-1.375446980393523,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU1,coverage_80,0.08005249343832019,fraction,762
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU5,coverage_80,0.08923884514435693,fraction,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ3,coverage_80,0.09711286089238846,fraction,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ1,coverage_80,0.10892388451443569,fraction,762
scale_v23_minus_e0,neural,v23,neural,e0,train,point_mean,coverage_80,0.09383202099737531,fraction,762
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU1,width_80,14.007868970033726,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU5,width_80,14.075134684066015,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ3,width_80,13.323672340589894,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ1,width_80,8.565161688352852,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,point_mean,width_80,12.49295942076062,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU1,interval_score_80,-41.51627813737116,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU5,interval_score_80,-37.505110783040664,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ3,interval_score_80,-23.903107536211735,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ1,interval_score_80,-4.205076218261006,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,point_mean,interval_score_80,-26.782393168721114,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU1,coverage_90,0.1299212598425197,fraction,762
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU5,coverage_90,0.09055118110236221,fraction,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ3,coverage_90,0.040682414698162694,fraction,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ1,coverage_90,0.1561679790026247,fraction,762
scale_v23_minus_e0,neural,v23,neural,e0,train,point_mean,coverage_90,0.10433070866141725,fraction,762
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU1,width_90,17.982287959655956,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU5,width_90,18.071664433138032,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ3,width_90,17.101882497104164,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ1,width_90,10.996717749737549,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,point_mean,width_90,16.038138159908925,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU1,interval_score_90,-110.57474377746496,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU5,interval_score_90,-102.32789572278034,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ3,interval_score_90,-68.4743074629107,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ1,interval_score_90,-2.6624215040840227,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,point_mean,interval_score_90,-71.00984211680998,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU1,coverage_95,0.12335958005249348,fraction,762
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU5,coverage_95,0.08792650918635175,fraction,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ3,coverage_95,0.061679790026246795,fraction,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ1,coverage_95,0.07742782152230965,fraction,762
scale_v23_minus_e0,neural,v23,neural,e0,train,point_mean,coverage_95,0.08759842519685035,fraction,762
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU1,width_95,21.431409494992224,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU5,width_95,21.541519354350754,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ3,width_95,20.379579514443442,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ1,width_95,13.107800385492673,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,point_mean,width_95,19.115077187319777,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU1,interval_score_95,-258.013267193419,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,ATU5,interval_score_95,-246.60439724153298,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ3,interval_score_95,-173.8857292876629,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,MJ1,interval_score_95,3.5784268568579876,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,point_mean,interval_score_95,-168.73124171643929,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,train,pooled,rmse,0.0,mm,762
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU1,mae,0.0,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU5,mae,0.0,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ3,mae,0.0,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ1,mae,0.0,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,point_mean,mae,0.0,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU1,rmse,0.0,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU5,rmse,0.0,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ3,rmse,0.0,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ1,rmse,0.0,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,point_mean,rmse,0.0,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU1,crps,-2.757514071369883,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU5,crps,-2.636115352979715,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ3,crps,-2.7202438123209447,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ1,crps,-1.821556225372717,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,point_mean,crps,-2.483857365510829,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU1,coverage_80,0.0,fraction,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU5,coverage_80,0.0,fraction,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ3,coverage_80,0.0,fraction,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ1,coverage_80,0.0,fraction,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,point_mean,coverage_80,0.0,fraction,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU1,width_80,12.446277076881124,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU5,width_80,11.825615295364017,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ3,width_80,12.34816545484987,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ1,width_80,8.342044120449259,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,point_mean,width_80,11.240525486886071,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU1,interval_score_80,-49.87633783988986,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU5,interval_score_80,-45.493815905138945,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ3,interval_score_80,-49.22773730373001,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ1,interval_score_80,-33.36161896505837,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,point_mean,interval_score_80,-44.48987750345441,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU1,coverage_90,0.0,fraction,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU5,coverage_90,0.0,fraction,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ3,coverage_90,0.0,fraction,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ1,coverage_90,0.0,fraction,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,point_mean,coverage_90,0.0,fraction,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU1,width_90,16.204179176838082,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU5,width_90,15.671217304046557,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ3,width_90,15.875428361622788,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ1,width_90,10.708352069033047,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,point_mean,width_90,14.614794227885113,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU1,interval_score_90,-146.1410766543272,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU5,interval_score_90,-136.64643226432872,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ3,interval_score_90,-142.2234589369209,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ1,interval_score_90,-96.34138607912269,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,point_mean,interval_score_90,-130.33808848367562,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU1,coverage_95,0.0,fraction,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU5,coverage_95,0.0,fraction,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ3,coverage_95,0.0,fraction,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ1,coverage_95,0.0,fraction,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,point_mean,coverage_95,0.0,fraction,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU1,width_95,19.53473897375372,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU5,width_95,19.120945406776073,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ3,width_95,18.947429909188223,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ1,width_95,12.76165153246199,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,point_mean,width_95,17.591191455545,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU1,interval_score_95,-371.9632130285436,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,ATU5,interval_score_95,-354.4151200043434,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ3,interval_score_95,-358.15719012530644,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,MJ1,interval_score_95,-242.36060371647045,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,point_mean,interval_score_95,-331.7240317186652,mm,376
scale_v23_minus_e0,neural,v23,neural,e0,prediction,pooled,rmse,0.0,mm,376
scale_v23_minus_e0,replay,v23,replay,e0,train,ATU1,mae,0.0,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,ATU5,mae,0.0,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,MJ3,mae,0.0,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,MJ1,mae,0.0,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,point_mean,mae,0.0,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,ATU1,rmse,0.0,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,ATU5,rmse,0.0,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,MJ3,rmse,0.0,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,MJ1,rmse,0.0,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,point_mean,rmse,0.0,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,ATU1,crps,0.8136926552719386,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,ATU5,crps,0.2562527091855138,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,MJ3,crps,0.011115482901272955,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,MJ1,crps,0.5523773668929621,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,point_mean,crps,0.40835955356292164,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,ATU1,coverage_80,0.02099737532808399,fraction,762
scale_v23_minus_e0,replay,v23,replay,e0,train,ATU5,coverage_80,0.11154855643044626,fraction,762
scale_v23_minus_e0,replay,v23,replay,e0,train,MJ3,coverage_80,0.1824146981627296,fraction,762
scale_v23_minus_e0,replay,v23,replay,e0,train,MJ1,coverage_80,0.01443569553805768,fraction,762
scale_v23_minus_e0,replay,v23,replay,e0,train,point_mean,coverage_80,0.08234908136482932,fraction,762
scale_v23_minus_e0,replay,v23,replay,e0,train,ATU1,width_80,14.13500720629785,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,ATU5,width_80,14.235674156503649,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,MJ3,width_80,13.371298162570355,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,MJ1,width_80,8.572025890453496,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,point_mean,width_80,12.57850135395634,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,ATU1,interval_score_80,10.468763678574497,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,ATU5,interval_score_80,6.137332031929844,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,MJ3,interval_score_80,-6.112579752487541,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,MJ1,interval_score_80,7.933404656893245,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,point_mean,interval_score_80,4.606730153727511,mm,762
scale_v23_minus_e0,replay,v23,replay,e0,train,ATU1,coverage_90,0.017060367454068248,fraction,762
