artifact_status,formal_warning_output,vajont_used,decision_input_split,fold,method,scope,station,block,n,p50_bias_actual_minus_prediction_mean_mm,p50_bias_actual_minus_prediction_median_mm,p50_mae_mm,coverage_80,coverage_abs_error_to_0_8,normal_implied_coverage_80,width_mean_mm,interval_score_mean_mm,pinball_p10_mean_mm,pinball_p50_mean_mm,pinball_p90_mean_mm,pinball_three_quantile_mean_mm,z_median,green_rate,blue_rate,yellow_rate,orange_rate,red_rate
calibration_only_expert_review_not_formal,False,False,calibration,1,global_robust_location_scale,station,ATU2,O3,34,0.002929374792,-0.0161126526,0.03257728628,1,0.2,1,0.587240641,0.587240641,0.02599735441,0.01628864314,0.03272670969,0.02500423575,-0.07225261567,0.7941176471,0.2058823529,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,1,global_robust_location_scale,station,ATU1,O3,34,-0.03153373463,-0.07455115847,0.07335956564,1,0.2,1,0.9042220129,0.9042220129,0.04077124755,0.03667978282,0.04965095374,0.04236732804,-0.2286980476,0.6764705882,0.3235294118,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,1,global_robust_location_scale,station_macro,all,all,272,0.01990102778,0.005376536089,0.06216518637,0.9485294118,0.1514705882,0.9558823529,0.5210637679,0.5321161499,0.02477693095,0.03108259318,0.02843468405,0.02809806939,0.2225103618,0.375,0.4816176471,0.1323529412,0.01102941176,0
calibration_only_expert_review_not_formal,False,False,calibration,1,block_robust_location_scale,overall_micro,all,all,272,0.002089630901,-0.001093185567,0.07071036225,0.4191176471,0.3808823529,0.4117647059,0.09256623909,0.4517549469,0.02296647448,0.03535518112,0.02220902021,0.0268435586,-0.0295305746,0.5036764706,0.08088235294,0.1360294118,0.1985294118,0.08088235294
calibration_only_expert_review_not_formal,False,False,calibration,1,block_robust_location_scale,station,MJ9,O1,34,-0.01018744844,-0.005724394004,0.02320501716,0.5588235294,0.2411764706,0.6176470588,0.05359360892,0.1444296446,0.008824809987,0.01160250858,0.005618154476,0.008681824348,-0.2873274481,0.6470588235,0.2352941176,0.05882352941,0.05882352941,0
calibration_only_expert_review_not_formal,False,False,calibration,1,block_robust_location_scale,station,MJ1,O1,34,-0.1735664795,-0.1869166786,0.1735664795,0.05882352941,0.7411764706,0.05882352941,0.1464272787,1.431290749,0.1157225875,0.08678323973,0.02740648746,0.07663743821,-3.262191718,1,0,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,1,block_robust_location_scale,station,MJ3,O1,34,-0.03344495164,-0.02343054765,0.03344495164,0.7058823529,0.09411764706,0.7941176471,0.1090289815,0.15011746,0.005055112388,0.01672247582,0.009956633611,0.01057807394,-0.5803626174,1,0,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,1,block_robust_location_scale,station,ATU4,O2,34,0.0710836096,0.05832358214,0.0710836096,0.02941176471,0.7705882353,0,0.06310437814,0.414881368,0.009823573488,0.0355418048,0.03166456331,0.0256766472,2.485780786,0,0,0.08823529412,0.7647058824,0.1470588235
calibration_only_expert_review_not_formal,False,False,calibration,1,block_robust_location_scale,station,ATU5,O2,34,0.08470124886,0.07259156257,0.08470124886,0.1764705882,0.6235294118,0.05882352941,0.09667342834,0.3870047647,0.01239956843,0.04235062443,0.02630090804,0.02701703363,2.045799512,0,0,0.3823529412,0.5294117647,0.08823529412
calibration_only_expert_review_not_formal,False,False,calibration,1,block_robust_location_scale,station,ATU3,O2,34,-0.01101647379,-0.03727722176,0.07143371527,0.4705882353,0.3294117647,0.5,0.1115096801,0.4235200945,0.01551278921,0.03571685764,0.02683922024,0.02602295569,-0.9295593533,0.8235294118,0.02941176471,0.02941176471,0.02941176471,0.08823529412
