artifact_status,formal_warning_output,vajont_used,decision_input_split,fold,method,parameter_group,n_fit_rows,location_median_z,scale_multiplier,conformal_qhat_mm,conformal_quantile_level
calibration_only_expert_review_not_formal,False,False,calibration,2,station_symmetric_conformal,ATU1,125,0,1,0,0.808
calibration_only_expert_review_not_formal,False,False,calibration,2,station_symmetric_conformal,ATU2,125,0,1,0,0.808
calibration_only_expert_review_not_formal,False,False,calibration,2,station_symmetric_conformal,ATU3,125,0,1,0,0.808
calibration_only_expert_review_not_formal,False,False,calibration,2,station_symmetric_conformal,ATU4,125,0,1,0,0.808
calibration_only_expert_review_not_formal,False,False,calibration,2,station_symmetric_conformal,ATU5,125,0,1,0,0.808
calibration_only_expert_review_not_formal,False,False,calibration,2,station_symmetric_conformal,MJ1,125,0,1,0.01702490735,0.808
calibration_only_expert_review_not_formal,False,False,calibration,2,station_symmetric_conformal,MJ3,125,0,1,0.02800735798,0.808
calibration_only_expert_review_not_formal,False,False,calibration,2,station_symmetric_conformal,MJ9,125,0,1,0.03344618093,0.808
calibration_only_expert_review_not_formal,False,False,calibration,2,global_robust_location_scale,global,1000,0.1316804919,1.011023754,0,
calibration_only_expert_review_not_formal,False,False,calibration,2,block_robust_location_scale,O1,375,1.466493539,0.7988128098,0,
calibration_only_expert_review_not_formal,False,False,calibration,2,block_robust_location_scale,O2,375,0.02406486492,0.2301964942,0,
calibration_only_expert_review_not_formal,False,False,calibration,2,block_robust_location_scale,O3,250,-0.1471197826,0.1453248988,0,
calibration_only_expert_review_not_formal,False,False,calibration,2,station_robust_location_only,ATU1,125,-0.1387736659,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,2,station_robust_location_only,ATU2,125,-0.1657605812,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,2,station_robust_location_only,ATU3,125,0.0189597791,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,2,station_robust_location_only,ATU4,125,0.09483949035,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,2,station_robust_location_only,ATU5,125,-0.06762268769,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,2,station_robust_location_only,MJ1,125,1.298399013,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,2,station_robust_location_only,MJ3,125,1.467595579,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,2,station_robust_location_only,MJ9,125,1.963291044,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,2,station_robust_location_scale,ATU1,125,-0.1387736659,0.1488899717,0,
calibration_only_expert_review_not_formal,False,False,calibration,2,station_robust_location_scale,ATU2,125,-0.1657605812,0.19149371,0,
calibration_only_expert_review_not_formal,False,False,calibration,2,station_robust_location_scale,ATU3,125,0.0189597791,0.2345691867,0,
calibration_only_expert_review_not_formal,False,False,calibration,2,station_robust_location_scale,ATU4,125,0.09483949035,0.215022137,0,
calibration_only_expert_review_not_formal,False,False,calibration,2,station_robust_location_scale,ATU5,125,-0.06762268769,0.2744333389,0,
calibration_only_expert_review_not_formal,False,False,calibration,2,station_robust_location_scale,MJ1,125,1.298399013,0.8830762388,0,
calibration_only_expert_review_not_formal,False,False,calibration,2,station_robust_location_scale,MJ3,125,1.467595579,0.475301017,0,
calibration_only_expert_review_not_formal,False,False,calibration,2,station_robust_location_scale,MJ9,125,1.963291044,1.040768727,0,
calibration_only_expert_review_not_formal,False,False,calibration,3,raw,not_applicable,1272,0,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,3,station_symmetric_conformal,ATU1,159,0,1,0,0.8050314465
calibration_only_expert_review_not_formal,False,False,calibration,3,station_symmetric_conformal,ATU2,159,0,1,0,0.8050314465
calibration_only_expert_review_not_formal,False,False,calibration,3,station_symmetric_conformal,ATU3,159,0,1,0,0.8050314465
calibration_only_expert_review_not_formal,False,False,calibration,3,station_symmetric_conformal,ATU4,159,0,1,0,0.8050314465
calibration_only_expert_review_not_formal,False,False,calibration,3,station_symmetric_conformal,ATU5,159,0,1,0,0.8050314465
calibration_only_expert_review_not_formal,False,False,calibration,3,station_symmetric_conformal,MJ1,159,0,1,0.01377680593,0.8050314465
calibration_only_expert_review_not_formal,False,False,calibration,3,station_symmetric_conformal,MJ3,159,0,1,0.01767670496,0.8050314465
calibration_only_expert_review_not_formal,False,False,calibration,3,station_symmetric_conformal,MJ9,159,0,1,0.04156864796,0.8050314465
calibration_only_expert_review_not_formal,False,False,calibration,3,global_robust_location_scale,global,1272,0.1653146231,0.9247916224,0,
calibration_only_expert_review_not_formal,False,False,calibration,3,block_robust_location_scale,O1,477,1.391599917,0.8670252718,0,
calibration_only_expert_review_not_formal,False,False,calibration,3,block_robust_location_scale,O2,477,0.02697939443,0.2706531553,0,
calibration_only_expert_review_not_formal,False,False,calibration,3,block_robust_location_scale,O3,318,-0.1317127552,0.2048956891,0,
calibration_only_expert_review_not_formal,False,False,calibration,3,station_robust_location_only,ATU1,159,-0.102744468,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,3,station_robust_location_only,ATU2,159,-0.1644610096,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,3,station_robust_location_only,ATU3,159,0.02919774285,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,3,station_robust_location_only,ATU4,159,0.08288684339,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,3,station_robust_location_only,ATU5,159,-0.05274631586,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,3,station_robust_location_only,MJ1,159,1.246965689,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,3,station_robust_location_only,MJ3,159,1.355852547,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,3,station_robust_location_only,MJ9,159,1.963291044,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,3,station_robust_location_scale,ATU1,159,-0.102744468,0.1858197566,0,
calibration_only_expert_review_not_formal,False,False,calibration,3,station_robust_location_scale,ATU2,159,-0.1644610096,0.2762627621,0,
calibration_only_expert_review_not_formal,False,False,calibration,3,station_robust_location_scale,ATU3,159,0.02919774285,0.2723841439,0,
calibration_only_expert_review_not_formal,False,False,calibration,3,station_robust_location_scale,ATU4,159,0.08288684339,0.285231963,0,
calibration_only_expert_review_not_formal,False,False,calibration,3,station_robust_location_scale,ATU5,159,-0.05274631586,0.2901326503,0,
calibration_only_expert_review_not_formal,False,False,calibration,3,station_robust_location_scale,MJ1,159,1.246965689,0.8429425542,0,
calibration_only_expert_review_not_formal,False,False,calibration,3,station_robust_location_scale,MJ3,159,1.355852547,0.5869154897,0,
calibration_only_expert_review_not_formal,False,False,calibration,3,station_robust_location_scale,MJ9,159,1.963291044,1.065609665,0,
calibration_only_expert_review_not_formal,False,False,calibration,4,raw,not_applicable,1544,0,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,4,station_symmetric_conformal,ATU1,193,0,1,0,0.8082901554
calibration_only_expert_review_not_formal,False,False,calibration,4,station_symmetric_conformal,ATU2,193,0,1,0,0.8082901554
calibration_only_expert_review_not_formal,False,False,calibration,4,station_symmetric_conformal,ATU3,193,0,1,0,0.8082901554
calibration_only_expert_review_not_formal,False,False,calibration,4,station_symmetric_conformal,ATU4,193,0,1,0,0.8082901554
calibration_only_expert_review_not_formal,False,False,calibration,4,station_symmetric_conformal,ATU5,193,0,1,0,0.8082901554
calibration_only_expert_review_not_formal,False,False,calibration,4,station_symmetric_conformal,MJ1,193,0,1,0.02128694285,0.8082901554
calibration_only_expert_review_not_formal,False,False,calibration,4,station_symmetric_conformal,MJ3,193,0,1,0.02543748224,0.8082901554
calibration_only_expert_review_not_formal,False,False,calibration,4,station_symmetric_conformal,MJ9,193,0,1,0.03526648867,0.8082901554
calibration_only_expert_review_not_formal,False,False,calibration,4,global_robust_location_scale,global,1544,0.1118400299,0.9432006012,0,
calibration_only_expert_review_not_formal,False,False,calibration,4,block_robust_location_scale,O1,579,1.337615852,0.9846201015,0,
calibration_only_expert_review_not_formal,False,False,calibration,4,block_robust_location_scale,O2,579,0.0189597791,0.2642236536,0,
calibration_only_expert_review_not_formal,False,False,calibration,4,block_robust_location_scale,O3,386,-0.1141604455,0.1798765059,0,
calibration_only_expert_review_not_formal,False,False,calibration,4,station_robust_location_only,ATU1,193,-0.07325518785,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,4,station_robust_location_only,ATU2,193,-0.1406672559,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,4,station_robust_location_only,ATU3,193,0.0189597791,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,4,station_robust_location_only,ATU4,193,0.03091966558,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,4,station_robust_location_only,ATU5,193,-0.0006497226111,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,4,station_robust_location_only,MJ1,193,0.978539022,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,4,station_robust_location_only,MJ3,193,1.423336023,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,4,station_robust_location_only,MJ9,193,1.469045759,1,0,
calibration_only_expert_review_not_formal,False,False,calibration,4,station_robust_location_scale,ATU1,193,-0.07325518785,0.1988764311,0,
calibration_only_expert_review_not_formal,False,False,calibration,4,station_robust_location_scale,ATU2,193,-0.1406672559,0.2118829317,0,
calibration_only_expert_review_not_formal,False,False,calibration,4,station_robust_location_scale,ATU3,193,0.0189597791,0.2345691867,0,
calibration_only_expert_review_not_formal,False,False,calibration,4,station_robust_location_scale,ATU4,193,0.03091966558,0.3026416232,0,
calibration_only_expert_review_not_formal,False,False,calibration,4,station_robust_location_scale,ATU5,193,-0.0006497226111,0.2343217804,0,
calibration_only_expert_review_not_formal,False,False,calibration,4,station_robust_location_scale,MJ1,193,0.978539022,1.172756257,0,
calibration_only_expert_review_not_formal,False,False,calibration,4,station_robust_location_scale,MJ3,193,1.423336023,0.5354107044,0,
calibration_only_expert_review_not_formal,False,False,calibration,4,station_robust_location_scale,MJ9,193,1.469045759,1.232468602,0,
