artifact_status,formal_warning_output,vajont_used,decision_input_split,method,station,block,n,p50_bias_actual_minus_prediction_mean_mm,p50_bias_actual_minus_prediction_median_mm,p50_mae_mm,coverage_80,coverage_abs_error_to_0_8,normal_implied_coverage_80,width_mean_mm,interval_score_mean_mm,pinball_p10_mean_mm,pinball_p50_mean_mm,pinball_p90_mean_mm,pinball_three_quantile_mean_mm,z_median,green_rate,blue_rate,yellow_rate,orange_rate,red_rate
calibration_only_expert_review_not_formal,False,False,calibration,block_robust_location_scale,ATU4,O2,136,0.00159461272,-0.02402728757,0.07574429357,0.2941176471,0.5058823529,0.3235294118,0.1194781884,0.3829808855,0.01522494321,0.03787214679,0.02307314534,0.02539007845,-0.4479636184,0.5367647059,0.04411764706,0.1176470588,0.2205882353,0.08088235294
calibration_only_expert_review_not_formal,False,False,calibration,block_robust_location_scale,ATU5,O2,136,0.03283357967,0.04749273445,0.06798323076,0.6764705882,0.1235294118,0.6470588235,0.1761945394,0.3626020778,0.01831456817,0.03399161538,0.01794563961,0.02341727439,0.6094912124,0.2352941176,0.4485294118,0.125,0.1691176471,0.02205882353
calibration_only_expert_review_not_formal,False,False,calibration,block_robust_location_scale,ATU3,O2,136,0.01537953307,-0.01810948887,0.07889718222,0.7132352941,0.08676470588,0.75,0.2068442678,0.4909324085,0.01492736195,0.03944859111,0.03416587891,0.02951394399,-0.1981171238,0.6176470588,0.2426470588,0.02205882353,0.01470588235,0.1029411765
calibration_only_expert_review_not_formal,False,False,calibration,block_robust_location_scale,ATU2,O3,136,0.02187398132,0.01157942363,0.04993115693,0.6911764706,0.1088235294,0.6691176471,0.1014321665,0.3173793334,0.01138609932,0.02496557846,0.02035183402,0.0189011706,0.2768675607,0.3455882353,0.3382352941,0.1764705882,0.02205882353,0.1176470588
calibration_only_expert_review_not_formal,False,False,calibration,block_robust_location_scale,ATU1,O3,136,0.04570365915,0.05056122472,0.06794316892,0.6911764706,0.1088235294,0.7058823529,0.1414059728,0.3478737497,0.01221926284,0.03397158446,0.02256811213,0.02291965314,0.7937627131,0.3529411765,0.2573529412,0.1985294118,0.08088235294,0.1102941176
calibration_only_expert_review_not_formal,False,False,calibration,station_robust_location_only,MJ9,O1,136,-0.03126480093,-0.0334229709,0.04257826915,0.5882352941,0.2117647059,0.5882352941,0.09306127069,0.1910923018,0.01035369149,0.02128913458,0.008755538694,0.01346612159,-0.9165300474,0.8455882353,0.06617647059,0.08823529412,0,0
calibration_only_expert_review_not_formal,False,False,calibration,station_robust_location_only,MJ1,O1,136,-0.1284850505,-0.1297699557,0.1366654777,0.3014705882,0.4985294118,0.4264705882,0.2287120184,0.8025066366,0.05320584818,0.06833273884,0.02704481548,0.04952780083,-1.43296991,0.9117647059,0.08823529412,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,station_robust_location_only,MJ3,O1,136,-0.0227360713,-0.01501249685,0.04051391191,0.8823529412,0.08235294118,0.9705882353,0.2412759861,0.2790004295,0.01141114313,0.02025695595,0.01648889982,0.01605233297,-0.1713973132,0.6102941176,0.3897058824,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,station_robust_location_only,ATU4,O2,136,-0.007608564949,-0.03771218837,0.07763586497,1,0.2,1,0.509175273,0.509175273,0.02197530071,0.03881793249,0.0289422266,0.02991181993,-0.1725650356,0.5441176471,0.4558823529,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,station_robust_location_only,ATU5,O2,136,0.05644019616,0.06594116569,0.08374347804,1,0.2,1,0.7528517786,0.7528517786,0.03736606461,0.04187173902,0.03791911325,0.03905230563,0.2125015679,0.2132352941,0.7867647059,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,station_robust_location_only,ATU3,O2,136,0.01272185237,-0.0190988051,0.08090797428,1,0.2,1,0.8826803199,0.8826803199,0.0400975286,0.04045398714,0.04817050339,0.04290733971,-0.05617461975,0.625,0.3455882353,0.02941176471,0,0
calibration_only_expert_review_not_formal,False,False,calibration,station_robust_location_only,ATU2,O3,136,0.02739435056,0.01813933838,0.05141445881,1,0.2,1,0.6086796607,0.6086796607,0.02937084136,0.02570722941,0.03149712471,0.02885839849,0.07783616739,0.2941176471,0.7058823529,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,station_robust_location_only,ATU1,O3,136,0.03470817577,0.03664134317,0.06569879777,1,0.2,1,0.8528803187,0.8528803187,0.04358142411,0.03284939888,0.04170660777,0.03937914358,0.1018740056,0.375,0.625,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,station_robust_location_scale,MJ9,O1,136,-0.03126480093,-0.0334229709,0.04257826915,0.6323529412,0.1676470588,0.6323529412,0.1015736938,0.1895451442,0.009815071677,0.02128913458,0.00913944274,0.01341454966,-0.8027005006,0.8455882353,0.06617647059,0.08823529412,0,0
calibration_only_expert_review_not_formal,False,False,calibration,station_robust_location_scale,MJ1,O1,136,-0.1284850505,-0.1297699557,0.1366654777,0.2573529412,0.5426470588,0.375,0.1895176165,0.8827515726,0.06389223613,0.06833273884,0.02438292113,0.05220263204,-1.58006706,0.9117647059,0.07352941176,0.01470588235,0,0
calibration_only_expert_review_not_formal,False,False,calibration,station_robust_location_scale,MJ3,O1,136,-0.0227360713,-0.01501249685,0.04051391191,0.6911764706,0.1088235294,0.7279411765,0.1207995214,0.2570416029,0.01634715458,0.02025695595,0.009357005708,0.01532037208,-0.3325092788,0.6102941176,0.3823529412,0.007352941176,0,0
calibration_only_expert_review_not_formal,False,False,calibration,station_robust_location_scale,ATU4,O2,136,-0.007608564949,-0.03771218837,0.07763586497,0.3088235294,0.4911764706,0.3088235294,0.1214101628,0.3935239753,0.01681257232,0.03881793249,0.02253982521,0.02605677667,-0.6073973406,0.5441176471,0.05147058824,0.1102941176,0.1617647059,0.1323529412
calibration_only_expert_review_not_formal,False,False,calibration,station_robust_location_scale,ATU5,O2,136,0.05644019616,0.06594116569,0.08374347804,0.6323529412,0.1676470588,0.6323529412,0.1738602697,0.4752727978,0.01793640965,0.04187173902,0.02959087012,0.02979967293,0.7718192446,0.2132352941,0.3823529412,0.1176470588,0.03676470588,0.25
calibration_only_expert_review_not_formal,False,False,calibration,station_robust_location_scale,ATU3,O2,136,0.01272185237,-0.0190988051,0.08090797428,0.7205882353,0.07941176471,0.75,0.2094574469,0.4828683174,0.0148211969,0.04045398714,0.03346563484,0.02958027296,-0.2438378076,0.625,0.2426470588,0.02205882353,0.01470588235,0.09558823529
calibration_only_expert_review_not_formal,False,False,calibration,station_robust_location_scale,ATU2,O3,136,0.02739435056,0.01813933838,0.05141445881,0.7647058824,0.03529411765,0.7941176471,0.135340299,0.3081266204,0.0115103366,0.02570722941,0.01930232544,0.01883996382,0.3237310788,0.2941176471,0.5,0.08823529412,0.01470588235,0.1029411765
calibration_only_expert_review_not_formal,False,False,calibration,station_robust_location_scale,ATU1,O3,136,0.03470817577,0.03664134317,0.06569879777,0.7058823529,0.09411764706,0.7205882353,0.1458711973,0.3243665226,0.01153168589,0.03284939888,0.02090496637,0.02176201705,0.5390808751,0.375,0.3088235294,0.1617647059,0.08088235294,0.07352941176
