outer_days,strategy,station,train_rmse_mm_minus_P0,train_mae_mm_minus_P0,train_crps_mm_minus_P0,prediction_rmse_mm_minus_P0,prediction_mae_mm_minus_P0,prediction_crps_mm_minus_P0,train_rmse_mm_minus_A,train_mae_mm_minus_A,train_crps_mm_minus_A,prediction_rmse_mm_minus_A,prediction_mae_mm_minus_A,prediction_crps_mm_minus_A,train_rmse_mm_minus_C,train_mae_mm_minus_C,train_crps_mm_minus_C,prediction_rmse_mm_minus_C,prediction_mae_mm_minus_C,prediction_crps_mm_minus_C,strict_mean_improvement
432,H,MJ3,-5.445939886319452,-4.781222219913765,-0.3526659623759354,-5.140107156197622,-4.722409238658946,-1.5990595738313216,-8.288279198623645,-6.350479670567865,-1.0781528878957838,-5.145436452309255,-4.7260367205530365,-1.601499010855373,0.29888182407151165,0.27487873762761295,0.177098486437969,-0.5879053452070568,-0.6711210811695771,-0.002880276977781371,True
432,H,MJ1,-7.443148727734253,-6.281785655442036,-4.307909795219284,-9.479429138100368,-8.958876579601398,-8.63423761504163,-14.47143832875293,-11.352322557150146,-9.317749574767257,-9.471726478441571,-8.952110338174176,-8.626917752767685,0.1458932314129735,0.14670823621754742,-0.003193221625060527,-0.7415732278619043,-0.5473938090681614,-0.5006449519284422,True
612,A,ATU1,1.4732304694585014,1.0772155793112335,0.1863111771611745,0.0007590475406979991,0.00029742356432116424,-1.9650051656938672e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.982143286733967,6.131994933114546,-1.9809731475043826,-7.709121475829013,-6.551251933468357,-3.388618174285094,False
612,A,ATU5,-0.5545833366085979,-0.8846371645598126,-0.03009790633803533,-0.00023320246891689322,-0.00011179354288248788,-0.001111934711822471,0.0,0.0,0.0,0.0,0.0,0.0,7.510635556021117,5.959282601280634,-2.1708338840580836,-2.7134525595160595,-1.939710281546616,-2.485441518805537,True
612,A,MJ3,3.224416819022652,2.47769115791556,1.167071004122806,-0.00575089648665994,-0.006939146701363086,-0.007771808601781061,0.0,0.0,0.0,0.0,0.0,0.0,7.9748884043601675,6.7222887799332725,2.8941661906474083,-1.7328224563439676,-2.3777229563045594,-3.3872933405936436,False
612,A,MJ1,4.6130270317344815,3.603752703330648,1.2308374469581569,-0.001786363609763697,-0.0011699117860395347,-0.0011309656499260967,0.0,0.0,0.0,0.0,0.0,0.0,8.99200904874051,6.7581266859012405,3.749130859195107,-0.22649102299911306,0.0823073454500296,-0.4625906174598846,False
612,C,ATU1,-6.508912817275466,-5.054779353803314,2.167284324665557,7.709880523369711,6.551549357032679,3.388598524233437,-7.982143286733967,-6.131994933114546,1.9809731475043826,7.709121475829013,6.551251933468357,3.388618174285094,0.0,0.0,0.0,0.0,0.0,0.0,False
612,C,ATU5,-8.065218892629714,-6.843919765840447,2.1407359777200483,2.7132193570471426,1.9395984880037336,2.4843295840937145,-7.510635556021117,-5.959282601280634,2.1708338840580836,2.7134525595160595,1.939710281546616,2.485441518805537,0.0,0.0,0.0,0.0,0.0,0.0,False
612,C,MJ3,-4.7504715853375155,-4.244597622017713,-1.7270951865246023,1.7270715598573076,2.3707838096031963,3.3795215319918626,-7.9748884043601675,-6.7222887799332725,-2.8941661906474083,1.7328224563439676,2.3777229563045594,3.3872933405936436,0.0,0.0,0.0,0.0,0.0,0.0,False
612,C,MJ1,-4.378982017006027,-3.154373982570592,-2.5182934122369502,0.22470465938934936,-0.08347725723606914,0.4614596518099585,-8.99200904874051,-6.7581266859012405,-3.749130859195107,0.22649102299911306,-0.0823073454500296,0.4625906174598846,0.0,0.0,0.0,0.0,0.0,0.0,False
612,H,ATU1,-6.66488287267928,-5.111336967915409,1.681597347159686,6.667099858299895,5.7028046029997075,2.7645116171950033,-8.138113342137782,-6.188552547226642,1.4952861699985114,6.666340810759197,5.702507179435386,2.76453126724666,-0.1559700554038148,-0.05655761411209559,-0.4856869775058712,-1.0427806650698166,-0.8487447540329711,-0.6240869070384338,False
612,H,ATU5,-7.620267577954772,-6.4668841311548135,1.824631971967996,1.851408325491021,1.3607377527215192,2.12927182393976,-7.065684241346174,-5.582246966595001,1.8547298783060313,1.8516415279599379,1.3608495462644017,2.1303837586515826,0.444951314674942,0.37703563468563406,-0.31610400575205233,-0.8618110315561216,-0.5788607352822144,-0.3550577601539544,False
612,H,MJ3,-4.26302302556239,-3.84007966884497,-1.705050260186178,1.9791068424931026,2.615402071306356,3.8579068170384403,-7.487439844585042,-6.31777082676053,-2.872121264308984,1.9848577389797626,2.622341218007719,3.8656786256402214,0.4874485597751249,0.40451795317274264,0.022044926338424364,0.252035282635795,0.2446182617031596,0.47838528504657774,False
612,H,MJ1,-3.77079600064329,-2.6365129228451,-2.625930232593989,-0.15748620717633344,-0.30899531974634264,0.2764881393370118,-8.383823032377771,-6.2402656261757485,-3.8567676795521457,-0.15569984356656974,-0.3078254079603031,0.27761910498693787,0.6081860163627373,0.5178610597254921,-0.10763682035703859,-0.3821908665656828,-0.2255180625102735,-0.18497151247294674,True
