phase,horizon,contrast,candidate,reference,metric,candidate_value,reference_value,difference
development,1,physical_error,C16_PHYS_RULES,C16_CORE_RULES,rmse,8.37432172547936e-05,8.34242765866008e-05,3.189406681928e-07
development,1,physical_error,C16_PHYS_RULES,C16_CORE_RULES,crps,0.0001861830930417,0.0001860899466374,9.31464043000066e-08
development,1,physical_error,C16_PHYS_RULES,C16_CORE_RULES,coverage90,0.957446808510638,0.95811170212766,-0.000664893617021933
development,1,physical_error,C16_PHYS_RULES,C16_CORE_RULES,width90,0.0024238149469247,0.0024228173889231,9.97558001599765e-07
development,1,physical_error,C16_PHYS_RULES,C16_CORE_RULES,interval_score90,0.0025695057526947,0.0025686396632543,8.66089440399939e-07
later_exploratory,1,convlstm_residual,CL_BRES,CL_DIRECT,mae,0.109075298050193,0.0940804512476721,0.0149948468025209
later_exploratory,1,convlstm_residual,CL_BRES,CL_DIRECT,rmse,0.152941743578232,0.138709978004755,0.014231765573477
later_exploratory,1,convlstm_residual,CL_BRES,CL_DIRECT,crps,0.0807683382810691,0.0708668856085706,0.00990145267249849
later_exploratory,1,convlstm_residual,CL_BRES,CL_DIRECT,coverage90,0.866894197952218,0.806313993174061,0.060580204778157
later_exploratory,1,convlstm_residual,CL_BRES,CL_DIRECT,width90,0.462820165829263,0.365593020695668,0.097227145133595
later_exploratory,1,convlstm_residual,CL_BRES,CL_DIRECT,interval_score90,0.701766934933134,0.610405559466765,0.091361375466369
later_exploratory,1,ridge_residual,RR_BRES,RR_DIRECT,mae,0.0009583139585343,0.0002737962473748,0.0006845177111595
later_exploratory,1,ridge_residual,RR_BRES,RR_DIRECT,rmse,0.0014905588132872,0.0004199605924951,0.0010705982207921
later_exploratory,1,ridge_residual,RR_BRES,RR_DIRECT,crps,0.0009472373234402,0.0002291100038567,0.0007181273195835
later_exploratory,1,ridge_residual,RR_BRES,RR_DIRECT,coverage90,0.86518771331058,0.88481228668942,-0.01962457337884
later_exploratory,1,ridge_residual,RR_BRES,RR_DIRECT,width90,0.0073555124846623,0.0016319395701588,0.0057235729145035
later_exploratory,1,ridge_residual,RR_BRES,RR_DIRECT,interval_score90,0.0106198362645658,0.0023652846766365,0.0082545515879293
later_exploratory,1,equation_constraint,PINN_EQ,PINN_NOEQ,mae,0.110356383280731,0.260834219748176,-0.150477836467445
later_exploratory,1,equation_constraint,PINN_EQ,PINN_NOEQ,rmse,0.157370406686764,0.399112509579213,-0.241742102892449
later_exploratory,1,equation_constraint,PINN_EQ,PINN_NOEQ,crps,0.0859063018848053,0.193591174253895,-0.10768487236909
later_exploratory,1,equation_constraint,PINN_EQ,PINN_NOEQ,coverage90,0.862627986348123,0.820819112627986,0.041808873720137
later_exploratory,1,equation_constraint,PINN_EQ,PINN_NOEQ,width90,0.502709239755931,0.895131953429964,-0.392422713674033
later_exploratory,1,equation_constraint,PINN_EQ,PINN_NOEQ,interval_score90,0.772680254203092,1.77738487807109,-1.004704623868
later_exploratory,1,physical_error,C16_PHYS_RULES,C16_CORE_RULES,mae,7.86290574904229e-05,7.61372556177609e-05,2.49180187266199e-06
later_exploratory,1,physical_error,C16_PHYS_RULES,C16_CORE_RULES,rmse,0.0002127570540426,0.000208745332316,4.01172172660001e-06
later_exploratory,1,physical_error,C16_PHYS_RULES,C16_CORE_RULES,crps,6.73909799303013e-05,6.53458785313794e-05,2.04510139892189e-06
later_exploratory,1,physical_error,C16_PHYS_RULES,C16_CORE_RULES,coverage90,0.937713310580205,0.94283276450512,-0.00511945392491497
later_exploratory,1,physical_error,C16_PHYS_RULES,C16_CORE_RULES,width90,0.000381521160015,0.0003785607946722,2.9603653428e-06
later_exploratory,1,physical_error,C16_PHYS_RULES,C16_CORE_RULES,interval_score90,0.0008220755129682,0.0008087211756613,1.33543373068999e-05
development,2,convlstm_residual,CL_BRES,CL_DIRECT,mae,0.420170109195399,0.340797190453587,0.079372918741812
development,2,convlstm_residual,CL_BRES,CL_DIRECT,rmse,0.702998475406491,0.464534076006189,0.238464399400302
development,2,convlstm_residual,CL_BRES,CL_DIRECT,crps,0.323666990142973,0.260544825163823,0.06312216497915
development,2,convlstm_residual,CL_BRES,CL_DIRECT,coverage90,0.875333333333333,0.835333333333333,0.0399999999999999
development,2,convlstm_residual,CL_BRES,CL_DIRECT,width90,1.95687004210672,1.67931711807772,0.277552924029
development,2,convlstm_residual,CL_BRES,CL_DIRECT,interval_score90,2.98291145556744,2.26772165743151,0.71518979813593
development,2,ridge_residual,RR_BRES,RR_DIRECT,mae,0.0070814155548588,0.0026483893837105,0.0044330261711483
development,2,ridge_residual,RR_BRES,RR_DIRECT,rmse,0.0124371384508919,0.0035268970313656,0.0089102414195263
development,2,ridge_residual,RR_BRES,RR_DIRECT,crps,0.0060422055414804,0.0019971530505823,0.0040450524908981
development,2,ridge_residual,RR_BRES,RR_DIRECT,coverage90,0.876,0.874666666666667,0.00133333333333296
development,2,ridge_residual,RR_BRES,RR_DIRECT,width90,0.0360369576726288,0.0123281468203236,0.0237088108523052
development,2,ridge_residual,RR_BRES,RR_DIRECT,interval_score90,0.0639360452531941,0.0156690599376146,0.0482669853155795
development,2,equation_constraint,PINN_EQ,PINN_NOEQ,mae,0.457071068652138,0.541063575035433,-0.083992506383295
development,2,equation_constraint,PINN_EQ,PINN_NOEQ,rmse,0.865951310428937,0.834384137697201,0.031567172731736
development,2,equation_constraint,PINN_EQ,PINN_NOEQ,crps,0.365056824526449,0.407520161211168,-0.042463336684719
development,2,equation_constraint,PINN_EQ,PINN_NOEQ,coverage90,0.868,0.866666666666667,0.00133333333333296
development,2,equation_constraint,PINN_EQ,PINN_NOEQ,width90,2.17892376905749,2.37696271654277,-0.19803894748528
development,2,equation_constraint,PINN_EQ,PINN_NOEQ,interval_score90,3.81327639129825,3.61244841728838,0.20082797400987
development,2,physical_error,C16_PHYS_RULES,C16_CORE_RULES,mae,0.0001886202726287,0.0001850492622099,3.5710104188e-06
development,2,physical_error,C16_PHYS_RULES,C16_CORE_RULES,rmse,0.0003644680928186,0.0003609835117302,3.4845810884e-06
development,2,physical_error,C16_PHYS_RULES,C16_CORE_RULES,crps,0.0006118871764066,0.0006110012248248,8.85951581800068e-07
development,2,physical_error,C16_PHYS_RULES,C16_CORE_RULES,coverage90,0.948,0.946,0.002
development,2,physical_error,C16_PHYS_RULES,C16_CORE_RULES,width90,0.0076967489949085,0.0076868783696681,9.87062524039975e-06
development,2,physical_error,C16_PHYS_RULES,C16_CORE_RULES,interval_score90,0.0083414932401889,0.0083290908553028,1.24023848861003e-05
later_exploratory,2,convlstm_residual,CL_BRES,CL_DIRECT,mae,0.208626725146063,0.191016675663322,0.017610049482741
later_exploratory,2,convlstm_residual,CL_BRES,CL_DIRECT,rmse,0.287039682243398,0.283239361111919,0.00380032113147899
later_exploratory,2,convlstm_residual,CL_BRES,CL_DIRECT,crps,0.15432906194869,0.145903707247547,0.008425354701143
later_exploratory,2,convlstm_residual,CL_BRES,CL_DIRECT,coverage90,0.85958904109589,0.80222602739726,0.0573630136986299
later_exploratory,2,convlstm_residual,CL_BRES,CL_DIRECT,width90,0.891300744276363,0.748346428577037,0.142954315699326
later_exploratory,2,convlstm_residual,CL_BRES,CL_DIRECT,interval_score90,1.33640742297713,1.29447324821029,0.04193417476684
later_exploratory,2,ridge_residual,RR_BRES,RR_DIRECT,mae,0.0018746568598823,0.0011117394593258,0.0007629174005565
later_exploratory,2,ridge_residual,RR_BRES,RR_DIRECT,rmse,0.0027594350224445,0.0016983384720363,0.0010610965504082
later_exploratory,2,ridge_residual,RR_BRES,RR_DIRECT,crps,0.0017206880778269,0.0009312290202478,0.0007894590575791
later_exploratory,2,ridge_residual,RR_BRES,RR_DIRECT,coverage90,0.883561643835616,0.879280821917808,0.00428082191780799
later_exploratory,2,ridge_residual,RR_BRES,RR_DIRECT,width90,0.0133162654968582,0.0065144569989946,0.0068018084978636
later_exploratory,2,ridge_residual,RR_BRES,RR_DIRECT,interval_score90,0.0189014873756245,0.0096885020883939,0.0092129852872306
later_exploratory,2,equation_constraint,PINN_EQ,PINN_NOEQ,mae,0.228248766533052,0.21946901237097,0.00877975416208202
later_exploratory,2,equation_constraint,PINN_EQ,PINN_NOEQ,rmse,0.34590692197316,0.311429858364939,0.0344770636082209
later_exploratory,2,equation_constraint,PINN_EQ,PINN_NOEQ,crps,0.180709237504457,0.169081100974361,0.011628136530096
later_exploratory,2,equation_constraint,PINN_EQ,PINN_NOEQ,coverage90,0.821061643835616,0.889554794520548,-0.068493150684932
later_exploratory,2,equation_constraint,PINN_EQ,PINN_NOEQ,width90,0.989128055114177,1.06803715240349,-0.0789090972893129
later_exploratory,2,equation_constraint,PINN_EQ,PINN_NOEQ,interval_score90,1.70513249079503,1.61732719681608,0.08780529397895
later_exploratory,2,physical_error,C16_PHYS_RULES,C16_CORE_RULES,mae,0.0003688800753699,0.0003501052888909,1.8774786479e-05
later_exploratory,2,physical_error,C16_PHYS_RULES,C16_CORE_RULES,rmse,0.0009402732443221,0.0008992863481267,4.09868961954e-05
later_exploratory,2,physical_error,C16_PHYS_RULES,C16_CORE_RULES,crps,0.0003112145970036,0.0002956877560787,1.55268409249e-05
later_exploratory,2,physical_error,C16_PHYS_RULES,C16_CORE_RULES,coverage90,0.933219178082192,0.939212328767123,-0.005993150684931
later_exploratory,2,physical_error,C16_PHYS_RULES,C16_CORE_RULES,width90,0.0016384124034016,0.0016096254206239,2.87869827777e-05
later_exploratory,2,physical_error,C16_PHYS_RULES,C16_CORE_RULES,interval_score90,0.0037585808241102,0.0035990874108446,0.0001594934132656
development,3,convlstm_residual,CL_BRES,CL_DIRECT,mae,0.647166280690119,0.513653390695582,0.133512889994537
development,3,convlstm_residual,CL_BRES,CL_DIRECT,rmse,1.08583244723778,0.700701840987422,0.385130606250358
development,3,convlstm_residual,CL_BRES,CL_DIRECT,crps,0.50164625667583,0.394818986473008,0.106827270202822
development,3,convlstm_residual,CL_BRES,CL_DIRECT,coverage90,0.874331550802139,0.830882352941176,0.043449197860963
development,3,convlstm_residual,CL_BRES,CL_DIRECT,width90,3.01942204246776,2.54587968172067,0.47354236074709
development,3,convlstm_residual,CL_BRES,CL_DIRECT,interval_score90,4.68796441341877,3.4674556879351,1.22050872548367
development,3,ridge_residual,RR_BRES,RR_DIRECT,mae,0.0113328515929859,0.006674882171809,0.0046579694211769
development,3,ridge_residual,RR_BRES,RR_DIRECT,rmse,0.0191075073578662,0.0090342761146059,0.0100732312432603
development,3,ridge_residual,RR_BRES,RR_DIRECT,crps,0.0094753022446725,0.0050661854198476,0.0044091168248249
development,3,ridge_residual,RR_BRES,RR_DIRECT,coverage90,0.870989304812834,0.868983957219251,0.00200534759358295
development,3,ridge_residual,RR_BRES,RR_DIRECT,width90,0.0567990869096457,0.0306653508654864,0.0261337360441593
development,3,ridge_residual,RR_BRES,RR_DIRECT,interval_score90,0.096349896577441,0.0409779857062115,0.0553719108712295
development,3,equation_constraint,PINN_EQ,PINN_NOEQ,mae,0.698017620397363,0.778206076001716,-0.0801884556043529
development,3,equation_constraint,PINN_EQ,PINN_NOEQ,rmse,1.3639539196392,1.30584094416458,0.0581129754746201
development,3,equation_constraint,PINN_EQ,PINN_NOEQ,crps,0.570150998124116,0.605094826728713,-0.034943828604597
development,3,equation_constraint,PINN_EQ,PINN_NOEQ,coverage90,0.875,0.88168449197861,-0.00668449197860999
development,3,equation_constraint,PINN_EQ,PINN_NOEQ,width90,3.39430327610125,3.5693774295268,-0.17507415342555
development,3,equation_constraint,PINN_EQ,PINN_NOEQ,interval_score90,6.19316987564465,5.88693904865222,0.30623082699243
development,3,physical_error,C16_PHYS_RULES,C16_CORE_RULES,mae,0.0005268164372824,0.0005120593784837,1.47570587987e-05
development,3,physical_error,C16_PHYS_RULES,C16_CORE_RULES,rmse,0.0009623279424472,0.0009465280143737,1.57999280735e-05
development,3,physical_error,C16_PHYS_RULES,C16_CORE_RULES,crps,0.0013380295363137,0.0013340302968416,3.99923947209989e-06
development,3,physical_error,C16_PHYS_RULES,C16_CORE_RULES,coverage90,0.947192513368984,0.945855614973262,0.00133689839572204
development,3,physical_error,C16_PHYS_RULES,C16_CORE_RULES,width90,0.0162941817144342,0.0162516443353448,4.2537379089401e-05
development,3,physical_error,C16_PHYS_RULES,C16_CORE_RULES,interval_score90,0.0179626755142861,0.0179116456884902,5.10298257959015e-05
later_exploratory,3,convlstm_residual,CL_BRES,CL_DIRECT,mae,0.303635255220521,0.288966458341919,0.014668796878602
later_exploratory,3,convlstm_residual,CL_BRES,CL_DIRECT,rmse,0.412712711366534,0.42980195260962,-0.017089241243086
later_exploratory,3,convlstm_residual,CL_BRES,CL_DIRECT,crps,0.225283340135617,0.223042661124588,0.00224067901102898
later_exploratory,3,convlstm_residual,CL_BRES,CL_DIRECT,coverage90,0.851374570446735,0.79639175257732,0.0549828178694151
later_exploratory,3,convlstm_residual,CL_BRES,CL_DIRECT,width90,1.31232835521554,1.13927256345245,0.17305579176309
later_exploratory,3,convlstm_residual,CL_BRES,CL_DIRECT,interval_score90,1.95965933224137,2.01829190368152,-0.0586325714401499
later_exploratory,3,ridge_residual,RR_BRES,RR_DIRECT,mae,0.0034659156780239,0.0028470237821101,0.0006188918959138
later_exploratory,3,ridge_residual,RR_BRES,RR_DIRECT,rmse,0.0050883584370194,0.0042877609594596,0.0008005974775598
later_exploratory,3,ridge_residual,RR_BRES,RR_DIRECT,crps,0.0030472004170873,0.0023789409684142,0.0006682594486731
later_exploratory,3,ridge_residual,RR_BRES,RR_DIRECT,coverage90,0.862542955326461,0.874570446735395,-0.012027491408934
later_exploratory,3,ridge_residual,RR_BRES,RR_DIRECT,width90,0.0229729140508553,0.0165559916328958,0.0064169224179595
later_exploratory,3,ridge_residual,RR_BRES,RR_DIRECT,interval_score90,0.0331742068913004,0.0247715385778461,0.0084026683134543
later_exploratory,3,equation_constraint,PINN_EQ,PINN_NOEQ,mae,0.378668446536608,0.28723802540176,0.091430421134848
later_exploratory,3,equation_constraint,PINN_EQ,PINN_NOEQ,rmse,0.569609979654359,0.376469950914762,0.193140028739597
later_exploratory,3,equation_constraint,PINN_EQ,PINN_NOEQ,crps,0.295447504224381,0.22159751125234,0.073849992972041
later_exploratory,3,equation_constraint,PINN_EQ,PINN_NOEQ,coverage90,0.808419243986254,0.870274914089347,-0.061855670103093
later_exploratory,3,equation_constraint,PINN_EQ,PINN_NOEQ,width90,1.53751815905806,1.52225755211733,0.0152606069407299
later_exploratory,3,equation_constraint,PINN_EQ,PINN_NOEQ,interval_score90,2.74998003195668,1.98656183303423,0.76341819892245
later_exploratory,3,physical_error,C16_PHYS_RULES,C16_CORE_RULES,mae,0.0010553878668041,0.0009964010687288,5.89867980752999e-05
later_exploratory,3,physical_error,C16_PHYS_RULES,C16_CORE_RULES,rmse,0.002527457995379,0.0023990315675311,0.0001284264278479
later_exploratory,3,physical_error,C16_PHYS_RULES,C16_CORE_RULES,crps,0.0008687880935653,0.0008197733171855,4.90147763798001e-05
later_exploratory,3,physical_error,C16_PHYS_RULES,C16_CORE_RULES,coverage90,0.93127147766323,0.935567010309278,-0.00429553264604798
later_exploratory,3,physical_error,C16_PHYS_RULES,C16_CORE_RULES,width90,0.0043010352866957,0.0042176702979202,8.33649887754997e-05
later_exploratory,3,physical_error,C16_PHYS_RULES,C16_CORE_RULES,interval_score90,0.0100591759853824,0.0094429592159158,0.000616216769466601
development,4,convlstm_residual,CL_BRES,CL_DIRECT,mae,0.880219918859092,0.68537075711314,0.194849161745952
development,4,convlstm_residual,CL_BRES,CL_DIRECT,rmse,1.48461561992207,0.93461481399677,0.5500008059253
development,4,convlstm_residual,CL_BRES,CL_DIRECT,crps,0.687134818048657,0.528474325610333,0.158660492438324
development,4,convlstm_residual,CL_BRES,CL_DIRECT,coverage90,0.876675603217158,0.82372654155496,0.052949061662198
development,4,convlstm_residual,CL_BRES,CL_DIRECT,width90,4.1163768448362,3.39369973780546,0.72267710703074
development,4,convlstm_residual,CL_BRES,CL_DIRECT,interval_score90,6.54478159189638,4.65441361540566,1.89036797649072
development,4,ridge_residual,RR_BRES,RR_DIRECT,mae,0.0182391395302128,0.0136806823028485,0.0045584572273643
development,4,ridge_residual,RR_BRES,RR_DIRECT,rmse,0.0295435786095041,0.0187490467085772,0.0107945319009269
development,4,ridge_residual,RR_BRES,RR_DIRECT,crps,0.0149998063345318,0.0104562588600496,0.0045435474744822
development,4,ridge_residual,RR_BRES,RR_DIRECT,coverage90,0.855898123324397,0.861260053619303,-0.00536193029490606
development,4,ridge_residual,RR_BRES,RR_DIRECT,width90,0.0896545164288473,0.0626047743953897,0.0270497420334576
development,4,ridge_residual,RR_BRES,RR_DIRECT,interval_score90,0.145779126368427,0.0870039469089758,0.0587751794594512
development,4,equation_constraint,PINN_EQ,PINN_NOEQ,mae,0.939826042238111,1.04831543161631,-0.108489389378199
development,4,equation_constraint,PINN_EQ,PINN_NOEQ,rmse,1.8770244744519,1.82112607787169,0.05589839658021
development,4,equation_constraint,PINN_EQ,PINN_NOEQ,crps,0.782274126897825,0.825943335772307,-0.043669208874482
development,4,equation_constraint,PINN_EQ,PINN_NOEQ,coverage90,0.892761394101877,0.898123324396783,-0.00536193029490595
development,4,equation_constraint,PINN_EQ,PINN_NOEQ,width90,4.64344101694097,4.90180165755785,-0.25836064061688
development,4,equation_constraint,PINN_EQ,PINN_NOEQ,interval_score90,8.7407987129361,8.37487410870841,0.36592460422769
development,4,physical_error,C16_PHYS_RULES,C16_CORE_RULES,mae,0.0011547309577702,0.0011148422407703,3.98887169999001e-05
development,4,physical_error,C16_PHYS_RULES,C16_CORE_RULES,rmse,0.0020024505254337,0.0019531415882761,4.93089371575999e-05
development,4,physical_error,C16_PHYS_RULES,C16_CORE_RULES,crps,0.0024375600483368,0.0024237810846138,1.37789637229997e-05
development,4,physical_error,C16_PHYS_RULES,C16_CORE_RULES,coverage90,0.943029490616622,0.943699731903485,-0.000670241286862994
development,4,physical_error,C16_PHYS_RULES,C16_CORE_RULES,width90,0.0287441413281255,0.0286082362138347,0.000135905114290801
development,4,physical_error,C16_PHYS_RULES,C16_CORE_RULES,interval_score90,0.0321178326607299,0.0319714205271727,0.000146412133557199
later_exploratory,4,convlstm_residual,CL_BRES,CL_DIRECT,mae,0.397895715456296,0.387522121164961,0.010373594291335
later_exploratory,4,convlstm_residual,CL_BRES,CL_DIRECT,rmse,0.536773042962595,0.575677421541981,-0.038904378579386
later_exploratory,4,convlstm_residual,CL_BRES,CL_DIRECT,crps,0.296677259088475,0.301145449221127,-0.00446819013265204
later_exploratory,4,convlstm_residual,CL_BRES,CL_DIRECT,coverage90,0.845689655172414,0.791379310344828,0.054310344827586
later_exploratory,4,convlstm_residual,CL_BRES,CL_DIRECT,width90,1.73990703141376,1.53849355410573,0.20141347730803
later_exploratory,4,convlstm_residual,CL_BRES,CL_DIRECT,interval_score90,2.60626150111833,2.7631441294898,-0.15688262837147
later_exploratory,4,ridge_residual,RR_BRES,RR_DIRECT,mae,0.0063132125598819,0.0058447292310733,0.0004684833288086
later_exploratory,4,ridge_residual,RR_BRES,RR_DIRECT,rmse,0.0092421136938977,0.0086822360160835,0.000559877677814199
later_exploratory,4,ridge_residual,RR_BRES,RR_DIRECT,crps,0.0054078575614049,0.0048718353394753,0.0005360222219296
later_exploratory,4,ridge_residual,RR_BRES,RR_DIRECT,coverage90,0.862931034482759,0.870689655172414,-0.00775862068965505
later_exploratory,4,ridge_residual,RR_BRES,RR_DIRECT,width90,0.0397738506203564,0.0338624024222427,0.0059114481981137
later_exploratory,4,ridge_residual,RR_BRES,RR_DIRECT,interval_score90,0.0580799343153464,0.0505502358912563,0.0075296984240901
later_exploratory,4,equation_constraint,PINN_EQ,PINN_NOEQ,mae,0.530086302492636,0.42817443239535,0.101911870097286
later_exploratory,4,equation_constraint,PINN_EQ,PINN_NOEQ,rmse,0.79607708327304,0.554324676803985,0.241752406469055
later_exploratory,4,equation_constraint,PINN_EQ,PINN_NOEQ,crps,0.413872247825914,0.327298244030582,0.086574003795332
later_exploratory,4,equation_constraint,PINN_EQ,PINN_NOEQ,coverage90,0.800862068965517,0.86551724137931,-0.0646551724137929
later_exploratory,4,equation_constraint,PINN_EQ,PINN_NOEQ,width90,2.10346280559622,2.0997815977936,0.00368120780261982
later_exploratory,4,equation_constraint,PINN_EQ,PINN_NOEQ,interval_score90,3.87466262313904,2.86038528173689,1.01427734140215
later_exploratory,4,physical_error,C16_PHYS_RULES,C16_CORE_RULES,mae,0.0023761750836196,0.0022366648477086,0.000139510235911
later_exploratory,4,physical_error,C16_PHYS_RULES,C16_CORE_RULES,rmse,0.0054076455594644,0.0051432672338045,0.0002643783256599
later_exploratory,4,physical_error,C16_PHYS_RULES,C16_CORE_RULES,crps,0.0019364339534007,0.0018291693015387,0.000107264651862
later_exploratory,4,physical_error,C16_PHYS_RULES,C16_CORE_RULES,coverage90,0.91551724137931,0.924137931034483,-0.00862068965517304
later_exploratory,4,physical_error,C16_PHYS_RULES,C16_CORE_RULES,width90,0.009010975011535,0.0088509985106164,0.000159976500918599
later_exploratory,4,physical_error,C16_PHYS_RULES,C16_CORE_RULES,interval_score90,0.021656993347861,0.0205666297339031,0.0010903636139579
development,5,convlstm_residual,CL_BRES,CL_DIRECT,mae,1.1150201059162,0.855281186955885,0.259738918960315
development,5,convlstm_residual,CL_BRES,CL_DIRECT,rmse,1.89449532495281,1.16460308161901,0.7298922433338
development,5,convlstm_residual,CL_BRES,CL_DIRECT,crps,0.876924603381933,0.660144433780669,0.216780169601264
development,5,convlstm_residual,CL_BRES,CL_DIRECT,coverage90,0.872983870967742,0.817876344086022,0.05510752688172
development,5,convlstm_residual,CL_BRES,CL_DIRECT,width90,5.22933498423448,4.20930626009844,1.02002872413604
development,5,convlstm_residual,CL_BRES,CL_DIRECT,interval_score90,8.49864588148886,5.83208009686109,2.66656578462777
development,5,ridge_residual,RR_BRES,RR_DIRECT,mae,0.0291193868559196,0.0244643426663426,0.004655044189577
development,5,ridge_residual,RR_BRES,RR_DIRECT,rmse,0.0452449644237288,0.0336094422379359,0.0116355221857929
development,5,ridge_residual,RR_BRES,RR_DIRECT,crps,0.0235239787453768,0.0187507874736757,0.0047731912717011
development,5,ridge_residual,RR_BRES,RR_DIRECT,coverage90,0.850134408602151,0.85752688172043,-0.00739247311827906
development,5,ridge_residual,RR_BRES,RR_DIRECT,width90,0.139429852924184,0.111264223291802,0.028165629632382
development,5,ridge_residual,RR_BRES,RR_DIRECT,interval_score90,0.218975308149309,0.157549413243272,0.061425894906037
development,5,equation_constraint,PINN_EQ,PINN_NOEQ,mae,1.18376331985994,1.33652789873558,-0.15276457887564
development,5,equation_constraint,PINN_EQ,PINN_NOEQ,rmse,2.40366849757479,2.36188022002796,0.0417882775468299
development,5,equation_constraint,PINN_EQ,PINN_NOEQ,crps,1.00082121007209,1.06064746765268,-0.0598262575805901
development,5,equation_constraint,PINN_EQ,PINN_NOEQ,coverage90,0.89247311827957,0.907258064516129,-0.014784946236559
development,5,equation_constraint,PINN_EQ,PINN_NOEQ,width90,5.90899207214493,6.30357668172599,-0.39458460958106
development,5,equation_constraint,PINN_EQ,PINN_NOEQ,interval_score90,11.4230036419102,11.0583296791983,0.364673962711899
development,5,physical_error,C16_PHYS_RULES,C16_CORE_RULES,mae,0.0021757625778104,0.0020888303339199,8.69322438905003e-05
development,5,physical_error,C16_PHYS_RULES,C16_CORE_RULES,rmse,0.0036308015368163,0.0035095273806108,0.0001212741562055
development,5,physical_error,C16_PHYS_RULES,C16_CORE_RULES,crps,0.0039926604878122,0.0039553966763989,3.72638114132995e-05
development,5,physical_error,C16_PHYS_RULES,C16_CORE_RULES,coverage90,0.934139784946237,0.936827956989247,-0.00268817204301008
development,5,physical_error,C16_PHYS_RULES,C16_CORE_RULES,width90,0.0456251959858199,0.0452718234696957,0.000353372516124197
development,5,physical_error,C16_PHYS_RULES,C16_CORE_RULES,interval_score90,0.0516376918929199,0.051172527010434,0.000465164882485894
later_exploratory,5,convlstm_residual,CL_BRES,CL_DIRECT,mae,0.492571514146036,0.485959399287224,0.00661211485881202
later_exploratory,5,convlstm_residual,CL_BRES,CL_DIRECT,rmse,0.66176940192842,0.717314448521501,-0.0555450465930809
later_exploratory,5,convlstm_residual,CL_BRES,CL_DIRECT,crps,0.369459538915645,0.378678916409544,-0.00921937749389901
later_exploratory,5,convlstm_residual,CL_BRES,CL_DIRECT,coverage90,0.843425605536332,0.788927335640138,0.054498269896194
later_exploratory,5,convlstm_residual,CL_BRES,CL_DIRECT,width90,2.17811317481114,1.94634021757007,0.23177295724107
later_exploratory,5,convlstm_residual,CL_BRES,CL_DIRECT,interval_score90,3.29278837958915,3.50705999223378,-0.21427161264463
later_exploratory,5,ridge_residual,RR_BRES,RR_DIRECT,mae,0.0108747861742249,0.0104436227771397,0.0004311633970852
later_exploratory,5,ridge_residual,RR_BRES,RR_DIRECT,rmse,0.0157720062483695,0.015358151844283,0.0004138544040865
later_exploratory,5,ridge_residual,RR_BRES,RR_DIRECT,crps,0.0091667983115286,0.0087069028645957,0.000459895446932901
later_exploratory,5,ridge_residual,RR_BRES,RR_DIRECT,coverage90,0.859861591695502,0.862456747404844,-0.00259515570934199
later_exploratory,5,ridge_residual,RR_BRES,RR_DIRECT,width90,0.0665268040236516,0.0607590943839432,0.0057677096397084
later_exploratory,5,ridge_residual,RR_BRES,RR_DIRECT,interval_score90,0.0976387519970401,0.0901373587615554,0.0075013932354847
