phase,scenario,model,probability_model,horizon,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
development,past_only_main,B_ANCHOR,B_ANCHOR_G,3,ATU5,374,0.646833751141927,2.18583096083126,0.720103214382116,0.858288770053476,3.82588840298573,6.66334269267327,0.911764705882353,4.91047460371867,10.1089437330809,0.954545454545455,5.85119138419915,15.6943059082969
development,past_only_main,B_ANCHOR,B_ANCHOR_G,3,MJ3,374,0.770942887871454,1.36825399956787,0.61423313962148,0.844919786096257,2.6495525281606,4.58947760016968,0.898395721925134,3.40066385381177,6.36941019972723,0.914438502673797,4.05214091259374,8.81775103387685
development,past_only_main,B_ANCHOR,B_ANCHOR_G,3,MJ1,374,0.708869398815006,0.947198866914758,0.484819915875673,0.788770053475936,1.81369795470031,2.95027210486168,0.882352941176471,2.32785612314829,3.85449022703063,0.903743315508021,2.77381165582358,5.08449406587238
development,past_only_main,B_ANCHOR,B_ANCHOR_G,4,ATU1,373,0.696750890182805,1.70160077698027,0.659977606095872,0.809651474530831,3.22913046310042,5.47372072726928,0.919571045576407,4.14454407995131,8.10873689515427,0.946380697050938,4.93852887329465,12.4375968002035
development,past_only_main,B_ANCHOR,B_ANCHOR_G,4,ATU5,373,0.892275621386926,3.08016408254289,1.01714647414759,0.86058981233244,5.36815821089485,9.53942138444813,0.911528150134048,6.88995647201089,14.6509696030623,0.954423592493298,8.20988951169964,23.0691472245651
development,past_only_main,B_ANCHOR,B_ANCHOR_G,4,MJ3,373,1.02055568638889,1.80917119060419,0.818470764532872,0.847184986595174,3.50720577596918,6.17074446152343,0.900804289544236,4.50144988010417,8.65985710683955,0.911528150134048,5.36380836486225,12.1613361340583
development,past_only_main,B_ANCHOR,B_ANCHOR_G,4,MJ1,373,0.940318433455711,1.25774882369889,0.646024970593274,0.793565683646113,2.3944637234972,3.97084033003176,0.873994638069705,3.07326091753819,5.23160542550101,0.900804289544236,3.66201625164249,6.9994504637043
development,past_only_main,B_ANCHOR,B_ANCHOR_G,5,ATU1,372,0.862472716243389,2.09477888191489,0.81917181116463,0.806451612903226,3.95015196984682,6.76504652437485,0.916666666666667,5.06996516511682,10.0435485133943,0.943548387096774,6.04123610981636,15.4423659264913
development,past_only_main,B_ANCHOR,B_ANCHOR_G,5,ATU5,372,1.15202570367212,4.03957868104423,1.33897656408951,0.860215053763441,7.01121090789751,12.6862452680453,0.913978494623656,8.99879177805554,19.6748489965032,0.951612903225806,10.7227217670745,31.3140359987171
development,past_only_main,B_ANCHOR,B_ANCHOR_G,5,MJ3,372,1.26655001673423,2.24265099931765,1.0219163600377,0.860215053763441,4.34384865537879,7.76656940110941,0.900537634408602,5.57526939049993,11.0142198602592,0.911290322580645,6.64334323154386,15.6836628911496
development,past_only_main,B_ANCHOR,B_ANCHOR_G,5,MJ1,372,1.16947755677226,1.56575643379975,0.807042668879331,0.793010752688172,2.95988915901916,5.00875279581629,0.868279569892473,3.79897660732682,6.65388519640819,0.897849462365591,4.5267598322841,9.01360931572027
development,past_only_main,B_ANCHOR,B_ANCHOR_G,6,ATU1,371,1.02510684818272,2.4785236926333,0.976272623900202,0.787061994609164,4.65015825468522,8.04200016672765,0.908355795148248,5.96841350497427,11.8958084149427,0.940700808625337,7.11180333794963,18.251491000877
development,past_only_main,B_ANCHOR,B_ANCHOR_G,6,ATU5,371,1.42487544409498,5.05362004012142,1.68250230766104,0.862533692722372,8.73705703898876,16.0640886146119,0.911051212938005,11.2138913063209,25.1137065281276,0.948787061994609,13.3621756530827,40.3248260489677
development,past_only_main,B_ANCHOR,B_ANCHOR_G,6,MJ3,371,1.50886893165443,2.66874909851961,1.22431804759502,0.865229110512129,5.15704956185908,9.37245329495375,0.897574123989218,6.61900145437196,13.4270215874344,0.908355795148248,7.88702669442456,19.3635003970052
development,past_only_main,B_ANCHOR,B_ANCHOR_G,6,MJ1,371,1.39616954556672,1.87110464693758,0.967867979473991,0.787061994609164,3.50829085658207,6.06290944253456,0.862533692722372,4.50284256599339,8.11584541668719,0.897574123989218,5.36546785245429,11.1249447884623
development,past_only_main,B_ANCHOR,B_ANCHOR_G,7,ATU1,370,1.185303067162,2.85430750534073,1.13165149088963,0.762162162162162,5.33396964081249,9.30285202038186,0.902702702702703,6.84607591736747,13.6933725696167,0.935135135135135,8.1576026058537,20.9662811878231
development,past_only_main,B_ANCHOR,B_ANCHOR_G,7,ATU5,370,1.70932141893873,6.11234565912043,2.04334420469802,0.856756756756757,10.5295628694569,19.6210113989913,0.913513513513514,13.5145476324862,30.8606940547374,0.948648648648649,16.1035767517601,49.8742118786753
development,past_only_main,B_ANCHOR,B_ANCHOR_G,7,MJ3,370,1.74766520778776,3.08757054889962,1.42570709800847,0.864864864864865,5.94967806836143,10.9903771345517,0.897297297297297,7.63632912873014,15.8971739074687,0.908108108108108,9.0992473866167,23.201913250586
development,past_only_main,B_ANCHOR,B_ANCHOR_G,7,MJ1,370,1.6204886147863,2.1739187255034,1.12851905239371,0.786486486486486,4.04204939382618,7.13311756400085,0.862162162162162,5.18791423186052,9.61308642816751,0.894594594594595,6.18178109147302,13.3389046866291
development,past_only_main,DRIFT1,DRIFT1_G,1,ATU1,376,0.0032457301430621,0.0041335418650293,0.0023229722322709,0.757978723404255,0.010313752368264,0.0149706484838432,0.872340425531915,0.0132375578529326,0.0176873608939034,0.928191489361702,0.0157735230721435,0.0200289842000139
development,past_only_main,DRIFT1,DRIFT1_G,1,ATU5,376,0.002295594390729,0.0028892547942182,0.001725619352787,0.795212765957447,0.0087018449187664,0.0117138652343453,0.88031914893617,0.0111686970392946,0.0145151095016584,0.922872340425532,0.0133083233623792,0.0171129362863407
development,past_only_main,DRIFT1,DRIFT1_G,1,MJ3,376,0.0018765727041449,0.0024574129157772,0.0013734315507102,0.784574468085106,0.0062189134914975,0.0093143539836909,0.859042553191489,0.007981889053245,0.0114097181797363,0.898936170212766,0.0095110074335146,0.0135119984066657
development,past_only_main,DRIFT1,DRIFT1_G,1,MJ1,376,0.0023640212976036,0.0033824450282051,0.0018531593411047,0.779255319148936,0.008267425398202,0.0133989082106809,0.829787234042553,0.0106111256209998,0.0177864986275408,0.853723404255319,0.0126439360389355,0.0227497547431173
