phase,model,horizon,seed,mae,rmse,pooled_rmse
development,PINN_EQ,7,1,1.65809342896439,3.4582573545076,3.8034899973541
development,PINN_EQ,7,2,1.71798616609469,3.52255943845802,3.86344839207294
development,PINN_NOEQ,1,0,0.370273022661203,0.512242616161752,0.557969359466232
development,PINN_NOEQ,1,1,0.411319205516141,0.536370722561071,0.576899062995963
development,PINN_NOEQ,1,2,0.396501923642844,0.516167977369099,0.554216644163588
development,PINN_NOEQ,2,0,0.551685983371836,0.85738259833622,0.934642874832943
development,PINN_NOEQ,2,1,0.539286938161719,0.829640222464664,0.892211668552644
development,PINN_NOEQ,2,2,0.575972746098996,0.867024628533708,0.942596628025185
development,PINN_NOEQ,3,0,0.79854877421166,1.33677002038485,1.45390288294462
development,PINN_NOEQ,3,1,0.741863106714741,1.27275293324043,1.37895255258956
development,PINN_NOEQ,3,2,0.822056720620254,1.34094117639363,1.45763364230332
development,PINN_NOEQ,4,0,1.07865329789645,1.86091812377577,2.02797039591734
development,PINN_NOEQ,4,1,0.982677638944346,1.7697544041658,1.9306731461622
development,PINN_NOEQ,4,2,1.1007948952786,1.85627930058001,2.02289348667346
development,PINN_NOEQ,5,0,1.37402941489436,2.40950630435551,2.63506944099673
development,PINN_NOEQ,5,1,1.24999854874097,2.29800131598668,2.52307453737761
development,PINN_NOEQ,5,2,1.39129148666917,2.39587747022741,2.62119956360973
development,PINN_NOEQ,6,0,1.67772144015028,2.97490082337424,3.26606540621284
development,PINN_NOEQ,6,1,1.54442932255995,2.85321935536629,3.14967105818987
development,PINN_NOEQ,6,2,1.69019726710344,2.95501558382158,3.24637911860368
development,PINN_NOEQ,7,0,1.98329785732673,3.55149405316317,3.9145141175954
development,PINN_NOEQ,7,1,1.85778132343537,3.43134044216989,3.8044071854067
development,PINN_NOEQ,7,2,1.99490857374007,3.52940589238015,3.89281766864908
later_exploratory,CL_DIRECT,1,0,0.0941950614893476,0.130423225671601,0.143366542676458
later_exploratory,CL_DIRECT,1,1,0.126573767753632,0.187566696022689,0.199169016922063
later_exploratory,CL_DIRECT,1,2,0.0979799709511959,0.140881629605271,0.152170868379983
later_exploratory,CL_DIRECT,2,0,0.18254341694755,0.262680631307052,0.289160672657458
later_exploratory,CL_DIRECT,2,1,0.259201434690788,0.383877273638388,0.408627147528884
later_exploratory,CL_DIRECT,2,2,0.196241158698376,0.283766292870248,0.307117213274847
later_exploratory,CL_DIRECT,3,0,0.26894021135448,0.395863225781232,0.435398471341618
later_exploratory,CL_DIRECT,3,1,0.393276956249975,0.583045583576454,0.621497615316336
later_exploratory,CL_DIRECT,3,2,0.295439724768553,0.428982321099335,0.464937309712263
later_exploratory,CL_DIRECT,4,0,0.356421323397917,0.527378762460301,0.578754866897239
later_exploratory,CL_DIRECT,4,1,0.527387445054295,0.782497389539798,0.83479616775251
later_exploratory,CL_DIRECT,4,2,0.394927085228077,0.574636972680771,0.623776762777585
later_exploratory,CL_DIRECT,5,0,0.446220633944848,0.653726716727901,0.716228396426055
later_exploratory,CL_DIRECT,5,1,0.660144414291637,0.980028600886802,1.04712097006226
later_exploratory,CL_DIRECT,5,2,0.49452880656097,0.717972728738217,0.780531535842097
later_exploratory,CL_DIRECT,6,0,0.539844949248501,0.777273314231056,0.850158215090631
later_exploratory,CL_DIRECT,6,1,0.791034409666515,1.17452925093763,1.25769023593945
later_exploratory,CL_DIRECT,6,2,0.594470187122325,0.856489061990629,0.932100478971274
later_exploratory,CL_DIRECT,7,0,0.639022902429717,0.899247724925423,0.982612034966586
later_exploratory,CL_DIRECT,7,1,0.9189684249189,1.36405860217223,1.46408981501975
later_exploratory,CL_DIRECT,7,2,0.696402861441731,0.990508982274537,1.07912737931464
later_exploratory,CL_BRES,1,0,0.10828843994445,0.150832947742483,0.158810681385277
later_exploratory,CL_BRES,1,1,0.118712710004328,0.154450318357367,0.160515058373262
later_exploratory,CL_BRES,1,2,0.130768310364202,0.188303966036139,0.191071319521353
later_exploratory,CL_BRES,2,0,0.208249990371423,0.284644105527271,0.295532479098466
later_exploratory,CL_BRES,2,1,0.228191962399527,0.290840362376698,0.298438553365367
later_exploratory,CL_BRES,2,2,0.251266057928415,0.355828624900961,0.357119789005295
later_exploratory,CL_BRES,3,0,0.306212956096053,0.412695039913859,0.42641417058186
later_exploratory,CL_BRES,3,1,0.332794643065864,0.418576187072128,0.428695531604303
later_exploratory,CL_BRES,3,2,0.366647911716418,0.512582787869261,0.514150343733021
later_exploratory,CL_BRES,4,0,0.407511201220352,0.541731904791816,0.559579703393614
later_exploratory,CL_BRES,4,1,0.435196682551674,0.544054447893833,0.558863058466905
later_exploratory,CL_BRES,4,2,0.479475052373921,0.665072256179003,0.669334451550795
later_exploratory,CL_BRES,5,0,0.513258785687478,0.674724150217725,0.698418370890341
later_exploratory,CL_BRES,5,1,0.538070053492399,0.670909545805863,0.692288613611072
later_exploratory,CL_BRES,5,2,0.589333947602654,0.814172082867353,0.822385843702671
later_exploratory,CL_BRES,6,0,0.624146136801125,0.812822108474412,0.844118868709545
later_exploratory,CL_BRES,6,1,0.642059833929262,0.800545477102931,0.829524251093736
later_exploratory,CL_BRES,6,2,0.695919958908167,0.958826488685669,0.97122591140686
later_exploratory,CL_BRES,7,0,0.740418559531866,0.957523723761782,0.998536953681509
later_exploratory,CL_BRES,7,1,0.746858073659987,0.93300656552728,0.970068018177122
later_exploratory,CL_BRES,7,2,0.800632401324867,1.09946349026297,1.11639413707299
later_exploratory,PINN_EQ,1,0,0.128142327694677,0.182049388654016,0.19126815314788
later_exploratory,PINN_EQ,1,1,0.116745436879412,0.170383239352831,0.180499592551052
later_exploratory,PINN_EQ,1,2,0.12967213662886,0.180958350389961,0.191358469418999
later_exploratory,PINN_EQ,2,0,0.238414292902943,0.359227422314776,0.375017570403929
later_exploratory,PINN_EQ,2,1,0.236970955462607,0.354501522092096,0.371379418506055
later_exploratory,PINN_EQ,2,2,0.240979021096043,0.352537168883749,0.367669173731185
later_exploratory,PINN_EQ,3,0,0.382638559000816,0.578848393546823,0.610935031765299
later_exploratory,PINN_EQ,3,1,0.387453170947592,0.575578341462029,0.606855367003775
later_exploratory,PINN_EQ,3,2,0.383693975451257,0.572367557756075,0.600225792061716
later_exploratory,PINN_EQ,4,0,0.534468841309174,0.804734353398703,0.860332745941809
later_exploratory,PINN_EQ,4,1,0.536787644626118,0.799506884608824,0.852116450816721
later_exploratory,PINN_EQ,4,2,0.531749918006819,0.797511689756857,0.847140148861361
later_exploratory,PINN_EQ,5,0,0.690890670085797,1.03801128101819,1.11948413961339
later_exploratory,PINN_EQ,5,1,0.687811844873244,1.02933993766798,1.10506804521279
later_exploratory,PINN_EQ,5,2,0.687335884736367,1.03092674386501,1.10582695127508
later_exploratory,PINN_EQ,6,0,0.852862256521102,1.28091098263911,1.38840983021481
later_exploratory,PINN_EQ,6,1,0.846478125722571,1.26918794954895,1.36762189170305
later_exploratory,PINN_EQ,6,2,0.85211852237127,1.27720427998348,1.37754524709993
later_exploratory,PINN_EQ,7,0,1.018833258146,1.53358587470501,1.66641458900285
later_exploratory,PINN_EQ,7,1,1.01294371666893,1.51981193912169,1.64012615797418
later_exploratory,PINN_EQ,7,2,1.02386126534492,1.53657102220768,1.66053778812783
later_exploratory,PINN_NOEQ,1,0,0.25675126709447,0.380556994274645,0.406264477276442
later_exploratory,PINN_NOEQ,1,1,0.292584191710496,0.46594417867164,0.507826359144869
later_exploratory,PINN_NOEQ,1,2,0.279461487331649,0.396417566243571,0.424801037757831
later_exploratory,PINN_NOEQ,2,0,0.208003471296218,0.293576550092303,0.300258758620325
later_exploratory,PINN_NOEQ,2,1,0.254656482060375,0.374766307720425,0.393240412729292
later_exploratory,PINN_NOEQ,2,2,0.251452553623568,0.343071720666065,0.348914270326513
later_exploratory,PINN_NOEQ,3,0,0.289864113647114,0.386204534817343,0.394617792843211
later_exploratory,PINN_NOEQ,3,1,0.299887533846585,0.407711228970809,0.410957813208429
later_exploratory,PINN_NOEQ,3,2,0.329973412553366,0.423257138847941,0.429030348702659
later_exploratory,PINN_NOEQ,4,0,0.441405540538509,0.590607037615035,0.604360106311136
later_exploratory,PINN_NOEQ,4,1,0.425864203215042,0.555645448745753,0.563138024664251
later_exploratory,PINN_NOEQ,4,2,0.456842903750884,0.5883414691733,0.606225259661914
later_exploratory,PINN_NOEQ,5,0,0.610976652947805,0.827545506918407,0.854299521401473
later_exploratory,PINN_NOEQ,5,1,0.595672527562328,0.76685001894861,0.788169564186898
later_exploratory,PINN_NOEQ,5,2,0.608631746096642,0.798363031170724,0.829643669058471
later_exploratory,PINN_NOEQ,6,0,0.792237385699017,1.08297656248394,1.12499146127467
later_exploratory,PINN_NOEQ,6,1,0.788227946249922,1.01426289261435,1.05171246044418
later_exploratory,PINN_NOEQ,6,2,0.793344474481342,1.0410715081126,1.08681867253884
later_exploratory,PINN_NOEQ,7,0,0.98604036405316,1.35381625320903,1.41124758846816
later_exploratory,PINN_NOEQ,7,1,0.997637279922548,1.28413862158444,1.3380820602172
later_exploratory,PINN_NOEQ,7,2,1.0005207226192,1.31009903342697,1.37091225530425
