phase,source_family,model,horizon,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,pooled_rmse,comparison_status
development,c16_fast_feedback_run3,C8_ONLINE_FULL,6,371,0.0121664345659,0.0268309150427,0.0126550285139,0.94474393531,0.0846150800248,0.110653330424,0.960916442049,0.108602279468,0.151508802553,0.973045822102,0.129407597678,0.201974677339,0.0352711197176,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C8_ONLINE_FULL,7,370,0.0181542521009,0.0394356059483,0.0182946251612,0.929054054054,0.11509563203,0.157739538219,0.953378378378,0.147723644433,0.218425436541,0.965540540541,0.176023579247,0.296853903398,0.0517417889159,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C8_STATIC_DATA,1,376,0.000108666512563,0.000158985941686,0.00236828185938,1,0.025963089932,0.025963089932,1,0.0333232651653,0.0333232651653,1,0.0397071195278,0.0397071195278,0.000163590169975,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C8_STATIC_DATA,2,375,0.00040884499726,0.00059570616515,0.00255712600603,1,0.0278918895488,0.0278918895488,1,0.0357988526724,0.0357988526724,1,0.0426569639851,0.0426569639851,0.000612582197402,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C8_STATIC_DATA,3,374,0.000998478458959,0.00143609254197,0.00301653998797,1,0.0322829539099,0.0322829539099,1,0.0414347227651,0.0414347227651,1,0.0493725174072,0.0493725174072,0.00147571094156,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C8_STATIC_DATA,4,373,0.00197332444184,0.00280990853345,0.00378962116408,1,0.0388708449548,0.0388708449548,1,0.0498901893811,0.0498901893811,1,0.0594478273122,0.0594478273122,0.00288517202754,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C8_STATIC_DATA,5,372,0.00343137738939,0.00484725774555,0.00504307116603,0.987903225806,0.0486133885252,0.0490918341652,0.993951612903,0.062394608679,0.0626871920313,0.997983870968,0.0743477619142,0.0744181890892,0.00497318022068,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C8_STATIC_DATA,6,371,0.00547541748849,0.00767449635334,0.00686309136224,0.966981132075,0.062174386265,0.0639814312766,0.985175202156,0.0797999608452,0.0814870388822,0.993261455526,0.0950875182214,0.0967335518524,0.00786808266114,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C8_STATIC_DATA,7,370,0.00820897339685,0.0114087857465,0.00923247088508,0.955405405405,0.0793436496033,0.083037485624,0.977702702703,0.101836471769,0.105419777259,0.988513513514,0.121345640554,0.125093081133,0.011689302128,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C8_STATIC_FULL,1,376,0.0002685657188,0.000615907600603,0.00238796272137,0.998670212766,0.0259322782447,0.0259784426083,0.999335106383,0.0332837187928,0.0333137412717,1,0.0396599971186,0.0396599971186,0.000812872517848,historical_native_scale_not_main_ranking
