lead,physical_first,physical_last,observed_first,observed_last,delta_left_endpoint,matched_slot_offset
70,41,70,-30,-1,-31,71
71,42,71,-30,-1,-31,72
72,43,72,-30,-1,-31,73
73,44,73,-30,-1,-31,74
74,45,74,-30,-1,-31,75
75,46,75,-30,-1,-31,76
76,47,76,-30,-1,-31,77
77,48,77,-30,-1,-31,78
78,49,78,-30,-1,-31,79
79,50,79,-30,-1,-31,80
80,51,80,-30,-1,-31,81
81,52,81,-30,-1,-31,82
82,53,82,-30,-1,-31,83
83,54,83,-30,-1,-31,84
84,55,84,-30,-1,-31,85
85,56,85,-30,-1,-31,86
86,57,86,-30,-1,-31,87
87,58,87,-30,-1,-31,88
88,59,88,-30,-1,-31,89
89,60,89,-30,-1,-31,90
90,61,90,-30,-1,-31,91
91,62,91,-30,-1,-31,92
92,63,92,-30,-1,-31,93
93,64,93,-30,-1,-31,94
94,65,94,-30,-1,-31,95
95,66,95,-30,-1,-31,96
96,67,96,-30,-1,-31,97
97,68,97,-30,-1,-31,98
98,69,98,-30,-1,-31,99
99,70,99,-30,-1,-31,100
100,71,100,-30,-1,-31,101
101,72,101,-30,-1,-31,102
102,73,102,-30,-1,-31,103
103,74,103,-30,-1,-31,104
104,75,104,-30,-1,-31,105
105,76,105,-30,-1,-31,106
106,77,106,-30,-1,-31,107
107,78,107,-30,-1,-31,108
108,79,108,-30,-1,-31,109
109,80,109,-30,-1,-31,110
110,81,110,-30,-1,-31,111
111,82,111,-30,-1,-31,112
112,83,112,-30,-1,-31,113
113,84,113,-30,-1,-31,114
114,85,114,-30,-1,-31,115
115,86,115,-30,-1,-31,116
116,87,116,-30,-1,-31,117
117,88,117,-30,-1,-31,118
118,89,118,-30,-1,-31,119
119,90,119,-30,-1,-31,120
120,91,120,-30,-1,-31,121
121,92,121,-30,-1,-31,122
122,93,122,-30,-1,-31,123
123,94,123,-30,-1,-31,124
124,95,124,-30,-1,-31,125
125,96,125,-30,-1,-31,126
126,97,126,-30,-1,-31,127
127,98,127,-30,-1,-31,128
128,99,128,-30,-1,-31,129
129,100,129,-30,-1,-31,130
130,101,130,-30,-1,-31,131
131,102,131,-30,-1,-31,132
132,103,132,-30,-1,-31,133
133,104,133,-30,-1,-31,134
134,105,134,-30,-1,-31,135
135,106,135,-30,-1,-31,136
136,107,136,-30,-1,-31,137
137,108,137,-30,-1,-31,138
138,109,138,-30,-1,-31,139
139,110,139,-30,-1,-31,140
140,111,140,-30,-1,-31,141
141,112,141,-30,-1,-31,142
142,113,142,-30,-1,-31,143
143,114,143,-30,-1,-31,144
144,115,144,-30,-1,-31,145
145,116,145,-30,-1,-31,146
146,117,146,-30,-1,-31,147
147,118,147,-30,-1,-31,148
148,119,148,-30,-1,-31,149
149,120,149,-30,-1,-31,150
150,121,150,-30,-1,-31,151
151,122,151,-30,-1,-31,152
152,123,152,-30,-1,-31,153
153,124,153,-30,-1,-31,154
154,125,154,-30,-1,-31,155
155,126,155,-30,-1,-31,156
156,127,156,-30,-1,-31,157
157,128,157,-30,-1,-31,158
158,129,158,-30,-1,-31,159
159,130,159,-30,-1,-31,160
160,131,160,-30,-1,-31,161
161,132,161,-30,-1,-31,162
162,133,162,-30,-1,-31,163
163,134,163,-30,-1,-31,164
164,135,164,-30,-1,-31,165
165,136,165,-30,-1,-31,166
166,137,166,-30,-1,-31,167
167,138,167,-30,-1,-31,168
168,139,168,-30,-1,-31,169
169,140,169,-30,-1,-31,170
170,141,170,-30,-1,-31,171
171,142,171,-30,-1,-31,172
172,143,172,-30,-1,-31,173
173,144,173,-30,-1,-31,174
174,145,174,-30,-1,-31,175
175,146,175,-30,-1,-31,176
176,147,176,-30,-1,-31,177
177,148,177,-30,-1,-31,178
178,149,178,-30,-1,-31,179
179,150,179,-30,-1,-31,180
