protocol_id,protocol_version,protocol_status,protocol_content_sha256,artifact_status,formal_warning_output,prediction_input_sha256,date,station,split,actual,p10,p50,p90,interval_input_status,interval_status,interval_level,interval_color,interval_reason,interval_mapping_basis,interval_mu,interval_sigma,interval_z
ootang-five-level-rule-v1,1.3-draft,draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b,source_referenced_observed_interval_state_not_formal,False,6b9e401fa1447059f481307890ab4c2d9c66d6071a458c81d0ee0d7db034dfb9,2016-08-08,MJ1,fit,681.9237254338444,681.7957166824452,681.9737818356268,682.1571198528488,not_applicable,not_applicable,,,source_not_applicable,,681.9737818356268,0.14100236838344393,-0.3550039787010874
ootang-five-level-rule-v1,1.3-draft,draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b,source_referenced_observed_interval_state_not_formal,False,6b9e401fa1447059f481307890ab4c2d9c66d6071a458c81d0ee0d7db034dfb9,2016-08-08,MJ3,fit,952.6834113450886,952.5199779267429,952.7154565201536,952.8958714919714,not_applicable,not_applicable,,,source_not_applicable,,952.7154565201536,0.14665583286979827,-0.2185059703242251
ootang-five-level-rule-v1,1.3-draft,draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b,source_referenced_observed_interval_state_not_formal,False,6b9e401fa1447059f481307890ab4c2d9c66d6071a458c81d0ee0d7db034dfb9,2016-08-08,MJ9,fit,262.55442,262.50637180777227,262.6090604808832,262.6771315008304,not_applicable,not_applicable,,,source_not_applicable,,262.6090604808832,0.06662232962355363,-0.8201526604062879
ootang-five-level-rule-v1,1.3-draft,draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b,source_referenced_observed_interval_state_not_formal,False,6b9e401fa1447059f481307890ab4c2d9c66d6071a458c81d0ee0d7db034dfb9,2016-08-09,ATU1,fit,27.54029867811793,26.92914365767905,27.63358902653657,28.21751801281984,not_applicable,not_applicable,,,source_not_applicable,,27.63358902653657,0.5026625395578762,-0.18559240261009385
ootang-five-level-rule-v1,1.3-draft,draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b,source_referenced_observed_interval_state_not_formal,False,6b9e401fa1447059f481307890ab4c2d9c66d6071a458c81d0ee0d7db034dfb9,2016-08-09,ATU2,fit,17.56272,17.207288363966796,17.7324503250839,18.121231786049545,not_applicable,not_applicable,,,source_not_applicable,,17.7324503250839,0.3565773563586083,-0.4759986074752418
ootang-five-level-rule-v1,1.3-draft,draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b,source_referenced_observed_interval_state_not_formal,False,6b9e401fa1447059f481307890ab4c2d9c66d6071a458c81d0ee0d7db034dfb9,2016-08-09,ATU3,fit,41.81423,40.85695815800077,41.64537997320515,42.207454487103746,not_applicable,not_applicable,,,source_not_applicable,,41.64537997320515,0.5268995860883203,0.3204595927819665
ootang-five-level-rule-v1,1.3-draft,draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b,source_referenced_observed_interval_state_not_formal,False,6b9e401fa1447059f481307890ab4c2d9c66d6071a458c81d0ee0d7db034dfb9,2016-08-09,ATU4,fit,15.21501,14.710804393746228,15.180561033115705,15.489465790952943,not_applicable,not_applicable,,,source_not_applicable,,15.180561033115705,0.30379672943182673,0.11339479180280365
ootang-five-level-rule-v1,1.3-draft,draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b,source_referenced_observed_interval_state_not_formal,False,6b9e401fa1447059f481307890ab4c2d9c66d6071a458c81d0ee0d7db034dfb9,2016-08-09,ATU5,fit,52.69808324776847,51.83897649065564,52.48170700183677,53.018868723656546,not_applicable,not_applicable,,,source_not_applicable,,52.48170700183677,0.4603379630138919,0.47003780551806423
ootang-five-level-rule-v1,1.3-draft,draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b,source_referenced_observed_interval_state_not_formal,False,6b9e401fa1447059f481307890ab4c2d9c66d6071a458c81d0ee0d7db034dfb9,2016-08-09,MJ1,fit,682.1667430107806,682.0305114803637,682.2102674156024,682.3914474990576,not_applicable,not_applicable,,,source_not_applicable,,682.2102674156024,0.14082010795283278,-0.3090780532308787
ootang-five-level-rule-v1,1.3-draft,draft,b7a252175d2ba5789572c0bc8a073802f079fbe22cdc1c523cec21ac0dda450b,source_referenced_observed_interval_state_not_formal,False,6b9e401fa1447059f481307890ab4c2d9c66d6071a458c81d0ee0d7db034dfb9,2016-08-09,MJ3,fit,952.9209203047322,952.764470637436,952.959529861515,953.1407531535352,not_applicable,not_applicable,,,source_not_applicable,,952.959529861515,0.14680758304365618,-0.26299429486033843
