fit_days,part,band,station,seed,count,H_correction_mean_mm,H_correction_rms_mm,H_rmse_mm,H_mae_mm,H_bias_mm,H_active_count,H_wrong_direction_count,H_mse_minus_P0_mm2,H_mse_identity_mm2,H0_correction_mean_mm,H0_correction_rms_mm,H0_rmse_mm,H0_mae_mm,H0_bias_mm,H0_active_count,H0_wrong_direction_count,H0_mse_minus_P0_mm2,H0_mse_identity_mm2,history_effect_mean_mm,history_effect_rms_mm,history_effect_max_abs_mm,H_minus_H0_rmse_mm,H_minus_H0_mae_mm,H_minus_H0_mse_mm2,history_mse_identity_mm2
342,prediction,91_180,MJ1,ensemble,90,-3.474730603036247,4.515524483571468,7.6412113582946715,7.503040686559718,-7.503040686559718,90,84,35.14603061000928,35.14603061000928,-2.856376838037604,3.5400748843256684,7.062933847507853,6.884686921561075,-6.884686921561075,90,84,26.64295412214987,26.642954122149867,-0.6183537649986428,1.136436372562429,3.028876948983899,0.5782775107868181,0.618353764998643,8.503076487859419,8.503076487859419
432,training_pairs,all,ATU1,0,188,-0.8960612098737732,10.079946262141755,1.6890598556139615,1.2319877808020407,0.040356194010639064,188,6,-104.47147506708468,-104.47147506708467,-0.6222065886011122,9.825246164479092,2.1634775004351967,1.5802970714446976,0.3142108152833001,188,4,-102.64376336804202,-102.643763368042,-0.273854621272661,1.5677804480370574,5.9717228532044,-0.47441764482123516,-0.3483092906426568,-1.8277116990426696,-1.8277116990426696
432,training_pairs,all,ATU1,1,188,-0.9685855379490208,10.178404912740229,1.7593211353026998,1.3349354345080173,-0.032168134064608514,188,2,-104.22918740580856,-104.22918740580853,-0.9423075163478416,10.112484009601056,2.0789612016008396,1.5443965303607938,-0.0058901124634295554,188,4,-103.00231858516973,-103.0023185851697,-0.02627802160117913,1.1255474903983738,3.1142447335987917,-0.3196400662981398,-0.2094610958527765,-1.226868820638827,-1.2268688206388267
432,training_pairs,all,ATU1,2,188,-0.9276043010116319,10.040578631883669,1.466306321827313,1.1314324905949824,0.00881310287277987,188,4,-105.1743440335006,-105.17434403350057,-0.7686071226176223,10.037948247258347,1.6137770921976602,1.251073200732204,0.1678102812667895,188,7,-104.72012175962941,-104.72012175962938,-0.15899717839400968,0.842486756110758,4.212847904572056,-0.14747077037034728,-0.11964071013722166,-0.4542222738711917,-0.4542222738711917
432,training_pairs,all,ATU1,ensemble,188,-0.9307503496114756,10.066184496848397,1.4217286165995517,1.0509261775250962,0.005667054272936838,188,3,-105.30308600367326,-105.30308600367324,-0.7777070758555257,9.951845027461289,1.7479940289834857,1.2492985032155461,0.15871032802888665,188,5,-104.26891513756942,-104.2689151375694,-0.1530432737559498,0.9836635286487615,3.3182460632079334,-0.3262654123839339,-0.19837232569044994,-1.0341708661038438,-1.034170866103844
432,training_pairs,all,ATU5,0,188,-0.687826857397343,4.0508700214377775,1.2483452990680426,0.9881134737206813,-0.05505915981896143,188,30,-17.348574554748943,-17.348574554748943,-1.004115781812582,4.00390506570174,1.2676313844322042,1.0314144849452336,-0.3713480842342004,188,32,-17.300051213656715,-17.30005121365672,0.316288924415239,0.7685049338053844,2.4504533158047446,-0.019286085364161654,-0.04330101122455232,-0.04852334109222591,-0.04852334109222595
432,training_pairs,all,ATU5,1,188,-0.556766410584574,4.172920515457995,1.0322735422127338,0.7909498074016847,0.07600128699380743,188,20,-17.841351874501797,-17.8413518745018,-0.8471525081635266,4.144739161959665,1.1730004878240479,0.9070310319266259,-0.21438481058514514,188,24,-17.531010396018768,-17.531010396018765,0.2903860975789527,0.8953159897325728,2.5469548971663762,-0.14072694561131405,-0.11608122452494118,-0.3103414784830296,-0.3103414784830296
432,training_pairs,all,ATU5,2,188,-0.5465866748868458,4.245573867627386,1.0125401249662742,0.7508932708938747,0.08618102269153567,188,19,-17.881703035787503,-17.881703035787506,-0.6886636511940021,4.214387217035345,1.111548959592018,0.8183024570071785,-0.05589595361562057,188,23,-17.671399450884124,-17.671399450884124,0.14207697630715624,0.6688502097958551,2.9001553075914397,-0.09900883462574384,-0.06740918611330382,-0.21030358490337944,-0.21030358490337944
432,training_pairs,all,ATU5,ensemble,188,-0.5970599809562545,4.107779982470048,0.8987120942540022,0.6796271497297297,0.03570771662212718,188,24,-18.099257112095806,-18.099257112095806,-0.8466439803900371,4.067339075863236,0.9792725061646519,0.7491220266305555,-0.2138762828116554,188,19,-17.947965899124224,-17.94796589912422,0.24958399943378265,0.5968677528941602,1.7703423662621223,-0.08056041191064967,-0.06949487690082579,-0.15129121297158352,-0.15129121297158346
432,training_pairs,all,MJ3,0,188,-1.4471631506539193,6.432278375133944,1.1204805890152914,0.8553231390238084,0.005332389366805258,188,6,-40.448334529852744,-40.448334529852744,-1.839881054833815,6.345276668795058,1.2657555112237742,1.0247629821181634,-0.3873855148130901,188,2,-40.10167426601944,-40.101674266019444,0.3927179041798954,0.9949802327590999,3.1007303165350137,-0.14527492220848282,-0.169439843094355,-0.34666026383330417,-0.34666026383330406
432,training_pairs,all,MJ3,1,188,-1.5116854346058552,6.336444045196867,0.9424594904146769,0.7109848534079476,-0.059189894585130666,188,8,-40.81558138914011,-40.81558138914011,-1.9572585428631617,6.497428471205441,1.1929676923713641,0.9669805316360492,-0.5047630028424368,188,13,-40.28063936517094,-40.28063936517094,0.44557310825730606,0.879124170170096,2.4043509302801507,-0.2505082019566872,-0.25599567822810165,-0.5349420239691649,-0.5349420239691649
432,training_pairs,all,MJ3,2,188,-1.4968874768166747,6.492779184370054,0.9327169025297751,0.7452028950311443,-0.04439193679594963,188,4,-40.83385045994806,-40.83385045994806,-1.554257575178877,6.399447959348209,1.0995379760245492,0.8823533687661388,-0.10176203515815208,188,7,-40.49482751949264,-40.49482751949264,0.05737009836220245,0.8134984730305677,3.575163976040293,-0.16682107349477404,-0.13715047373499445,-0.33902294045542425,-0.33902294045542425
432,training_pairs,all,MJ3,ensemble,188,-1.4852453540254833,6.389654961851136,0.777995134112536,0.581040999214975,-0.03274981400475834,188,3,-41.09853485151002,-41.09853485151002,-1.7837990576252847,6.376633865773476,0.9637814651933911,0.7526062505290136,-0.3313035176045596,188,3,-40.77493656756248,-40.77493656756248,0.2985537035998013,0.6279304072523101,2.148931028909182,-0.18578633108085518,-0.17156525131403866,-0.323598283947537,-0.323598283947537
432,training_pairs,all,MJ1,0,188,0.8959235011717464,8.452383322906591,0.7920254013274977,0.6377323736088092,0.0604297453379857,188,15,-70.712868746553,-70.712868746553,0.7745307355691093,8.121905965881336,1.0763192319873534,0.8829891783213024,-0.06096302026465124,188,25,-70.18170989375514,-70.18170989375514,0.12139276560263697,0.9097360480548609,2.9559090006893904,-0.2842938306598557,-0.24525680471249323,-0.5311588527978623,-0.5311588527978625
432,training_pairs,all,MJ1,1,188,0.8301838147593127,8.445353010694296,0.8758905526358975,0.6826787490274919,-0.005309941074448356,188,12,-70.57298872270417,-70.57298872270417,0.6427905301540391,8.31232139452125,1.1845889265022211,0.8916449894935989,-0.19270322567972117,188,19,-69.9369220581093,-69.9369220581093,0.18739328460527285,0.9344323380986143,3.3414462043509676,-0.3086983738663236,-0.208966240466107,-0.6360666645948662,-0.636066664594866
432,training_pairs,all,MJ1,2,188,0.8082531272027388,8.431149114641926,0.7994268964770858,0.5925319609117519,-0.02724062863102192,188,12,-70.70108962009,-70.70108962009,0.7199775901807868,8.257296852964956,1.0549754648423644,0.8402570241650813,-0.11551616565297342,188,12,-70.22719975148162,-70.22719975148162,0.08827553702195153,0.8442128867825637,2.77334563730669,-0.2555485683652786,-0.24772506325332944,-0.47388986860837795,-0.47388986860837795
432,training_pairs,all,MJ1,ensemble,188,0.8447868143779327,8.423858012731028,0.5962875730702507,0.4686108108862922,0.009293058544171782,188,12,-70.98461411310298,-70.98461411310296,0.7124329519679784,8.199788815726565,0.8448475820092787,0.6709657439657448,-0.12306080386578193,188,16,-70.62640554607405,-70.62640554607405,0.13235386240995378,0.6565938545361848,2.7320542484810204,-0.24856000893902797,-0.20235493307945263,-0.3582085670289152,-0.3582085670289152
432,training_pairs,1_30,ATU1,0,85,-0.0582546444044136,9.019426861174688,1.5999856874285796,1.1793286788213462,0.16147493547934685,85,2,-83.43487676166619,-83.43487676166617,0.6448357917809135,7.925688840245877,2.5051140093778823,1.7803013885646812,0.8645653716646737,85,1,-79.71923476166117,-79.71923476166118,-0.7030904361853269,1.864620932502191,5.9717228532044,-0.9051283219493027,-0.600972709743335,-3.715642000005022,-3.715642000005022
432,training_pairs,1_30,ATU1,1,85,-0.23866204144098635,9.053739136615453,1.6925930036517072,1.3054223443546693,-0.01893246155722596,85,2,-83.12995988563178,-83.12995988563176,-0.05193072891808694,8.493844606651429,2.139062027105294,1.4902937872355575,0.16779885096567326,85,2,-81.41924460583868,-81.41924460583868,-0.1867313125228992,1.2881135539392576,2.974909539014485,-0.44646902345358686,-0.1848714428808882,-1.7107152797931,-1.7107152797931007
432,training_pairs,1_30,ATU1,2,85,-0.1826424220523053,9.150403994714974,1.4197412218500818,1.0904209199911252,0.037087157831455046,85,2,-83.97916582462213,-83.97916582462214,-0.05270061990834351,9.049186369979882,1.66018854105785,1.3107936929841446,0.16702895997541672,85,2,-83.2386049697827,-83.2386049697827,-0.12994180214396164,0.8060119562873657,2.142555729654056,-0.2404473192077683,-0.22037277299301938,-0.7405608548394299,-0.7405608548394301
432,training_pairs,1_30,ATU1,ensemble,85,-0.1598530359659016,9.044982954866354,1.39349606506063,1.0266024956550355,0.059876543917858766,85,2,-84.05299967830304,-84.05299967830302,0.1800681476514943,8.449852401984161,1.911169941914126,1.2472434661719434,0.3997977275352547,85,2,-82.34226041476644,-82.34226041476644,-0.3399211836173959,1.1468787710028334,3.3182460632079334,-0.5176738768534959,-0.2206409705169079,-1.7107392635365841,-1.7107392635365843
432,training_pairs,1_30,ATU5,0,85,-0.49373042109235554,3.9035076702809897,1.141766294725727,0.8442141899090048,-0.08674929085888064,85,11,-16.002629814227088,-16.002629814227088,-0.7337942221567451,3.8061718475058055,1.1969375692857875,0.9553314854851901,-0.32681309192327007,85,17,-15.873600541231035,-15.873600541231035,0.24006380106438938,0.6664537535166671,1.694628158727116,-0.055171274560060546,-0.11111729557618533,-0.12902927299605343,-0.12902927299605343
432,training_pairs,1_30,ATU5,1,85,-0.27580002674839094,4.186382646722177,0.8243185003551398,0.6587870766906126,0.13118110348508388,85,4,-16.626759095971057,-16.62675909597106,-0.6656284221849877,4.0986797300461975,1.0806099094847466,0.8757407403553336,-0.25864729195151265,85,10,-16.138542309522173,-16.138542309522176,0.3898283954365966,0.8321740650745716,2.1452126285650763,-0.2562914091296068,-0.2169536636647209,-0.4882167864488853,-0.4882167864488853
432,training_pairs,1_30,ATU5,2,85,-0.28210136601985003,4.1327826000824714,0.8571302191792799,0.6547604302354447,0.12487976421362498,85,6,-16.571587873368482,-16.571587873368486,-0.3799606147171103,4.0194175791047995,0.9383717401979098,0.7282345338939166,0.02702051551636463,85,9,-16.42571856319675,-16.42571856319675,0.09785924869726034,0.6605876617480186,2.5125585705068882,-0.08124152101862991,-0.07347410365847185,-0.14586931017173282,-0.14586931017173285
