fit_days,lead,training_pairs,fit_readout,prediction
432,153,0,2,1
432,154,0,2,1
432,155,0,2,1
432,156,0,2,1
432,157,0,2,1
432,158,0,2,1
432,159,0,2,1
432,160,0,2,1
432,161,0,2,1
432,162,0,2,1
432,163,0,2,1
432,164,0,2,1
432,165,0,2,1
432,166,0,2,1
432,167,0,2,1
432,168,0,2,1
432,169,0,2,1
432,170,0,2,1
432,171,0,2,1
432,172,0,2,1
432,173,0,2,1
432,174,0,2,1
432,175,0,2,1
432,176,0,2,1
432,177,0,2,1
432,178,0,2,1
432,179,16,2,1
612,0,42,4,1
612,1,0,4,1
612,2,0,4,1
612,3,0,4,1
612,4,0,4,1
612,5,0,4,1
612,6,42,4,1
612,7,0,4,1
612,8,0,4,1
612,9,0,4,1
612,10,0,4,1
612,11,0,4,1
612,12,0,4,1
612,13,0,4,1
612,14,0,4,1
612,15,0,4,1
612,16,0,4,1
612,17,0,4,1
612,18,0,4,1
612,19,0,4,1
612,20,0,4,1
612,21,0,4,1
612,22,0,4,1
612,23,0,4,1
612,24,0,4,1
612,25,0,4,1
612,26,0,4,1
612,27,0,4,1
612,28,0,4,1
612,29,40,4,1
612,30,0,4,1
612,31,0,4,1
612,32,0,4,1
612,33,0,4,1
612,34,0,4,1
612,35,0,4,1
612,36,0,4,1
612,37,0,4,1
612,38,0,4,1
612,39,0,4,1
612,40,0,4,1
612,41,0,3,1
612,42,0,3,1
612,43,0,3,1
612,44,0,3,1
612,45,0,3,1
612,46,0,3,1
612,47,0,3,1
612,48,0,3,1
612,49,0,3,1
612,50,0,3,1
612,51,0,3,1
612,52,0,3,1
612,53,0,3,1
612,54,0,3,1
612,55,0,3,1
612,56,0,3,1
612,57,0,3,1
612,58,0,3,1
612,59,38,3,1
612,60,0,3,1
612,61,0,3,1
612,62,0,3,1
612,63,0,3,1
612,64,0,3,1
612,65,0,3,1
612,66,0,3,1
612,67,0,3,1
612,68,0,3,1
612,69,0,3,1
612,70,0,3,1
612,71,0,3,1
612,72,0,3,1
612,73,0,3,1
612,74,0,3,1
612,75,0,3,1
612,76,0,3,1
612,77,0,3,1
612,78,0,3,1
612,79,0,3,1
612,80,0,3,1
612,81,0,3,1
612,82,0,3,1
612,83,0,3,1
612,84,0,3,1
612,85,0,3,1
612,86,0,3,1
612,87,0,3,1
612,88,0,3,1
612,89,36,3,1
612,90,0,3,1
612,91,0,3,1
612,92,0,3,1
612,93,0,3,1
612,94,0,3,1
612,95,0,3,1
612,96,0,3,1
612,97,0,3,1
612,98,0,3,1
612,99,0,3,1
612,100,0,3,1
612,101,0,3,1
612,102,0,3,1
612,103,0,3,1
612,104,0,3,1
612,105,0,3,1
612,106,0,3,1
612,107,0,3,1
612,108,0,3,1
612,109,0,3,1
612,110,0,3,1
612,111,0,3,1
612,112,0,3,1
612,113,0,3,1
612,114,0,3,1
612,115,0,3,1
612,116,0,3,1
612,117,0,3,1
612,118,0,3,1
612,119,33,3,1
612,120,0,3,1
612,121,0,3,1
612,122,0,3,1
612,123,0,3,1
612,124,0,3,1
612,125,0,3,1
612,126,0,3,1
612,127,0,3,1
612,128,0,3,1
612,129,0,3,1
612,130,0,3,1
612,131,0,3,1
612,132,0,3,1
612,133,0,3,1
612,134,0,3,1
612,135,0,3,1
612,136,0,3,1
612,137,0,3,1
612,138,0,3,1
612,139,0,3,1
612,140,0,3,1
612,141,0,3,1
612,142,0,3,1
612,143,0,3,1
612,144,0,3,1
612,145,0,3,1
612,146,0,3,1
612,147,0,3,1
612,148,0,3,1
612,149,31,3,1
612,150,0,3,1
612,151,0,3,1
612,152,0,3,1
612,153,0,3,1
612,154,0,3,1
612,155,0,3,1
612,156,0,3,1
612,157,0,3,1
612,158,0,3,1
612,159,0,3,1
612,160,0,3,1
612,161,0,3,1
612,162,0,3,1
612,163,0,3,1
612,164,0,3,1
612,165,0,3,1
612,166,0,3,1
612,167,0,3,1
612,168,0,3,1
612,169,0,3,1
612,170,0,3,1
612,171,0,3,1
612,172,0,3,1
612,173,0,3,1
612,174,0,3,1
612,175,0,3,1
612,176,0,3,1
612,177,0,3,1
612,178,0,3,1
612,179,29,3,1
