origin,seed,step,bin,mae,rmse,bias,mse,error_variance
792,1,200,h031_090,3.854076321526195,4.473362856941771,-2.3613270150590044,22.39107012859683,7.855892405019176
792,1,200,h091_180,9.195079491485469,10.63114417526686,-8.174300258954352,142.22072644293456,40.078633630831845
792,1,200,h181_293,28.928523160332464,30.873852066031862,-28.928523160332464,1090.3804630172124,131.1975906555327
792,1,200,all,15.016882724991925,20.21633504045905,-14.101982259359604,469.755330249494,226.5216150924296
792,1,400,h001_030,4.397465473472561,5.200607304884094,3.6196218504148203,28.31331588508474,15.010021860096392
792,1,400,h031_090,5.029190477885317,5.734699664151099,-2.0057757026012624,38.71428999662727,11.483179007546786
792,1,400,h091_180,9.029485221904759,10.348384690589308,-6.262592350162636,123.21329615973212,32.40453290142883
792,1,400,h181_293,31.574366532787092,33.875884914001084,-31.52307421321901,1339.626388554333,167.04245307453056
792,1,400,all,16.430827580387938,22.057384938693485,-14.121155577651933,565.3216226531252,296.6467520299018
792,2,0,h001_030,1.395168639605691,1.6038565102489213,-1.395168639605691,3.35809652758193,0.8349969651663877
792,2,0,h031_090,6.308631363304551,6.573786677854293,-6.308631363304551,48.16983571455968,3.36050385304431
792,2,0,h091_180,11.600247256500616,11.792170012954996,-11.600247256500616,144.7732252199892,4.268100952966019
792,2,0,h181_293,23.31354124878473,23.84830921446529,-23.31354124878473,583.7455505863962,27.11083712808302
792,2,0,all,13.98916503475827,16.546947631287747,-13.98916503475827,279.8080905282008,79.35137568545285
792,2,50,h001_030,17.0840011805035,17.845942991942763,17.0840011805035,394.4938259999724,31.537987605675273
792,2,50,h031_090,20.97499405547912,21.874231711781764,20.97499405547912,600.2434176814467,45.548945837799515
792,2,50,h091_180,31.827875026582774,32.22219759291216,31.827875026582774,1291.729074599055,30.173541834896216
792,2,50,h181_293,28.719515677790405,29.853743707782222,28.324637028253434,1323.6569942468311,66.42789489451218
792,2,50,all,26.89704335401576,28.39108444453194,26.744752270747238,1070.5743239068015,96.3906578325452
792,2,100,h001_030,18.052405175160445,18.77896638775108,18.052405175160445,454.55837559009575,33.64925700966994
792,2,100,h031_090,28.536983408767973,29.46664336633291,28.536983408767973,1129.0033041191996,67.11357862730868
792,2,100,h091_180,50.89371842416753,51.47634026506,50.89371842416753,3419.9182050132226,77.47639854891116
792,2,100,h181_293,57.512807533462215,58.25041959499304,57.512807533462215,4809.844481602138,79.3649164162162
792,2,100,all,45.50571013391536,48.45328089200805,45.50571013391536,3183.2150661675305,373.3334540936423
792,2,200,h001_030,8.363489441193398,9.344014914109144,8.168648074556979,131.069441946687,24.92872302986868
792,2,200,h031_090,22.021657606697612,22.958094923954153,22.020610958242905,770.1762203732671,49.39377643936624
