origin,seed,step,bin,point,n_terms,supported_origins,mae,rmse,bias,normalized_mse,objective_contribution
612,0,100,h031_090,ATU1,7230,150,5.884450163384023,7.512192739417609,-1.2983453466641484,0.002476356645516936,0.00020404229891853956
612,0,100,h031_090,ATU5,7230,150,10.180363046449761,13.97246617686822,-8.352605453551055,0.006422160951305595,0.0004511015273039649
612,0,100,h031_090,MJ3,7230,150,3.758577031452076,4.509958151826345,-3.712411088785789,0.0022965311763933,0.00016936438202403732
612,0,100,h031_090,MJ1,7230,150,1.541524080499095,1.936415983728255,-0.918720481477019,0.0007520696334069487,6.332820378501173e-05
612,0,100,h091_180,ATU1,4095,90,7.629155591076562,10.083202113697912,3.3244729315337698,0.004461456809664361,0.00015772415115949243
612,0,100,h091_180,ATU5,4095,90,17.512173257745218,20.291085994109427,-16.39752996497414,0.013543959125851858,0.0004970742674080919
612,0,100,h091_180,MJ3,4095,90,3.996309976452544,5.199783690674234,-3.514489539187811,0.003052796649819475,0.00010599146288646235
612,0,100,h091_180,MJ1,4095,90,2.074348704973632,2.7163786687746936,-0.2981091241505673,0.001479930629080856,5.4160289788145056e-05
612,0,100,h181_293,ATU1,0,0,,,,,0.0
612,0,100,h181_293,ATU5,0,0,,,,,0.0
612,0,100,h181_293,MJ3,0,0,,,,,0.0
612,0,100,h181_293,MJ1,0,0,,,,,0.0
612,0,100,all,ATU1,16290,180,5.898589182713716,8.00317215577975,-0.5114675746571583,0.0028106325150533125,0.0004636468954403589
612,0,100,all,ATU5,16290,180,10.469448628508424,14.658156410096169,-7.812234189510638,0.007067954656147332,0.0010723456340743357
612,0,100,all,MJ3,16290,180,3.3279821172873043,4.367655603882887,-3.1467421215159326,0.002153892847009838,0.0003346711016919592
612,0,100,all,MJ1,16290,180,1.518012245170202,2.0555740419718767,-0.6168576212420284,0.0008474751749011173,0.00014995525458018737
612,0,200,h001_030,ATU1,4965,180,5.065463561041518,7.836506933900221,-4.387602411079942,0.0026947891641857656,0.0001250244672928992
612,0,200,h001_030,ATU5,4965,180,3.5540485436764886,5.2086031259531875,-0.18283353863495272,0.0008924370379797897,4.8089710355619826e-05
612,0,200,h001_030,MJ3,4965,180,1.3570552743617978,2.223928167084412,-1.1986885591733827,0.0005584301167931541,2.6218821438330732e-05
612,0,200,h001_030,MJ1,4965,180,0.7628988710501406,1.1913217302346464,-0.416485266709656,0.0002846550303622657,1.843367226753665e-05
612,0,200,h031_090,ATU1,7230,150,4.351342053773242,5.901715860415404,-3.653355840196424,0.0015283975782389389,0.00011466747232403522
612,0,200,h031_090,ATU5,7230,150,5.071433211751846,6.618038833306214,-2.470370094935391,0.001440766739022758,0.00010591603137491176
612,0,200,h031_090,MJ3,7230,150,2.0422313498338283,2.6177433941015935,-1.9631135812752485,0.0007737158007366093,5.4911412425184224e-05
612,0,200,h031_090,MJ1,7230,150,0.9970867363865489,1.2779901238481652,-0.6921613643004916,0.00032757875737181096,2.8294444629786986e-05
612,0,200,h091_180,ATU1,4095,90,4.6680250631439435,6.005827320118057,-2.471107331331393,0.0015827977722589841,5.893340812887467e-05
612,0,200,h091_180,ATU5,4095,90,7.519847000510659,9.262331332464111,-5.727091638885537,0.002822121300497338,9.94346236440311e-05
612,0,200,h091_180,MJ3,4095,90,2.1248887948935535,2.7577988433801788,-1.4951482559522764,0.0008587218066754289,3.0339973192797537e-05
612,0,200,h091_180,MJ1,4095,90,1.553700451145631,1.961126938007817,-0.8236923087167208,0.0007713866992241368,2.8897102409208597e-05
612,0,200,h181_293,ATU1,0,0,,,,,0.0
612,0,200,h181_293,ATU5,0,0,,,,,0.0
612,0,200,h181_293,MJ3,0,0,,,,,0.0
612,0,200,h181_293,MJ1,0,0,,,,,0.0
612,0,200,all,ATU1,16290,180,4.648606032101051,6.5759669347707135,-3.579950473752861,0.0018975751730049347,0.0002986253477458091
612,0,200,all,ATU5,16290,180,5.224437483573405,7.019547189543363,-2.5918345344961136,0.0016208888976206749,0.0002534403653745627
612,0,200,all,MJ3,16290,180,1.8541762867767961,2.541789105547159,-1.6124881520589602,0.0007294681748029206,0.00011147020705631249
612,0,200,all,MJ1,16290,180,1.0656312674205066,1.4574899531143124,-0.6412029476550625,0.00042606109115222123,7.562521930653223e-05
612,0,400,h001_030,ATU1,4965,180,2.804618633626441,3.8327014495259584,0.9208608380952522,0.0006445991520564017,3.991012623888448e-05
612,0,400,h001_030,ATU5,4965,180,4.737409206209019,7.532552902286848,3.4232015725600693,0.0018664632040739097,8.885993227446647e-05
612,0,400,h001_030,MJ3,4965,180,0.772960771621935,1.159169053787764,0.3923760086747267,0.0001517123299052012,9.458936426617123e-06
612,0,400,h001_030,MJ1,4965,180,0.7411981083512684,1.0089480562003148,0.5550474257752152,0.00020417301958811546,1.605513478634563e-05
612,0,400,h031_090,ATU1,7230,150,5.583516015620115,7.2484748517268835,2.038744953559686,0.0023055419085448205,0.00015933540109835012
612,0,400,h031_090,ATU5,7230,150,4.962137644569278,7.053202554662384,2.032388060315824,0.0016364689288105784,0.0001116034151925801
612,0,400,h031_090,MJ3,7230,150,1.2055613474393176,1.5300660819842056,-0.3226986744325165,0.0002643307555530772,2.020481738894197e-05
612,0,400,h031_090,MJ1,7230,150,0.9162134829473124,1.2196417396032115,-0.0028789448713566444,0.00029834948553179267,2.425922188348582e-05
612,0,400,h091_180,ATU1,4095,90,9.051311866422827,11.935271835789887,6.499211541791689,0.00625092628891927,0.00022050633302005395
612,0,400,h091_180,ATU5,4095,90,6.785198890064311,9.520249364793212,2.2387469310424617,0.002981478622160339,0.00010723412084810871
612,0,400,h091_180,MJ3,4095,90,3.2288093937403564,4.990986261174466,1.904771225378596,0.002812548823471519,9.702954958033326e-05
612,0,400,h091_180,MJ1,4095,90,2.1310020756870838,3.0887532468156667,0.8774023338050533,0.0019134942683080118,6.673998580522712e-05
612,0,400,h181_293,ATU1,0,0,,,,,0.0
612,0,400,h181_293,ATU5,0,0,,,,,0.0
612,0,400,h181_293,MJ3,0,0,,,,,0.0
612,0,400,h181_293,MJ1,0,0,,,,,0.0
