origin,visible,seed,point,common_horizons,rms_change,mean_change,mae_change,max_abs_change,performance_comparison
792,90,ensemble,MJ1,90,4.005409178709322,-3.5527598657243855,3.574064054009395,8.432970556420742,False
792,90,0,ATU1,90,17.465717150004508,-16.00642177947028,16.119724294218912,26.923553015850757,False
792,90,0,ATU5,90,21.727051994992323,-19.73579165894507,19.82455176911315,35.120482364405916,False
792,90,0,MJ3,90,1.6185770025552182,1.1948032961087593,1.3188533902256696,3.526297457145347,False
792,90,0,MJ1,90,3.1801697332288894,2.5501243150854482,2.724561415336916,6.739323197768613,False
792,90,1,ATU1,90,5.152306021514537,0.7896480507959135,4.195023752417182,12.101592440634533,False
792,90,1,ATU5,90,7.5004498173773175,2.0203652461239963,6.212492507012499,16.84130547348684,False
792,90,1,MJ3,90,6.518764535193657,-5.799222077071375,5.799222077071375,17.61345259754762,False
792,90,1,MJ1,90,4.671145212591431,-4.126051155473663,4.130380322856292,12.306814945353153,False
792,90,2,ATU1,90,41.11576430663447,-37.668582754960205,37.668582754960205,68.0719769518173,False
792,90,2,ATU5,90,49.72917747570815,-45.51717877002027,45.51717877002027,82.00803921921852,False
792,90,2,MJ3,90,9.729625712857601,-8.434240736686625,8.57155761167039,17.582748746217476,False
792,90,2,MJ1,90,10.142299397121702,-9.082352756784935,9.120793167169149,17.37359004744576,False
792,180,ensemble,ATU1,180,12.093627821018451,-10.883116024054873,10.886416997460335,21.894294792554433,False
792,180,ensemble,ATU5,180,11.615838335048755,-9.685492168418945,9.73327143299053,23.51888641117864,False
792,180,ensemble,MJ3,180,2.0190576871203523,-1.3394329100041142,1.5248505319220549,5.174771236690049,False
792,180,ensemble,MJ1,180,2.98925000045632,2.3681054854720407,2.5416351419153678,5.83862872443774,False
792,180,0,ATU1,180,19.23457787900309,-17.161330702725294,17.200415393790532,37.70780684881612,False
792,180,0,ATU5,180,17.179727222307424,-13.018305006298903,13.265571086708578,38.644690239098054,False
792,180,0,MJ3,180,2.3830330852263533,0.5527657280129398,2.0060444368024783,7.028134535052459,False
792,180,0,MJ1,180,11.438318023517088,10.3515843355507,10.361919973598571,17.621778798251512,False
792,180,1,ATU1,180,6.495784736526551,4.892770435070718,5.736756475219146,15.168702957268351,False
792,180,1,ATU5,180,10.217517900378185,8.263536817762777,9.190042039414896,23.404989667927794,False
792,180,1,MJ3,180,4.671241954746827,-3.9936307159151587,4.008003320355053,13.646471530946656,False
792,180,1,MJ1,180,2.802848948954987,-2.342915669105953,2.361552267467824,8.120864932043446,False
792,180,2,ATU1,180,22.5305265455144,-20.380787804510028,20.39220495815429,34.50652034392067,False
792,180,2,ATU5,180,27.007526540078054,-24.301708316720678,24.3482334006718,40.935139303863366,False
792,180,2,MJ3,180,1.3633718412698073,-0.5774337421101399,1.1358543937119432,4.021781879481068,False
792,180,2,MJ1,180,1.7639112825626622,-0.9043522100286308,1.4699315104499269,4.922677425009397,False
792,293,ensemble,ATU1,293,0.0,0.0,0.0,0.0,False
792,293,ensemble,ATU5,293,0.0,0.0,0.0,0.0,False
792,293,ensemble,MJ3,293,0.0,0.0,0.0,0.0,False
792,293,ensemble,MJ1,293,0.0,0.0,0.0,0.0,False
792,293,0,ATU1,293,0.0,0.0,0.0,0.0,False
792,293,0,ATU5,293,0.0,0.0,0.0,0.0,False
792,293,0,MJ3,293,0.0,0.0,0.0,0.0,False
792,293,0,MJ1,293,0.0,0.0,0.0,0.0,False
792,293,1,ATU1,293,0.0,0.0,0.0,0.0,False
792,293,1,ATU5,293,0.0,0.0,0.0,0.0,False
792,293,1,MJ3,293,0.0,0.0,0.0,0.0,False
792,293,1,MJ1,293,0.0,0.0,0.0,0.0,False
792,293,2,ATU1,293,0.0,0.0,0.0,0.0,False
792,293,2,ATU5,293,0.0,0.0,0.0,0.0,False
792,293,2,MJ3,293,0.0,0.0,0.0,0.0,False
792,293,2,MJ1,293,0.0,0.0,0.0,0.0,False
972,30,ensemble,ATU1,30,0.855042138379176,0.05705461987721871,0.6797483534863508,2.1801971715678405,False
972,30,ensemble,ATU5,30,1.6758127130355438,-0.19361683621346704,1.374475526830088,3.933828869166291,False
972,30,ensemble,MJ3,30,1.7446495066643617,1.4324594505433423,1.4911333389271553,3.3994753604004018,False
972,30,ensemble,MJ1,30,0.9158412588989966,-0.18924600926634033,0.749629374872139,2.1745070169869223,False
972,30,0,ATU1,30,2.147359157676654,-0.6942460007791131,1.7649754396050108,5.130161750155764,False
972,30,0,ATU5,30,4.61255447460734,-1.3233145676330915,3.836094553587323,9.6434119613225,False
972,30,0,MJ3,30,3.3031649357263664,2.4655682485327133,2.7876559495915063,7.055170213010342,False
972,30,0,MJ1,30,2.4339663955357724,-1.1348351674494892,1.9975289803891618,5.0855795075981405,False
972,30,1,ATU1,30,1.741126550849182,1.501494812877716,1.557595148005254,3.069767333409118,False
972,30,1,ATU5,30,2.169761303675253,1.7827351116338377,1.8743269843138024,4.31823479314653,False
972,30,1,MJ3,30,2.7798725545870404,2.6092195855862124,2.6092195855862124,5.404546329233881,False
972,30,1,MJ1,30,3.0837641338820125,2.2276368718045356,2.5116713299957003,6.546806477274117,False
972,30,2,ATU1,30,1.539768081979836,-0.6360849524669637,1.2698774532747772,3.787284125551764,False
972,30,2,ATU5,30,2.085704707823966,-1.0402710526411056,1.776031552353796,4.731977210954483,False
972,30,2,MJ3,30,1.4403654194517712,-0.7774094824889062,1.1665980217996472,3.4347858700255074,False
972,30,2,MJ1,30,2.1363223591406726,-1.6605397321540978,1.8016086743546869,4.385658734479989,False
972,90,ensemble,ATU1,90,1.8097797781976808,1.532475419405746,1.5494585504541085,3.8433445542905247,False
972,90,ensemble,ATU5,90,2.2794051908458988,1.5278453550635265,1.839985633580837,5.4964655470266734,False
972,90,ensemble,MJ3,90,1.6035716570059708,1.1823258058411006,1.3284033711152485,3.6990695516319647,False
972,90,ensemble,MJ1,90,3.964341546207458,-2.6497360671773675,3.0106113307897227,9.243901379664408,False
972,90,0,ATU1,90,2.2322348973987323,-0.7072078005750749,1.9130242567280644,4.748104385767647,False
972,90,0,ATU5,90,5.126886220807945,-2.3144349926779215,4.330359480094318,10.591791609687562,False
972,90,0,MJ3,90,2.8211752048396677,1.6719337259501925,2.335559719047721,7.07494921372745,False
972,90,0,MJ1,90,10.920605387210308,-8.314117436346228,8.665111970661119,24.529286806469713,False
972,90,1,ATU1,90,1.7579783350066078,1.4187617011464164,1.5248813193611164,3.7436358349430634,False
972,90,1,ATU5,90,1.8260543760326238,1.2492949789699146,1.5039880092437619,4.366026564291701,False
972,90,1,MJ3,90,3.452150544460085,3.2601295673330695,3.2601295673330695,6.154978342422282,False
972,90,1,MJ1,90,3.156513244098756,2.3992893820725105,2.507941719324693,9.030387224662263,False
972,90,2,ATU1,90,4.624288714399794,3.8858723576459036,3.9880863921089795,9.647812366892083,False
972,90,2,ATU5,90,6.697444105065506,5.648676078898611,5.747004757526756,13.51829029689111,False
972,90,2,MJ3,90,1.8960432343977118,-1.3850858757600009,1.559666693769787,4.593994208059712,False
972,90,2,MJ1,90,2.5133752991764395,-2.034380147258385,2.199300377271307,5.049903439817058,False
972,180,ensemble,ATU1,180,1.3628582532602644,-0.8760250251577475,1.1655663694287643,2.8087971784889874,False
972,180,ensemble,ATU5,180,3.931886579728229,-3.160018545312433,3.447558091099491,6.895325290185383,False
972,180,ensemble,MJ3,180,1.2787031231436188,0.7791333613747763,1.023744274836286,3.7798269775166773,False
972,180,ensemble,MJ1,180,4.821324856415577,-3.883149555575495,4.044172073028533,8.415196668696922,False
972,180,0,ATU1,180,2.1596223603367064,-0.8142189480590487,1.7723328161348115,5.331670257163978,False
972,180,0,ATU5,180,7.556258476585487,-5.288980969285794,6.56752459437154,13.783998801758685,False
972,180,0,MJ3,180,2.466137128813636,1.0754453417759187,1.9148506298581511,7.084638269462403,False
972,180,0,MJ1,180,19.65994666441109,-16.091980487726428,16.275067043990838,33.47570950000602,False
972,180,1,ATU1,180,1.244616371297957,0.30072471386952615,0.9985138236931482,3.844139790971667,False
972,180,1,ATU5,180,1.599870731370994,-0.5866564026457278,1.2799944346971466,4.4208477262588985,False
972,180,1,MJ3,180,4.76000072484953,4.209950814844603,4.248238595410098,9.77843790908264,False
972,180,1,MJ1,180,11.90879514808367,10.5357025750544,10.57043699340977,21.06500309772116,False
972,180,2,ATU1,180,2.7052329081985103,-2.1145808412837335,2.3112926111123713,6.983265856154787,False
972,180,2,ATU5,180,4.298357285789223,-3.604418264005765,3.755423940646433,10.088428660024874,False
972,180,2,MJ3,180,3.51649162195734,-2.947996072496196,3.0619306115979725,7.441735246082089,False
972,180,2,MJ1,180,6.639910664905997,-6.093170754054447,6.129305032420797,11.048633270824439,False
972,293,ensemble,ATU1,293,0.0,0.0,0.0,0.0,False
972,293,ensemble,ATU5,293,0.0,0.0,0.0,0.0,False
972,293,ensemble,MJ3,293,0.0,0.0,0.0,0.0,False
972,293,ensemble,MJ1,293,0.0,0.0,0.0,0.0,False
972,293,0,ATU1,293,0.0,0.0,0.0,0.0,False
972,293,0,ATU5,293,0.0,0.0,0.0,0.0,False
972,293,0,MJ3,293,0.0,0.0,0.0,0.0,False
972,293,0,MJ1,293,0.0,0.0,0.0,0.0,False
972,293,1,ATU1,293,0.0,0.0,0.0,0.0,False
972,293,1,ATU5,293,0.0,0.0,0.0,0.0,False
972,293,1,MJ3,293,0.0,0.0,0.0,0.0,False
972,293,1,MJ1,293,0.0,0.0,0.0,0.0,False
972,293,2,ATU1,293,0.0,0.0,0.0,0.0,False
972,293,2,ATU5,293,0.0,0.0,0.0,0.0,False
972,293,2,MJ3,293,0.0,0.0,0.0,0.0,False
972,293,2,MJ1,293,0.0,0.0,0.0,0.0,False
1168,30,ensemble,ATU1,30,1.8245495159774083,1.5811886878317845,1.6394404512231422,3.4484930784512926,False
1168,30,ensemble,ATU5,30,2.567972031911492,2.269184964260622,2.32333827081034,4.900465814106383,False
1168,30,ensemble,MJ3,30,0.485258030496105,0.18963881057209164,0.3597437087353152,1.176983958767778,False
1168,30,ensemble,MJ1,30,1.3027891647224308,1.0510124412809698,1.125214914984455,2.515416846605376,False
1168,30,0,ATU1,30,2.6825774895671697,2.077095890199007,2.362232176617533,5.195532123976648,False
1168,30,0,ATU5,30,4.172416541363411,3.5356522381034514,3.688875681318033,7.721482884509214,False
1168,30,0,MJ3,30,0.6930230644802011,-0.03056452125035018,0.5340205223281524,2.2899490070496995,False
1168,30,0,MJ1,30,2.8833667078003837,2.42277816322038,2.4845315808286803,6.752331746376058,False
1168,30,1,ATU1,30,1.3350932545785834,0.9835185437641637,1.1165704500783136,2.897805405579959,False
1168,30,1,ATU5,30,1.5597846805875868,1.0424933510371033,1.2570982736063152,3.457743163361556,False
1168,30,1,MJ3,30,0.7221336547188681,0.4752429429377647,0.6219157666024405,1.3634338293636574,False
1168,30,1,MJ1,30,0.7863036380054871,0.1763620318951098,0.6231631265241276,2.2029646514946535,False
1168,30,2,ATU1,30,2.216384432420722,1.6829516295321716,1.8801277444873696,4.140432925924699,False
1168,30,2,ATU5,30,3.027023815322807,2.2294093036412885,2.524596991164602,6.143482500628124,False
1168,30,2,MJ3,30,0.8586824075648316,0.1242380100288301,0.6954157220071162,1.8236300205442149,False
1168,30,2,MJ1,30,1.32636113186566,0.5538971287273701,1.1049140488422684,2.7495678770972063,False
1168,90,ensemble,ATU1,90,2.7809250689022935,2.613356202381018,2.613356202381018,4.596683515320365,False
1168,90,ensemble,ATU5,90,3.7602466731341306,3.5361791141901713,3.5361791141901713,6.29527399335484,False
1168,90,ensemble,MJ3,90,1.1746016697749133,1.0825697246041652,1.0825697246041652,2.1801446463080083,False
1168,90,ensemble,MJ1,90,2.0809850005399517,1.953271131135298,1.953271131135298,3.1841406412543165,False
1168,90,0,ATU1,90,2.0658667278671667,1.8964457995491526,1.8964457995491526,3.9612807883631262,False
1168,90,0,ATU5,90,2.9762577217553945,2.7680156078036955,2.7680156078036955,5.395388105005168,False
1168,90,0,MJ3,90,0.94365340909381,0.8487420461091182,0.8532538019586986,1.8666751415908038,False
1168,90,0,MJ1,90,2.7061724355739,2.4863567900927666,2.4863567900927666,5.3106471527746635,False
1168,90,1,ATU1,90,1.25675955075152,1.128249899657467,1.1349989506319869,2.2743802752283386,False
1168,90,1,ATU5,90,1.6332958930345498,1.4445409347688307,1.468656538801022,3.0211515727712595,False
1168,90,1,MJ3,90,0.7260133234545593,0.6443349421628227,0.6543246288220215,1.3927806664044056,False
1168,90,1,MJ1,90,0.6262659272955661,0.15389650083757261,0.49773975720337754,2.210482794159816,False
1168,90,2,ATU1,90,5.310152199312378,4.815372907936429,4.864198998713974,10.41873945063486,False
1168,90,2,ATU5,90,7.055696967655469,6.395980799997953,6.446137638479407,14.196795978550199,False
1168,90,2,MJ3,90,2.068602796580183,1.7546321855405116,1.7944511406475738,4.272070238687093,False
1168,90,2,MJ1,90,3.6797931265337263,3.219560102475552,3.286964405948095,7.174672510532787,False
1168,180,ensemble,ATU1,180,4.024251025203509,3.7608492794308486,3.762308839162909,7.158815710462932,False
1168,180,ensemble,ATU5,180,5.2570568957305195,4.892268685198896,4.892341237428198,9.640321667383091,False
1168,180,ensemble,MJ3,180,2.462932075072633,2.3302024768911678,2.3302024768911678,3.6890468694152787,False
1168,180,ensemble,MJ1,180,2.415178261063292,1.9198666999668654,2.1323735354033224,4.53700527821843,False
1168,180,0,ATU1,180,3.6332323987500184,3.1668290510451187,3.2126681619877813,8.726507335712824,False
1168,180,0,ATU5,180,4.794149224282651,4.0189879615639725,4.158303720138983,11.662527527403995,False
1168,180,0,MJ3,180,1.8660103722791244,1.6879487572529823,1.707275366961153,3.430326500557385,False
1168,180,0,MJ1,180,3.603119017435239,2.3294900514141186,3.2413391097092794,6.730539330369652,False
1168,180,1,ATU1,180,2.826792432962321,2.482382683356152,2.512544676505162,5.166704987197136,False
1168,180,1,ATU5,180,3.803488794594817,3.2699105678139797,3.352707649566633,7.336138159569487,False
1168,180,1,MJ3,180,2.286752150844182,2.073751687715253,2.080938250874409,4.333988828508609,False
1168,180,1,MJ1,180,1.9812124734459313,-0.7044941560546205,1.3735271692135755,5.522096325139046,False
1168,180,2,ATU1,180,6.115872071876371,5.633336103891279,5.6839400323353075,10.077462754371766,False
1168,180,2,ATU5,180,8.061788936512064,7.38790752621872,7.456771546898202,13.304861498589275,False
1168,180,2,MJ3,180,3.5261151161586657,3.228906985705276,3.2425862751907744,5.972093942909169,False
1168,180,2,MJ1,180,4.488769862411025,4.13460420454109,4.178173371285551,7.622711156557784,False
1168,293,ensemble,ATU1,293,0.0,0.0,0.0,0.0,False
1168,293,ensemble,ATU5,293,0.0,0.0,0.0,0.0,False
1168,293,ensemble,MJ3,293,0.0,0.0,0.0,0.0,False
1168,293,ensemble,MJ1,293,0.0,0.0,0.0,0.0,False
1168,293,0,ATU1,293,0.0,0.0,0.0,0.0,False
1168,293,0,ATU5,293,0.0,0.0,0.0,0.0,False
1168,293,0,MJ3,293,0.0,0.0,0.0,0.0,False
1168,293,0,MJ1,293,0.0,0.0,0.0,0.0,False
1168,293,1,ATU1,293,0.0,0.0,0.0,0.0,False
1168,293,1,ATU5,293,0.0,0.0,0.0,0.0,False
1168,293,1,MJ3,293,0.0,0.0,0.0,0.0,False
1168,293,1,MJ1,293,0.0,0.0,0.0,0.0,False
1168,293,2,ATU1,293,0.0,0.0,0.0,0.0,False
1168,293,2,ATU5,293,0.0,0.0,0.0,0.0,False
1168,293,2,MJ3,293,0.0,0.0,0.0,0.0,False
1168,293,2,MJ1,293,0.0,0.0,0.0,0.0,False
