origin,seed,step,bin,mae,rmse,bias,normalized_mse,objective_contribution
792,1,50,all,16.230417116488653,23.99223138643339,2.7151219633054127,0.03280578737174389,0.02310334982736087
792,1,100,h001_030,5.666047415564893,8.341262145206098,0.6708325862812439,0.00414939355816199,0.0006117872525355301
792,1,100,h031_090,8.750755559664563,12.281380724091166,-0.39455454420049063,0.007373320519106049,0.0016643251897559856
792,1,100,h091_180,10.981134107216448,14.430915092880788,-0.6252375476180888,0.011236250297850067,0.0026712635584522264
792,1,100,h181_293,15.155531114298707,19.40476256016342,-1.2547693765214136,0.0188833953883294,0.0026451120187310963
792,1,100,all,10.394024479005349,14.445901749660958,-0.48533799891322416,0.010662869911102832,0.007592488019474838
792,1,200,h001_030,3.1502579755461007,5.0330965764322935,-1.4751368378476046,0.0012143136328795134,0.00016726677610735577
792,1,200,h031_090,4.776944390293906,6.790262796474951,-0.2891638737767621,0.002104652310757072,0.0005000229274178037
792,1,200,h091_180,5.642388134745266,7.317705824778676,-0.5622533907817451,0.00279872748059305,0.0006708306264339026
792,1,200,h181_293,6.356339188556235,8.448428887815496,-0.9987351110480893,0.0036880539223889982,0.0005087185906519614
792,1,200,all,5.141112295911448,7.184826427647646,-0.7321716517879296,0.0025359705870131215,0.0018468389206110236
792,1,400,h001_030,2.733284631711535,3.9139973112077304,-1.8369729824019039,0.0007076355529103372,9.863489220779009e-05
792,1,400,h031_090,3.2346965346522634,4.449022650749647,-2.103814431683728,0.0009413924095100287,0.00022068597085485715
792,1,400,h091_180,3.6744292893699653,4.6440806480593455,-2.57041766148678,0.0011049770757834742,0.0002565163656596057
792,1,400,h181_293,4.539181326562332,5.629806236477772,-3.8726176621014123,0.0015939081921887434,0.00022048491515299333
792,1,400,all,3.5856531674113294,4.739889948568056,-2.6060052994656075,0.0011015166819456435,0.0007963221438752463
792,2,0,h001_030,6.5647366147208075,14.314406399826394,-6.319794008284959,0.009364097949820693,0.001104012726172967
792,2,0,h031_090,19.091408235102406,28.63944004986522,-19.02975984995255,0.039815651404557645,0.009402127184368673
792,2,0,h091_180,38.065962803237895,46.34365226575348,-38.06595967681566,0.12101595954502975,0.029874673243317496
792,2,0,h181_293,66.41196615328818,73.37697149638397,-66.41196615328818,0.30350897028505464,0.042367395351147696
792,2,0,all,33.736958475360666,46.67064104916273,-33.67874001421591,0.11999173328880466,0.08274820850500683
792,2,50,h001_030,8.031367835423037,11.794754793977962,-4.57970043738325,0.006281221358054452,0.0008800403024808168
792,2,50,h031_090,12.655042764157098,17.67105583736664,-8.360571401908533,0.014508394521358329,0.003317839591378713
792,2,50,h091_180,19.6187571904884,24.491251020371237,-12.882779230324068,0.03533570750362114,0.008825609228002095
792,2,50,h181_293,25.480015629188816,30.30842195060203,-15.821247185680656,0.06286271325310987,0.009031311148247154
792,2,50,all,17.010688731285573,22.907021948676473,-10.86652766187797,0.030695380282684627,0.022054800270108782
792,2,100,h001_030,6.1036614236302436,8.910531422840126,4.12309332103311,0.004076255341116606,0.0005001940634882975
792,2,100,h031_090,10.203614354929027,13.575674381708899,4.662371826019657,0.009952275663746808,0.00215616938113528
792,2,100,h091_180,13.582849240988292,16.27774213758685,5.639298677704784,0.018568992284159654,0.004618088992371322
792,2,100,h181_293,15.48374034679707,17.827168436184802,7.902579351372899,0.021875064305149333,0.003224616877506529
792,2,100,all,11.799587135346172,15.204313957860963,5.613520060462158,0.014434324523600542,0.010499069314501428
792,2,200,h001_030,3.2268969709988617,5.209373950275651,0.3150271014186612,0.001333645729275541,0.00018341065932936268
792,2,200,h031_090,7.428232801180046,10.051143731477787,1.0367845513221607,0.005394737639333308,0.0011860304836760972
792,2,200,h091_180,10.385687709944062,12.400595521886258,2.0709125133764332,0.010836503792647417,0.002564185753804912
792,2,200,h181_293,7.908016222300072,9.611673582522002,3.5381171479021996,0.005306427077406579,0.0007815168528188931
792,2,200,all,7.798195909059724,10.355251138883425,1.811166283402815,0.006465038727656548,0.004715143749629265
792,2,400,h001_030,3.137282405474724,4.561205488721425,1.8549890279237689,0.0010011305488092023,0.0001426159034387586
792,2,400,h031_090,4.795633327226739,6.254241321554991,2.9147569397035524,0.0019026465315438407,0.00043347647516206526
792,2,400,h091_180,4.4452194275645045,5.863307486646486,-0.7621405656104443,0.0018940742575235627,0.00041368094378015536
792,2,400,h181_293,6.315129587259499,7.757606138573574,-5.169103682181361,0.0031619397470405404,0.0004341394441158985
792,2,400,all,4.747640028735053,6.317859636030494,-0.25704275264751186,0.0020322600857088386,0.0014239127664968775
972,0,0,h001_030,4.77481135161844,11.681372316450025,-4.613769162230075,0.0056071130478879475,0.0005798254264494495
972,0,0,h031_090,13.956900752758422,23.04754578933324,-13.918346455698002,0.02268208421582643,0.004264771876438904
972,0,0,h091_180,28.62638900920131,37.054905748583636,-28.62638727058673,0.06777925598231593,0.015936259328740834
972,0,0,h181_293,51.382988211090435,57.86303853134412,-51.382988211090435,0.17907497314243193,0.039032054053872285
972,0,0,all,28.477337776359303,39.895128908417284,-28.44571658172738,0.08114471379225646,0.059812910685501486
972,0,50,h001_030,5.828078990888337,9.414661206939225,2.864666083730837,0.003940578474994346,0.0004113248492671813
972,0,50,h031_090,7.088801247326634,13.009075211061448,-0.14950145080243732,0.007137150542843354,0.0013427354014734117
972,0,50,h091_180,11.535084160685802,18.596675139441796,-3.226890345874606,0.018614596680962797,0.004350253241619923
972,0,50,h181_293,19.763797908061402,26.56068272136754,-7.579915648511328,0.04828534483262102,0.010500877164869252
972,0,50,all,12.093940571314903,19.59113228135773,-2.9218074145196065,0.02257345802541877,0.016605190657229766
972,0,100,h001_030,4.505340484364229,7.1534040787722315,-1.8052897238438372,0.0024965322634226596,0.000276662927778243
972,0,100,h031_090,7.408827896917222,10.975778270497022,-4.396036259336458,0.00544719548077514,0.001037513022040675
972,0,100,h091_180,10.388436154920784,13.667440877166895,-7.422591754693477,0.010020018523113247,0.0023897313284123407
972,0,100,h181_293,13.85208153046642,16.549631265761604,-11.627521959130132,0.019985293806300347,0.0043758903622874165
972,0,100,all,9.871588184651529,13.602908118982587,-7.150900350657863,0.010815958365921006,0.008079797640518674
972,0,200,h001_030,3.145806550353212,5.109277087632359,1.043364199303351,0.00110940836996372,0.00012271122481359755
972,0,200,h031_090,5.5214492316848265,8.187142370103311,1.6699716983977737,0.002834473884486799,0.0005434279552961427
972,0,200,h091_180,6.153784817654264,8.312469567254215,-0.7381587326483957,0.0034321995426764905,0.0008215880849632202
972,0,200,h181_293,6.919327494274388,9.02091892634916,-3.8172210496980545,0.0041594228701898155,0.0009179199593681485
972,0,200,all,5.8128942379671,8.295121352805193,-0.8097084231077561,0.0031821202143844656,0.002405647224441109
972,0,400,h001_030,2.3306827666548937,3.6747007761017185,-0.8104100082297383,0.0006276051313128255,6.989764073115249e-05
