origin,method,seed,point,total_sse,tail_sse,tail_fraction
612,BPLUS_CONTINUOUS,0,MJ3,2340946.590038649,1670166.4111728095,0.7134577176086855
612,BPLUS_CONTINUOUS,0,MJ1,269696.07721468253,207104.63481573763,0.7679186028756322
612,BPLUS_CONTINUOUS,1,ATU1,25204.602553131084,21931.25833946601,0.8701291080958372
612,BPLUS_CONTINUOUS,1,ATU5,34173.99435152988,29634.834462510455,0.8671750266495781
612,BPLUS_CONTINUOUS,1,MJ3,2340946.590038649,1670166.4111728095,0.7134577176086855
612,BPLUS_CONTINUOUS,1,MJ1,269696.07721468253,207104.63481573763,0.7679186028756322
612,BPLUS_CONTINUOUS,2,ATU1,25204.602553131084,21931.25833946601,0.8701291080958372
612,BPLUS_CONTINUOUS,2,ATU5,34173.99435152988,29634.834462510455,0.8671750266495781
612,BPLUS_CONTINUOUS,2,MJ3,2340946.590038649,1670166.4111728095,0.7134577176086855
612,BPLUS_CONTINUOUS,2,MJ1,269696.07721468253,207104.63481573763,0.7679186028756322
612,DRIFT1,ensemble,ATU1,241923.65791779995,143130.644627585,0.5916355839668126
612,DRIFT1,ensemble,ATU5,488198.7456951424,281145.138741027,0.575882550334509
612,DRIFT1,ensemble,MJ3,7939.465797932311,2619.472575686545,0.32993058252971363
612,DRIFT1,ensemble,MJ1,78462.39634707104,63691.83044633672,0.8117497477976824
612,DRIFT1,0,ATU1,241923.65791779995,143130.644627585,0.5916355839668126
612,DRIFT1,0,ATU5,488198.7456951424,281145.138741027,0.575882550334509
612,DRIFT1,0,MJ3,7939.465797932311,2619.472575686545,0.32993058252971363
612,DRIFT1,0,MJ1,78462.39634707104,63691.83044633672,0.8117497477976824
612,DRIFT1,1,ATU1,241923.65791779995,143130.644627585,0.5916355839668126
612,DRIFT1,1,ATU5,488198.7456951424,281145.138741027,0.575882550334509
612,DRIFT1,1,MJ3,7939.465797932311,2619.472575686545,0.32993058252971363
612,DRIFT1,1,MJ1,78462.39634707104,63691.83044633672,0.8117497477976824
612,DRIFT1,2,ATU1,241923.65791779995,143130.644627585,0.5916355839668126
612,DRIFT1,2,ATU5,488198.7456951424,281145.138741027,0.575882550334509
612,DRIFT1,2,MJ3,7939.465797932311,2619.472575686545,0.32993058252971363
612,DRIFT1,2,MJ1,78462.39634707104,63691.83044633672,0.8117497477976824
612,RR_COND,ensemble,ATU1,131537.38834494853,92515.60116245195,0.7033407180005399
612,RR_COND,ensemble,ATU5,48418.04490179234,40778.013366131454,0.8422069385255565
612,RR_COND,ensemble,MJ3,2492203.086479561,1621077.5555339041,0.6504596532796241
612,RR_COND,ensemble,MJ1,208210.6260336036,150143.68400782527,0.7211144160509524
612,RR_COND,0,ATU1,131537.38834494853,92515.60116245195,0.7033407180005399
612,RR_COND,0,ATU5,48418.04490179234,40778.013366131454,0.8422069385255565
612,RR_COND,0,MJ3,2492203.086479561,1621077.5555339041,0.6504596532796241
612,RR_COND,0,MJ1,208210.6260336036,150143.68400782527,0.7211144160509524
612,RR_COND,1,ATU1,131537.38834494853,92515.60116245195,0.7033407180005399
612,RR_COND,1,ATU5,48418.04490179234,40778.013366131454,0.8422069385255565
612,RR_COND,1,MJ3,2492203.086479561,1621077.5555339041,0.6504596532796241
612,RR_COND,1,MJ1,208210.6260336036,150143.68400782527,0.7211144160509524
612,RR_COND,2,ATU1,131537.38834494853,92515.60116245195,0.7033407180005399
612,RR_COND,2,ATU5,48418.04490179234,40778.013366131454,0.8422069385255565
612,RR_COND,2,MJ3,2492203.086479561,1621077.5555339041,0.6504596532796241
612,RR_COND,2,MJ1,208210.6260336036,150143.68400782527,0.7211144160509524
612,TiDE_PHYS,ensemble,ATU1,307828.34196196526,214214.71393071144,0.6958901593186616
612,TiDE_PHYS,ensemble,ATU5,952008.2898013578,689018.8226175546,0.7237529651777743
612,TiDE_PHYS,ensemble,MJ3,29954.37571010785,26785.69475070924,0.8942164246698232
612,TiDE_PHYS,ensemble,MJ1,1014209.7743679665,611020.5382202219,0.602459721511752
612,TiDE_PHYS,0,ATU1,575412.8329964874,344268.9490724949,0.598299046060025
612,TiDE_PHYS,0,ATU5,1523182.9372956757,979314.5810034116,0.6429395688623775
612,TiDE_PHYS,0,MJ3,146768.4562214155,87602.43131805204,0.5968750613953087
612,TiDE_PHYS,0,MJ1,1418559.684354044,788648.8961650416,0.5559504509139924
612,TiDE_PHYS,1,ATU1,230812.01160552047,177686.88226087915,0.7698337752220747
612,TiDE_PHYS,1,ATU5,764002.9739514733,599357.1842500793,0.7844958785306356
612,TiDE_PHYS,1,MJ3,16630.664335795365,15212.147464414398,0.9147047380225339
612,TiDE_PHYS,1,MJ1,876174.3547601396,550196.1198130469,0.627952777690769
612,TiDE_PHYS,2,ATU1,203234.63481084962,152241.36103745297,0.7490916160975413
612,TiDE_PHYS,2,ATU5,714180.2344330576,540816.5594697557,0.7572550084630607
612,TiDE_PHYS,2,MJ3,14339.355412376726,7649.392249352912,0.5334544007989712
612,TiDE_PHYS,2,MJ1,812249.5975523104,515685.01405838394,0.6348849117468142
612,G_CACHED,ensemble,ATU1,35177.571366948134,23436.68331867045,0.6662393794669664
612,G_CACHED,ensemble,ATU5,32948.74884750497,21653.74144735268,0.6571946494105618
612,G_CACHED,ensemble,MJ3,2190280.0240229564,1552657.0430765792,0.7088851772590999
612,G_CACHED,ensemble,MJ1,228045.24286357407,173943.4967265485,0.7627587163947488
612,G_CACHED,0,ATU1,33519.44661014057,25138.99023717984,0.7499822574509507
612,G_CACHED,0,ATU5,34250.64858291665,25739.029451348117,0.7514902787617893
612,G_CACHED,0,MJ3,2242522.0027555963,1597002.5420812906,0.712145762725585
612,G_CACHED,0,MJ1,240540.2046650888,183249.4290860487,0.7618245329972687
612,G_CACHED,1,ATU1,41723.24150265217,22704.426551322013,0.5441673689202405
612,G_CACHED,1,ATU5,44479.51226549992,17349.550004173816,0.3900571099029523
612,G_CACHED,1,MJ3,2040734.0521443146,1474618.1854669198,0.7225920417790134
612,G_CACHED,1,MJ1,199540.50035898524,156621.80159881612,0.784912342692557
612,G_CACHED,2,ATU1,42045.88121872768,26969.885455807802,0.6414394150881807
612,G_CACHED,2,ATU5,35463.6497753946,27902.694760205548,0.7867970425188724
