phase,candidate,reference,metric,difference,lower,upper,n,block_length,replicates,seed,confidence
development,C18_PHYS,C18_CORE,rmse,0.0600544019769,0.00959845053739,0.128782787776,347,30,2000,20260913,0.95
development,C18_PHYS,C18_CORE,pooled_rmse,0.0654926542613,0.00853129589706,0.156075515259,347,30,2000,20260913,0.95
development,C18_PHYS,C18_CORE,crps,0.0310870436105,0.00865529047227,0.0639445654193,347,30,2000,20260913,0.95
development,C18_PHYS,C18_CORE,coverage90,0.000720461095101,-0.0165706051873,0.0230547550432,347,30,2000,20260913,0.95
development,C18_PHYS,C18_CORE,width90,0.189409741194,0.0451304760922,0.372020557319,347,30,2000,20260913,0.95
development,C18_PHYS,C18_CORE,interval_score90,0.225074556813,0.0404791785781,0.459635126987,347,30,2000,20260913,0.95
development,C18_PHYS,C18_TREND,mae,0.0156584040616,-0.0176836461091,0.0518815787176,347,30,2000,20260913,0.95
development,C18_PHYS,C18_TREND,rmse,0.0318871490756,-0.0237101397785,0.0900269533414,347,30,2000,20260913,0.95
development,C18_PHYS,C18_TREND,pooled_rmse,0.0337416622117,-0.0334630403868,0.116364995998,347,30,2000,20260913,0.95
development,C18_PHYS,C18_TREND,crps,0.0182420371826,-0.00224432355258,0.045486602873,347,30,2000,20260913,0.95
development,C18_PHYS,C18_TREND,coverage90,-0.00648414985591,-0.0230547550432,0.0136887608069,347,30,2000,20260913,0.95
development,C18_PHYS,C18_TREND,width90,0.114547100284,-0.00756605548154,0.269303387328,347,30,2000,20260913,0.95
development,C18_PHYS,C18_TREND,interval_score90,0.220082566497,0.0713235253631,0.415423130219,347,30,2000,20260913,0.95
development,C18_PHYS,C16_FAST_PHYS,mae,0,0,0,347,30,2000,20260913,0.95
development,C18_PHYS,C16_FAST_PHYS,rmse,0,0,0,347,30,2000,20260913,0.95
development,C18_PHYS,C16_FAST_PHYS,pooled_rmse,0,0,0,347,30,2000,20260913,0.95
development,C18_PHYS,C16_FAST_PHYS,crps,0.00577876830275,-0.0047800925836,0.0200390460005,347,30,2000,20260913,0.95
development,C18_PHYS,C16_FAST_PHYS,coverage90,0.0309798270893,0.00504322766571,0.0648414985591,347,30,2000,20260913,0.95
development,C18_PHYS,C16_FAST_PHYS,width90,0.262831816804,0.0883350257919,0.485156345125,347,30,2000,20260913,0.95
development,C18_PHYS,C16_FAST_PHYS,interval_score90,-0.0507983239978,-0.309262036331,0.24104099751,347,30,2000,20260913,0.95
development,C18_CORE,B_ANCHOR,mae,-6.19916802964,-8.99151391752,-3.79571093045,347,30,2000,20260913,0.95
development,C18_CORE,B_ANCHOR,rmse,-9.50840391553,-12.3026151227,-5.76892713531,347,30,2000,20260913,0.95
development,C18_CORE,B_ANCHOR,pooled_rmse,-9.79259426119,-12.9679194516,-5.92658939669,347,30,2000,20260913,0.95
development,C18_CORE,B_ANCHOR,crps,-5.55065555518,-7.59669934013,-3.85957713927,347,30,2000,20260913,0.95
development,C18_CORE,B_ANCHOR,coverage90,0,-0.0770893371758,0.085734870317,347,30,2000,20260913,0.95
development,C18_CORE,B_ANCHOR,width90,-38.3504988562,-48.324393848,-29.6868531885,347,30,2000,20260913,0.95
development,C18_CORE,B_ANCHOR,interval_score90,-64.9536206308,-101.344833746,-41.6019968316,347,30,2000,20260913,0.95
development,C18_CORE,DRIFT1,mae,-0.576471007702,-0.788700341933,-0.388255931923,347,30,2000,20260913,0.95
development,C18_CORE,DRIFT1,rmse,-0.76393867028,-1.00172752029,-0.50005528947,347,30,2000,20260913,0.95
development,C18_CORE,DRIFT1,pooled_rmse,-0.776725892565,-1.0317204084,-0.515700673087,347,30,2000,20260913,0.95
development,C18_CORE,DRIFT1,crps,-1.46011679136,-2.03132268568,-1.02061186296,347,30,2000,20260913,0.95
development,C18_CORE,DRIFT1,coverage90,-0.0662824207493,-0.133285302594,-0.00504322766571,347,30,2000,20260913,0.95
development,C18_CORE,DRIFT1,width90,-19.8230434039,-28.4214749842,-13.4724185832,347,30,2000,20260913,0.95
development,C18_CORE,DRIFT1,interval_score90,-19.8956668226,-28.3139942327,-13.6581824262,347,30,2000,20260913,0.95
development,C18_CORE,C16_FAST_CORE,mae,0,0,0,347,30,2000,20260913,0.95
development,C18_CORE,C16_FAST_CORE,rmse,0,0,0,347,30,2000,20260913,0.95
development,C18_CORE,C16_FAST_CORE,pooled_rmse,0,0,0,347,30,2000,20260913,0.95
development,C18_CORE,C16_FAST_CORE,crps,0.00188019687385,-0.000819960131822,0.00567200047544,347,30,2000,20260913,0.95
development,C18_CORE,C16_FAST_CORE,coverage90,0.00648414985591,0.0021613832853,0.0115273775216,347,30,2000,20260913,0.95
development,C18_CORE,C16_FAST_CORE,width90,0.0734220756106,0.0263894045773,0.146104461811,347,30,2000,20260913,0.95
development,C18_CORE,C16_FAST_CORE,interval_score90,0.0108236964927,-0.0626026837106,0.102975617504,347,30,2000,20260913,0.95
later_exploratory,C18_PHYS,B_ANCHOR,mae,-2.71542104808,-4.30664367579,-1.45524899159,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,B_ANCHOR,rmse,-4.11284221036,-6.14630283717,-1.89220332199,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,B_ANCHOR,pooled_rmse,-4.23405542113,-6.69446788373,-1.81528570058,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,B_ANCHOR,crps,-2.7491592909,-4.14910286513,-1.68490577997,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,B_ANCHOR,coverage90,-0.0198863636364,-0.200757575758,0.145833333333,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,B_ANCHOR,width90,-22.9878509883,-33.2613500773,-14.4039727404,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,B_ANCHOR,interval_score90,-31.039485163,-51.3665153967,-15.7212007902,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,DRIFT1,mae,-1.46893631711,-2.73529671209,-0.583967824449,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,DRIFT1,rmse,-2.66853819187,-4.24783517142,-0.826147150119,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,DRIFT1,pooled_rmse,-3.25501690802,-5.37379616693,-0.960305545491,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,DRIFT1,crps,-1.89041248793,-3.04281551237,-1.01887928859,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,DRIFT1,coverage90,-0.0217803030303,-0.142045454545,0.0871448863636,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,DRIFT1,width90,-15.5170862537,-23.6303428139,-8.5892888523,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,DRIFT1,interval_score90,-24.5229591601,-42.3520669411,-11.2661826686,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,C18_CORE,mae,-0.00784504851926,-0.0402449391968,0.0155449798049,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,C18_CORE,rmse,-0.0225521745195,-0.0542893040477,0.0126675346419,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,C18_CORE,pooled_rmse,-0.0386580940409,-0.0858993786777,0.0128525015326,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,C18_CORE,crps,-0.000987431343826,-0.0204880005371,0.0113456880669,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,C18_CORE,coverage90,0.00568181818182,0.00094696969697,0.0113636363636,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,C18_CORE,width90,0.0399593998679,0.0104484412811,0.084616376218,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,C18_CORE,interval_score90,0.00552901581292,-0.105702836977,0.0924205270859,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,C18_TREND,mae,-0.0605116451942,-0.132791838834,-0.00530646356396,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,C18_TREND,rmse,-0.0837601005578,-0.166434391885,-0.0112431601372,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,C18_TREND,pooled_rmse,-0.0934666875796,-0.207867156005,0.00364032058113,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,C18_TREND,crps,-0.0281223017591,-0.0618947302311,-0.000914347690123,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,C18_TREND,coverage90,0.00852272727273,-0.00284090909091,0.0208333333333,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,C18_TREND,width90,-0.0438186325197,-0.100643238432,0.00328472974891,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,C18_TREND,interval_score90,-0.176406110974,-0.453712189431,0.0556616825306,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,C16_FAST_PHYS,mae,0,0,0,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,C16_FAST_PHYS,rmse,0,0,0,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,C16_FAST_PHYS,pooled_rmse,0,0,0,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,C16_FAST_PHYS,crps,0.000627738165522,-0.00527099033471,0.00638001660546,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,C16_FAST_PHYS,coverage90,0.0189393939394,0.00662878787879,0.032196969697,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,C16_FAST_PHYS,width90,0.139460091574,0.0530559550986,0.256796540009,264,30,2000,20260913,0.95
later_exploratory,C18_PHYS,C16_FAST_PHYS,interval_score90,-0.044436484903,-0.288942762379,0.162506777419,264,30,2000,20260913,0.95
later_exploratory,C18_CORE,B_ANCHOR,mae,-2.70757599956,-4.29639411499,-1.46179499135,264,30,2000,20260913,0.95
later_exploratory,C18_CORE,B_ANCHOR,rmse,-4.09029003584,-6.12736338013,-1.87971555298,264,30,2000,20260913,0.95
later_exploratory,C18_CORE,B_ANCHOR,pooled_rmse,-4.19539732709,-6.66359991044,-1.79625245931,264,30,2000,20260913,0.95
later_exploratory,C18_CORE,B_ANCHOR,crps,-2.74817185956,-4.13851841933,-1.69072377289,264,30,2000,20260913,0.95
later_exploratory,C18_CORE,B_ANCHOR,coverage90,-0.0255681818182,-0.207386363636,0.142992424242,264,30,2000,20260913,0.95
later_exploratory,C18_CORE,B_ANCHOR,width90,-23.0278103881,-33.3370223107,-14.4125663076,264,30,2000,20260913,0.95
later_exploratory,C18_CORE,B_ANCHOR,interval_score90,-31.0450141788,-51.2566742767,-15.7706385835,264,30,2000,20260913,0.95
later_exploratory,C18_CORE,DRIFT1,mae,-1.46109126859,-2.70523744985,-0.588706748195,264,30,2000,20260913,0.95
later_exploratory,C18_CORE,DRIFT1,rmse,-2.64598601735,-4.22151903941,-0.824852907188,264,30,2000,20260913,0.95
later_exploratory,C18_CORE,DRIFT1,pooled_rmse,-3.21635881398,-5.32962562546,-0.953264322874,264,30,2000,20260913,0.95
later_exploratory,C18_CORE,DRIFT1,crps,-1.88942505659,-3.02317311578,-1.02219515328,264,30,2000,20260913,0.95
later_exploratory,C18_CORE,DRIFT1,coverage90,-0.0274621212121,-0.150568181818,0.0815104166667,264,30,2000,20260913,0.95
later_exploratory,C18_CORE,DRIFT1,width90,-15.5570456536,-23.6992726137,-8.59768106973,264,30,2000,20260913,0.95
later_exploratory,C18_CORE,DRIFT1,interval_score90,-24.5284881759,-42.3646085883,-11.2706079095,264,30,2000,20260913,0.95
later_exploratory,C18_CORE,C16_FAST_CORE,mae,0,0,0,264,30,2000,20260913,0.95
later_exploratory,C18_CORE,C16_FAST_CORE,rmse,0,0,0,264,30,2000,20260913,0.95
later_exploratory,C18_CORE,C16_FAST_CORE,pooled_rmse,0,0,0,264,30,2000,20260913,0.95
later_exploratory,C18_CORE,C16_FAST_CORE,crps,-0.000642652392432,-0.00541963980659,0.00341106286504,264,30,2000,20260913,0.95
later_exploratory,C18_CORE,C16_FAST_CORE,coverage90,0.0151515151515,0.00284090909091,0.0284090909091,264,30,2000,20260913,0.95
later_exploratory,C18_CORE,C16_FAST_CORE,width90,0.0995006917059,0.0357271269156,0.186902537942,264,30,2000,20260913,0.95
later_exploratory,C18_CORE,C16_FAST_CORE,interval_score90,-0.0683831909337,-0.288935769383,0.0975843111015,264,30,2000,20260913,0.95
