phase,model,horizon,n,crps,coverage90,width90,interval_score90,mae,rmse,pooled_rmse
development,C18_TREND,24,353,0.183850661725,0.921388101983,1.52104543014,1.76139107373,0.2216292421,0.295052925377,0.302139460755
development,C18_TREND,25,352,0.204709419443,0.918323863636,1.66458638913,1.9503205057,0.248181670677,0.329965061529,0.337684246588
development,C18_TREND,26,351,0.227136387812,0.915954415954,1.82111642369,2.15767639466,0.276329420766,0.367070378155,0.375427715098
development,C18_TREND,27,350,0.251152057811,0.911428571429,1.98708017497,2.38162738613,0.306369717483,0.406502800773,0.415518656919
development,C18_TREND,28,349,0.276349717056,0.909025787966,2.16055571322,2.61597952506,0.338555141582,0.448550744413,0.458267672173
development,C18_TREND,29,348,0.303411922919,0.905172413793,2.33663869614,2.86739137517,0.373411385299,0.493647103242,0.504135537458
development,C18_TREND,30,347,0.332559636176,0.899855907781,2.52330011014,3.14009083501,0.411040232293,0.54213464934,0.553429322304
development,C16_FAST_CORE,1,376,0.00236751620562,1,0.0333232651501,0.0333232651501,4.03709730684e-05,8.34242765866e-05,8.63101780267e-05
development,C16_FAST_CORE,2,375,0.00254806791734,1,0.0357988489221,0.0357988489221,0.00018504926221,0.00036098351173,0.000373509753271
development,C16_FAST_CORE,3,374,0.00297326161989,1,0.0414347081671,0.0414347081671,0.000512059378484,0.000946528014374,0.000978843895747
development,C16_FAST_CORE,4,373,0.00365459473629,1,0.0498901492768,0.0498901492768,0.00111484224077,0.00195314158828,0.00201855197798
development,C16_FAST_CORE,5,372,0.00473213345121,0.997311827957,0.0623945175094,0.0625808725303,0.00208883033392,0.00350952738061,0.00362422353037
development,C16_FAST_CORE,6,371,0.00630194813907,0.991239892183,0.0797942023725,0.0807829379451,0.00353590081532,0.00575471040314,0.00593628141988
development,C16_FAST_CORE,7,370,0.00837125536873,0.987837837838,0.101827607776,0.104194918012,0.00559263323226,0.00882702833207,0.00909341701578
development,C16_FAST_CORE,8,369,0.0109443075919,0.979674796748,0.127606157284,0.132361442339,0.00834303836816,0.012856152597,0.013225805936
development,C16_FAST_CORE,9,368,0.0141307590192,0.975543478261,0.158748339807,0.166391004404,0.0118583212243,0.0179282152715,0.0184229454033
development,C16_FAST_CORE,10,367,0.0178733486439,0.971389645777,0.194017489773,0.205582245614,0.0161740508885,0.0239941311892,0.0246501379076
development,C16_FAST_CORE,11,366,0.022288322109,0.967213114754,0.233682992592,0.250467186903,0.0214336950972,0.0313096200183,0.0321548350225
development,C16_FAST_CORE,12,365,0.0274860605964,0.967123287671,0.27864200389,0.30178299973,0.0277620870514,0.0400358888962,0.041094225314
development,C16_FAST_CORE,13,364,0.033547017672,0.962225274725,0.329033501248,0.360413775162,0.0352605613469,0.0502623579864,0.0515596371206
development,C16_FAST_CORE,14,363,0.0406297157441,0.95867768595,0.386929691222,0.428160557645,0.0440209888524,0.0620855359309,0.063649127546
development,C16_FAST_CORE,15,362,0.0489064484024,0.957182320442,0.45618991766,0.506663364468,0.0540843934998,0.0756036219686,0.0774622567848
development,C16_FAST_CORE,16,361,0.0583420491374,0.950831024931,0.533487056488,0.597063670544,0.0655531288901,0.0909101657633,0.0930938501584
development,C16_FAST_CORE,17,360,0.0688354629167,0.943055555556,0.618498135409,0.696996409871,0.0784804666663,0.108086763674,0.110625880545
development,C16_FAST_CORE,18,359,0.0804612224458,0.935236768802,0.708955134352,0.806778465544,0.092905896921,0.127198679346,0.130122502345
development,C16_FAST_CORE,19,358,0.0934612129756,0.929469273743,0.80848702784,0.93178291218,0.10886837878,0.148293303988,0.151628240995
development,C16_FAST_CORE,20,357,0.107699307844,0.923669467787,0.917986841955,1.06783731187,0.126342322932,0.171401197733,0.175169053524
development,C16_FAST_CORE,21,356,0.123035277026,0.921348314607,1.02956961666,1.21419949264,0.145400540142,0.196537357277,0.200753841541
development,C16_FAST_CORE,22,355,0.139447684475,0.917605633803,1.14761743758,1.36947709008,0.166088286573,0.223706119917,0.2283792921
development,C16_FAST_CORE,23,354,0.157280609483,0.91384180791,1.27957077174,1.53885110451,0.188308602489,0.252896091998,0.25802491664
development,C16_FAST_CORE,24,353,0.176489306749,0.912889518414,1.42352931833,1.72622578841,0.211987196729,0.284080115241,0.289653039048
development,C16_FAST_CORE,25,352,0.196559240466,0.909090909091,1.55974644789,1.91638999529,0.23716680033,0.317216559692,0.323210444325
development,C16_FAST_CORE,26,351,0.218088294722,0.902421652422,1.708680817,2.1247615373,0.263710970065,0.35225859122,0.358638957984
development,C16_FAST_CORE,27,350,0.241011181216,0.899285714286,1.86667326796,2.35211711459,0.29163658356,0.389190533092,0.395915179596
development,C16_FAST_CORE,28,349,0.264901377315,0.895415472779,2.0319621979,2.58732792238,0.321022318472,0.428120247695,0.435149832389
development,C16_FAST_CORE,29,348,0.290392997779,0.887212643678,2.19882181233,2.84417757011,0.352289995253,0.469404729273,0.476733928818
development,C16_FAST_CORE,30,347,0.317834432874,0.886167146974,2.37501539362,3.1242751482,0.386451221138,0.513967396439,0.521678330255
later_exploratory,C18_PHYS,1,293,0.00278413524249,1,0.0391751416976,0.0391751416976,7.80979602202e-05,0.000211720920365,0.000258824845201
later_exploratory,C18_PHYS,2,292,0.00371846649234,1,0.0521536798785,0.0521536798785,0.000365233609123,0.000929492731316,0.00113911944724
later_exploratory,C18_PHYS,3,291,0.00489991345051,1,0.0679950563247,0.0679950563247,0.00104266713191,0.00249349612816,0.00306298679539
later_exploratory,C18_PHYS,4,290,0.00638434451532,1,0.0864499231442,0.0864499231442,0.00233800749512,0.00533089962594,0.00656058439206
later_exploratory,C18_PHYS,5,289,0.00842460158135,0.997404844291,0.109390095131,0.109486940837,0.00453098175186,0.00990528829933,0.0122027540794
later_exploratory,C18_PHYS,6,288,0.011277822847,0.991319444444,0.138345030187,0.139664441293,0.00793025003039,0.016675431825,0.0205481859492
later_exploratory,C18_PHYS,7,287,0.0152792133285,0.988675958188,0.176536291859,0.180178429732,0.0127888974503,0.0260747928674,0.0321199658514
later_exploratory,C18_PHYS,8,286,0.0207325585034,0.984265734266,0.226529814968,0.233713517701,0.019348503367,0.0385063803503,0.0474035145513
later_exploratory,C18_PHYS,9,285,0.0286493479847,0.981578947368,0.307445207993,0.318410776896,0.0278782078896,0.0543267497775,0.0668215146484
later_exploratory,C18_PHYS,10,284,0.0379838870911,0.978873239437,0.395191807989,0.412524848352,0.0385883822164,0.0738498613064,0.0907527227808
later_exploratory,C18_PHYS,11,283,0.0490372760986,0.973498233216,0.491173740607,0.518078513184,0.0516365155192,0.0973962740892,0.119580484757
later_exploratory,C18_PHYS,12,282,0.06256991315,0.964539007092,0.609695832186,0.650556227105,0.0672396964341,0.125310022248,0.153723380794
later_exploratory,C18_PHYS,13,281,0.0789043671152,0.959964412811,0.756598983174,0.816753365333,0.0854072087232,0.157832427013,0.193496556622
later_exploratory,C18_PHYS,14,280,0.097534205705,0.949107142857,0.919229145368,1.00676798354,0.106285256382,0.194976464695,0.238916139921
later_exploratory,C18_PHYS,15,279,0.118251188259,0.940860215054,1.09019527517,1.21304341381,0.130227019224,0.237027093745,0.290296101237
later_exploratory,C18_PHYS,16,278,0.141569197009,0.931654676259,1.27702231177,1.44999210552,0.158254629696,0.285105430068,0.348984957996
later_exploratory,C18_PHYS,17,277,0.16821726117,0.925090252708,1.49363670808,1.72677111413,0.19005444477,0.339318271433,0.415168221864
later_exploratory,C18_PHYS,18,276,0.195421816628,0.912137681159,1.67243985389,1.99220545738,0.226153561001,0.400187068928,0.489594105889
later_exploratory,C18_PHYS,19,275,0.227260076223,0.903636363636,1.91593892188,2.32556235698,0.266689574265,0.468308088957,0.573038425051
later_exploratory,C18_PHYS,20,274,0.262412785343,0.897810218978,2.1904746093,2.68637485937,0.31114527982,0.543649527797,0.665401801307
later_exploratory,C18_PHYS,21,273,0.297374717645,0.897435897436,2.41742954988,3.02659241033,0.3586519788,0.624673085293,0.764622353184
later_exploratory,C18_PHYS,22,272,0.336557938597,0.892463235294,2.69977982912,3.43511856223,0.408415017534,0.708857381427,0.867225835299
later_exploratory,C18_PHYS,23,271,0.374854599085,0.890221402214,2.91540196942,3.80406075225,0.459303616682,0.792306183465,0.967986823374
later_exploratory,C18_PHYS,24,270,0.41452628677,0.885185185185,3.15512230102,4.20227586161,0.509708015126,0.871447435547,1.06191590918
later_exploratory,C18_PHYS,25,269,0.45800715234,0.885687732342,3.44751067295,4.68639154375,0.559968878017,0.94567146317,1.14815063375
later_exploratory,C18_PHYS,26,268,0.499590024305,0.881529850746,3.6750982902,5.12587183779,0.609942612501,1.01530141055,1.22738581877
later_exploratory,C18_PHYS,27,267,0.543764642347,0.875468164794,3.94549754226,5.61648649507,0.658802988602,1.08677625689,1.30898220817
later_exploratory,C18_PHYS,28,266,0.589279455941,0.871240601504,4.12737926418,6.08570308699,0.717921005984,1.1857675809,1.42806220316
later_exploratory,C18_PHYS,29,265,0.639255078986,0.866037735849,4.38636091026,6.65524322958,0.774823033346,1.27941506198,1.53726452012
later_exploratory,C18_PHYS,30,264,0.693732840121,0.862689393939,4.62791645821,7.24934143489,0.84089262311,1.39312118681,1.67208526953
later_exploratory,C18_CORE,1,293,0.00275458009575,1,0.0387593296525,0.0387593296525,7.61372556178e-05,0.000208745332316,0.000254854075746
later_exploratory,C18_CORE,2,292,0.00366104829412,1,0.0513521262487,0.0513521262487,0.000350105288891,0.000899286348127,0.00109826488692
later_exploratory,C18_CORE,3,291,0.00480037344113,1,0.0666314746275,0.0666314746275,0.000996401068729,0.00239903156753,0.00293489862038
later_exploratory,C18_CORE,4,290,0.00622918772344,1,0.0843838587772,0.0843838587772,0.00223666484771,0.0051432672338,0.00630583233274
later_exploratory,C18_CORE,5,289,0.00820481269328,0.997404844291,0.106559385366,0.106661386656,0.00434017107924,0.00961178589683,0.0118039441162
later_exploratory,C18_CORE,6,288,0.010985456877,0.991319444444,0.134700040504,0.136037232016,0.00760108175755,0.0162769354583,0.020007185251
later_exploratory,C18_CORE,7,287,0.0149116351685,0.988675958188,0.172106933072,0.175769714929,0.0122776340752,0.0255796349181,0.0314496385012
later_exploratory,C18_CORE,8,286,0.0202812367555,0.984265734266,0.221266303219,0.228489930248,0.0185804887149,0.0379194678216,0.0466109972097
later_exploratory,C18_CORE,9,285,0.0281202183015,0.981578947368,0.301375512503,0.312372569962,0.0267987555183,0.0536564327062,0.0659207450062
later_exploratory,C18_CORE,10,284,0.0373633571428,0.977992957746,0.388297252819,0.405682688383,0.0371244009478,0.0731149505551,0.0897659093466
later_exploratory,C18_CORE,11,283,0.0483090299653,0.972614840989,0.483319617267,0.510306292277,0.0497475459519,0.0965904568794,0.118501881009
later_exploratory,C18_CORE,12,282,0.0617167269958,0.965425531915,0.600818829127,0.641870113836,0.0648717150607,0.124360311913,0.152467901821
later_exploratory,C18_CORE,13,281,0.0779349623998,0.957295373665,0.746645543418,0.806998826655,0.0827568958551,0.156696617771,0.192003341163
later_exploratory,C18_CORE,14,280,0.0964826982203,0.949107142857,0.908155898207,0.995698765013,0.103714803829,0.19386969492,0.237447862982
later_exploratory,C18_CORE,15,279,0.11715834257,0.939068100358,1.07803112892,1.20036421096,0.128008872401,0.236152295685,0.289164387558
later_exploratory,C18_CORE,16,278,0.140392196125,0.931654676259,1.26371522051,1.43526029722,0.155878726439,0.283723776081,0.347386257909
later_exploratory,C18_CORE,17,277,0.166906430508,0.924187725632,1.47907866713,1.71002007128,0.187124210297,0.336754771752,0.412361466214
later_exploratory,C18_CORE,18,276,0.193907605625,0.912137681159,1.65631221959,1.97308823681,0.222265177509,0.39555282544,0.484487092659
later_exploratory,C18_CORE,19,275,0.225417904667,0.904545454545,1.89826791039,2.30363911187,0.261478461809,0.460541140997,0.564228688785
later_exploratory,C18_CORE,20,274,0.260161141311,0.89598540146,2.17128972104,2.66038979298,0.304769001071,0.53196694853,0.651785058824
later_exploratory,C18_CORE,21,273,0.294721275798,0.89652014652,2.39665002496,2.99668262831,0.351951497573,0.60950340374,0.746645835779
later_exploratory,C18_CORE,22,272,0.333590881991,0.893382352941,2.67730493897,3.40137787278,0.401992632753,0.692051636285,0.847328408195
later_exploratory,C18_CORE,23,271,0.372058508031,0.888376383764,2.89114854475,3.76693386467,0.454300042936,0.777697236742,0.951384644988
