origin,method,seed,bin,mae,rmse,bias,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
612,G_CACHED,2,h091_180,30.539258638379977,31.53383989559271,25.443252197175319,,,,,,,,,,
612,G_CACHED,2,h181_293,45.614156909904132,47.498716844452026,44.516638779196157,,,,,,,,,,
612,G_CACHED,2,all,29.990406807257859,35.150661997137988,26.105497163618836,,,,,,,,,,
612,TiDE_KIN,ensemble,h001_030,10.605493046513178,12.658553106633613,-10.605493046513178,,,,,,,,,,
612,TiDE_KIN,ensemble,h031_090,37.406063988548063,39.640170634319418,-37.406063988548063,,,,,,,,,,
612,TiDE_KIN,ensemble,h091_180,69.156812152476505,69.737766144505997,-69.156812152476505,,,,,,,,,,
612,TiDE_KIN,ensemble,h181_293,74.83445727961319,75.536153391812405,-74.83445727961319,,,,,,,,,,
612,TiDE_KIN,ensemble,all,58.849608863574943,63.591826365035331,-58.849608863574943,,,,,,,,,,
612,TiDE_KIN,0,h001_030,10.187661068283004,11.816802843599911,-10.082538100433158,,,,,,,,,,
612,TiDE_KIN,0,h031_090,32.658239243871023,34.861585314382282,-32.658239243871023,,,,,,,,,,
612,TiDE_KIN,0,h091_180,65.875500512641111,66.974850087246807,-65.875500512641111,,,,,,,,,,
612,TiDE_KIN,0,h181_293,70.781016046495566,72.187307582861735,-70.781016046495566,,,,,,,,,,
612,TiDE_KIN,0,all,55.263392648711431,60.547617366089348,-55.252629204904281,,,,,,,,,,
612,TiDE_KIN,1,h001_030,8.4805312443789731,9.7563115686103075,-6.5961394103393909,,,,,,,,,,
612,TiDE_KIN,1,h031_090,34.111200819147051,37.862426782454463,-34.099887108615889,,,,,,,,,,
612,TiDE_KIN,1,h091_180,58.492601492768117,60.146204116720192,-58.492601492768117,,,,,,,,,,
612,TiDE_KIN,1,h181_293,69.730423328090353,72.257820251827383,-69.730423328090353,,,,,,,,,,
612,TiDE_KIN,1,all,52.713173914346527,58.739741560048586,-52.517915970138141,,,,,,,,,,
612,TiDE_KIN,2,h001_030,15.585194799870607,19.34921637776042,-15.137801628766963,,,,,,,,,,
612,TiDE_KIN,2,h031_090,45.464053267384088,49.48948569499214,-45.460065613157269,,,,,,,,,,
612,TiDE_KIN,2,h091_180,83.10233445202033,84.402628973293446,-83.10233445202033,,,,,,,,,,
612,TiDE_KIN,2,h181_293,83.991932464253679,85.72298712895855,-83.991932464253679,,,,,,,,,,
612,TiDE_KIN,2,all,68.824906174681431,74.626368105627961,-68.778281415682386,,,,,,,,,,
