origin,method,seed,bin,point,n,mae,rmse,bias,probability_available,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
612,DRIFT1,1,h001_030,ATU1,30,0.49920134408343037,0.79939838142468356,-0.4949840810683952,False,,,,,,,,,,
612,DRIFT1,1,h001_030,ATU5,30,0.15447762171243465,0.25615425481638943,-0.10067789508169653,False,,,,,,,,,,
612,DRIFT1,1,h001_030,MJ3,30,0.89599182569097591,1.1163850915436289,0.89599182569097591,False,,,,,,,,,,
612,DRIFT1,1,h001_030,MJ1,30,2.3717725195009356,2.9574079101791808,-2.3717725195009356,False,,,,,,,,,,
612,DRIFT1,1,h031_090,ATU1,60,13.083052645218045,14.634714180617591,-13.083052645218045,False,,,,,,,,,,
612,DRIFT1,1,h031_090,ATU5,60,13.448685286131139,16.800838014645652,-13.448685286131139,False,,,,,,,,,,
612,DRIFT1,1,h031_090,MJ3,60,3.9543030836784587,4.0906128439346316,3.9543030836784587,False,,,,,,,,,,
612,DRIFT1,1,h031_090,MJ1,60,11.113515079802486,11.558952358645115,-11.113515079802486,False,,,,,,,,,,
612,DRIFT1,1,h091_180,ATU1,90,30.815869843983428,30.898283053368306,-30.815869843983428,False,,,,,,,,,,
612,DRIFT1,1,h091_180,ATU5,90,45.800719141749212,45.96079839558756,-45.800719141749212,False,,,,,,,,,,
612,DRIFT1,1,h091_180,MJ3,90,6.8589223522963616,6.8949393243074875,6.8589223522963616,False,,,,,,,,,,
612,DRIFT1,1,h091_180,MJ1,90,6.9266922439695966,8.492882822008454,-6.6488462203061038,False,,,,,,,,,,
612,DRIFT1,1,h181_293,ATU1,113,35.515516589188607,35.589926563713036,-35.515516589188607,False,,,,,,,,,,
612,DRIFT1,1,h181_293,ATU5,113,49.873053183794966,49.879956669530308,-49.873053183794966,False,,,,,,,,,,
612,DRIFT1,1,h181_293,MJ3,113,4.5492623347560999,4.8146830878225115,4.5492623347560999,False,,,,,,,,,,
612,DRIFT1,1,h181_293,MJ1,113,21.110568118962448,23.741198731829417,21.110568118962448,False,,,,,,,,,,
612,DRIFT1,1,all,ATU1,293,25.892972216970673,28.734613506559139,-25.892540415296775,False,,,,,,,,,,
612,DRIFT1,1,all,ATU5,293,36.07261153018942,40.819202873054891,-36.067103025756239,False,,,,,,,,,,
612,DRIFT1,1,all,MJ3,293,4.7628245574250805,5.2054925697734822,4.7628245574250805,False,,,,,,,,,,
612,DRIFT1,1,all,MJ1,293,12.787920067485317,16.364282710366986,3.5806619701093179,False,,,,,,,,,,
612,DRIFT1,2,h001_030,ATU1,30,0.49920134408343037,0.79939838142468356,-0.4949840810683952,False,,,,,,,,,,
612,DRIFT1,2,h001_030,ATU5,30,0.15447762171243465,0.25615425481638943,-0.10067789508169653,False,,,,,,,,,,
612,DRIFT1,2,h001_030,MJ3,30,0.89599182569097591,1.1163850915436289,0.89599182569097591,False,,,,,,,,,,
612,DRIFT1,2,h001_030,MJ1,30,2.3717725195009356,2.9574079101791808,-2.3717725195009356,False,,,,,,,,,,
612,DRIFT1,2,h031_090,ATU1,60,13.083052645218045,14.634714180617591,-13.083052645218045,False,,,,,,,,,,
612,DRIFT1,2,h031_090,ATU5,60,13.448685286131139,16.800838014645652,-13.448685286131139,False,,,,,,,,,,
612,DRIFT1,2,h031_090,MJ3,60,3.9543030836784587,4.0906128439346316,3.9543030836784587,False,,,,,,,,,,
612,DRIFT1,2,h031_090,MJ1,60,11.113515079802486,11.558952358645115,-11.113515079802486,False,,,,,,,,,,
612,DRIFT1,2,h091_180,ATU1,90,30.815869843983428,30.898283053368306,-30.815869843983428,False,,,,,,,,,,
612,DRIFT1,2,h091_180,ATU5,90,45.800719141749212,45.96079839558756,-45.800719141749212,False,,,,,,,,,,
612,DRIFT1,2,h091_180,MJ3,90,6.8589223522963616,6.8949393243074875,6.8589223522963616,False,,,,,,,,,,
612,DRIFT1,2,h091_180,MJ1,90,6.9266922439695966,8.492882822008454,-6.6488462203061038,False,,,,,,,,,,
612,DRIFT1,2,h181_293,ATU1,113,35.515516589188607,35.589926563713036,-35.515516589188607,False,,,,,,,,,,
612,DRIFT1,2,h181_293,ATU5,113,49.873053183794966,49.879956669530308,-49.873053183794966,False,,,,,,,,,,
612,DRIFT1,2,h181_293,MJ3,113,4.5492623347560999,4.8146830878225115,4.5492623347560999,False,,,,,,,,,,
612,DRIFT1,2,h181_293,MJ1,113,21.110568118962448,23.741198731829417,21.110568118962448,False,,,,,,,,,,
612,DRIFT1,2,all,ATU1,293,25.892972216970673,28.734613506559139,-25.892540415296775,False,,,,,,,,,,
612,DRIFT1,2,all,ATU5,293,36.07261153018942,40.819202873054891,-36.067103025756239,False,,,,,,,,,,
612,DRIFT1,2,all,MJ3,293,4.7628245574250805,5.2054925697734822,4.7628245574250805,False,,,,,,,,,,
612,DRIFT1,2,all,MJ1,293,12.787920067485317,16.364282710366986,3.5806619701093179,False,,,,,,,,,,
612,RR_COND,ensemble,h001_030,ATU1,30,0.96285628487714237,1.0809682362867263,0.31353779248079455,False,,,,,,,,,,
612,RR_COND,ensemble,h001_030,ATU5,30,3.7525617314370225,4.2926121548331473,-3.7525617314370225,False,,,,,,,,,,
612,RR_COND,ensemble,h001_030,MJ3,30,13.515201174391828,14.111148236172751,13.515201174391828,False,,,,,,,,,,
612,RR_COND,ensemble,h001_030,MJ1,30,8.3775175314104562,8.8023204960748558,8.3775175314104562,False,,,,,,,,,,
612,RR_COND,ensemble,h031_090,ATU1,60,7.8912831424819005,12.72793898492356,5.3925220915721654,False,,,,,,,,,,
612,RR_COND,ensemble,h031_090,ATU5,60,5.5017138057131554,6.1211077010601871,-1.6339706834188072,False,,,,,,,,,,
612,RR_COND,ensemble,h031_090,MJ3,60,35.772264138204747,38.317606914577844,35.772264138204747,False,,,,,,,,,,
612,RR_COND,ensemble,h031_090,MJ1,60,3.6990424975497507,4.5728468870819974,0.28635825512234497,False,,,,,,,,,,
612,RR_COND,ensemble,h091_180,ATU1,90,16.41096918641297,18.032904050474123,16.41096918641297,False,,,,,,,,,,
612,RR_COND,ensemble,h091_180,ATU5,90,6.0869588908068382,7.3326957245746263,-5.5005272423196354,False,,,,,,,,,,
612,RR_COND,ensemble,h091_180,MJ3,90,92.036514567276996,92.919167728955159,92.036514567276996,False,,,,,,,,,,
612,RR_COND,ensemble,h091_180,MJ1,90,24.37086332114561,24.60529774101234,24.37086332114561,False,,,,,,,,,,
612,RR_COND,ensemble,h181_293,ATU1,113,24.251922845004412,28.613320921923599,24.251922845004412,False,,,,,,,,,,
612,RR_COND,ensemble,h181_293,ATU5,113,14.598181334464876,18.996509545743326,14.19171621322069,False,,,,,,,,,,
612,RR_COND,ensemble,h181_293,MJ3,113,119.60866228426218,119.77403339422646,119.60866228426218,False,,,,,,,,,,
612,RR_COND,ensemble,h181_293,MJ1,113,35.89011443683259,36.451408315877771,35.89011443683259,False,,,,,,,,,,
612,RR_COND,ensemble,all,ATU1,293,16.108591076306801,21.188040636729841,15.530416271438293,False,,,,,,,,,,
612,RR_COND,ensemble,all,ATU5,293,9.0105818131503295,12.854932905547084,3.0648511513205858,False,,,,,,,,,,
612,RR_COND,ensemble,all,MJ3,293,83.108727074063466,92.2269623366264,83.108727074063466,False,,,,,,,,,,
612,RR_COND,ensemble,all,MJ1,293,22.942760088943636,26.657390553173975,22.243916899368056,False,,,,,,,,,,
612,RR_COND,0,h001_030,ATU1,30,0.96285628487714237,1.0809682362867263,0.31353779248079455,False,,,,,,,,,,
612,RR_COND,0,h001_030,ATU5,30,3.7525617314370225,4.2926121548331473,-3.7525617314370225,False,,,,,,,,,,
612,RR_COND,0,h001_030,MJ3,30,13.515201174391828,14.111148236172751,13.515201174391828,False,,,,,,,,,,
612,RR_COND,0,h001_030,MJ1,30,8.3775175314104562,8.8023204960748558,8.3775175314104562,False,,,,,,,,,,
612,RR_COND,0,h031_090,ATU1,60,7.8912831424819005,12.72793898492356,5.3925220915721654,False,,,,,,,,,,
612,RR_COND,0,h031_090,ATU5,60,5.5017138057131554,6.1211077010601871,-1.6339706834188072,False,,,,,,,,,,
612,RR_COND,0,h031_090,MJ3,60,35.772264138204747,38.317606914577844,35.772264138204747,False,,,,,,,,,,
612,RR_COND,0,h031_090,MJ1,60,3.6990424975497507,4.5728468870819974,0.28635825512234497,False,,,,,,,,,,
612,RR_COND,0,h091_180,ATU1,90,16.41096918641297,18.032904050474123,16.41096918641297,False,,,,,,,,,,
612,RR_COND,0,h091_180,ATU5,90,6.0869588908068382,7.3326957245746263,-5.5005272423196354,False,,,,,,,,,,
612,RR_COND,0,h091_180,MJ3,90,92.036514567276996,92.919167728955159,92.036514567276996,False,,,,,,,,,,
612,RR_COND,0,h091_180,MJ1,90,24.37086332114561,24.60529774101234,24.37086332114561,False,,,,,,,,,,
612,RR_COND,0,h181_293,ATU1,113,24.251922845004412,28.613320921923599,24.251922845004412,False,,,,,,,,,,
612,RR_COND,0,h181_293,ATU5,113,14.598181334464876,18.996509545743326,14.19171621322069,False,,,,,,,,,,
612,RR_COND,0,h181_293,MJ3,113,119.60866228426218,119.77403339422646,119.60866228426218,False,,,,,,,,,,
612,RR_COND,0,h181_293,MJ1,113,35.89011443683259,36.451408315877771,35.89011443683259,False,,,,,,,,,,
612,RR_COND,0,all,ATU1,293,16.108591076306801,21.188040636729841,15.530416271438293,False,,,,,,,,,,
612,RR_COND,0,all,ATU5,293,9.0105818131503295,12.854932905547084,3.0648511513205858,False,,,,,,,,,,
612,RR_COND,0,all,MJ3,293,83.108727074063466,92.2269623366264,83.108727074063466,False,,,,,,,,,,
612,RR_COND,0,all,MJ1,293,22.942760088943636,26.657390553173975,22.243916899368056,False,,,,,,,,,,
612,RR_COND,1,h001_030,ATU1,30,0.96285628487714237,1.0809682362867263,0.31353779248079455,False,,,,,,,,,,
612,RR_COND,1,h001_030,ATU5,30,3.7525617314370225,4.2926121548331473,-3.7525617314370225,False,,,,,,,,,,
612,RR_COND,1,h001_030,MJ3,30,13.515201174391828,14.111148236172751,13.515201174391828,False,,,,,,,,,,
612,RR_COND,1,h001_030,MJ1,30,8.3775175314104562,8.8023204960748558,8.3775175314104562,False,,,,,,,,,,
612,RR_COND,1,h031_090,ATU1,60,7.8912831424819005,12.72793898492356,5.3925220915721654,False,,,,,,,,,,
612,RR_COND,1,h031_090,ATU5,60,5.5017138057131554,6.1211077010601871,-1.6339706834188072,False,,,,,,,,,,
612,RR_COND,1,h031_090,MJ3,60,35.772264138204747,38.317606914577844,35.772264138204747,False,,,,,,,,,,
612,RR_COND,1,h031_090,MJ1,60,3.6990424975497507,4.5728468870819974,0.28635825512234497,False,,,,,,,,,,
612,RR_COND,1,h091_180,ATU1,90,16.41096918641297,18.032904050474123,16.41096918641297,False,,,,,,,,,,
612,RR_COND,1,h091_180,ATU5,90,6.0869588908068382,7.3326957245746263,-5.5005272423196354,False,,,,,,,,,,
612,RR_COND,1,h091_180,MJ3,90,92.036514567276996,92.919167728955159,92.036514567276996,False,,,,,,,,,,
612,RR_COND,1,h091_180,MJ1,90,24.37086332114561,24.60529774101234,24.37086332114561,False,,,,,,,,,,
612,RR_COND,1,h181_293,ATU1,113,24.251922845004412,28.613320921923599,24.251922845004412,False,,,,,,,,,,
