origin,arm,seed,step,target_index,distance,point,observed,prediction
612,G10_ANCHOR_UNIFORM,ensemble,0,642,31,MJ3,1192.9459143708871,1204.7331190316554
612,G10_ANCHOR_UNIFORM,ensemble,0,642,31,MJ1,880.85521692537668,876.94127054147202
612,G10_ANCHOR_UNIFORM,ensemble,0,643,32,ATU1,411.63294112957891,409.53787965092653
612,G10_ANCHOR_UNIFORM,ensemble,0,643,32,ATU5,511.3588132997761,516.78940091436425
612,G10_ANCHOR_UNIFORM,ensemble,0,643,32,MJ3,1192.936011176623,1205.0353385350077
612,G10_ANCHOR_UNIFORM,ensemble,0,643,32,MJ1,881.44324505930774,877.14300146159803
612,G10_ANCHOR_UNIFORM,ensemble,0,644,33,ATU1,411.9301323954561,409.58725390647697
612,G10_ANCHOR_UNIFORM,ensemble,0,644,33,ATU5,511.619209792319,517.11278517862274
612,G10_ANCHOR_UNIFORM,ensemble,0,644,33,MJ3,1192.928285791201,1205.3596522040787
612,G10_ANCHOR_UNIFORM,ensemble,0,644,33,MJ1,882.02612445644399,877.36251420475958
612,G10_ANCHOR_UNIFORM,ensemble,0,645,34,ATU1,412.24040796740633,409.63989892247872
612,G10_ANCHOR_UNIFORM,ensemble,0,645,34,ATU5,511.89134033104381,517.44105175254731
612,G10_ANCHOR_UNIFORM,ensemble,0,645,34,MJ3,1192.922607295297,1205.7041304649988
612,G10_ANCHOR_UNIFORM,ensemble,0,645,34,MJ1,882.60427912706712,877.59504197496028
612,G10_ANCHOR_UNIFORM,ensemble,0,646,35,ATU1,412.56312880176938,409.72362379315933
612,G10_ANCHOR_UNIFORM,ensemble,0,646,35,ATU5,512.17560830552168,517.79601744538741
612,G10_ANCHOR_UNIFORM,ensemble,0,646,35,MJ3,1192.9188447695819,1206.1333446915062
612,G10_ANCHOR_UNIFORM,ensemble,0,646,35,MJ1,883.17813308145855,877.90418195367965
612,G10_ANCHOR_UNIFORM,ensemble,0,647,36,ATU1,412.89765585488539,409.81858508281999
612,G10_ANCHOR_UNIFORM,ensemble,0,647,36,ATU5,512.47241710532376,518.16492767429145
612,G10_ANCHOR_UNIFORM,ensemble,0,647,36,MJ3,1192.916867294731,1206.6161128981364
612,G10_ANCHOR_UNIFORM,ensemble,0,647,36,MJ1,883.74811032989976,878.24936481207681
612,G10_ANCHOR_UNIFORM,ensemble,0,648,37,ATU1,413.24335008309419,409.85355589971851
612,G10_ANCHOR_UNIFORM,ensemble,0,648,37,ATU5,512.78217012002108,518.49370854672543
612,G10_ANCHOR_UNIFORM,ensemble,0,648,37,MJ3,1192.9165439514179,1207.016843125168
612,G10_ANCHOR_UNIFORM,ensemble,0,648,37,MJ1,884.31463488267229,878.48537664668083
612,G10_ANCHOR_UNIFORM,ensemble,0,649,38,ATU1,413.59957244273579,409.87017366808237
612,G10_ANCHOR_UNIFORM,ensemble,0,649,38,ATU5,513.1052707391849,518.80421558713101
612,G10_ANCHOR_UNIFORM,ensemble,0,649,38,MJ3,1192.9177438203151,1207.3657292927101
612,G10_ANCHOR_UNIFORM,ensemble,0,649,38,MJ1,884.87813075005772,878.67937013040944
612,G10_ANCHOR_UNIFORM,ensemble,0,650,39,ATU1,413.96568389015027,409.88396475254586
612,G10_ANCHOR_UNIFORM,ensemble,0,650,39,ATU5,513.44212235238649,519.10780603710896
612,G10_ANCHOR_UNIFORM,ensemble,0,650,39,MJ3,1192.9203359820981,1207.6749698098188
612,G10_ANCHOR_UNIFORM,ensemble,0,650,39,MJ1,885.43902194233749,878.85266582039412
612,G10_ANCHOR_UNIFORM,ensemble,0,651,40,ATU1,414.34104538167742,409.89883482469833
612,G10_ANCHOR_UNIFORM,ensemble,0,651,40,ATU5,513.79312834919676,519.40843150990372
612,G10_ANCHOR_UNIFORM,ensemble,0,651,40,MJ3,1192.924189517438,1207.9503404699974
612,G10_ANCHOR_UNIFORM,ensemble,0,651,40,MJ1,885.99773246979316,879.01097273621917
612,G10_ANCHOR_UNIFORM,ensemble,0,652,41,ATU1,414.72501787365718,409.91554479584784
612,G10_ANCHOR_UNIFORM,ensemble,0,652,41,ATU5,514.15869211918698,519.70721543548439
