fold,fold_role,estimator,subset,n,metric,class_level,class_color,value,status
2,development_already_exposed,fold1_prior,all_valid,280,multiclass_log_loss,,,1.60943791243,reported_descriptive
2,development_already_exposed,fold1_prior,all_valid,280,multiclass_brier,,,0.8,reported_descriptive
2,development_already_exposed,fold1_prior,all_valid,280,recall,0,green,1,reported_descriptive
2,development_already_exposed,fold1_prior,all_valid,280,recall,1,blue,0,reported_descriptive
2,development_already_exposed,fold1_prior,all_valid,280,recall,2,yellow,0,reported_descriptive
2,development_already_exposed,fold1_prior,all_valid,280,recall,3,orange,0,reported_descriptive
2,development_already_exposed,fold1_prior,all_valid,280,recall,4,red,0,reported_descriptive
2,development_already_exposed,fold1_prior,transition_truth,11,accuracy,,,0.181818181818,small_support_descriptive_only
2,development_already_exposed,fold1_prior,transition_truth,11,macro_f1_fixed_five,,,0.0615384615385,small_support_descriptive_only
2,development_already_exposed,fold1_prior,transition_truth,11,ordinal_mae,,,1.63636363636,small_support_descriptive_only
2,development_already_exposed,lag7_persistence,all_valid,273,accuracy,,,0.802197802198,reported_descriptive
2,development_already_exposed,lag7_persistence,all_valid,273,macro_f1_fixed_five,,,0.672214572137,reported_descriptive
2,development_already_exposed,lag7_persistence,all_valid,273,ordinal_mae,,,0.223443223443,reported_descriptive
2,development_already_exposed,lag7_persistence,all_valid,273,recall,0,green,0.931297709924,reported_descriptive
2,development_already_exposed,lag7_persistence,all_valid,273,recall,1,blue,0.787878787879,reported_descriptive
2,development_already_exposed,lag7_persistence,all_valid,273,recall,2,yellow,0.74358974359,reported_descriptive
2,development_already_exposed,lag7_persistence,all_valid,273,recall,3,orange,0.333333333333,reported_descriptive
2,development_already_exposed,lag7_persistence,all_valid,273,recall,4,red,0.5625,reported_descriptive
2,development_already_exposed,lag7_persistence,transition_truth,11,accuracy,,,0.0909090909091,small_support_descriptive_only
2,development_already_exposed,lag7_persistence,transition_truth,11,macro_f1_fixed_five,,,0.0571428571429,small_support_descriptive_only
2,development_already_exposed,lag7_persistence,transition_truth,11,ordinal_mae,,,1.09090909091,small_support_descriptive_only
3,historical_already_exposed_not_confirmatory,ngboost,all_valid,280,accuracy,,,0.55,reported_descriptive
3,historical_already_exposed_not_confirmatory,ngboost,all_valid,280,macro_f1_fixed_five,,,0.463468928686,reported_descriptive
3,historical_already_exposed_not_confirmatory,ngboost,all_valid,280,ordinal_mae,,,0.642857142857,reported_descriptive
3,historical_already_exposed_not_confirmatory,ngboost,all_valid,280,multiclass_log_loss,,,3.39805343712,reported_descriptive
3,historical_already_exposed_not_confirmatory,ngboost,all_valid,280,multiclass_brier,,,0.815206533108,reported_descriptive
3,historical_already_exposed_not_confirmatory,ngboost,all_valid,280,recall,0,green,0.718181818182,reported_descriptive
3,historical_already_exposed_not_confirmatory,ngboost,all_valid,280,recall,1,blue,0,reported_descriptive
3,historical_already_exposed_not_confirmatory,ngboost,all_valid,280,recall,2,yellow,0.658536585366,reported_descriptive
3,historical_already_exposed_not_confirmatory,ngboost,all_valid,280,recall,3,orange,0.409090909091,reported_descriptive
3,historical_already_exposed_not_confirmatory,ngboost,all_valid,280,recall,4,red,0.6,reported_descriptive
3,historical_already_exposed_not_confirmatory,ngboost,transition_truth,21,accuracy,,,0.333333333333,reported_descriptive
3,historical_already_exposed_not_confirmatory,ngboost,transition_truth,21,macro_f1_fixed_five,,,0.290989010989,reported_descriptive
3,historical_already_exposed_not_confirmatory,ngboost,transition_truth,21,ordinal_mae,,,1.09523809524,reported_descriptive
3,historical_already_exposed_not_confirmatory,multinomial_logistic,all_valid,280,accuracy,,,0.196428571429,reported_descriptive
3,historical_already_exposed_not_confirmatory,multinomial_logistic,all_valid,280,macro_f1_fixed_five,,,0.189553833498,reported_descriptive
3,historical_already_exposed_not_confirmatory,multinomial_logistic,all_valid,280,ordinal_mae,,,0.992857142857,reported_descriptive
3,historical_already_exposed_not_confirmatory,multinomial_logistic,all_valid,280,multiclass_log_loss,,,5.8199602822,reported_descriptive
3,historical_already_exposed_not_confirmatory,multinomial_logistic,all_valid,280,multiclass_brier,,,1.31781470878,reported_descriptive
3,historical_already_exposed_not_confirmatory,multinomial_logistic,all_valid,280,recall,0,green,0.127272727273,reported_descriptive
3,historical_already_exposed_not_confirmatory,multinomial_logistic,all_valid,280,recall,1,blue,0.0285714285714,reported_descriptive
3,historical_already_exposed_not_confirmatory,multinomial_logistic,all_valid,280,recall,2,yellow,0.634146341463,reported_descriptive
3,historical_already_exposed_not_confirmatory,multinomial_logistic,all_valid,280,recall,3,orange,0.0227272727273,reported_descriptive
3,historical_already_exposed_not_confirmatory,multinomial_logistic,all_valid,280,recall,4,red,0.26,reported_descriptive
3,historical_already_exposed_not_confirmatory,multinomial_logistic,transition_truth,21,accuracy,,,0.142857142857,reported_descriptive
3,historical_already_exposed_not_confirmatory,multinomial_logistic,transition_truth,21,macro_f1_fixed_five,,,0.0545454545455,reported_descriptive
3,historical_already_exposed_not_confirmatory,multinomial_logistic,transition_truth,21,ordinal_mae,,,1.14285714286,reported_descriptive
3,historical_already_exposed_not_confirmatory,fold1_prior,all_valid,280,accuracy,,,0.392857142857,reported_descriptive
3,historical_already_exposed_not_confirmatory,fold1_prior,all_valid,280,macro_f1_fixed_five,,,0.112820512821,reported_descriptive
3,historical_already_exposed_not_confirmatory,fold1_prior,all_valid,280,ordinal_mae,,,1.60357142857,reported_descriptive
3,historical_already_exposed_not_confirmatory,fold1_prior,all_valid,280,multiclass_log_loss,,,1.60943791243,reported_descriptive
3,historical_already_exposed_not_confirmatory,fold1_prior,all_valid,280,multiclass_brier,,,0.8,reported_descriptive
3,historical_already_exposed_not_confirmatory,fold1_prior,all_valid,280,recall,0,green,1,reported_descriptive
3,historical_already_exposed_not_confirmatory,fold1_prior,all_valid,280,recall,1,blue,0,reported_descriptive
3,historical_already_exposed_not_confirmatory,fold1_prior,all_valid,280,recall,2,yellow,0,reported_descriptive
3,historical_already_exposed_not_confirmatory,fold1_prior,all_valid,280,recall,3,orange,0,reported_descriptive
3,historical_already_exposed_not_confirmatory,fold1_prior,all_valid,280,recall,4,red,0,reported_descriptive
3,historical_already_exposed_not_confirmatory,fold1_prior,transition_truth,21,accuracy,,,0.0952380952381,reported_descriptive
3,historical_already_exposed_not_confirmatory,fold1_prior,transition_truth,21,macro_f1_fixed_five,,,0.0347826086957,reported_descriptive
3,historical_already_exposed_not_confirmatory,fold1_prior,transition_truth,21,ordinal_mae,,,2.28571428571,reported_descriptive
3,historical_already_exposed_not_confirmatory,lag7_persistence,all_valid,273,accuracy,,,0.684981684982,reported_descriptive
3,historical_already_exposed_not_confirmatory,lag7_persistence,all_valid,273,macro_f1_fixed_five,,,0.608154445432,reported_descriptive
3,historical_already_exposed_not_confirmatory,lag7_persistence,all_valid,273,ordinal_mae,,,0.399267399267,reported_descriptive
3,historical_already_exposed_not_confirmatory,lag7_persistence,all_valid,273,recall,0,green,0.872727272727,reported_descriptive
3,historical_already_exposed_not_confirmatory,lag7_persistence,all_valid,273,recall,1,blue,0.464285714286,reported_descriptive
3,historical_already_exposed_not_confirmatory,lag7_persistence,all_valid,273,recall,2,yellow,0.390243902439,reported_descriptive
3,historical_already_exposed_not_confirmatory,lag7_persistence,all_valid,273,recall,3,orange,0.590909090909,reported_descriptive
3,historical_already_exposed_not_confirmatory,lag7_persistence,all_valid,273,recall,4,red,0.72,reported_descriptive
3,historical_already_exposed_not_confirmatory,lag7_persistence,transition_truth,21,accuracy,,,0.142857142857,reported_descriptive
3,historical_already_exposed_not_confirmatory,lag7_persistence,transition_truth,21,macro_f1_fixed_five,,,0.128888888889,reported_descriptive
3,historical_already_exposed_not_confirmatory,lag7_persistence,transition_truth,21,ordinal_mae,,,1.2380952381,reported_descriptive
