model_scope,importance_method,distribution_parameter,feature,importance,interpretation
site_primary,ngboost_builtin_feature_importances_non_shap,2,ATU1__velocity_mm_per_day,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,ATU1__acceleration_mm_per_day_squared,0.0150742949067,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,ATU1__tangent_angle_degree,0.161002585968,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,ATU2__interval_z,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,ATU2__velocity_mm_per_day,0.141022295755,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,ATU2__acceleration_mm_per_day_squared,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,ATU2__tangent_angle_degree,0.412899533698,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,ATU3__interval_z,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,ATU3__velocity_mm_per_day,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,ATU3__acceleration_mm_per_day_squared,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,ATU3__tangent_angle_degree,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,ATU4__interval_z,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,ATU4__velocity_mm_per_day,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,ATU4__acceleration_mm_per_day_squared,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,ATU4__tangent_angle_degree,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,ATU5__interval_z,0,model_dependency_not_causal
site_primary,ngboost_builtin_feature_importances_non_shap,2,ATU5__velocity_mm_per_day,0.0650120815687,model_dependency_not_causal
