fold,date,feature,station,indicator,explained_output,shap_value_expected_ordinal_level,feature_value,method,interpretation
2,2019-02-24,MJ1__velocity_mm_per_day,MJ1,velocity_mm_per_day,expected_ordinal_level,0.000220504555397,0.205617433702,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-02-24,MJ1__acceleration_mm_per_day_squared,MJ1,acceleration_mm_per_day_squared,expected_ordinal_level,0.0105683848365,-0.00150741191624,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-02-24,MJ1__tangent_angle_degree,MJ1,tangent_angle_degree,expected_ordinal_level,-1.037833537e-05,36.5080903114,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-02-24,MJ3__interval_z,MJ3,interval_z,expected_ordinal_level,0.00439633537061,0.478294133959,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-02-24,MJ3__velocity_mm_per_day,MJ3,velocity_mm_per_day,expected_ordinal_level,1.51053849012e-05,0.178842165342,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-02-24,MJ3__acceleration_mm_per_day_squared,MJ3,acceleration_mm_per_day_squared,expected_ordinal_level,0.00977706491167,-3.76303462417e-05,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-02-24,MJ3__tangent_angle_degree,MJ3,tangent_angle_degree,expected_ordinal_level,0.000209067096979,19.5359962372,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-02-24,MJ9__interval_z,MJ9,interval_z,expected_ordinal_level,0.00681173871927,-0.0773129828665,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-02-24,MJ9__velocity_mm_per_day,MJ9,velocity_mm_per_day,expected_ordinal_level,0,0.08482,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
2,2019-02-24,MJ9__acceleration_mm_per_day_squared,MJ9,acceleration_mm_per_day_squared,expected_ordinal_level,-0.00391202569181,-0.00243999999992,permutation_shap_ngboost_expected_ordinal_level,model_dependency_not_causal_not_convlstm_internal_shap
