origin,method,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
972,DRIFT1,ATU1,293,7.8661243635120321,8.8563703598802768,5.5294076201232309,0.38225255972696248,16.002649423331377,33.815370137897183,0.46757679180887374,20.539178174710287,29.216779180360739,1,24.473940315949449,24.473940315949449
972,DRIFT1,ATU5,293,11.944607547412016,14.045583853552262,9.7588403068450109,0.31399317406143346,14.52958903718968,78.404004433438573,0.34470989761092152,18.648525637577222,118.80775581558001,0.37542662116040953,22.221088865010415,176.81670066707966
972,DRIFT1,MJ3,293,7.6510266597893963,8.8792756991527231,7.0121457652155481,0.13993174061433447,3.3147155570663926,64.778822740073849,0.16040955631399317,4.2543913588338,119.19970159230039,0.17747440273037543,5.0694199792760628,221.41458745142049
972,DRIFT1,MJ1,293,7.0875983650200816,10.596795929947485,5.8357014043820268,0.7337883959044369,24.45191148740787,42.087791671693999,0.80204778156996592,31.383688629702196,50.568989975885607,0.86006825938566556,37.395971537138173,55.616478851514486
972,RR_COND,ATU1,293,35.279213172535364,37.847675576320327,22.454017142980355,0.87713310580204773,97.025573353116286,100.18796249163195,1,124.53097520824282,124.53097520824282,1,148.38780932755137,148.38780932755137
972,RR_COND,ATU5,293,46.457415524196662,49.054129410252735,30.440487591994483,0.46416382252559729,96.62357078653281,157.00758518345822,0.78498293515358364,124.01501049994202,141.25613053884575,1,147.77299945693835,147.77299945693835
972,RR_COND,MJ3,293,45.630178826295534,54.991393676985446,38.844056071555286,0.32764505119453924,48.633918319379518,327.7622560673978,0.33447098976109213,62.420958384533598,528.45652872853282,0.35153583617747441,74.37915952491538,848.63074856509604
972,RR_COND,MJ1,293,46.414600565561358,52.45979169707779,41.504295524402963,0.11262798634812286,24.886428884277954,372.63723281304829,0.26279863481228671,31.941385670875661,671.17972167466394,0.2696245733788396,38.060508549474314,1226.972234201625
972,BPLUS_ORIGIN_ANCHOR,ATU1,293,21.763310770114789,25.743540435310912,15.038329651198254,0.94539249146757676,83.1557601286992,83.427863755657469,1,106.72926265863724,106.72926265863724,1,127.17576049313493,127.17576049313493
972,BPLUS_ORIGIN_ANCHOR,ATU5,293,16.810277394996838,19.632640630849419,13.531127178805539,1,110.64755391641279,110.64755391641279,1,142.01459798098631,142.01459798098631,1,169.2208308149234,169.2208308149234
972,BPLUS_ORIGIN_ANCHOR,MJ3,293,53.209450545262904,66.65708459914589,51.306204962911714,0.30034129692832767,12.942081843219512,496.63729099092484,0.30716723549488056,16.610982212858744,958.44164714290059,0.31058020477815701,19.793206125811139,1859.4876995932323
972,BPLUS_ORIGIN_ANCHOR,MJ1,293,38.66403864984386,49.700192833440141,31.476386727546814,0.44368600682593856,63.620608235537624,243.38582804129567,0.49829351535836175,81.656166648755061,345.78956237713476,0.55290102389078499,97.299323857637319,476.21690642578449
972,G_CACHED,ATU1,293,9.4855484549829079,11.09509670272856,7.195961586419128,1,54.709236788576732,54.709236788576732,1,70.218545221936736,70.218545221936736,1,83.670557323003351,83.670557323003351
972,G_CACHED,ATU5,293,3.8309100851861038,4.7564137642126418,8.1060059412704923,1,85.966862970265538,85.966862970265538,1,110.33727409493032,110.33727409493032,1,131.47497128920398,131.47497128920398
972,G_CACHED,MJ3,293,34.024153034615388,41.825034413682161,32.900634459832403,0.10921501706484642,5.4002887246515456,319.49380675429347,0.16040955631399317,6.9311955399575709,621.94208021426243,0.20819112627986347,8.2590288920109742,1216.5180457709121
972,G_CACHED,MJ1,293,25.778194025610155,32.9652808189769,20.924543477334392,0.45051194539249145,41.612069660115331,162.52445116857601,0.48805460750853241,53.40851320041245,233.10260133591194,0.55290102389078499,63.640168721060753,326.97523138867086
972,G_REFRESH,ATU1,293,6.094317714712929,7.3605915510015718,8.4751216088044785,1,85.950337229154243,85.950337229154243,1,110.31606353584245,110.31606353584245,1,131.44969734918703,131.44969734918703
972,G_REFRESH,ATU5,293,13.314567641057517,17.993932544710013,14.011283584359536,1,125.76219986204342,125.76219986204342,1,161.41403603106025,161.41403603106025,1,192.33668700750763,192.33668700750763
972,G_REFRESH,MJ3,293,32.68571039960824,40.581064326302226,30.120996320583959,0.3174061433447099,15.521164081968891,279.87508183470823,0.33447098976109213,19.921198429410197,519.03160111812952,0.34129692832764508,23.737572031187028,971.38220277092807
972,G_REFRESH,MJ1,293,22.206851674070656,29.281184516935316,17.180273217187196,0.5460750853242321,52.232791442883375,120.78558496369949,0.67918088737201365,67.040062031461517,145.973170386699,0.76791808873720135,79.883160999876765,172.87713570692222
1168,BPLUS_CONTINUOUS,ATU1,293,5.4317941274103108,8.0682459891575906,13.601647893891817,1,144.19153557925756,144.19153557925756,1,185.06783234465951,185.06783234465951,1,220.52192374387553,220.52192374387553
1168,BPLUS_CONTINUOUS,ATU5,293,8.1080330697934144,9.1150067099766563,15.216987001588146,1,161.12809466238272,161.12809466238272,1,206.80567059084657,206.80567059084657,1,246.42415563015442,246.42415563015442
1168,BPLUS_CONTINUOUS,MJ3,293,8.7790588990733696,13.016273948901418,15.915767964841843,1,163.05613136385227,163.05613136385227,1,209.28027890671277,209.28027890671277,1,249.37283330911032,249.37283330911032
