seed,outer_days,strategy,part,station,days,rmse_mm,mae_mm,crps_mm,coverage_80,width_80_mm,interval_score_80_mm,coverage_90,width_90_mm,interval_score_90_mm,coverage_95,width_95_mm,interval_score_95_mm
1,432,DIRECT,train,MJ3,402,3.021811998406549,2.3839711213897776,6.520495275399108,1.0,70.11779756855876,70.11779756855876,1.0,89.99521876533373,89.99521876533373,1.0,107.23591723851885,107.23591723851885
1,432,DIRECT,train,MJ1,402,3.520789605510765,2.7838557768170196,2.1918160990124065,0.9651741293532339,15.749081114652867,16.04577812905596,0.9950248756218906,20.213726748623905,20.238164615260807,1.0,24.086141002108906,24.086141002108906
1,432,DIRECT,prediction,ATU1,180,79.91871263042333,78.96850255659515,54.41350203756896,0.03333333333333333,121.38473706226546,310.5711366291699,0.4166666666666667,155.7956231584419,221.89210142252972,0.9444444444444444,185.64193498663573,213.73651745543125
1,432,DIRECT,prediction,ATU5,180,160.5150242582959,154.19316291429007,121.00090937379359,0.05,156.24587418014406,931.7935617002468,0.11666666666666667,200.53940819054026,1332.938516885587,0.15555555555555556,238.9574432377077,1820.5063760310968
1,432,DIRECT,prediction,MJ3,180,13.909315181827814,12.691293333760918,9.61192653450421,1.0,77.07261595556085,77.07261595556085,1.0,98.92163151524122,98.92163151524122,1.0,117.87239406493742,117.87239406493742
1,432,DIRECT,prediction,MJ1,180,6.658036942059195,5.576742116214658,3.788766386303718,0.7777777777777778,17.316025338967396,21.07757343249761,0.9388888888888889,22.224877885000932,23.48418180733287,0.9888888888888889,26.482575387996025,26.57009079517983
2,432,DIRECT,train,ATU1,402,5.646601893992808,4.301371133997215,9.039262070317259,1.0,95.45643114031257,95.45643114031257,1.0,122.51700346204888,122.51700346204888,1.0,145.98801379706782,145.98801379706782
2,432,DIRECT,train,ATU5,402,3.8504049542032335,3.127034233041417,12.512875056344866,1.0,136.03866762903462,136.03866762903462,1.0,174.60374030095312,174.60374030095312,1.0,208.05318876388483,208.05318876388483
2,432,DIRECT,train,MJ3,402,3.5301194232919193,2.67668822492317,6.456463790358253,1.0,68.83158600814205,68.83158600814205,1.0,88.34438455866868,88.34438455866868,1.0,105.26882691706918,105.26882691706918
2,432,DIRECT,train,MJ1,402,3.911591225184785,3.0440920670209963,2.5640192747916464,0.9975124378109452,20.055049348095753,20.057214896312303,1.0,25.74037727013398,25.74037727013398,1.0,30.671551261193454,30.671551261193454
2,432,DIRECT,prediction,ATU1,180,77.22033199919339,76.45059990089518,54.03986370834197,0.027777777777777776,108.13969288718751,336.99389043820526,0.05,138.79579374143637,298.6329492596059,0.9444444444444444,165.38538879606497,189.06890281674083
2,432,DIRECT,prediction,ATU5,180,160.16898839216285,153.83225904261656,122.64210373806854,0.05555555555555555,146.63556790748123,966.1432527018428,0.1111111111111111,188.20471461553902,1437.2817188602419,0.13333333333333333,224.2597492394387,2075.8884770952163
2,432,DIRECT,prediction,MJ3,180,12.242656235855492,10.437625453513702,8.888566009219163,1.0,74.01209754294801,74.01209754294801,1.0,94.99349915537985,94.99349915537985,1.0,113.19173562405227,113.19173562405227
2,432,DIRECT,prediction,MJ1,180,8.240680126906941,6.807446038056178,4.653469312915359,0.7833333333333333,21.626981723158412,26.647398450924534,0.9444444444444444,27.757930639110977,28.83654256057882,1.0,33.075614376871705,33.075614376871705
0,612,DIRECT,train,ATU1,582,5.529180630269699,4.257381263398283,17.82500882267742,1.0,193.74462828340964,193.74462828340964,1.0,248.66853861192956,248.66853861192956,1.0,296.30683926765755,296.30683926765755
0,612,DIRECT,train,ATU5,582,6.245713943585666,4.5727660606797516,36.113685115551434,1.0,395.004372571312,395.004372571312,1.0,506.9826242044065,506.9826242044065,1.0,604.1070566472683,604.1070566472683
0,612,DIRECT,train,MJ3,582,4.330683815755981,3.3573384739599743,3.8621403250442756,1.0,36.72200813818971,36.72200813818971,1.0,47.13218724836755,47.13218724836755,1.0,56.16146501399509,56.16146501399509
0,612,DIRECT,train,MJ1,582,4.819754735763642,3.5884478902059023,2.8075399755697577,0.8831615120274914,17.457672241448673,20.017630140814347,0.9518900343642611,22.406679773835172,23.600417283211463,0.9914089347079038,26.699205694970626,26.818354589762787
0,612,DIRECT,prediction,ATU1,180,6.835928156801072,5.631795134623759,17.957157368957432,1.0,194.22448142648958,194.22448142648958,1.0,249.28442345423585,249.28442345423585,1.0,297.04071132077416,297.04071132077416
0,612,DIRECT,prediction,ATU5,180,4.5217899866046345,3.555323667361858,36.127465322115725,1.0,395.66584495867033,395.66584495867033,1.0,507.83161482341836,507.83161482341836,1.0,605.1186913650797,605.1186913650797
