control_method,challenger_method,fold,scope,group,planned_rows,control_interval_rows,challenger_interval_rows,common_interval_rows,control_availability_rate,challenger_availability_rate,availability_rate_difference,comparison_status,artifact_status,formal_warning_output,independent_label_used,confirmatory_external_validation,vajont_used,support,control_empirical_coverage,challenger_empirical_coverage,coverage_difference,control_absolute_coverage_gap,challenger_absolute_coverage_gap,absolute_coverage_gap_difference,control_mean_interval_width_mm,challenger_mean_interval_width_mm,mean_interval_width_difference_mm,control_mean_interval_score_80_mm,challenger_mean_interval_score_80_mm,mean_interval_score_difference_mm,control_mean_total_pinball_loss,challenger_mean_total_pinball_loss,mean_total_pinball_loss_difference
aci_v1_control,agaci_ewa_variant_v1,1,spatial_block,O3,574,334,334,334,0.58188153310104529,0.58188153310104529,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,1,spatial_block,O3,574,334,334,334,0.58188153310104529,0.58188153310104529,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.91317365269461082,0.91317365269461082,0,0.11317365269461077,0.11317365269461077,0,0.36533312158884551,0.25045203133636879,-0.11488109025247673,0.37071919818174182,0.25571382145938537,-0.11500537672235644,0.037071919818174183,0.025571382145938539,-0.011500537672235644
aci_v1_control,agaci_ewa_variant_v1,2,overall,all,2296,1397,1397,1397,0.60844947735191635,0.60844947735191635,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,2,overall,all,2296,1397,1397,1397,0.60844947735191635,0.60844947735191635,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.69506084466714391,0.74588403722261987,0.05082319255547596,0.10493915533285614,0.054115962777380178,-0.05082319255547596,0.28711557702702811,0.25021182162596534,-0.036903755401062777,0.48923189508077508,0.35444300634522075,-0.13478888873555434,0.048923189508077503,0.035444300634522072,-0.013478888873555431
aci_v1_control,agaci_ewa_variant_v1,2,station,ATU1,287,107,107,107,0.37282229965156793,0.37282229965156793,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,2,station,ATU1,287,107,107,107,0.37282229965156793,0.37282229965156793,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.47663551401869159,0.73831775700934577,0.26168224299065418,0.32336448598130846,0.061682242990654279,-0.26168224299065418,0.13063770219068871,0.1845531897897619,0.053915487599073192,0.52785842979755171,0.33832376114680524,-0.18953466865074647,0.052785842979755165,0.033832376114680512,-0.018953466865074653
aci_v1_control,agaci_ewa_variant_v1,2,station,ATU2,287,171,171,171,0.59581881533101044,0.59581881533101044,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,2,station,ATU2,287,171,171,171,0.59581881533101044,0.59581881533101044,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.64912280701754388,0.72514619883040932,0.076023391812865437,0.15087719298245617,0.074853801169590728,-0.076023391812865437,0.21985385981263905,0.16055134294022708,-0.059302516872411976,0.323853243545839,0.18659587530494223,-0.13725736824089677,0.032385324354583897,0.018659587530494223,-0.013725736824089674
aci_v1_control,agaci_ewa_variant_v1,2,station,ATU3,287,227,227,227,0.7909407665505227,0.7909407665505227,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,planned_population,,,,,,,,,,,,,,,
aci_v1_control,agaci_ewa_variant_v1,2,station,ATU3,287,227,227,227,0.7909407665505227,0.7909407665505227,0,retrospective_descriptive_no_ranking_no_promotion,retrospective_prequential_calibration_bakeoff_not_confirmatory,False,False,False,False,common_interval_support,0.75770925110132159,0.77092511013215859,0.013215859030836996,0.042290748898678454,0.029074889867841458,-0.013215859030836996,0.4421754658131305,0.30803846264840323,-0.13413700316472726,0.64021217795344765,0.46695250030105634,-0.17325967765239131,0.064021217795344768,0.046695250030105634,-0.017325967765239134
