origin,arm,seed,horizon,point,physics_teacher,residual_teacher,correction_mean_mm,required_residual_mean_mm
612,GRU_GRAPH,ensemble,292,ATU1,432,612,0.5180759796339679,-4.2168799406164323
612,GRU_GRAPH,ensemble,292,ATU5,432,612,21.538721383670275,-4.5160254806391276
612,GRU_GRAPH,ensemble,292,MJ3,432,612,-4.0294136984499564,-77.560651055115002
612,GRU_GRAPH,ensemble,292,MJ1,432,612,-5.1434974984097819,-22.575542523130032
612,GRU_GRAPH,ensemble,292,ATU1,612,432,27.975244540844677,-4.2168799406164323
612,GRU_GRAPH,ensemble,292,ATU5,612,432,68.00018725538186,-4.5160254806391276
612,GRU_GRAPH,ensemble,292,MJ3,612,432,-12.635100358355231,-77.560651055115002
612,GRU_GRAPH,ensemble,292,MJ1,612,432,-15.182875739617385,-22.575542523130032
612,GRU_GRAPH,ensemble,292,ATU1,612,612,2.6892868882653231,-4.2168799406164323
612,GRU_GRAPH,ensemble,292,ATU5,612,612,6.8304042194157972,-4.5160254806391276
612,GRU_GRAPH,ensemble,292,MJ3,612,612,-1.5380565316595345,-77.560651055115002
612,GRU_GRAPH,ensemble,292,MJ1,612,612,-2.559778491237219,-22.575542523130032
612,COND_ATTN,0,292,ATU1,432,432,24.673705285684328,-4.2168799406164323
612,COND_ATTN,0,292,ATU5,432,432,72.637262679318141,-4.5160254806391276
612,COND_ATTN,0,292,MJ3,432,432,-12.955616813254688,-77.560651055115002
612,COND_ATTN,0,292,MJ1,432,432,-17.745921187923415,-22.575542523130032
612,COND_ATTN,0,292,ATU1,432,612,26.135303814786376,-4.2168799406164323
612,COND_ATTN,0,292,ATU5,432,612,72.993748942247478,-4.5160254806391276
612,COND_ATTN,0,292,MJ3,432,612,-9.7520898257098327,-77.560651055115002
612,COND_ATTN,0,292,MJ1,432,612,-14.576813109708663,-22.575542523130032
612,COND_ATTN,0,292,ATU1,612,432,23.378432814661089,-4.2168799406164323
612,COND_ATTN,0,292,ATU5,612,432,69.939249735416112,-4.5160254806391276
612,COND_ATTN,0,292,MJ3,612,432,-12.336409890441887,-77.560651055115002
612,COND_ATTN,0,292,MJ1,612,432,-16.945718318141392,-22.575542523130032
612,COND_ATTN,0,292,ATU1,612,612,24.396099730964366,-4.2168799406164323
612,COND_ATTN,0,292,ATU5,612,612,69.727292057221405,-4.5160254806391276
612,COND_ATTN,0,292,MJ3,612,612,-9.3062941771261265,-77.560651055115002
612,COND_ATTN,0,292,MJ1,612,612,-13.929264032847668,-22.575542523130032
612,COND_ATTN,1,292,ATU1,432,432,26.482817833490408,-4.2168799406164323
612,COND_ATTN,1,292,ATU5,432,432,74.600697264663779,-4.5160254806391276
612,COND_ATTN,1,292,MJ3,432,432,-11.793541764918848,-77.560651055115002
612,COND_ATTN,1,292,MJ1,432,432,-16.304599675190953,-22.575542523130032
612,COND_ATTN,1,292,ATU1,432,612,26.674590074513791,-4.2168799406164323
612,COND_ATTN,1,292,ATU5,432,612,65.668609582993611,-4.5160254806391276
612,COND_ATTN,1,292,MJ3,432,612,-4.9998769844685054,-77.560651055115002
612,COND_ATTN,1,292,MJ1,432,612,-9.6687520744068483,-22.575542523130032
612,COND_ATTN,1,292,ATU1,612,432,24.338453989567846,-4.2168799406164323
612,COND_ATTN,1,292,ATU5,612,432,70.175721100314234,-4.5160254806391276
612,COND_ATTN,1,292,MJ3,612,432,-12.259577796896593,-77.560651055115002
612,COND_ATTN,1,292,MJ1,612,432,-16.291010116414263,-22.575542523130032
612,COND_ATTN,1,292,ATU1,612,612,24.213644750073755,-4.2168799406164323
612,COND_ATTN,1,292,ATU5,612,612,61.187054570931316,-4.5160254806391276
612,COND_ATTN,1,292,MJ3,612,612,-5.958879056546647,-77.560651055115002
612,COND_ATTN,1,292,MJ1,612,612,-10.078436476474346,-22.575542523130032
612,COND_ATTN,2,292,ATU1,432,432,24.217055691104978,-4.2168799406164323
612,COND_ATTN,2,292,ATU5,432,432,71.068315043558115,-4.5160254806391276
612,COND_ATTN,2,292,MJ3,432,432,-11.778252635437783,-77.560651055115002
612,COND_ATTN,2,292,MJ1,432,432,-16.180015222378152,-22.575542523130032
612,COND_ATTN,2,292,ATU1,432,612,25.012859528751537,-4.2168799406164323
612,COND_ATTN,2,292,ATU5,432,612,68.420599772556955,-4.5160254806391276
612,COND_ATTN,2,292,MJ3,432,612,-7.7864769516765175,-77.560651055115002
612,COND_ATTN,2,292,MJ1,432,612,-11.996613321798053,-22.575542523130032
612,COND_ATTN,2,292,ATU1,612,432,21.02925782906312,-4.2168799406164323
612,COND_ATTN,2,292,ATU5,612,432,64.56628377695732,-4.5160254806391276
612,COND_ATTN,2,292,MJ3,612,432,-11.545323542261807,-77.560651055115002
612,COND_ATTN,2,292,MJ1,612,432,-15.53281559252323,-22.575542523130032
612,COND_ATTN,2,292,ATU1,612,612,21.1492313360359,-4.2168799406164323
612,COND_ATTN,2,292,ATU5,612,612,59.796446387395044,-4.5160254806391276
612,COND_ATTN,2,292,MJ3,612,612,-6.6584976880589517,-77.560651055115002
612,COND_ATTN,2,292,MJ1,612,612,-10.331498987937531,-22.575542523130032
612,COND_ATTN,ensemble,292,ATU1,432,432,25.124526270093238,-4.2168799406164323
612,COND_ATTN,ensemble,292,ATU5,432,432,72.768758329180002,-4.5160254806391276
612,COND_ATTN,ensemble,292,MJ3,432,432,-12.17580373787044,-77.560651055115002
612,COND_ATTN,ensemble,292,MJ1,432,432,-16.743512028497506,-22.575542523130032
612,COND_ATTN,ensemble,292,ATU1,432,612,25.940917806017232,-4.2168799406164323
612,COND_ATTN,ensemble,292,ATU5,432,612,69.027652765932686,-4.5160254806391276
612,COND_ATTN,ensemble,292,MJ3,432,612,-7.5128145872849519,-77.560651055115002
612,COND_ATTN,ensemble,292,MJ1,432,612,-12.080726168637856,-22.575542523130032
612,COND_ATTN,ensemble,292,ATU1,612,432,22.915381544430684,-4.2168799406164323
612,COND_ATTN,ensemble,292,ATU5,612,432,68.227084870895894,-4.5160254806391276
612,COND_ATTN,ensemble,292,MJ3,612,432,-12.047103743200093,-77.560651055115002
612,COND_ATTN,ensemble,292,MJ1,612,432,-16.256514675692962,-22.575542523130032
612,COND_ATTN,ensemble,292,ATU1,612,612,23.252991939024675,-4.2168799406164323
612,COND_ATTN,ensemble,292,ATU5,612,612,63.570264338515926,-4.5160254806391276
612,COND_ATTN,ensemble,292,MJ3,612,612,-7.3078903072439081,-77.560651055115002
612,COND_ATTN,ensemble,292,MJ1,612,612,-11.446399832419848,-22.575542523130032
792,GRU_LOCAL,0,292,ATU1,612,612,3.4432272084212991,-29.250352033012273
792,GRU_LOCAL,0,292,ATU5,612,612,2.3165577948734319,-37.455433166378583
792,GRU_LOCAL,0,292,MJ3,612,612,-49.461597395790569,-4.928649114244438
792,GRU_LOCAL,0,292,MJ1,612,612,-17.217202547559804,-22.074181941174199
792,GRU_LOCAL,0,292,ATU1,612,792,2.7481563152756698,-29.250352033012273
792,GRU_LOCAL,0,292,ATU5,612,792,3.018559751581773,-37.455433166378583
792,GRU_LOCAL,0,292,MJ3,612,792,-19.766697164555769,-4.928649114244438
792,GRU_LOCAL,0,292,MJ1,612,792,-8.0422851723902351,-22.074181941174199
792,GRU_LOCAL,0,292,ATU1,792,612,0.97537042530808671,-29.250352033012273
792,GRU_LOCAL,0,292,ATU5,792,612,3.7865402229057921,-37.455433166378583
792,GRU_LOCAL,0,292,MJ3,792,612,-44.212016364182425,-4.928649114244438
792,GRU_LOCAL,0,292,MJ1,792,612,-14.040157083333819,-22.074181941174199
792,GRU_LOCAL,0,292,ATU1,792,792,0.43269665878340868,-29.250352033012273
792,GRU_LOCAL,0,292,ATU5,792,792,4.5287182841388827,-37.455433166378583
792,GRU_LOCAL,0,292,MJ3,792,792,-16.177629480562313,-4.928649114244438
792,GRU_LOCAL,0,292,MJ1,792,792,-6.8889683560048942,-22.074181941174199
792,GRU_LOCAL,1,292,ATU1,612,612,10.649145936767255,-29.250352033012273
792,GRU_LOCAL,1,292,ATU5,612,612,11.406680545799158,-37.455433166378583
792,GRU_LOCAL,1,292,MJ3,612,612,-48.253942731630737,-4.928649114244438
792,GRU_LOCAL,1,292,MJ1,612,612,-14.52132302145845,-22.074181941174199
792,GRU_LOCAL,1,292,ATU1,612,792,9.9257205396058446,-29.250352033012273
792,GRU_LOCAL,1,292,ATU5,612,792,11.986189125405996,-37.455433166378583
792,GRU_LOCAL,1,292,MJ3,612,792,-18.855481849669179,-4.928649114244438
792,GRU_LOCAL,1,292,MJ1,612,792,-3.3093887205126449,-22.074181941174199
792,GRU_LOCAL,1,292,ATU1,792,612,7.0087770085361321,-29.250352033012273
792,GRU_LOCAL,1,292,ATU5,792,612,16.344921527279944,-37.455433166378583
792,GRU_LOCAL,1,292,MJ3,792,612,-42.880053589861362,-4.928649114244438
792,GRU_LOCAL,1,292,MJ1,792,612,-14.01492739530911,-22.074181941174199
792,GRU_LOCAL,1,292,ATU1,792,792,6.4672214289353773,-29.250352033012273
792,GRU_LOCAL,1,292,ATU5,792,792,16.978552586158532,-37.455433166378583
792,GRU_LOCAL,1,292,MJ3,792,792,-13.370757441652245,-4.928649114244438
792,GRU_LOCAL,1,292,MJ1,792,792,-3.9869081728106206,-22.074181941174199
792,GRU_LOCAL,2,292,ATU1,612,612,5.8973406278953115,-29.250352033012273
792,GRU_LOCAL,2,292,ATU5,612,612,9.8524516858961686,-37.455433166378583
792,GRU_LOCAL,2,292,MJ3,612,612,-47.152701556455199,-4.928649114244438
792,GRU_LOCAL,2,292,MJ1,612,612,-15.575214307929437,-22.074181941174199
792,GRU_LOCAL,2,292,ATU1,612,792,5.1301233824293124,-29.250352033012273
792,GRU_LOCAL,2,292,ATU5,612,792,10.730773048593992,-37.455433166378583
792,GRU_LOCAL,2,292,MJ3,612,792,-16.071164689708777,-4.928649114244438
792,GRU_LOCAL,2,292,MJ1,612,792,-5.349104395066683,-22.074181941174199
792,GRU_LOCAL,2,292,ATU1,792,612,4.0778060816270028,-29.250352033012273
792,GRU_LOCAL,2,292,ATU5,792,612,11.863715753465007,-37.455433166378583
792,GRU_LOCAL,2,292,MJ3,792,612,-43.081154853346277,-4.928649114244438
792,GRU_LOCAL,2,292,MJ1,792,612,-15.756153999015075,-22.074181941174199
792,GRU_LOCAL,2,292,ATU1,792,792,3.3823208531757527,-29.250352033012273
792,GRU_LOCAL,2,292,ATU5,792,792,12.765020713562485,-37.455433166378583
792,GRU_LOCAL,2,292,MJ3,792,792,-14.403020307459263,-4.928649114244438
792,GRU_LOCAL,2,292,MJ1,792,792,-5.0571362695207087,-22.074181941174199
792,GRU_LOCAL,ensemble,292,ATU1,612,612,6.6632379243612876,-29.250352033012273
792,GRU_LOCAL,ensemble,292,ATU5,612,612,7.8585633421895844,-37.455433166378583
792,GRU_LOCAL,ensemble,292,MJ3,612,612,-48.289413894625504,-4.928649114244438
792,GRU_LOCAL,ensemble,292,MJ1,612,612,-15.77124662564923,-22.074181941174199
792,GRU_LOCAL,ensemble,292,ATU1,612,792,5.9346667457702749,-29.250352033012273
792,GRU_LOCAL,ensemble,292,ATU5,612,792,8.5785073085272536,-37.455433166378583
792,GRU_LOCAL,ensemble,292,MJ3,612,792,-18.231114567977908,-4.928649114244438
792,GRU_LOCAL,ensemble,292,MJ1,612,792,-5.5669260959898557,-22.074181941174199
792,GRU_LOCAL,ensemble,292,ATU1,792,612,4.0206511718237401,-29.250352033012273
792,GRU_LOCAL,ensemble,292,ATU5,792,612,10.66505916788358,-37.455433166378583
792,GRU_LOCAL,ensemble,292,MJ3,792,612,-43.391074935796681,-4.928649114244438
792,GRU_LOCAL,ensemble,292,MJ1,792,612,-14.603746159219334,-22.074181941174199
792,GRU_LOCAL,ensemble,292,ATU1,792,792,3.4274129802981799,-29.250352033012273
792,GRU_LOCAL,ensemble,292,ATU5,792,792,11.424097194619966,-37.455433166378583
792,GRU_LOCAL,ensemble,292,MJ3,792,792,-14.65046907655794,-4.928649114244438
792,GRU_LOCAL,ensemble,292,MJ1,792,792,-5.3110042661120751,-22.074181941174199
792,GRU_GRAPH,0,292,ATU1,612,612,3.4518518348967073,-29.250352033012273
792,GRU_GRAPH,0,292,ATU5,612,612,2.5809293599938958,-37.455433166378583
792,GRU_GRAPH,0,292,MJ3,612,612,-49.977771706248987,-4.928649114244438
792,GRU_GRAPH,0,292,MJ1,612,612,-17.318458430800188,-22.074181941174199
792,GRU_GRAPH,0,292,ATU1,612,792,2.7481563661684967,-29.250352033012273
792,GRU_GRAPH,0,292,ATU5,612,792,3.2890001295780862,-37.455433166378583
792,GRU_GRAPH,0,292,MJ3,612,792,-19.709159137703232,-4.928649114244438
792,GRU_GRAPH,0,292,MJ1,612,792,-7.9798320881549403,-22.074181941174199
792,GRU_GRAPH,0,292,ATU1,792,612,1.2519366551213795,-29.250352033012273
792,GRU_GRAPH,0,292,ATU5,792,612,3.9887689465244369,-37.455433166378583
792,GRU_GRAPH,0,292,MJ3,792,612,-43.838237596115043,-4.928649114244438
