origin,seed,age_bin,point,origin_draws,unique_origins,query_draws,horizon_mean,horizon_min,horizon_max,initial_residual_mean_mm,future_residual_mean_mm,change_mean_mm,future_negative_fraction,initial_energy_mm2,change_energy_mm2,cross_energy_mm2,residual_energy_mm2
612,2,30-89,ATU5,273,60,4368,60.453067765567766,1,150,126.71728904511528,156.80134032346831,30.084051278353044,0,16289.821825021711,1193.3593173274228,7292.4630820233624,24775.644224372492
612,2,30-89,MJ3,273,60,4368,60.453067765567766,1,150,-1.9909968932389688,-15.911863527545192,-13.920866634306224,0.96863553113553114,43.844804459481111,264.95259618173742,-1.712157245678128,307.08524339554037
612,2,30-89,MJ1,273,60,4368,60.453067765567766,1,150,-10.609034403871579,-25.149280143884795,-14.540245740013216,1,143.37706353341628,287.55430855600184,268.17803613151085,699.10940822092891
612,2,90+,ATU1,401,89,6416,22.910068578553616,1,89,56.48230104732302,56.111770973802976,-0.37053007352003314,0,3190.6142840614389,0.86399333487160312,-42.226491632455655,3149.2517857638554
612,2,90+,ATU5,401,89,6416,22.910068578553616,1,89,163.43891041000202,163.38091355932033,-0.057996850681699234,0,26715.590460484676,4.8243029060302627,-24.636128620176386,26695.77863477053
612,2,90+,MJ3,401,89,6416,22.910068578553616,1,89,-19.087061691822445,-23.29996665793001,-4.2129049661075681,1,388.16055162172603,31.686841831085772,135.49047177102983,555.33786522384173
612,2,90+,MJ1,401,89,6416,22.910068578553616,1,89,-28.692178681233703,-33.565512490728509,-4.873333809494806,1,855.44597746918714,43.198210814968704,245.10531052151529,1143.749498805671
792,0,all,ATU1,800,316,12800,84.539843750000003,1,293,24.979054249417903,22.768165548023571,-2.2108887013943348,0.22289062500000001,1435.0541326904006,123.3996401332202,-395.98733699152319,1162.4664358320979
792,0,all,ATU5,800,316,12800,84.539843750000003,1,293,62.470181565187985,66.361566997854595,3.8913854326666,0.18242187500000001,8970.0436560060953,1212.1081440935452,-798.94044122704452,9383.211358872597
792,0,all,MJ3,800,316,12800,84.539843750000003,1,293,-31.140537929287603,-66.925121081539345,-35.784583152251756,0.98648437499999997,2097.7287068455307,2263.5403127386799,1301.6304168968747,5662.8994364810851
792,0,all,MJ1,800,316,12800,84.539843750000003,1,293,-13.739479053267425,-28.200706268249988,-14.461227214982562,0.94187500000000002,399.87055789870834,443.21518864635465,182.23032508229176,1025.3160716273546
792,0,0,ATU1,5,2,80,128.26249999999999,4,282,0.0052379522245587394,20.953890726628469,20.948652774403911,0.26250000000000001,4.3754087407516217e-05,1149.5430299522181,0.0065246188593880167,1149.5495983251651
792,0,0,ATU5,5,2,80,128.26249999999999,4,282,0.0024372211330387474,59.655761063756266,59.653323842623237,0.23749999999999999,1.0089726713865909e-05,8740.9916088694044,0.5792994873036883,8741.5709184464358
792,0,0,MJ3,5,2,80,128.26249999999999,4,282,-0.00081504319550731454,-46.100582808541404,-46.099767765345902,0.96250000000000002,5.692126103632574e-05,3158.5555422794314,0.25695380403327495,3158.8125530047246
792,0,0,MJ1,5,2,80,128.26249999999999,4,282,-0.0056618578948928189,-17.267871807753327,-17.262209949858434,0.80000000000000004,4.1216800305346943e-05,517.40195714414551,0.23161448706707616,517.63361284801294
792,0,1-29,ATU1,137,53,2192,113.46031021897811,1,293,25.295985660655706,25.619975536954133,0.3239898762984274,0.26186131386861317,1572.2629993098658,313.37093087615989,-490.32723102070605,1395.3066991653197
792,0,1-29,ATU5,137,53,2192,113.46031021897811,1,293,28.426870395026931,70.512052092495423,42.085181697468506,0.19434306569343066,2257.0336775928658,3914.1187516426139,4026.7270445763957,10197.879473811876
792,0,1-29,MJ3,137,53,2192,113.46031021897811,1,293,-0.17024117083375184,-42.753398733541069,-42.583157562707314,0.93567518248175185,49.339981303254447,2781.8653861790995,69.113011242694995,2900.3183787250482
792,0,1-29,MJ1,137,53,2192,113.46031021897811,1,293,-0.032214179115206132,-18.147284095692637,-18.115069916577433,0.80839416058394165,1.8249252090518251,593.70957540739801,-8.6017361922814644,586.93276442416845
792,0,30-89,ATU1,254,100,4064,98.405265748031496,1,293,24.28971853496963,22.100369304021108,-2.1893492309485221,0.33439960629921262,1300.6095029380012,70.763030081669982,-193.20124193574534,1178.171291083926
792,0,30-89,ATU5,254,100,4064,98.405265748031496,1,293,56.667865818795185,67.43876274514696,10.770896926351778,0.098917322834645674,7237.3865809309964,500.08148059471284,1857.7793240259205,9595.2473855516291
