origin,arm,seed,variant,point,mae,rmse,bias
612,GRU_GRAPH,ensemble,ORIGINAL,ATU5,11.566138934986482,14.804956544499223,11.413119262023901
612,GRU_GRAPH,ensemble,ORIGINAL,MJ3,76.224572767786256,87.848538630251213,76.222212751857981
612,GRU_GRAPH,ensemble,ORIGINAL,MJ1,24.622718849112111,28.506726284043062,20.106066208175246
612,COND_ATTN,0,BPLUS,ATU1,6.092584517632778,9.2748333845426885,4.2811793661703978
612,COND_ATTN,0,BPLUS,ATU5,8.1947531628107946,10.799758932894493,4.5944399430462965
612,COND_ATTN,0,BPLUS,MJ3,77.770519649130975,89.384443868005675,77.770519649130975
612,COND_ATTN,0,BPLUS,MJ1,25.667274442031584,30.339156668468313,22.675567795383593
612,COND_ATTN,0,ANCHOR_ONLY,ATU1,6.0948357411688008,9.278776720700094,4.289715595106693
612,COND_ATTN,0,ANCHOR_ONLY,ATU5,8.1949829720627818,10.800088212135204,4.5952138983432089
612,COND_ATTN,0,ANCHOR_ONLY,MJ3,77.763580502429605,89.378406405879957,77.763580502429605
612,COND_ATTN,0,ANCHOR_ONLY,MJ1,25.665325194035599,30.3367720282519,22.672377126876203
612,COND_ATTN,0,SHAPE_ONLY,ATU1,5.4091891297576362,7.8442778940745441,3.494958474465244
612,COND_ATTN,0,SHAPE_ONLY,ATU5,9.2332260866262761,11.486431919895628,3.8732279860104857
612,COND_ATTN,0,SHAPE_ONLY,MJ3,73.548846530616018,85.525553697316823,73.548846530616018
612,COND_ATTN,0,SHAPE_ONLY,MJ1,22.830882235832483,27.22334010552202,18.336214285234501
612,COND_ATTN,0,ANCHORED_SHAPE,ATU1,5.4116655101657747,7.8480848668954115,3.5034947034015373
612,COND_ATTN,0,ANCHORED_SHAPE,ATU5,9.2335774042184067,11.486692920942746,3.87400194130741
612,COND_ATTN,0,ANCHORED_SHAPE,MJ3,73.541907383914662,85.519586358405604,73.541907383914662
612,COND_ATTN,0,ANCHORED_SHAPE,MJ1,22.829194339523109,27.221191140696988,18.333023616727111
612,COND_ATTN,0,ORIGINAL,ATU1,28.674730964539716,29.52216382364211,28.674730964539716
612,COND_ATTN,0,ORIGINAL,ATU5,74.339045033163899,75.121433956371945,74.339045033163899
612,COND_ATTN,0,ORIGINAL,MJ3,68.649924276278171,81.188574638960219,68.457265083097653
612,COND_ATTN,0,ORIGINAL,MJ1,18.956030588750238,21.937820367869762,8.7392488410638212
612,COND_ATTN,1,BPLUS,ATU1,6.092584517632778,9.2748333845426885,4.2811793661703978
612,COND_ATTN,1,BPLUS,ATU5,8.1947531628107946,10.799758932894493,4.5944399430462965
612,COND_ATTN,1,BPLUS,MJ3,77.770519649130975,89.384443868005675,77.770519649130975
612,COND_ATTN,1,BPLUS,MJ1,25.667274442031584,30.339156668468313,22.675567795383593
612,COND_ATTN,1,ANCHOR_ONLY,ATU1,6.0948357411688008,9.278776720700094,4.289715595106693
