origin,teacher,teacher_age,arm,seed,variant,horizon,mae,rmse
792,792,0,GRU_LOCAL,0,ORIGINAL,293,24.964308435682444,27.454387272918176
792,792,0,GRU_LOCAL,1,BPLUS,293,23.582514327478208,27.313324693235963
792,792,0,GRU_LOCAL,1,ANCHOR_ONLY,293,23.564678075953122,27.297234668838499
792,792,0,GRU_LOCAL,1,SHAPE_ONLY,293,32.035704890812802,35.260336227527723
792,792,0,GRU_LOCAL,1,ANCHORED_SHAPE,293,32.010870573487686,35.236607979884994
792,792,0,GRU_LOCAL,1,ORIGINAL,293,29.849629741091146,32.799098758827284
792,792,0,GRU_LOCAL,2,BPLUS,293,23.582514327478208,27.313324693235963
792,792,0,GRU_LOCAL,2,ANCHOR_ONLY,293,23.564678075953122,27.297234668838499
792,792,0,GRU_LOCAL,2,SHAPE_ONLY,293,29.995008150070831,32.655329494678107
792,792,0,GRU_LOCAL,2,ANCHORED_SHAPE,293,29.967239712340103,32.631293560132171
792,792,0,GRU_LOCAL,2,ORIGINAL,293,27.893136653917558,30.312507701397763
792,792,0,GRU_LOCAL,ensemble,BPLUS,293,23.582514327478208,27.313324693235963
792,792,0,GRU_LOCAL,ensemble,ANCHOR_ONLY,293,23.564678075953122,27.297234668838499
792,792,0,GRU_LOCAL,ensemble,SHAPE_ONLY,293,29.289995549362512,32.144040321827887
792,792,0,GRU_LOCAL,ensemble,ANCHORED_SHAPE,293,29.264884403090285,32.120319002505795
792,792,0,GRU_LOCAL,ensemble,ORIGINAL,293,27.55244264030048,30.127620971352464
792,792,0,GRU_GRAPH,0,BPLUS,293,23.582514327478208,27.313324693235963
792,792,0,GRU_GRAPH,0,ANCHOR_ONLY,293,23.564678075953122,27.297234668838499
792,792,0,GRU_GRAPH,0,SHAPE_ONLY,293,25.98136049815141,28.714493547659934
792,792,0,GRU_GRAPH,0,ANCHORED_SHAPE,293,25.959149477030714,28.691689635218484
792,792,0,GRU_GRAPH,0,ORIGINAL,293,25.033402480422307,27.522000592432498
792,792,0,GRU_GRAPH,1,BPLUS,293,23.582514327478208,27.313324693235963
792,792,0,GRU_GRAPH,1,ANCHOR_ONLY,293,23.564678075953122,27.297234668838499
792,792,0,GRU_GRAPH,1,SHAPE_ONLY,293,32.20775304046078,35.433082276183512
792,792,0,GRU_GRAPH,1,ANCHORED_SHAPE,293,32.183001821968517,35.409268059567637
792,792,0,GRU_GRAPH,1,ORIGINAL,293,29.870271782750152,32.844849438357272
792,792,0,GRU_GRAPH,2,BPLUS,293,23.582514327478208,27.313324693235963
792,792,0,GRU_GRAPH,2,ANCHOR_ONLY,293,23.564678075953122,27.297234668838499
792,792,0,GRU_GRAPH,2,SHAPE_ONLY,293,29.645257980868429,32.300816921837637
792,792,0,GRU_GRAPH,2,ANCHORED_SHAPE,293,29.617489543137697,32.276884128282589
792,792,0,GRU_GRAPH,2,ORIGINAL,293,27.849756621459374,30.264118907627807
792,792,0,GRU_GRAPH,ensemble,BPLUS,293,23.582514327478208,27.313324693235963
792,792,0,GRU_GRAPH,ensemble,ANCHOR_ONLY,293,23.564678075953122,27.297234668838499
792,792,0,GRU_GRAPH,ensemble,SHAPE_ONLY,293,29.256062384329432,32.10676025274666
792,792,0,GRU_GRAPH,ensemble,ANCHORED_SHAPE,293,29.231088666889004,32.083044404174089
792,792,0,GRU_GRAPH,ensemble,ORIGINAL,293,27.557753729999959,30.145471331614601
792,792,0,COND_ATTN,0,BPLUS,293,23.582514327478208,27.313324693235963
792,792,0,COND_ATTN,0,ANCHOR_ONLY,293,23.564678075953122,27.297234668838499
792,792,0,COND_ATTN,0,SHAPE_ONLY,293,35.501189865181509,38.91442242816467
792,792,0,COND_ATTN,0,ANCHORED_SHAPE,293,35.479674720178103,38.892251745683069
792,792,0,COND_ATTN,0,ORIGINAL,293,41.472688833966153,44.26227252252378
792,792,0,COND_ATTN,1,BPLUS,293,23.582514327478208,27.313324693235963
792,792,0,COND_ATTN,1,ANCHOR_ONLY,293,23.564678075953122,27.297234668838499
792,792,0,COND_ATTN,1,SHAPE_ONLY,293,25.997436971171954,28.664021040473894
792,792,0,COND_ATTN,1,ANCHORED_SHAPE,293,25.987740551279114,28.651194548937355
792,792,0,COND_ATTN,1,ORIGINAL,293,41.978026546964564,43.82943771523194
792,792,0,COND_ATTN,2,BPLUS,293,23.582514327478208,27.313324693235963
792,792,0,COND_ATTN,2,ANCHOR_ONLY,293,23.564678075953122,27.297234668838499
792,792,0,COND_ATTN,2,SHAPE_ONLY,293,19.558196284957948,22.563653554481739
792,792,0,COND_ATTN,2,ANCHORED_SHAPE,293,19.543146631115228,22.545755847640411
792,792,0,COND_ATTN,2,ORIGINAL,293,37.336927500606507,38.82324448657954
792,792,0,COND_ATTN,ensemble,BPLUS,293,23.582514327478208,27.313324693235963
792,792,0,COND_ATTN,ensemble,ANCHOR_ONLY,293,23.564678075953122,27.297234668838499
792,792,0,COND_ATTN,ensemble,SHAPE_ONLY,293,26.701097460209585,29.625769088121373
792,792,0,COND_ATTN,ensemble,ANCHORED_SHAPE,293,26.684779961571362,29.606444013011476
792,792,0,COND_ATTN,ensemble,ORIGINAL,293,40.258465013631927,42.081237661174356
972,792,180,GRU_LOCAL,0,BPLUS,293,61.56310565471518,67.16738918938411
972,792,180,GRU_LOCAL,0,ANCHOR_ONLY,293,32.6117693400546,40.43336462468659
972,792,180,GRU_LOCAL,0,SHAPE_ONLY,293,47.512843502206628,51.764775597212882
972,792,180,GRU_LOCAL,0,ANCHORED_SHAPE,293,20.725264189749687,26.274615287486785
972,792,180,GRU_LOCAL,0,ORIGINAL,293,32.371968861415986,36.91139851819301
972,792,180,GRU_LOCAL,1,BPLUS,293,61.56310565471518,67.16738918938411
972,792,180,GRU_LOCAL,1,ANCHOR_ONLY,293,32.6117693400546,40.43336462468659
972,792,180,GRU_LOCAL,1,SHAPE_ONLY,293,46.653010701734473,51.269217710723424
972,792,180,GRU_LOCAL,1,ANCHORED_SHAPE,293,20.191697789101749,26.119011818795052
972,792,180,GRU_LOCAL,1,ORIGINAL,293,33.856421566558481,38.334366786608179
972,792,180,GRU_LOCAL,2,BPLUS,293,61.56310565471518,67.16738918938411
972,792,180,GRU_LOCAL,2,ANCHOR_ONLY,293,32.6117693400546,40.43336462468659
972,792,180,GRU_LOCAL,2,SHAPE_ONLY,293,48.052386711212996,52.477445277953706
972,792,180,GRU_LOCAL,2,ANCHORED_SHAPE,293,20.616754386939729,26.309129003433245
972,792,180,GRU_LOCAL,2,ORIGINAL,293,33.333424246514241,37.875808117914033
972,792,180,GRU_LOCAL,ensemble,BPLUS,293,61.56310565471518,67.16738918938411
972,792,180,GRU_LOCAL,ensemble,ANCHOR_ONLY,293,32.6117693400546,40.43336462468659
972,792,180,GRU_LOCAL,ensemble,SHAPE_ONLY,293,47.401468807264244,51.816548999419986
972,792,180,GRU_LOCAL,ensemble,ANCHORED_SHAPE,293,20.355631190134158,26.075256562000448
972,792,180,GRU_LOCAL,ensemble,ORIGINAL,293,33.178448504849804,37.666177264902281
972,792,180,GRU_GRAPH,0,BPLUS,293,61.56310565471518,67.16738918938411
972,792,180,GRU_GRAPH,0,ANCHOR_ONLY,293,32.6117693400546,40.43336462468659
972,792,180,GRU_GRAPH,0,SHAPE_ONLY,293,47.120603230900976,51.371749507013064
972,792,180,GRU_GRAPH,0,ANCHORED_SHAPE,293,20.540269099605151,26.088035783695844
972,792,180,GRU_GRAPH,0,ORIGINAL,293,31.953375054961715,36.454728845126041
972,792,180,GRU_GRAPH,1,BPLUS,293,61.56310565471518,67.16738918938411
972,792,180,GRU_GRAPH,1,ANCHOR_ONLY,293,32.6117693400546,40.43336462468659
972,792,180,GRU_GRAPH,1,SHAPE_ONLY,293,46.156816925206584,50.765352293704822
972,792,180,GRU_GRAPH,1,ANCHORED_SHAPE,293,20.032895510681868,25.947300213568141
972,792,180,GRU_GRAPH,1,ORIGINAL,293,33.603729397380384,38.05431711206613
972,792,180,GRU_GRAPH,2,BPLUS,293,61.56310565471518,67.16738918938411
972,792,180,GRU_GRAPH,2,ANCHOR_ONLY,293,32.6117693400546,40.43336462468659
972,792,180,GRU_GRAPH,2,SHAPE_ONLY,293,48.149619538932221,52.536008930587833
972,792,180,GRU_GRAPH,2,ANCHORED_SHAPE,293,20.608157430227035,26.217766093268189
972,792,180,GRU_GRAPH,2,ORIGINAL,293,33.660836038890977,38.070085135122113
972,792,180,GRU_GRAPH,ensemble,BPLUS,293,61.56310565471518,67.16738918938411
972,792,180,GRU_GRAPH,ensemble,ANCHOR_ONLY,293,32.6117693400546,40.43336462468659
972,792,180,GRU_GRAPH,ensemble,SHAPE_ONLY,293,47.134327403646161,51.535304763917495
972,792,180,GRU_GRAPH,ensemble,ANCHORED_SHAPE,293,20.196029771628847,25.889542372607131
972,792,180,GRU_GRAPH,ensemble,ORIGINAL,293,33.061885749745983,37.481242209662462
972,792,180,COND_ATTN,0,BPLUS,293,61.56310565471518,67.16738918938411
972,792,180,COND_ATTN,0,ANCHOR_ONLY,293,32.6117693400546,40.43336462468659
972,792,180,COND_ATTN,0,SHAPE_ONLY,293,55.311625537206304,59.288762624188564
972,792,180,COND_ATTN,0,ANCHORED_SHAPE,293,26.378292801646573,32.357341715973511
972,792,180,COND_ATTN,0,ORIGINAL,293,42.2068084772026,46.747906686359684
972,792,180,COND_ATTN,1,BPLUS,293,61.56310565471518,67.16738918938411
972,792,180,COND_ATTN,1,ANCHOR_ONLY,293,32.6117693400546,40.43336462468659
972,792,180,COND_ATTN,1,SHAPE_ONLY,293,54.749653308239957,58.530199709418824
972,792,180,COND_ATTN,1,ANCHORED_SHAPE,293,26.068406128428361,31.51003455726288
972,792,180,COND_ATTN,1,ORIGINAL,293,41.211725545583569,45.47011301221341
972,792,180,COND_ATTN,2,BPLUS,293,61.56310565471518,67.16738918938411
972,792,180,COND_ATTN,2,ANCHOR_ONLY,293,32.6117693400546,40.43336462468659
972,792,180,COND_ATTN,2,SHAPE_ONLY,293,56.034399243997846,60.150802322328374
972,792,180,COND_ATTN,2,ANCHORED_SHAPE,293,27.261628709941554,33.174529761227667
972,792,180,COND_ATTN,2,ORIGINAL,293,42.763123963736035,47.426706334914044
972,792,180,COND_ATTN,ensemble,BPLUS,293,61.56310565471518,67.16738918938411
972,792,180,COND_ATTN,ensemble,ANCHOR_ONLY,293,32.6117693400546,40.43336462468659
972,792,180,COND_ATTN,ensemble,SHAPE_ONLY,293,55.359390408063526,59.264926709003362
972,792,180,COND_ATTN,ensemble,ANCHORED_SHAPE,293,26.468676872987409,32.192227862126344
972,792,180,COND_ATTN,ensemble,ORIGINAL,293,41.997002295803959,46.468504398969998
1168,1168,0,GRU_LOCAL,0,BPLUS,293,6.9016892503619642,9.1241732177745973
1168,1168,0,GRU_LOCAL,0,ANCHOR_ONLY,293,6.8916679306543251,9.1164130241666612
1168,1168,0,GRU_LOCAL,0,SHAPE_ONLY,293,11.459013589024915,13.859738044322107
1168,1168,0,GRU_LOCAL,0,ANCHORED_SHAPE,293,11.45101156838542,13.851277350368967
1168,1168,0,GRU_LOCAL,0,ORIGINAL,293,10.892125439226826,14.755458455809626
1168,1168,0,GRU_LOCAL,1,BPLUS,293,6.9016892503619642,9.1241732177745973
1168,1168,0,GRU_LOCAL,1,ANCHOR_ONLY,293,6.8916679306543251,9.1164130241666612
1168,1168,0,GRU_LOCAL,1,SHAPE_ONLY,293,10.271690777364299,12.750307365966648
1168,1168,0,GRU_LOCAL,1,ANCHORED_SHAPE,293,10.263838839714703,12.742218989174699
1168,1168,0,GRU_LOCAL,1,ORIGINAL,293,9.5609843438855364,12.583167076262844
1168,1168,0,GRU_LOCAL,2,BPLUS,293,6.9016892503619642,9.1241732177745973
1168,1168,0,GRU_LOCAL,2,ANCHOR_ONLY,293,6.8916679306543251,9.1164130241666612
1168,1168,0,GRU_LOCAL,2,SHAPE_ONLY,293,10.71805763475183,12.92866221749593
1168,1168,0,GRU_LOCAL,2,ANCHORED_SHAPE,293,10.710810025669931,12.920588865782815
1168,1168,0,GRU_LOCAL,2,ORIGINAL,293,12.953894881258323,16.389186338297364
1168,1168,0,GRU_LOCAL,ensemble,BPLUS,293,6.9016892503619642,9.1241732177745973
1168,1168,0,GRU_LOCAL,ensemble,ANCHOR_ONLY,293,6.8916679306543251,9.1164130241666612
1168,1168,0,GRU_LOCAL,ensemble,SHAPE_ONLY,293,10.762125914630944,13.122397901748863
1168,1168,0,GRU_LOCAL,ensemble,ANCHORED_SHAPE,293,10.754538294442334,13.114143372279736
1168,1168,0,GRU_LOCAL,ensemble,ORIGINAL,293,10.587349591098253,14.283633203294265
1168,1168,0,GRU_GRAPH,0,BPLUS,293,6.9016892503619642,9.1241732177745973
1168,1168,0,GRU_GRAPH,0,ANCHOR_ONLY,293,6.8916679306543251,9.1164130241666612
1168,1168,0,GRU_GRAPH,0,SHAPE_ONLY,293,11.304753977526763,13.7098957052084
1168,1168,0,GRU_GRAPH,0,ANCHORED_SHAPE,293,11.296693454914946,13.701433382530217
1168,1168,0,GRU_GRAPH,0,ORIGINAL,293,10.588689120861911,14.403435220060109
1168,1168,0,GRU_GRAPH,1,BPLUS,293,6.9016892503619642,9.1241732177745973
1168,1168,0,GRU_GRAPH,1,ANCHOR_ONLY,293,6.8916679306543251,9.1164130241666612
1168,1168,0,GRU_GRAPH,1,SHAPE_ONLY,293,10.19874377876557,12.688945340612149
1168,1168,0,GRU_GRAPH,1,ANCHORED_SHAPE,293,10.190827220684804,12.680838452431187
1168,1168,0,GRU_GRAPH,1,ORIGINAL,293,9.5764657294515914,12.595188729858625
1168,1168,0,GRU_GRAPH,2,BPLUS,293,6.9016892503619642,9.1241732177745973
1168,1168,0,GRU_GRAPH,2,ANCHOR_ONLY,293,6.8916679306543251,9.1164130241666612
1168,1168,0,GRU_GRAPH,2,SHAPE_ONLY,293,10.551388369628372,12.778312664080634
1168,1168,0,GRU_GRAPH,2,ANCHORED_SHAPE,293,10.544396528725347,12.770346095800173
1168,1168,0,GRU_GRAPH,2,ORIGINAL,293,13.288071935394663,16.660261206281842
1168,1168,0,GRU_GRAPH,ensemble,BPLUS,293,6.9016892503619642,9.1241732177745973
1168,1168,0,GRU_GRAPH,ensemble,ANCHOR_ONLY,293,6.8916679306543251,9.1164130241666612
1168,1168,0,GRU_GRAPH,ensemble,SHAPE_ONLY,293,10.626557421257097,13.001165710099006
1168,1168,0,GRU_GRAPH,ensemble,ANCHORED_SHAPE,293,10.618934286769536,12.992939411433113
1168,1168,0,GRU_GRAPH,ensemble,ORIGINAL,293,10.560487811753708,14.257498545879638
1168,1168,0,COND_ATTN,0,BPLUS,293,6.9016892503619642,9.1241732177745973
1168,1168,0,COND_ATTN,0,ANCHOR_ONLY,293,6.8916679306543251,9.1164130241666612
1168,1168,0,COND_ATTN,0,SHAPE_ONLY,293,10.971207874624133,15.277137914326357
1168,1168,0,COND_ATTN,0,ANCHORED_SHAPE,293,10.970106598102065,15.277145079512215
1168,1168,0,COND_ATTN,0,ORIGINAL,293,27.319813730611873,30.19024317222275
1168,1168,0,COND_ATTN,1,BPLUS,293,6.9016892503619642,9.1241732177745973
1168,1168,0,COND_ATTN,1,ANCHOR_ONLY,293,6.8916679306543251,9.1164130241666612
1168,1168,0,COND_ATTN,1,SHAPE_ONLY,293,11.555323016731064,15.616248732204387
1168,1168,0,COND_ATTN,1,ANCHORED_SHAPE,293,11.553236346468058,15.614748969366909
1168,1168,0,COND_ATTN,1,ORIGINAL,293,20.330628951412923,24.429837895239679
1168,1168,0,COND_ATTN,2,BPLUS,293,6.9016892503619642,9.1241732177745973
1168,1168,0,COND_ATTN,2,ANCHOR_ONLY,293,6.8916679306543251,9.1164130241666612
1168,1168,0,COND_ATTN,2,SHAPE_ONLY,293,19.585779798321489,23.831286101241751
1168,1168,0,COND_ATTN,2,ANCHORED_SHAPE,293,19.59070930076577,23.834558804814524
1168,1168,0,COND_ATTN,2,ORIGINAL,293,19.627274104660614,24.859882718199021
1168,1168,0,COND_ATTN,ensemble,BPLUS,293,6.9016892503619642,9.1241732177745973
1168,1168,0,COND_ATTN,ensemble,ANCHOR_ONLY,293,6.8916679306543251,9.1164130241666612
1168,1168,0,COND_ATTN,ensemble,SHAPE_ONLY,293,12.256057000366804,16.599483360322534
1168,1168,0,COND_ATTN,ensemble,ANCHORED_SHAPE,293,12.25882090167163,16.601646292480751
1168,1168,0,COND_ATTN,ensemble,ORIGINAL,293,21.280411920853673,24.70258464052689
