origin,arm,seed,point,horizon,physics_response_mean_mm,residual_response_mean_mm,total_response_mean_mm,interaction_mean_mm,half_target_change_mm
612,GRU_GRAPH,1,MJ1,292,3.4349079689540156,12.489486172948604,15.924394141902622,0.60269188931733775,19.308810354580444
612,GRU_GRAPH,2,ATU1,292,1.8295939037548412,-27.244825646873828,-25.415231743118984,-0.33381887077554506,-18.074777530675153
612,GRU_GRAPH,2,ATU5,292,-11.458495037661411,-51.637172629757146,-63.09566766741856,-5.3410910508196903,-54.958672880584643
612,GRU_GRAPH,2,MJ3,292,1.8380144996936467,10.456525923321223,12.294540423014869,0.56378189312926441,12.882318998364463
612,GRU_GRAPH,2,MJ1,292,1.6732760288669868,10.98628294644119,12.659558975308178,0.80175183682365059,19.308810354580444
612,GRU_GRAPH,ensemble,ATU1,292,2.2678932639985243,-25.189275297212191,-22.921382033213664,-0.19336471073433731,-18.074777530675153
612,GRU_GRAPH,ensemble,ATU5,292,-10.631705532375255,-57.093171404086831,-67.724876936462081,-8.1532232637584467,-54.958672880584643
612,GRU_GRAPH,ensemble,MJ3,292,2.2933431123454353,10.89902977225071,13.192372884596146,0.39602810888997236,12.882318998364463
612,GRU_GRAPH,ensemble,MJ1,292,2.2889203763807044,12.32829861758831,14.617218993969015,0.5895972615837175,19.308810354580444
612,COND_ATTN,0,ATU1,292,-1.5172382774226219,1.2396327227026631,-0.27760555471995885,-0.44393161279876275,-18.074777530675153
612,COND_ATTN,0,ATU5,292,-2.9822349144640565,0.072264292367307748,-2.9099706220967487,-0.56844394112404961,-54.958672880584643
612,COND_ATTN,0,MJ3,292,0.53250128569825461,3.1168213504303077,3.6493226361285629,-0.17341127422909522,12.882318998364463
612,COND_ATTN,0,MJ1,292,0.72387597332150999,3.0927811817542366,3.8166571550757471,-0.15265379292102541,19.308810354580444
612,COND_ATTN,1,ATU1,292,-2.3026545841812998,0.033481500764644116,-2.2691730834166557,-0.31658148051747659,-18.074777530675153
612,COND_ATTN,1,ATU5,292,-4.4532655882059187,-8.9603771055265451,-13.413642693732461,-0.056578847712745871,-54.958672880584643
612,COND_ATTN,1,MJ3,292,-0.71251905202794397,6.5471817604001448,5.8346627083722007,-0.49296604010039574,12.882318998364463
612,COND_ATTN,1,MJ1,292,-0.19804742164540448,6.4242106203620102,6.2261631987166064,-0.423273960844188,19.308810354580444
612,COND_ATTN,2,ATU1,292,-3.5257130273787478,0.45788867230966923,-3.0678243550690789,-0.67583033067377607,-18.074777530675153
612,COND_ATTN,2,ATU5,292,-7.5630923258813523,-3.7087763302817081,-11.271868656163059,-2.1221221185611432,-54.958672880584643
612,COND_ATTN,2,MJ3,292,0.68045417839677091,4.4393007689820587,5.11975494737883,0.89505017044159063,12.882318998364463
612,COND_ATTN,2,MJ1,292,1.1561569818577249,4.6923592525829001,5.8485162344406243,1.0179147040056,19.308810354580444
612,COND_ATTN,ensemble,ATU1,292,-2.4485352963275564,0.57700096525899192,-1.8715343310685646,-0.47878114133000516,-18.074777530675153
612,COND_ATTN,ensemble,ATU5,292,-4.9995309428504413,-4.1989630478136473,-9.1984939906640903,-0.91571496913264605,-54.958672880584643
612,COND_ATTN,ensemble,MJ3,292,0.16681213735569389,4.7011012932708374,4.8679134306265315,0.07622428537069989,12.882318998364463
612,COND_ATTN,ensemble,MJ1,292,0.56066184451127665,4.7364503515663827,5.2971121960776602,0.14732898341346234,19.308810354580444
792,GRU_LOCAL,0,ATU1,292,-2.3916582198027365,-0.61887232983515361,-3.0105305496378905,0.15239712662095176,-6.0863261261055763
792,GRU_LOCAL,0,ATU5,292,1.4900704802947349,0.72209000897071562,2.2121604892654503,0.040176104524750143,-2.2270549096681025
792,GRU_LOCAL,0,MJ3,292,4.4193243578007975,28.864643557427453,33.28396791522826,-1.6605133476146745,67.355032507932407
792,GRU_LOCAL,0,MJ1,292,2.1651811403056644,8.1630530512492463,10.328234191554909,-2.0237286478406435,15.988957218132965
792,GRU_LOCAL,1,ATU1,292,-3.5494340194507936,-0.63249048838108279,-4.1819245078318765,0.18186981756065523,-6.0863261261055763
792,GRU_LOCAL,1,ATU5,292,4.9653022211166604,0.60656981924271336,5.5718720403593736,0.054122479271749083,-2.2270549096681025
792,GRU_LOCAL,1,MJ3,292,5.4293067748931554,29.453878515085339,34.883185289978485,0.11083526624755896,67.355032507932407
792,GRU_LOCAL,1,MJ1,292,-0.085561913074317694,10.619976761722146,10.534414848647828,-1.1839150784473165,15.988957218132965
792,GRU_LOCAL,2,ATU1,292,-1.7836685377609338,-0.73135123695862514,-2.5150197747195588,0.071732017014749558,-6.0863261261055763
792,GRU_LOCAL,2,ATU5,292,2.0227558662686675,0.88981316139765088,2.9125690276663185,0.022983597399653995,-2.2270549096681025
792,GRU_LOCAL,2,MJ3,292,2.8698455426792213,29.879835706316715,32.749681248995941,-2.4034023208594175,67.355032507932407
792,GRU_LOCAL,2,MJ1,292,0.055514217230168146,10.462563821178557,10.518078038408726,0.4729078166316128,15.988957218132965
792,GRU_LOCAL,ensemble,ATU1,292,-2.5749202590048208,-0.66090468505828714,-3.2358249440631086,0.13533298706545213,-6.0863261261055763
792,GRU_LOCAL,ensemble,ATU5,292,2.8260428558933537,0.73949099653702655,3.5655338524303808,0.039094060398717656,-2.2270549096681025
792,GRU_LOCAL,ensemble,MJ3,292,4.2394922251243914,29.39945259294317,33.638944818067564,-1.3176934674088447,67.355032507932407
792,GRU_LOCAL,ensemble,MJ1,292,0.71171114815383829,9.7485312113833178,10.460242359537155,-0.9115786365521158,15.988957218132965
792,GRU_GRAPH,0,ATU1,292,-2.1217563132811494,-0.62553660223403185,-2.7472929155151813,0.15631773298835752,-6.0863261261055763
792,GRU_GRAPH,0,ATU5,292,1.4293259718945486,0.72955715494819706,2.1588831268427455,0.042972770728014045,-2.2270549096681025
792,GRU_GRAPH,0,MJ3,292,4.9885739712836319,29.11765242969544,34.106226400979075,-2.3019202777006269,67.355032507932407
792,GRU_GRAPH,0,MJ1,292,2.2001364761038626,8.340615890378718,10.540752366482581,-1.9960209045330637,15.988957218132965
792,GRU_GRAPH,1,ATU1,292,-3.3740419789539011,-0.62777962325135539,-4.001821602205256,0.18621581761677966,-6.0863261261055763
792,GRU_GRAPH,1,ATU5,292,4.8471563141602498,0.6019552905160559,5.4491116046763057,0.056037477966532537,-2.2270549096681025
792,GRU_GRAPH,1,MJ3,292,5.4118751597876011,29.565293320527648,34.97716848031525,0.08103216580705716,67.355032507932407
792,GRU_GRAPH,1,MJ1,292,-0.14089577284375093,10.521590291817612,10.38069451897386,-1.280799167474598,15.988957218132965
792,GRU_GRAPH,2,ATU1,292,-1.3632704603046792,-0.71458443323086429,-2.0778548935355432,0.079583898978338785,-6.0863261261055763
792,GRU_GRAPH,2,ATU5,292,1.9227590628030395,0.88205377760951886,2.8048128404125579,0.026715084024493303,-2.2270549096681025
792,GRU_GRAPH,2,MJ3,292,3.1363528721022949,29.994061621465708,33.130414493567997,-1.5691544157073218,67.355032507932407
792,GRU_GRAPH,2,MJ1,292,0.35398512150800798,10.813538022020381,11.167523143528388,0.02100162756956396,15.988957218132965
792,GRU_GRAPH,ensemble,ATU1,292,-2.286356250846576,-0.65596688623875044,-2.9423231370853276,0.14070581652782532,-6.0863261261055763
792,GRU_GRAPH,ensemble,ATU5,292,2.7330804496192789,0.73785540769125724,3.4709358573105362,0.041908444239679862,-2.2270549096681025
792,GRU_GRAPH,ensemble,MJ3,292,4.5122673343911757,29.559002457229592,34.071269791620772,-1.2633475092002977,67.355032507932407
792,GRU_GRAPH,ensemble,MJ1,292,0.80440860825603977,9.8919147347389043,10.696323342994942,-1.0852728148126991,15.988957218132965
792,COND_ATTN,0,ATU1,292,11.432956026058871,-2.1413458706108446,9.2916101554480282,0.81615810008556777,-6.0863261261055763
792,COND_ATTN,0,ATU5,292,31.449450764372127,-5.7772819576565215,25.672168806715604,2.2449457452236823,-2.2270549096681025
792,COND_ATTN,0,MJ3,292,4.1770534054474409,3.6545054498967713,7.8315588553442117,-0.82856433773391669,67.355032507932407
792,COND_ATTN,0,MJ1,292,-2.9522828295548096,2.5936379605749669,-0.35864486897984271,-0.52617161762064701,15.988957218132965
792,COND_ATTN,1,ATU1,292,11.320437082403242,0.5246957945186459,11.845132876921888,-0.20968857382472855,-6.0863261261055763
792,COND_ATTN,1,ATU5,292,31.584734139804549,1.4881032128173777,33.072837352621931,-0.61265172437698667,-2.2270549096681025
792,COND_ATTN,1,MJ3,292,-0.47106078978733568,1.8769611688190717,1.4059003790317364,0.95734894560208061,67.355032507932407
792,COND_ATTN,1,MJ1,292,-4.9775252623974815,0.80037757546708621,-4.177147686930395,0.47407305912427611,15.988957218132965
792,COND_ATTN,2,ATU1,292,13.10963985258239,-0.21569830498722853,12.893941547595162,-0.47310408525200903,-6.0863261261055763
792,COND_ATTN,2,ATU5,292,38.444135425323744,-0.64802315297566881,37.796112272348076,-1.3409896162426318,-2.2270549096681025
792,COND_ATTN,2,MJ3,292,-5.4821300003678273,1.2146480149096135,-4.2674819854582156,-0.25312881405283139,67.355032507932407
792,COND_ATTN,2,MJ1,292,-7.7939068607426591,0.75312048695328915,-7.0407863737893717,0.09915579673563478,15.988957218132965
792,COND_ATTN,ensemble,ATU1,292,11.954344320348168,-0.61078279369314237,11.343561526655025,0.044455147002943424,-6.0863261261055763
792,COND_ATTN,ensemble,ATU5,292,33.82610677650014,-1.645733965938271,32.18037281056187,0.097101468201354568,-2.2270549096681025
792,COND_ATTN,ensemble,MJ3,292,-0.59204579490257436,2.2487048778751522,1.656659082972578,-0.041448068728222008,67.355032507932407
