fold,date,station,actual,p10,p50,p90,interval_status,interval_level,interval_color,interval_reason,interval_mapping_basis,interval_mu,interval_sigma,interval_z,velocity_mm_per_day,velocity_status,acceleration_mm_per_day_squared,acceleration_status,comparator_v0_mm_per_day,tangent_angle_degree,target_end_date,future_displacement_rate_mm_per_day,future_velocity_q90_mm_per_day,label_status,case,formal_warning_output,ecdf_future_displacement_rate_mm_per_day,ecdf_future_velocity_q90_mm_per_day,severity,auto_state_level,auto_state_color,boundary_version,artifact_kind,artifact_status
1,2018-02-25,ATU1,407.925140057,407.294933153,408.452922505,410.016342262,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,408.452922505,1.06176470274,-0.497080422772,0.0499257660328,valid,-0.00379494220454,valid,1.45749892556,1.96186604489,2018-03-04,0.0356722387222,0.0439535515756,valid,ootang,False,0.182142857143,0.175,0.178571428571,0,green,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-25,ATU2,295.56951,295.344924833,296.647560157,298.569776464,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,296.647560157,1.25818408598,-0.856830227706,0.0642,valid,-0.000110000000063,valid,1.15246180399,3.18847107321,2018-03-04,0.0631828571429,0.064002,valid,ootang,False,0.496428571429,0.475,0.485714285714,2,yellow,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-25,ATU3,485.70488,485.679200284,487.776593717,490.993124166,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,487.776593717,2.07324095128,-0.99926335886,0.11008,valid,-4.00000000127e-05,valid,1.75867837307,3.58161111367,2018-03-04,0.108771428571,0.110032,valid,ootang,False,0.442857142857,0.425,0.433928571429,2,yellow,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-25,ATU4,253.43641,253.403660974,254.721710266,256.720452457,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,254.721710266,1.29405465339,-0.993234917035,0.05639,valid,-5.00000000159e-05,valid,1.02070105311,3.16216772917,2018-03-04,0.05586,0.056326,valid,ootang,False,0.560714285714,0.539285714286,0.55,2,yellow,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-25,ATU5,505.808840901,505.772432724,507.441518715,510.042691079,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,507.441518715,1.66605218494,-0.97996799172,0.137401981286,valid,-0.00273130011556,valid,1.83120120352,4.29107897754,2018-03-04,0.124126474696,0.13252196036,valid,ootang,False,0.253571428571,0.253571428571,0.253571428571,1,blue,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-25,MJ1,860.810328744,860.725034685,861.1901109,861.924556987,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,861.1901109,0.467996684317,-0.811506083815,0.230340891188,valid,0.0193431607477,valid,0.277793969981,39.6648052765,2018-03-04,0.31947954412,0.376010167139,valid,ootang,False,0.660714285714,0.664285714286,0.6625,3,orange,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-25,MJ3,1192.50643508,1192.557007,1193.13239917,1194.10524659,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,1193.13239917,0.604049627113,-1.03627923212,0.123538564306,valid,-0.00714452712305,valid,0.508958112156,13.6434507912,2018-03-04,0.0900195159093,0.111101473146,valid,ootang,False,0.771428571429,0.782142857143,0.776785714286,3,orange,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-25,MJ9,318.74359,318.700707979,318.921694626,319.258061851,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,318.921694626,0.217453034487,-0.819048703954,0.11213,valid,0.00370999999996,valid,0.103383166641,47.3241351873,2018-03-04,0.127982857143,0.136046,valid,ootang,False,0.532142857143,0.514285714286,0.523214285714,2,yellow,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-26,ATU1,407.971316196,407.380329532,408.535474615,410.108845566,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,408.535474615,1.06453748727,-0.529956366413,0.0461761388602,valid,-0.00374962717262,valid,1.45749892556,1.8146244671,2018-03-05,0.032627985072,0.0402764284537,valid,ootang,False,0.171428571429,0.157142857143,0.164285714286,0,green,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-26,ATU2,295.63359,295.434825696,296.737965035,298.664230334,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,296.737965035,1.25996045325,-0.876515633816,0.06408,valid,-0.000119999999924,valid,1.15246180399,3.18252357652,2018-03-05,0.0626957142857,0.063866,valid,ootang,False,0.492857142857,0.471428571429,0.482142857143,2,yellow,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-26,ATU3,485.81493,485.815199133,487.9125153,491.133076449,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,487.9125153,2.07478339357,-1.01099001784,0.11005,valid,-2.99999999811e-05,valid,1.75867837307,3.5806375603,2018-03-05,0.107867142857,0.110002,valid,ootang,False,0.439285714286,0.421428571429,0.430357142857,2,yellow,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-26,ATU4,253.49276,253.470646182,254.788422672,256.788209057,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,254.788422672,1.29435561399,-1.00100981339,0.05635,valid,-3.99999999843e-05,valid,1.02070105311,3.15992920658,2018-03-05,0.0555385714286,0.056292,valid,ootang,False,0.557142857143,0.535714285714,0.546428571429,2,yellow,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-26,ATU5,505.943279791,505.941534196,507.610959641,510.218110621,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,507.610959641,1.66851719601,-0.999498149933,0.134438889924,valid,-0.00296309136149,valid,1.83120120352,4.19887589929,2018-03-05,0.12082710674,0.129188003005,valid,ootang,False,0.235714285714,0.228571428571,0.232142857143,1,blue,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
1,2018-02-26,MJ1,861.0611066,860.959635735,861.424919857,862.159678362,valid,0,green,thesis_figure_5_1_observed_green_region,specified_thesis_figure_5_1_normal_regions,861.424919857,0.468199690825,-0.777047196524,0.250777856146,valid,0.020436964958,valid,0.277793969981,42.0740712604,2018-03-05,0.342428514752,0.39837148754,valid,ootang,False,0.667857142857,0.671428571429,0.669642857143,3,orange,fold1_h7_station_ecdf_site_quantiles_v2,ootang_automatic_future_deformation_state_ecdf_challenger,exploratory_proxy_labels_not_formal_warning
