feature,mean_abs_shap,schema_version,explained_model,model_role,analysis_scope,target_definition,target_unit,feature_kinematics_definition,split_date,train_start,train_end,holdout_start,holdout_end,background_date_count,background_rows,background_start,background_end,explanation_date_count,explanation_rows,explanation_start,explanation_end,data_source,data_sha256,implementation_source,implementation_sha256
disp_rate_lag5,0.0004884756427373104,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
station_ATU1,0.0003486306399494318,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
Rain_cum15_lag4,0.0003177538261283814,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
Rain_cum15_lag1,0.0002546427754171152,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
disp_rate_lag4,0.00022868757559910642,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
GWT_lag4,0.00021574770418102574,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
GWT_rate_lag3,0.00019722369016142858,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
minT_lag5,0.0001640565617529807,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
GWT_lag5,0.00015570992887503139,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
GWT_rate_lag2,0.00015378947048761272,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
minT_lag1,0.00014575738621309159,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
disp_lag2,0.00013364580098812167,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
GWT_rate_lag5,0.00012415220357864522,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
GWT_lag3,0.00012152997084853631,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
maxT_lag5,0.0001180745127618879,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
GWT_rate_lag4,0.00011710908444817398,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
Rain_cum30_lag2,0.00011150357649097074,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
GWT_lag2,0.00010548117986957934,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
aveT_lag4,0.00010223421165392024,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
RH_lag5,9.973453932839372e-05,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
Rain_cum7_lag2,9.670507540141439e-05,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
GWT_lag1,9.174024092338175e-05,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
DP_lag2,8.252285488898226e-05,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
maxT_lag1,8.232449355821896e-05,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
Rain_cum7_lag5,8.207827342822275e-05,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
Rain_cum7_lag3,6.00814265390566e-05,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
RWL_lag2,5.897158936774073e-05,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
disp_lag3,5.793372798872728e-05,2,NGBoost regressor,independent_exploratory_explainer,"independent NGBoost regression model-dependence analysis; not ConvLSTM explanation, causal inference, warning classification, or formal five-level output",target-observation displacement increment U_t - U_(t-1),mm per observation interval,"lagged point velocity (mm/day) and delta_v=velocity_t-velocity_t-1 (mm/day); delta_v is retained as an input feature, not a warning label",2019-09-19,2016-08-04,2019-09-18,2019-09-19,2020-06-30,12,96,2016-08-04,2019-09-18,25,200,2019-09-19,2020-06-30,data/monitoring_data.csv,ee63480ad9b8065dea359d49873182b1554013f910bec1c6988c0b152bede118,code/explainability/ngboost_shap.py,8ea814cd60be659c09bebec99d1bdc818cc581189ca98da9d40866aa1717ef5d
