start,end,teacher,point,index,date,residual,slow,fast,diagnostic_retained
612,792,612,MJ1,733,2018-07-04,-23.667293166125546,-17.904835483736175,-5.7624576823893712,True
612,792,612,MJ1,734,2018-07-05,-24.17514972377478,-18.309371886319308,-5.8657778374554717,True
612,792,612,MJ1,735,2018-07-06,-24.671047367883943,-18.719802562549287,-5.9512448053346567,True
612,792,612,MJ1,736,2018-07-07,-25.142646854415602,-19.134179613637436,-6.0084672407781667,True
612,792,612,MJ1,737,2018-07-08,-25.611498013223127,-19.552071123288123,-6.0594268899350041,True
612,792,612,MJ1,738,2018-07-09,-26.153587425659339,-19.977975400860458,-6.1756120247988804,True
612,792,612,MJ1,739,2018-07-10,-26.686879597429538,-20.410807929671364,-6.276071667758174,True
612,792,612,MJ1,740,2018-07-11,-27.191791327896681,-20.848290729556869,-6.3435005983398121,True
612,792,612,MJ1,741,2018-07-12,-27.673237248338069,-21.288609859800818,-6.3846273885372504,True
612,792,612,MJ1,742,2018-07-13,-28.130643369886911,-21.730031376580566,-6.4006119933063452,True
612,792,612,MJ1,743,2018-07-14,-28.087226936238039,-22.140173025590723,-5.9470539106473161,True
612,792,612,MJ1,744,2018-07-15,-27.926533197435333,-22.513486585064566,-5.413046612370767,True
612,792,612,MJ1,745,2018-07-16,-27.758010039238343,-22.851842936946746,-4.9061671022915974,True
612,792,612,MJ1,746,2018-07-17,-27.601190427672691,-23.158252452477448,-4.4429379751952425,True
612,792,612,MJ1,747,2018-07-18,-27.456669853589574,-23.435569704162102,-4.0211001494274718,True
612,792,612,MJ1,748,2018-07-19,-27.322029284232826,-23.686309031908596,-3.63572025232423,True
612,792,612,MJ1,749,2018-07-20,-27.194788938380498,-23.912662574261624,-3.2821263641188736,True
612,792,612,MJ1,750,2018-07-21,-27.072851196780334,-24.116545711198313,-2.9563054855820212,True
612,792,612,MJ1,751,2018-07-22,-26.954509337297168,-24.299640138688559,-2.6548691986086084,True
612,792,612,MJ1,752,2018-07-23,-26.838393554018808,-24.46343068161309,-2.3749628724057175,True
612,792,612,MJ1,753,2018-07-24,-26.723415687274155,-24.609236165849286,-2.1141795214248695,True
612,792,612,MJ1,754,2018-07-25,-26.60872131516544,-24.738235207740647,-1.8704861074247923,True
612,792,612,MJ1,755,2018-07-26,-26.49364939530426,-24.851487735970554,-1.6421616593337056,True
612,792,612,MJ1,756,2018-07-27,-26.406064178490851,-24.951782990326702,-1.4542811881641491,True
612,792,612,MJ1,757,2018-07-28,-26.332927964435726,-25.040889117688575,-1.2920388467471504,True
