phase,candidate,reference,metric,difference,lower,upper,n,block_length,replicates,seed,confidence
later_exploratory,C8_ONLINE_DATA,B_ANCHOR,interval_score90,-29.9504551852,-50.1141410652,-14.617437527,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_DATA,DRIFT1,mae,-1.29231418443,-2.35235256396,-0.530876680595,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_DATA,DRIFT1,rmse,-2.33187233993,-3.66470342148,-0.760041043949,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_DATA,DRIFT1,pooled_rmse,-2.80936783887,-4.60765087847,-0.884980321759,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_DATA,DRIFT1,crps,-1.77059677439,-2.81246820746,-0.968696204989,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_DATA,DRIFT1,coverage90,-0.0757575757576,-0.196993371212,0.030303030303,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_DATA,DRIFT1,width90,-15.6565463453,-23.8774414099,-8.64766449154,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_DATA,DRIFT1,interval_score90,-23.4339291822,-40.4879284556,-10.3869863477,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,C8_STATIC_FULL,mae,-0.000514915305113,-0.00212808550215,0.000596851493139,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,C8_STATIC_FULL,rmse,-0.0019114502615,-0.0043116850472,0.000344754030956,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,C8_STATIC_FULL,pooled_rmse,-0.00255912450541,-0.00518627333933,0.000141457754016,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,C8_STATIC_FULL,crps,-0.000606448279473,-0.0017762398895,5.98323486711e-05,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,C8_STATIC_FULL,coverage90,0,0,0,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,C8_STATIC_FULL,width90,-0.00024065117302,-0.000601503407464,2.98921778089e-05,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_FULL,C8_STATIC_FULL,interval_score90,-0.00668528866127,-0.0166106035236,-0.000587536061378,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_DATA,C8_STATIC_DATA,mae,-0.000102115898452,-0.000940031121333,0.000610197682382,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_DATA,C8_STATIC_DATA,rmse,-0.000673017801384,-0.00167917330734,0.00043930212381,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_DATA,C8_STATIC_DATA,pooled_rmse,-0.00116796657043,-0.00242437171832,0.000157675160866,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_DATA,C8_STATIC_DATA,crps,-0.000177642765945,-0.000638637072686,0.000152515910627,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_DATA,C8_STATIC_DATA,coverage90,0,0,0,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_DATA,C8_STATIC_DATA,width90,5.1038359258e-05,-5.24646829189e-05,0.000152046372884,264,30,2000,20260913,0.95
later_exploratory,C8_ONLINE_DATA,C8_STATIC_DATA,interval_score90,-0.0016811738745,-0.00404978738055,9.66698371251e-05,264,30,2000,20260913,0.95
