index,origin,weight,label_date
336,252,1.0,2017-06-02
337,252,1.0,2017-06-03
338,252,1.0,2017-06-04
339,252,1.0,2017-06-05
340,252,1.0,2017-06-06
341,252,1.0,2017-06-07
342,252,0.5,2017-06-08
343,252,0.5,2017-06-09
344,252,0.5,2017-06-10
345,252,0.5,2017-06-11
346,252,0.5,2017-06-12
347,252,0.5,2017-06-13
348,252,0.5,2017-06-14
349,252,0.5,2017-06-15
350,252,0.5,2017-06-16
351,252,0.5,2017-06-17
352,252,0.5,2017-06-18
353,252,0.5,2017-06-19
354,252,0.5,2017-06-20
355,252,0.5,2017-06-21
356,252,0.5,2017-06-22
357,252,0.5,2017-06-23
358,252,0.5,2017-06-24
359,252,0.5,2017-06-25
360,252,0.5,2017-06-26
361,252,0.5,2017-06-27
362,252,0.5,2017-06-28
363,252,0.5,2017-06-29
364,252,0.5,2017-06-30
365,252,0.5,2017-07-01
366,252,0.5,2017-07-02
367,252,0.5,2017-07-03
368,252,0.5,2017-07-04
369,252,0.5,2017-07-05
370,252,0.5,2017-07-06
371,252,0.5,2017-07-07
372,252,0.5,2017-07-08
373,252,0.5,2017-07-09
374,252,0.5,2017-07-10
375,252,0.5,2017-07-11
376,252,0.5,2017-07-12
377,252,0.5,2017-07-13
378,252,0.5,2017-07-14
379,252,0.5,2017-07-15
380,252,0.5,2017-07-16
381,252,0.5,2017-07-17
382,252,0.5,2017-07-18
383,252,0.5,2017-07-19
384,252,0.5,2017-07-20
385,252,0.5,2017-07-21
386,252,0.5,2017-07-22
387,252,0.5,2017-07-23
388,252,0.5,2017-07-24
389,252,0.5,2017-07-25
390,252,0.5,2017-07-26
391,252,0.5,2017-07-27
392,252,0.5,2017-07-28
393,252,0.5,2017-07-29
394,252,0.5,2017-07-30
395,252,0.5,2017-07-31
396,252,0.5,2017-08-01
397,252,0.5,2017-08-02
398,252,0.5,2017-08-03
399,252,0.5,2017-08-04
400,252,0.5,2017-08-05
401,252,0.5,2017-08-06
402,252,0.5,2017-08-07
403,252,0.5,2017-08-08
404,252,0.5,2017-08-09
405,252,0.5,2017-08-10
406,252,0.5,2017-08-11
407,252,0.5,2017-08-12
408,252,0.5,2017-08-13
409,252,0.5,2017-08-14
410,252,0.5,2017-08-15
411,252,0.5,2017-08-16
412,252,0.5,2017-08-17
413,252,0.5,2017-08-18
414,252,0.5,2017-08-19
415,252,0.5,2017-08-20
416,252,0.5,2017-08-21
417,252,0.5,2017-08-22
418,252,0.5,2017-08-23
419,252,0.5,2017-08-24
420,252,0.5,2017-08-25
421,252,0.5,2017-08-26
422,252,0.5,2017-08-27
423,252,0.5,2017-08-28
424,252,0.5,2017-08-29
425,252,0.5,2017-08-30
426,252,0.5,2017-08-31
427,252,0.5,2017-09-01
428,252,0.5,2017-09-02
429,252,0.5,2017-09-03
430,252,0.5,2017-09-04
431,252,0.5,2017-09-05
342,342,0.5,2017-06-08
343,342,0.5,2017-06-09
344,342,0.5,2017-06-10
345,342,0.5,2017-06-11
346,342,0.5,2017-06-12
347,342,0.5,2017-06-13
348,342,0.5,2017-06-14
349,342,0.5,2017-06-15
350,342,0.5,2017-06-16
351,342,0.5,2017-06-17
352,342,0.5,2017-06-18
353,342,0.5,2017-06-19
354,342,0.5,2017-06-20
355,342,0.5,2017-06-21
356,342,0.5,2017-06-22
357,342,0.5,2017-06-23
358,342,0.5,2017-06-24
359,342,0.5,2017-06-25
360,342,0.5,2017-06-26
361,342,0.5,2017-06-27
362,342,0.5,2017-06-28
363,342,0.5,2017-06-29
364,342,0.5,2017-06-30
365,342,0.5,2017-07-01
366,342,0.5,2017-07-02
367,342,0.5,2017-07-03
368,342,0.5,2017-07-04
369,342,0.5,2017-07-05
370,342,0.5,2017-07-06
371,342,0.5,2017-07-07
372,342,0.5,2017-07-08
373,342,0.5,2017-07-09
374,342,0.5,2017-07-10
375,342,0.5,2017-07-11
376,342,0.5,2017-07-12
377,342,0.5,2017-07-13
378,342,0.5,2017-07-14
379,342,0.5,2017-07-15
380,342,0.5,2017-07-16
381,342,0.5,2017-07-17
382,342,0.5,2017-07-18
383,342,0.5,2017-07-19
384,342,0.5,2017-07-20
385,342,0.5,2017-07-21
386,342,0.5,2017-07-22
387,342,0.5,2017-07-23
388,342,0.5,2017-07-24
389,342,0.5,2017-07-25
390,342,0.5,2017-07-26
391,342,0.5,2017-07-27
392,342,0.5,2017-07-28
393,342,0.5,2017-07-29
394,342,0.5,2017-07-30
395,342,0.5,2017-07-31
396,342,0.5,2017-08-01
397,342,0.5,2017-08-02
398,342,0.5,2017-08-03
399,342,0.5,2017-08-04
400,342,0.5,2017-08-05
401,342,0.5,2017-08-06
402,342,0.5,2017-08-07
403,342,0.5,2017-08-08
404,342,0.5,2017-08-09
405,342,0.5,2017-08-10
406,342,0.5,2017-08-11
407,342,0.5,2017-08-12
408,342,0.5,2017-08-13
409,342,0.5,2017-08-14
410,342,0.5,2017-08-15
411,342,0.5,2017-08-16
412,342,0.5,2017-08-17
413,342,0.5,2017-08-18
414,342,0.5,2017-08-19
415,342,0.5,2017-08-20
416,342,0.5,2017-08-21
417,342,0.5,2017-08-22
418,342,0.5,2017-08-23
419,342,0.5,2017-08-24
420,342,0.5,2017-08-25
421,342,0.5,2017-08-26
422,342,0.5,2017-08-27
423,342,0.5,2017-08-28
424,342,0.5,2017-08-29
425,342,0.5,2017-08-30
426,342,0.5,2017-08-31
427,342,0.5,2017-09-01
428,342,0.5,2017-09-02
429,342,0.5,2017-09-03
430,342,0.5,2017-09-04
431,342,0.5,2017-09-05
